id,created_at,text,retweets,favorites
601414507781607424,2015-05-21 15:49:27,Congrats @UkrCongComAm on their 75th anniversary. Proud to stand with #Ukraine. http://t.co/oZODPJ96de,2,0
600766656143564801,2015-05-19 20:55:07,"RT @lindsayberra: Thx to @BillPascrell, @repjoecrowley &amp; @RepTomMarino for supporting #YogiMedal. Sign here! http://t.co/EVLpocwRJg http://…",13,0
598206211453001728,2015-05-12 19:20:49,"In honor of #Yankees legend #YogiBerra 90th Birthday, I'm urging @BarackObama to award him the Prez Medal of Freedom. http://t.co/wMMaCtRPOv",4,3
595960660183404544,2015-05-06 14:37:48,ICYMI: Great @NJTVonline piece on my small biz walk in Secaucus in recognition of Natl #SmallBiz Week https://t.co/jxu7nCbXS9 #DreamSmallBiz,0,3
595566927185092608,2015-05-05 12:33:15,"Nothing returns more to the Treasury than investments in education. This #NationalTeacherDay, thank a teacher for helping our kids succeed!",136,70
594859885344481280,2015-05-03 13:43:43,Always great to join my buddy @SteveKornacki on @upwithsteve. Good convo w/ @RepLanceNJ7 regarding #Bridgegate. http://t.co/Pbu0ULwIFb,2,2
594677192098975744,2015-05-03 01:37:45,"Congrats to Teaneck resident Ahmed Zayat, owner of #KentuckyDerby champion American Pharaoh, on a huge victory today! #JerseyPride",10,7
594635950669635584,2015-05-02 22:53:53,Looking forward to joining @upwithsteve host @SteveKornacki Sunday morning on @msnbc at 9:15am to discuss #Bridgegate indictments. Tune in!,13,7
594242009445048320,2015-05-01 20:48:30,Congratulations to our spring 2015 interns on completing their term! A special thank you to… https://t.co/sA177jE8q8,0,0
594185965863890944,2015-05-01 17:05:48,We have an admission that the safety of my constituents was callously jeopardized to inflict political retribution. #Bridgegate,8,3
594185777619304448,2015-05-01 17:05:03,Today's guilty plea makes clear that what #Christie Administration perpetrated on the commuters in Fort Lee was a criminal act. #Bridgegate,33,13
593837054418620416,2015-04-30 17:59:21,"RT @njagoda: My profile of @BillPascrell, who is known in #muniland for his support of water PABs, BABs and disaster bonds. http://t.co/J2e…",1,0
593807964152168448,2015-04-30 16:03:45,ICYMI: Check out today's in-depth @TheBondBuyer piece on my efforts to update our nation's aging water infrastructure http://t.co/BzOVTUrfYv,4,1
592751575187247104,2015-04-27 18:06:02,"You never know who you'll bump into at the House barbershop! Rep. Pascrell, Sen. Cruz Get a Haircut https://t.co/wm9UyHq79M",4,0
591374505823592448,2015-04-23 22:54:04,"Wow, my simple amendment saying no China in TPP until Congress agrees currency issue resolved...defeated by majority. #NoFastTrack",2,1
591373698889871360,2015-04-23 22:50:51,"Strong rules of origin can protect key jobs in US manufacturing, autos, textiles - we say fast track must require these rules. #NoFastTrack",1,1
591368782502883328,2015-04-23 22:31:19,"Buy American should not weakened by trade deals. The majority voted no on my amendment, could hurt our US manufacturing. #NoFastTrack",0,4
591366565448265728,2015-04-23 22:22:30,Just offered amendment to prohibit trade agreements that allow import of food products that don't meet U.S. food safety standards @bittman,5,8
591347782167986176,2015-04-23 21:07:52,"Sat down today with Joe Q the barber, one of my dearest friends on Capitol Hill, for a conversation… https://t.co/oEHmw6uUot",0,0
589126118290169856,2015-04-17 17:59:46,"#flashbackfriday Much like a fine wine, they say politicians only improve with age. Great to see my… https://t.co/cBloppBUhW",2,0
588391877709266945,2015-04-15 17:22:10,"Today marks #GOPs1st100Days of the new Congress. So far? Dysfunction, obstruction &amp; distraction. RT if you agree, Americans deserve better.",4,0
588065079100321793,2015-04-14 19:43:35,"52 years after we passed the Equal Pay Act, a woman still earns 78 cents for every dollar a man earns. #EqualPayNow",1,0
588055932564807682,2015-04-14 19:07:14,Christie's plan to reform Social Security 'couldn't be more wrong': Pascrell http://t.co/G3baqX6vxz via @njdotcom,3,3
586600813297963008,2015-04-10 18:45:07,Had a chance to thank the hardworking men and women at the @njtransit Market Street Garage in… https://t.co/FxFw1Ae3KL,0,1
586580959132311552,2015-04-10 17:26:13,Joined @NJTransit ED Ronnie Hakim on #SU4T Day to outline bipart bill I am working on to fund fed highway trust. http://t.co/KePzW1erM0,2,0
586235356309229569,2015-04-09 18:32:55,#tbt June 1961. Preparing for basic training at Fort Dix. Who can find me? https://t.co/WRyFMOYqqx,0,0
585874951242174467,2015-04-08 18:40:48,"Sat down with 9 year-old Gicela Cruz this week, who is Vice President of the Boys &amp; Girls Club of… https://t.co/AGAG8r0WfS",2,0
585822614884634624,2015-04-08 15:12:50,Proud to announce significant fed investment and @Cognizant grant for @bgcppnj to expand #STEM education in #Paterson http://t.co/Wu6X535yV3,3,2
585531876611350529,2015-04-07 19:57:32,Still not following me on Instagram? Well get to it! Follow @billpascrell and access the latest updates from DC &amp; NJ→https://t.co/nykyfQRRMG,2,0
585512324557119489,2015-04-07 18:39:51,"With just a week before tax day, it was great to join Senator @corybooker today at the United Way of… https://t.co/8a92OyrSCS",23,18
585156594058530816,2015-04-06 19:06:18,Proud to join 180 other colleagues to file an amicus brief in support of President Obama's #ImmigrationAction → http://t.co/ooP6tNKkXm,5,0
583282108388491266,2015-04-01 14:57:46,ABC News: Pascrell Leading Push for Nationwide Blue Alert System: https://t.co/HZ5nL9SwnY via @YouTube,2,0
581562205264617472,2015-03-27 21:03:29,"Congrats to @StationCDRKelly as he takes off for his #YearInSpace aboard the @Space_Station. Good luck, captain! #Soyuz",4,0
581133950170587136,2015-03-26 16:41:45,"""If someone came down from Mars today...they'd be shocked at this camaraderie,"" said Rep. Bill Pascrell. http://t.co/skQcM30dE2",3,0
579013960457912320,2015-03-20 20:17:40,Thrilled to see so many amazing groups this week at my annual Traumatic Brain Injury Awareness Day on… https://t.co/9dbPqZ2xPj,3,1
578599571888173057,2015-03-19 16:51:02,"The Republican budget is full of so many accounting gimmicks that it’s simply laughable to call it ""balanced."" https://t.co/G8n8igND8z",8,2
576490615363481600,2015-03-13 21:10:48,Joined @senatormenendez and Senator @corybooker today at the proposed Hudson-Bergen Light Rail in… https://t.co/X898IxlXhi,19,16
572870251680944129,2015-03-03 21:24:46,Thanks @Weatherford5 for ur donation to brain research! Will further our knowledge of football and brain trauma. #tbiawarenessmonth #giants,15,21
571641640747573248,2015-02-28 12:02:42,Joining @SteveKornacki on @upwithsteve at 8am on @msnbc to discuss the inability of the House to properly #FundDHS,4,1
570682390517030913,2015-02-25 20:30:59,"ICYMI: Homeland Security shutdown would threaten firefighter funds, Pascrell warns http://t.co/XbWIbbm5jo #DontShutDownOurSecurity",5,1
570608601607376897,2015-02-25 15:37:46,"Honored to present Clifton resident, Paterson native and WWII veteran Ed Dexter the medals he earned… https://t.co/bBPuXjlHXP",2,0
565880119043309568,2015-02-12 14:28:28,"After many months of negotiations, was pleased to work with @fema to help deliver this fed investment to #Moonachie 
http://t.co/un76hUuOZR",3,1
565521384139661312,2015-02-11 14:42:59,ICYMI: Check out my op-ed in today's Bergen Record regarding the Feb 15 deadline to #GetCovered @NorthJerseybrk http://t.co/7GfInKhErY,4,1
565236107177394178,2015-02-10 19:49:24,"If @HouseGOP allows @DHSgov to run out of funding, FEMA's preparations for future disasters would be crippled. #DontShutDownOurSecurity",4,0
564898944766189569,2015-02-09 21:29:38,ICYMI: Pascrell 'extremely disappointed' by Obama-Merkel tag team efforts on #Ukraine http://t.co/zB9sg1PDeR via @PolitickerNJ,6,2
563044989044006912,2015-02-04 18:42:40,Joined by Olympic gold medalist @SarahHughesNY at #NGWSD briefing to announce intro of my #concussion safety bill. http://t.co/n9y72mtOQh,5,5
562596039178588160,2015-02-03 12:58:42,"RT @cspanwj: Rep. @BillPascrell, D-New Jersey joins us to discuss Pres. Obama's 2016 funding request http://t.co/nWNEaEZSZK",7,0
562375918665351170,2015-02-02 22:24:02,Looking forward to joining @cspanwj tomorrow morning from 7:45-8:30am to discuss the President's FY 2016 budget. Tune in!,5,4
560554374058246144,2015-01-28 21:45:52,"I’d like to thank @JohnKerry for the @StateDept support to #FreeSavchenko 
http://t.co/2KGKWcVJpS",2,5
560167580502360065,2015-01-27 20:08:53,"Safe mission to New Jersey native    
stationcdrkelly who will be spending the next year at the… http://t.co/2kHdRI5bbi",3,0
559835201422237697,2015-01-26 22:08:07,Today I led 21 of my colleagues in urging Sec. Kerry to #FreeSavchenko because she deserves our support in her fight for freedom!,11,11
558391118174629888,2015-01-22 22:29:51,Safe mission! RT@StationCDRKelly Morning call w @sentedcruz @billpascrell Congressman Brian Babin House &amp; Senate Science Staff re #ISS1year,0,0
558390807003426816,2015-01-22 22:28:37,RT @SethStatler: @BillPascrell Thanks for talking to @StationCDRKelly as he prepares for a yr aboard our amazing @Space_Station @ISS_Resear…,1,0
555032823502225411,2015-01-13 16:05:11,"ICYMI: Be sure to check out my oped on #NewJerey economy ahead of today's #StateofTheState  
http://t.co/PyTEmsque1",2,0
555031032848973824,2015-01-13 15:58:04,@stucknation Chris Christie’s Jersey nightmare: Why his state hasn’t touched the economic recovery http://t.co/2ZqLLNymSd via @Salon,0,0
543505173298298880,2014-12-12 20:38:25,FYI @TomCoburn - Hinchliffe got a makeover thanks to 500 Paterson students that care about preserving our history. http://t.co/4Et3jvodio,4,2
543503540002762753,2014-12-12 20:31:56,Thank you to @SenatorMenendez for fighting on behalf of the preservation of Paterson’s Hinchliffe Stadium. #SaveHinchliffe,4,0
542365014657884160,2014-12-09 17:07:50,RT @SKWAdvocate: THX @billpascrell and @senorrinhatch&gt; #TBI concussions bill&gt;help for youth sports concussions http://t.co/qJj85I2NQD http:…,2,0
542056614099181568,2014-12-08 20:42:22,Sat down with @MaryAliceNJTV on @NJTVonline today to discuss my efforts to protect young athletes from #concussions. http://t.co/A9vQuUm7ek,1,1
541597798052139009,2014-12-07 14:19:12,Always happy to sit down with my good friend @SteveKornacki for an NJ reunion. Great convo on spending deadline. http://t.co/hUjewX9Hl4,10,16
541361964442992640,2014-12-06 22:42:04,Looking forward to joining @msnbc's @SteveKornacki tomorrow morning on @upwithsteve at 9:10am to discuss the upcoming budget deadline.,10,9
535784775873593344,2014-11-21 13:20:19,On the set with CNBC's Squawk Box discussing President Obama's #ImmigrationAction. http://t.co/bD7H08cnk2,2,1
535543863973523457,2014-11-20 21:23:01,Looking forward to joining @SquawkCNBC tomorrow morning at 8am to discuss President Obama’s #ImmigrationAction. Tune in!,0,1
532630800521785344,2014-11-12 20:27:33,RT @JonSolomonCBS: Congressman urges NCAA to have concussion penalties after he was not satisfied by B1G response. http://t.co/JZMra6lYYV,7,0
527457193797234688,2014-10-29 13:49:29,Joined Moonachie Mayor Dennis Vaccaro and Little Ferry Mayor Mauro Raguseo on this second anniversary… http://t.co/sjbpWEzPpv,3,2
525312177037922304,2014-10-23 15:45:57,"Great visit with seniors in Ridgefield Park today. Medicare, Medicaid and Social Security are… http://t.co/oDUQ224Ks1",3,2
525273862419021824,2014-10-23 13:13:42,ICYMI: Be sure to check out the clip of my roundtable discussion with family #caregivers alongside @CoryBooker https://t.co/q4Y8orndM5,9,3
514111667270336512,2014-09-22 17:59:07,At the Paterson YMCA today with Senator @corybooker to announce our legislation to address health… http://t.co/1eYQCkoI7w,3,4
513005148705005568,2014-09-19 16:42:13,Today I joined @senatormenendez and @corybooker in announcing $1.5 billion in federal funds to ensure… http://t.co/K82TmwOr2H,6,5
509775808756740096,2014-09-10 18:49:58,Proud to participate in a Congressional Flag Ceremony today honoring our nation's fallen firefighters.… http://t.co/dsYxXbxJWB,2,2
509097982495830019,2014-09-08 21:56:32,Honored to spend the day with students and staff at Dwight Morrow High School in Englewood on their… http://t.co/Ff0zBer7XJ,3,0
506169639660167169,2014-08-31 20:00:20,No better place to celebrate this #LaborDay than at the American Labor Museum in Haledon's Botto House… http://t.co/L9xyv8v0PY,4,1
505799843126992896,2014-08-30 19:30:54,Proud to participate in the raising of the #Dominican flag today at Juan Pablo Duarte Plaza in… http://t.co/I4oe0qVI9q,9,0
505381054455488513,2014-08-29 15:46:47,Congratulations to this year's Great Falls Youth Corps graduating class! I was proud to honor these… http://t.co/Y7Dd44W3W2,4,0
504305148269973504,2014-08-26 16:31:31,Looking forward to see everyone tonight at my #townhall meeting in #Clifton starting at 6:30pm to discuss #jobcreation and #economicrecovery,3,0
504009553286266880,2014-08-25 20:56:56,Hope to see you all at my #townhall meeting tomorrow night at 6:30pm at #Clifton City Hall to let your voices be heard!,6,3
501813785892773888,2014-08-19 19:31:44,With @CoryBooker today at Fort Lee senior center to discuss the need to protect social security and Medicare. http://t.co/ikLzBDXORA,21,23
495221797865160704,2014-08-01 14:57:32,Tune in to @msnbc @newsnation today at 11:15am as I join host Craig Melvin to discuss the latest developments on the House Floor.,1,1
494492247983796225,2014-07-30 14:38:33,"I had the honor of speaking with the man responsible for the ""Miracle on the Hudson"" today, Sully… http://t.co/4MWGhJp35Z",1,2
493846462238040064,2014-07-28 19:52:26,"Great day at the Grand Peruvian Parade through Passaic, Clifton and Paterson commemorating the 193rd… http://t.co/SvwDFDymvp",2,2
492730466332864512,2014-07-25 17:57:52,Joined my fellow colleagues on the Congressional Ukrainian Caucus this week to introduce legislation… http://t.co/mliKzRTYWb,5,2
492362127563190273,2014-07-24 17:34:13,Today I joined Peruvian American Political Organization Chairman Noberto Curitomai at their conference… http://t.co/ls2OmPuwLo,1,0
492043986014449664,2014-07-23 20:30:02,#FlatStanley visited my DC office today all the way from Paterson teacher Robin Holcombe's… http://t.co/yKYIam234K,1,0
491633214889267200,2014-07-22 17:17:47,"Thrilled to receive an honorary degree from Fairleigh Dickinson University, one of NJ's many great… http://t.co/NtjyODqujy",2,1
491334718416093184,2014-07-21 21:31:40,I was honored to welcome 26 new officers to the Paterson Police Department today. The recent tragic… http://t.co/WCeMwz4aKT,4,0
490593240765448193,2014-07-19 20:25:18,Joined the Peruvian flag raising today in Clifton. Proud to celebrate with this vibrant community. http://t.co/f9bpI9m6F9,3,1
490149328170647552,2014-07-18 15:01:21,Great to meet with Terry Muldoon of Lyndhurst and Abraham Onifade of Paterson with the National Young… http://t.co/NohJjVzLL0,2,0
489788703338803200,2014-07-17 15:08:21,#Yankees legend Babe Ruth stepping to the plate at Paterson's Hinchliffe Stadium - one of the jewels… http://t.co/9H7KofmOLP,5,1
489183876104060928,2014-07-15 23:04:59,A special thanks to @kevinpearce and the entire loveyourbrain team for coming down to DC today for my… http://t.co/k7ZSZgxekx,2,0
489166021753065472,2014-07-15 21:54:02,RT @michaelhayes Congressmen to Blatter: Address FIFA's “inadequate approach toward traumatic brain injury.” http://t.co/5MElaEF76v …,3,2
489163682870734848,2014-07-15 21:44:44,Proud to join the Eid Committee of New Jersey in Teaneck to celebrate their 10th Annual Grand Iftaar.… http://t.co/x3iBOW5BgQ,2,0
489154908403552256,2014-07-15 21:09:52,"If Congress won’t extend our highway programs,1,311 projects in NJ will grind to a halt, putting 23,663 jobs at risk. http://t.co/CDdlfAQm5w",7,3
489102234899468288,2014-07-15 17:40:34,"Come tonight to 2103 Rayburn at 6pm for a viewing of @TheCrashReel, the story of snowboarder @KevinPearce and his recovery from a TBI.",1,0
488745342146732032,2014-07-14 18:02:24,#SCOTUS #HobbyLobby decision limits access to critical preventive care for working women #NotMyBossBusiness,5,1
488407370658103296,2014-07-13 19:39:26,"Another concussion this #WorldCup, this time #GER player collapses on field after returning. #FIFA not setting good example for our youth.",11,1
487703790339239937,2014-07-11 21:03:39,New Jersey history! RT @BeschlossDC VP Aaron Burr's fatal duel with Alexander Hamilton was 210 years ago today: #LOC http://t.co/0CZ0i931r8,6,5
487680334361026561,2014-07-11 19:30:27,Check out my latest edition of To the Point as I discuss the dangers of #concussions in youth sports https://t.co/yGmaRQoXak,2,0
487635087841038337,2014-07-11 16:30:39,"Decisions about birth control should be made between women and their doctors, not their employers  #NotMyBossBusiness",5,2
487243228354445312,2014-07-10 14:33:32,I officially invite you all to submit your favorite high quality photos taken in New Jersey to be considered for... http://t.co/8jMSf9Mg8x,2,0
