id,created_at,text,retweets,favorites
601411628756836353,2015-05-21 15:38:00,"Pleasure meeting the Port Sanilac Marching Band, spirited young Americans who reflect our nation’s bright future. http://t.co/8Nt7bE3oK8",3,3
599240168890048512,2015-05-15 15:49:24,Did you know tmrw is the start of #SafeBoatingWeek?Here are some important boating safety tips http://t.co/52IbvttAfd http://t.co/WcEv4zQlj7,2,0
598867454517968897,2015-05-14 15:08:22,@GM announces $1 billion investment in Warren Tech Center. Read more: http://t.co/phHQxlfRSN https://t.co/TpVkFHE1NQ,1,0
598533957362266112,2015-05-13 17:03:10,Honored to receive the Lifetime Achievement Award from the National Marine Manufacturers Association - @therealnmma http://t.co/9bnBJQrAaR,4,3
598107925354303488,2015-05-12 12:50:16,"If you're interested in applying for a Congressional Nomination to a U.S. Service Academy, complete the app here: http://t.co/qsQGzS9k6q",3,0
596770971882758144,2015-05-08 20:17:41,Joined @wxyzdetroit to discuss Ontario Power Generation company's nuclear waste facility https://t.co/wOSX6RiPdL,3,0
593770635396022274,2015-04-30 13:35:25,"RT @HouseGOP: #OnThisDay in 1789, George Washington was sworn in as the first President of the United States. http://t.co/df4GVyeIbm",199,0
593522408625025025,2015-04-29 21:09:03,Tomorrow is the last day to vote for the 2015 Congressional Art Competition Facebook Fan Favorite. Vote here: https://t.co/b5YVuwSNVU,2,0
593462381189148672,2015-04-29 17:10:32,Honored to receive the “Spirit of Enterprise” Award from the @USChamber for my support of probusiness policies #SOE15 http://t.co/vBhuMWVow9,4,4
590905342512472064,2015-04-22 15:49:46,Here are 37 impressive facts about our magnificent Great Lakes. http://t.co/7UKJHjIoMS,5,4
590553281140826112,2015-04-21 16:30:48,A-10s from Selfridge ANGB deployed to Middle East to fight against ISIS. Read more: http://t.co/r1pXkYvVh7,16,4
587994662461399040,2015-04-14 15:03:46,"RT @HouseHomeland: STARTING SOON: Mark Up New #CyberSecurity Legislation, 
#NCPA Act 

Watch Live: http://t.co/TvGM1HiInb http://t.co/iEXhA…",15,0
583303344191619072,2015-04-01 16:22:09,Autism Awareness Month is a time to promote the awareness and acceptance of those 1 in 68 children living with autism http://t.co/J7nSaT4dWe,4,4
583301127808122880,2015-04-01 16:13:20,"Starting Saturday, come to @Studio1219 to view all the impressive submissions to this year's MI10 Art Competition. http://t.co/wAAMsiRanF",2,1
582899426689159168,2015-03-31 13:37:07,Congrats to team Mechanical Mayhem for making it to Nationals in the FIRST Tech Competition. http://t.co/XPUHZq5iZN,1,2
581514614069936128,2015-03-27 17:54:22,Joined Blue Water Area Chamber to celebrate St. Clair County’s economic boom.Read more: http://t.co/tcTJG2QkND http://t.co/TnoQZaHcDr,3,2
580711275124113408,2015-03-25 12:42:11,Met with MI National Guard TAG General Vadnais to discuss just how critical it is that we preserve the A-10 Warthog.,3,4
580473854625214464,2015-03-24 20:58:46,Met with @umich President @DrMarkSchlissel to discuss the University's important V2I research initiatives. Go blue!,1,0
580452458859753472,2015-03-24 19:33:45,"Don’t forget to submit your art for the 2015 Art Competition by this Friday, March 27th. http://t.co/yktEAUVcPO http://t.co/PUn2eUsep2",2,1
578931414869094401,2015-03-20 14:49:39,Tune in: Greening our Great Lakes on @wjrradio Sun at 7PM to hear my convo with Russ White about my legislative proposal to stop Asian carp.,2,1
578225757329162240,2015-03-18 16:05:38,"The oldest Great Lakes organization, @A4GL backed my legislation to stop Asian carp. Read more: http://t.co/hE8VzVQAKn",3,1
578221798438936577,2015-03-18 15:49:54,Happy #NationalAgDay to all of Michigan’s hardworking farmers! http://t.co/3GqxnVw4Ae,1,2
578176514342187008,2015-03-18 12:49:57,Don't forget you have from March 23rd-March 27th to submit your artwork for this year’s Art Competition! https://t.co/yeHaj29M6K,1,0
578176028155183104,2015-03-18 12:48:01,"New Baltimore Police Chief, soon to be FBI Academy graduate, Timothy Wiley, stopped by. Thanks for your service! http://t.co/rafgZaubER",2,3
577877109491785728,2015-03-17 17:00:13,RT @USTravel: Great @HouseHomeland hearing! @USTravel supports @CandiceMiller’s bill HR 158 to strengthen the Visa Waiver Program. http://t…,5,0
577840595651174400,2015-03-17 14:35:08,"RT @TravelCoalition: We applaud efforts to enhance Visa Waiver Program &amp; support @CandiceMiller's bill to do so, HR 158. Travel relies on s…",3,0
577840440558358528,2015-03-17 14:34:31,Discussing Visa Waiver Program vulnerabilities and my legislation to address them. Watch live: http://t.co/b12vAkoskC http://t.co/7AGdFFEseZ,1,1
577819896991649792,2015-03-17 13:12:53,RT @HouseHomeland: Rep. @CandiceMiller hearing TMW 10am ET on Visa Waiver Program &amp; Combating Terrorist Travel: http://t.co/GUfpoffjhm http…,5,0
573170485917327360,2015-03-04 17:17:47,"On this day in 1917, Jeannette Rankin took her seat as the 1st woman elected to Congress. #WomensHistoryMonth http://t.co/rMMhqeVLXj",53,35
573167953434316801,2015-03-04 17:07:43,Excited to get @T4America support for my V2I legislation. Read more: http://t.co/Ni30slU6ce,2,2
572895460739981312,2015-03-03 23:04:56,V2I technologies are undoubtedly the future of the auto industry. Read more about my legislation in the Macomb Daily: http://t.co/RwE7xSRFKj,5,4
572824431493554176,2015-03-03 18:22:41,"Very proud to be on the House Floor today to greet a great leader and friend of the US, Israeli PM Netanyahu. https://t.co/pNRrG9bwqt",5,5
572753923028746240,2015-03-03 13:42:31,At 11:00 AM Israeli Prime Minister Benjamin Netanyahu will address a joint meeting of Congress. Watch live: http://t.co/otxVUPDuBd,3,3
571444342293966848,2015-02-27 22:58:42,RT @MichiganLCV: Great to see a bipartisan effort by @SenStabenow &amp; @CandiceMiller to defend our #GreatLakes from invasive species! http://…,4,0
571442344379199488,2015-02-27 22:50:46,RT @A4GL: We applaud the recent efforts by @stabenow &amp; @CandiceMiller to keep Asian carp out of the #GreatLakes http://t.co/NKaiLegzqR,6,0
571339992498352129,2015-02-27 16:04:03,"An open internet has served our nation well, expanding access to info and growing our economy.Let's keep it that way. http://t.co/54pOTlJ3BF",2,2
571329794895454208,2015-02-27 15:23:32,"Tomorrow is Rare Disease Day, aimed at raising awareness of millions of people struggling with rare diseases everyday http://t.co/WckC4of8uD",16,12
571322843549605888,2015-02-27 14:55:55,Read about our legislation to protect the Great Lakes in yesterday’s Detroit News: http://t.co/eKQGi9i99Y @SenStabenow,4,2
571319585426825216,2015-02-27 14:42:58,"Yesterday, @SenStabenow and I introduced Defending Our Great Lakes Act to protect our lakes from AsianCarp.Read more: http://t.co/Ec7Xo7OoVM",2,0
571088429464870912,2015-02-26 23:24:26,RT @SenStabenow: Rep @CandiceMiller and I on stopping #Asiancarp http://t.co/4QE9GlKmLz via @detroitnews,13,0
570720299035066368,2015-02-25 23:01:37,Welcomed students participating in the Close-Up program from L'Anse Creuse HS to the nation's capital. http://t.co/r860gNDzlc,2,2
570329446546149376,2015-02-24 21:08:30,RT @BWChamber: News: Nation's Largest Vanpool Provider Endorses Rep. Miller's V2I Legislation http://t.co/jMCxIXtlyp,3,0
570327865369108480,2015-02-24 21:02:13,RT @HouseGOP: #ObamaSaysNo to #KeystoneXL and thousands of American jobs. Very discouraging. http://t.co/MurflUDyyc http://t.co/c3qEa2QwCT,131,0
