id,created_at,text,retweets,favorites
601131821053673473,2015-05-20 21:06:09,Proud to be working w/ @RepMarcyKaptur on this important issue! https://t.co/JQqE4QhbOx,1,2
601124348943060992,2015-05-20 20:36:27,Great to stand w/ Ben and Jerry's cofounder Jerry Greenfield today to call for #GMOLabeling. Love the tie! http://t.co/wSpstNnuN7,6,3
601123424665206784,2015-05-20 20:32:47,From today's event to protest the DARK Act and its attempt to overturn state #gmolabeling laws #mepolitics http://t.co/4LzjWMSKYD,3,3
601064612876984321,2015-05-20 16:39:05,"RT @justlabelit: Food CEOs hit Capital Hill to tell lawmakers ""what’s good for consumers is good for business"" http://t.co/go8jTZl3qh http:…",20,0
601064082087739392,2015-05-20 16:36:59,"After fighting yrs for rights of chicken farmers, I'm glad to see @iamjohnoliver bring issue to national audience http://t.co/OjVbizFo0U",2,2
601059787372105728,2015-05-20 16:19:55,RT @FPAction: Today we'll be joining @benandjerrys @patagonia @chelliepingree @PeterWelch &amp; more on Capitol Hill to #StopTheDARKAct #votefo…,1,0
601050488994439168,2015-05-20 15:42:58,Holding #GMOlabeling press conf at 2 w/ @PeterWelch &amp; leaders from @patagonia @benandjerrys @Stonyfield @HappyFamily #mepolitics,3,4
601041677416005633,2015-05-20 15:07:57,Correct link http://t.co/jXKeFp0zTO https://t.co/hLAxq2XPAo,1,2
601038371754999809,2015-05-20 14:54:49,"Kudos to White House for plan to protect pollinators, which add $15B annually to nation's crop value #mepolitics http://t.co/zyAQUf7zHo",12,17
600682938154496000,2015-05-19 15:22:27,"Hey @tomsietsema: glad these towns get a little ink B4 you finally reveal Portland, ME as Best Food City. #mepolitics http://t.co/i53O4lLJ7X",1,1
598929949370818560,2015-05-14 19:16:42,Yet another TPP concern: foreign companies could be allowed to challenge U.S. food safety rules http://t.co/zyAQUf7zHo #mepolitics,1,2
598929145486258176,2015-05-14 19:13:30,RT @rosadelauro: With @chelliepingree @louiseslaughter calling for release of TPP food safety chapter #NoFastTrack http://t.co/kdpWIiiqQN,21,0
598845996718776320,2015-05-14 13:43:06,not supporting our infrastructure at level we know we should is dereliction of our duty #mepolitics http://t.co/i644sBzruy,5,7
598547755284439040,2015-05-13 17:57:59,VIDEO Americans deserve to know Congress has their safety in mind; but we said our hands are tied https://t.co/esn48spjvm #mepolitics,1,2
598523934972223488,2015-05-13 16:23:20,Sad to see Approps Comm fail to restore Amtrak safety &amp; maint funding in party-line vote. GOP members in opposition #mepolitics,5,2
598504537398374401,2015-05-13 15:06:16,Tragic accident gives new weight to today's Amtrak approps hearing. Thoughts w/ victims' families https://t.co/jxcbPfTVXd #mepolitics,1,2
598267306813345792,2015-05-12 23:23:35,"Representing #ALSAdvocacyDay2015. Thanks @gymnastgirl63, @dbabine53, Katie, Karen, Sharon for work on ALS http://t.co/nhjK8vEF4f",4,6
596094623296028672,2015-05-06 23:30:07,Congrats to all the Maine entrepreneurs receiving awards from the @SBAgov this yr! #mepolitics http://t.co/U1m6QqCa1u,6,6
596056282643230720,2015-05-06 20:57:46,"Great piece by #markbittman @nytimes: ""Let's make food issues real"" http://t.co/42ZIp8ryV1 #votefood #mepolitics",0,1
596039048621359104,2015-05-06 19:49:17,Congrats @LoyalBiscuit on your recognition from @SBA_NewEngland! What a great success story you have!,0,2
596038508273336320,2015-05-06 19:47:08,"Congrats @BixbyBar on your @SBA_NewEngland award! What a delicious product, so glad you make them in Maine!",0,2
596025784332058624,2015-05-06 18:56:35,US policies give consumers little relief for buying Rx drugs they need.  time to change that http://t.co/YIQWt55mMF #mepolitics,1,1
595685316280856577,2015-05-05 20:23:41,"Introduced bill to allow Americans to buy Rx drugs from Canada, which cost about 1/2 as much. #mepolitics http://t.co/lSvUlRHV00",8,11
