id,created_at,text,retweets,favorites
601449490545967107,2015-05-21 18:08:27,Trey Vance of #Watertown got an awesome early 6th birthday gift - a high five from @POTUS: http://t.co/yG9nHLHrmi http://t.co/fCweOnxU9o,3,1
601440146429321218,2015-05-21 17:31:19,"Unreal. RT @TPM: According to a major new study, 56% of youths w serious mental health troubles are not in care. http://t.co/MQjgCjeqSj”",4,2
601433866939867137,2015-05-21 17:06:22,Joining my fellow Northeastern @SenateDems to call for increased funding to improve rail safety in the NE Corridor http://t.co/bqNdwq81NX,20,18
601422631473131521,2015-05-21 16:21:43,Let's bolster American #manufacturing and invest in homegrown businesses by committing to #BuyAmerican: http://t.co/f5IPAWDXwQ,3,3
601410490829529089,2015-05-21 15:33:29,My first full committee meeting on Senate Appropriations. Honored to be a part of this. http://t.co/c8u0xXLlLx,4,5
601398684199329792,2015-05-21 14:46:34,"RT @KaiserFamFound: New Survey: Most in #ACA marketplace plans satisfied with premiums, costs, networks http://t.co/Q5rZpJKcmp #Obamacare h…",20,0
601220033507946497,2015-05-21 02:56:40,"Sorry @RandPaul, I'm watching @Letterman tonight.  As a child of the 80s/90s, there was no one cooler than Dave.",15,23
601178175335436288,2015-05-21 00:10:21,Happening now: I'm talking with @chrislhayes about Jeb Bush's take on #Iraq. Turn on @msnbc to watch live. #inners,4,20
601164261600010240,2015-05-20 23:15:03,Tonight I'll be on @allinwithchris talking about Jeb Bush's comments on #Iraq. Tune in at 8:00pm EST on @msnbc to watch live,1,2
601149425797312512,2015-05-20 22:16:06,Leave it to the #NRA to actively try to water down legislation meant to reduce #domesticviolence. Shameful: http://t.co/wDkDlaTAuJ,18,8
601136590434349056,2015-05-20 21:25:06,Great meeting students from #Torrington Middle School today! http://t.co/cN18bPEMci,2,4
601126547173429248,2015-05-20 20:45:11,"Yet again, former @USCBO director confirms #ACA subsidies were meant for all states, despite #KingvBurwell claims: http://t.co/fFA2Qqznc9",2,2
601115566414372865,2015-05-20 20:01:33,RT @SenMurphyOffice: #ICYMI: Senator Murphy delivers remarks on #BuyAmerican amendment to trade bill: http://t.co/bLTZMDiJGm,2,0
601114785682497536,2015-05-20 19:58:27,"Connecticut's rail bridges are literally crumbling, with some 100+ yrs old. We cannot wait any longer to fix them:  http://t.co/ycRy0gPFpR",9,4
601097666546774017,2015-05-20 18:50:26,Thrilled to see a major American city taking steps to support workers and #RaiseTheWage to $15/hr: http://t.co/GalZGj0cJH,5,2
601081248367251456,2015-05-20 17:45:11,Today all $1 from iced coffees sold at @DDinCT will benefit @ctchildrens and @YNHH http://t.co/udbze0F8i6,13,7
601078125523533825,2015-05-20 17:32:47,Happening now: I'm live on WATR 1320 AM in #Waterbury talking #BuyAmerican &amp; trade with @ConnAFLCIO. Listen at http://t.co/Wvc9L4pnbz,4,0
601069991694245888,2015-05-20 17:00:28,Today at 1:20pm I'll be joining @ConnAFLCIO live on WATR 1320 to discuss trade deals &amp; my #BuyAmerican amendment. Tune in!,2,1
601064903928115200,2015-05-20 16:40:14,RT @SpencerSays: .@ChrisMurphyCT calls for investigation into possible airline price gouging after Amtrak crash http://t.co/r6STJckJO4 http…,3,0
601053819825426432,2015-05-20 15:56:12,"Free trade must also be fair trade. Instead of shipping jobs overseas, we should close loopholes to #BuyAmerican: http://t.co/WYR16m5gD4",3,5
600791303908012034,2015-05-19 22:33:03,The Lighting Quotient is creating #CTJobs &amp; supporting local companies w their commitment to #BuyAmerican: http://t.co/beFRtIku5z,1,2
600776315764113408,2015-05-19 21:33:30,"The bipartisan #USAFreedom Act would reform @NSAgov bulk data collection &amp; is supported by intel, law enforcement &amp; civil liberty groups",1,3
600769514603737088,2015-05-19 21:06:28,I'm on the floor now talking about my #BuyAmerican amendment to TPA. Watch here: http://t.co/UeTE9M6wBc,3,1
600744573464420352,2015-05-19 19:27:22,RT @RebeccaShabad: .@chrismurphyCT lobbies for $555.8M fund to improve Amtrak's Northeast Corridor http://t.co/xkP51nDt4a,3,0
600736891982487552,2015-05-19 18:56:50,Dubious @JebBush answer on health care. Maybe he should take a mulligan (or 5) on this issue too... http://t.co/Td7TbM69pX,4,4
600724530399748096,2015-05-19 18:07:43,Anyone who has ever had New Haven pizza knows it's better than any and all crab cakes. @SenatorCardin @SenatorBarb  https://t.co/Y0NMmO2Ldy,7,8
600711335995924480,2015-05-19 17:15:17,CT students - share your perspective on #VotingRights for a chance to win the @CapitolHistory student essay contest: http://t.co/bktwdFQxrH,0,2
600701430375305216,2015-05-19 16:35:56,Another successful constituent coffee this morning. Always great to talk with CT folks in DC http://t.co/S2oaJUscrW,1,2
600693532119138304,2015-05-19 16:04:33,"RT @_KJKelly: #KingvBurwell @ChrisMurphyCT gets @SenRonJohnson and @SenSasse's proposals right.
http://t.co/dW9stnWBxf http://t.co/mnFithoA…",5,0
600651803504594944,2015-05-19 13:18:44,"RT @Stamford_Times: @ChrisMurphyCT and @jahimes introduce college affordability bill
http://t.co/5IBmASyTza http://t.co/J9EpbISoFp",3,0
600426898133372928,2015-05-18 22:25:02,Congrats to my friend @SenWhitehouse on his 100th #TimeToWakeUp climate speech tonight. We cannot wait to #ActOnClimate.,17,23
600423156055220224,2015-05-18 22:10:10,EvoAero has established partnerships w local colleges to encourage students to enter #manufacturing &amp; even created their own training center,0,2
600423108718305282,2015-05-18 22:09:59,"In 1980, the Agreda family founded a small, two-machine shop in #SouthWindsor. 35 yrs later, EvoAero employs 72 people in Connecticut",1,2
600423045786927104,2015-05-18 22:09:44,"Today's #MondayManufacturer is Evolution Aero, second-generation family manufacturer of aerospace products in #SouthWindsor",0,0
600419580717170688,2015-05-18 21:55:57,"For 50 years @HeadStartGov has provided educational opportunities for millions of children, creating a foundation for success. #HeadStart50",3,4
600413299709186048,2015-05-18 21:31:00,It was great congratulating winners of the President's E Award in person today. Proud these exporters call CT home. http://t.co/ucIcm9L2GT,5,5
600407029119750144,2015-05-18 21:06:05,A great look at the journey to bring home Edwin Hopkins + photo http://t.co/jQySQUcnRq,1,0
600404650613993472,2015-05-18 20:56:38,"RT @SenWhitehouse: After 3 years, tonight I deliver my 100th #TimeToWakeUp speech about our urgent need to #ActOnClimate. #100Reasons http:…",126,0
600401753293467649,2015-05-18 20:45:07,Repairing aging tracks &amp; installing positive train control on @Amtrak is a necessity: http://t.co/BLylRK3cJM,4,4
600395826494578689,2015-05-18 20:21:34,RT @dragonleepy: Senator Murphy and I talk about NBHS's students and teachers.  We have a true friend in Senator Murphy! http://t.co/UkMoTP…,3,0
600394186420932608,2015-05-18 20:15:03,"To make sure students aren't drowning in debt from #studentloans, let's start by addressing the cost of college: http://t.co/qazvhiVrFW",4,2
600386567828549633,2015-05-18 19:44:47,On Saturday I talked with @KarabinFarms about how I can support our #CTfarmers in Washington: http://t.co/uEYjnYFuGs,0,5
600355508126666752,2015-05-18 17:41:21,I'm sitting at my laptop ready to take your questions on mental health reform. Let's go! https://t.co/b7XZZMR6Uc http://t.co/AjdVhRXs27,7,1
600353918904729601,2015-05-18 17:35:02,Happening now: I'm answering your questions on #mentalhealth live on Facebook. Join the conversation here: http://t.co/KoUcRXP1Ap,0,1
600353295178301440,2015-05-18 17:32:34,"A4: From 2008-2013 in CT, in-school arrests dropped 34.8%, expulsions declined 31% and out-of-school suspensions fell 46.5% #BrownsPromise",2,2
600353249791713281,2015-05-18 17:32:23,"A4: Better options exist - CT has made strides in addressing school discipline thru the ""school based diversion initiative"" #BrownsPromise",3,2
600353210822438913,2015-05-18 17:32:14,"A4: An arrest doubles the odds that a student will drop out, after a first-time court appearance those odds quadruple #BrownsPromise",4,4
600353174822776833,2015-05-18 17:32:05,A4: Offenses that once resulted in a trip to the principal's office now carry the possibility of a court appearance or worse #BrownsPromise,6,4
600353124323303424,2015-05-18 17:31:53,"A4: Zero tolerance policies have fed the school-to-prison pipeline, disproportionately affecting Black &amp; Latino students #BrownsPromise",19,13
600351076768980992,2015-05-18 17:23:45,"A3: All schools = low performers, schools w subgroups being left behind, where students aren't leaving college/career ready #BrownsPromise",1,2
600351029004259328,2015-05-18 17:23:33,A3: #ESEA needs to ensure states are held accountable for providing equitable supports and resources to all schools #BrownsPromise,3,6
600348124155088896,2015-05-18 17:12:01,A2: #ESEA must stipulate help for schools that are chronically low-performing or consistently missing goals for students #BrownsPromise,6,5
600348064935768066,2015-05-18 17:11:47,A2: #ESEA must ensure the expectation of academic achievement &amp; graduation are meaningful parts of any accountability system #BrownsPromise,7,6
600347991774474242,2015-05-18 17:11:29,"A2: However, #ESEA is missing two key elements to ensure that states are focused on the academic success of ALL children #BrownsPromise",3,4
600347933905674240,2015-05-18 17:11:16,A2: #ESEA includes some strong accountability provisions to ensure opportunities for students &amp; flexibility for local needs #BrownsPromise,5,4
600338823852109824,2015-05-18 16:35:04,Join me today at 1:30pm EST for a live Facebook Q&amp;A on #mentalhealth http://t.co/OYO1IqHuTs,5,1
600335286153904128,2015-05-18 16:21:00,Today I'm joining @NAACP_LDF for a Twitter chat at 1pm EST to discuss #BrownsPromise &amp; equal opportunity in education.,3,5
600330297830420480,2015-05-18 16:01:11,Welcome to twitter @POTUS! Looking forward to lots of Presidential selfies http://t.co/jjWnkwX14h,42,39
600315843621289984,2015-05-18 15:03:45,Ongoing partnerships btwn @Yale and the city are fostering investment and a greater sense of community in #NewHaven: http://t.co/IESP3CMKSJ,1,2
599939820304134144,2015-05-17 14:09:34,Spent yesterday afternoon talking with voters in #Hamden with @curtleng #lengformayor http://t.co/kG0Db5DeGt,3,5
599735643976114176,2015-05-17 00:38:14,This winter was especially hard on local farms. I visited @KarabinFarms to learn how we can best support #CTfarmers http://t.co/g5bWGz36pm,7,7
599643447507722240,2015-05-16 18:31:53,Excited to be in #NewHaven supporting @ToniNHarp for Mayor http://t.co/uVwVQXbnFk,3,7
599620112266764290,2015-05-16 16:59:09,Had a great time spending the morning at The Gathering in #Waterbury and meeting students from Sacred Heart HS http://t.co/n566TbJtzb,3,3
599369400635006977,2015-05-16 00:22:55,Glad to be joining the @OICAmerica #NewBritain chapter for their annual awards gala http://t.co/vmjsP3cJQM,2,2
599360378670338048,2015-05-15 23:47:04,Spent the afternoon with @mayorkenc in #Bristol. We visited Theis Precision Steel &amp; Pequabuck River http://t.co/5UtyRLY45Y,2,0
599334723983314944,2015-05-15 22:05:07,It's unacceptable if airlines increased ticket prices in order to boost profits in the wake of the Amtrak crash: http://t.co/41bcJDiJzO,10,8
599332141361721344,2015-05-15 21:54:52,"RT @PatrickMKilby: Great discussion with the Mayors of Bristol, Plymouth and Plainville Officials and @ChrisMurphyCT re:the flood survey of…",1,0
599332074236071938,2015-05-15 21:54:36,Thanks for your support @CollegeDemsCT! I look forward to working with students to help make college more affordable https://t.co/Hqb8Wi5wVv,1,1
599294460032196608,2015-05-15 19:25:08,Disappointed to see #Azerbaijan suppressing journalistic freedom w extended detention of @Khadija0576: http://t.co/xIEHpGeCzo #FreeKhadija,12,5
599286702352498688,2015-05-15 18:54:18,The Northeast Corridor is the busiest rail route in the nation - this proposed $550M fund would be dedicated to critical safety improvements,1,7
599286587881607169,2015-05-15 18:53:51,It’s a national embarrassment that the US has fallen so far behind when it comes to investing in our #infrastructure,8,17
599286489286049792,2015-05-15 18:53:27,I'm in #Hartford calling on Congress to boost rail safety &amp; infrastructure funding for @Amtrak’s Northeast Corridor http://t.co/B6S0uRCUky,21,29
599278436197212160,2015-05-15 18:21:27,"RT @MaxReiss: ""No matter what @SpeakerBoehner says, a cut in funding to Amtrak jeopardizes people's lives."" @ChrisMurphyCT",7,0
599267962646884352,2015-05-15 17:39:50,One of the most important things Congress can do is put pressure on colleges to bring down the cost of a degree. http://t.co/GJaV4vpoBi,6,7
599266761842765826,2015-05-15 17:35:04,Honored to be a part of today's 66th Armed Forces Day Luncheon in #Southington to thank local vets for their service http://t.co/qoKipTeO5Y,4,4
599239348647645184,2015-05-15 15:46:08,RT @RebeccaShabad: .@ChrisMurphyCT says he plans to ask FTC &amp; DOJ about airlines possibly price gouging travelers whose #Amtrak trains were…,5,0
599234538787741696,2015-05-15 15:27:01,We can lower the cost of college by prioritizing innovation &amp; tying federal funding for colleges to affordability &amp; student outcomes,1,5
599234426673995776,2015-05-15 15:26:35,Today I'm introducing the College Affordability and Innovation Act which will help curb rising college costs http://t.co/pxge93GsUB,7,10
599232498720079872,2015-05-15 15:18:55,RT @FoxCT: Sen. Murphy to unveil college affordability bill http://t.co/fcf7KeVbsU @ChrisMurphyCT http://t.co/fyGMUSz2QX,4,0
598972912322813952,2015-05-14 22:07:25,RT @NanaSajaia: The Georgian Association honoring Senator Chris Murphy for his support to Georgia http://t.co/5XyStB9pbz,2,0
598950498201378817,2015-05-14 20:38:21,Congrats to my friends at @CowPots who were recently recognized for their sustainable farming practices: http://t.co/xSh0u9NWPT,2,4
598921045488246784,2015-05-14 18:41:19,Stats like this make it abundantly clear - foster youth need better support to avoid the #juvenilejustice system https://t.co/9IHNdm82YJ,4,1
598882628335497216,2015-05-14 16:08:39,"Exciting things happening at @mysticseaport, as they unveil plans for a modern new exhibition hall: http://t.co/WQf7GYeA3i",10,5
598818305370128385,2015-05-14 11:53:04,Congrats to #Guilford's own @nickfradiani on becoming the next @AmericanIdol,10,18
598602703397347328,2015-05-13 21:36:20,RT @OutFrontCNN: NTSB: We're very keen on positive train control. Had this system been in place this accident would not have occurred. http…,17,0
598602588678914049,2015-05-13 21:35:53,NTSB confirms that train was going 100+ mph. Reinforces need to invest in Positive Train Control technology to prevent human error disasters,12,6
598582068147298306,2015-05-13 20:14:20,Great news - last year I encouraged @SCSUtweet to become a tobacco-free campus. Today they announced that they will: http://t.co/ffNJWFkcZx,4,9
598566219629907968,2015-05-13 19:11:22,"I introduced a bill today that gives people an easy way to judge whether they are saving enough, empowering them to make smarter decisions",2,5
598566145097125889,2015-05-13 19:11:04,I've heard from countless CT families concerned about saving for #retirement. Many people find out too late they haven’t saved enough.,2,1
598566110171164673,2015-05-13 19:10:56,"RT @SenMurphyOffice: Isakson, Murphy introduce bill to help Americans prepare for retirement http://t.co/k6g3Brxf49",4,0
598556581685432320,2015-05-13 18:33:04,"The Affordable Care Act is meant to help everyone, even those who oppose it. Luis's situation is preventable: http://t.co/aBT58lPqnz",2,3
598547611344310272,2015-05-13 17:57:25,It shouldn't take a fatal crash for Congress to finally act on critical @Amtrak updates. http://t.co/zFMTZLzSgR,18,10
598542084447064064,2015-05-13 17:35:27,Patient admitted to UConn Health Center is at low risk for #Ebola. Hospital activating protocol as a precaution: http://t.co/ZfkJJmBvvW,2,1
598496685333950466,2015-05-13 14:35:03,"#ICYMI, @iamjohnoiliver's takedown of the U.S. maternity leave policy should make us feel ashamed: http://t.co/TPFMaokHU9",2,5
598496499929108480,2015-05-13 14:34:19,RT @SenMurphyOffice: Murphy statement on fatal Amtrak train derailment in Philadelphia http://t.co/L4nuqhRcsd,2,0
598494204910817281,2015-05-13 14:25:12,Officer Brian Moore of the #NYPD is one of 86 people a day who are killed by guns. Many of these deaths are preventable.,2,1
598493362405154817,2015-05-13 14:21:51,Heading to the Senate floor now to talk about the #VoicesofVictims of gun violence. Watch live here: http://t.co/Pwqoigw2nX,5,3
598487123059019776,2015-05-13 13:57:04,#Bangladesh should condemn the brutal murder of secular blogger Ananta Bijoy Dash &amp; bring his killers to justice: http://t.co/QKcaIi1F9Z,1,2
598319953943666688,2015-05-13 02:52:47,My thoughts &amp; prayers are with those affected by the #Amtrak derailment in Philly. Grateful for the work of brave first responders on scene.,33,56
598245538400632832,2015-05-12 21:57:05,A new aspect of the humanitarian disaster in #Yemen - the prevalence of child soldiers. Ceasefire must begin now: http://t.co/lrYGaYewwn,2,3
598239208076115968,2015-05-12 21:31:56,More than 2/3 of American moms are in the workforce. Policies like paid family leave &amp; equal pay are long overdue http://t.co/xt5smS9ctI,6,5
598232692216369152,2015-05-12 21:06:03,Alarming report on the treatment of inmates w mental illness. Incarceration is not a substitute for care:  http://t.co/WJc1iCEGEv,2,5
598222647755812864,2015-05-12 20:26:08,Report from murdered oppo. leader #Nemtsov shows Russia spent over a billion dollars sending fighters to #Ukraine: http://t.co/cr8KBHxDES,4,3
598214913862021120,2015-05-12 19:55:24,1 in 5 #MillennialParents live in poverty. It's time to enact policies like #PaidSickDays that support young families.,4,1
598214763752136704,2015-05-12 19:54:48,"This morning I joined @YoungInvincible, @PattyMurray &amp; @SenatorBaldwin to call for support for #MillennialParents http://t.co/rmaxw2Gzo7",3,1
598205056534618114,2015-05-12 19:16:14,It's a great day for #gunsense in Oregon https://t.co/Duphid5kec,8,7
598204649846480896,2015-05-12 19:14:37,Thanks for coming in to meet with us to share your stories.  https://t.co/Cyyri0Zdhl,0,3
598195550685667328,2015-05-12 18:38:27,Hope that @JohnKerry's meetings in #Moscow result in substantive progress on #Ukraine and #Syria conflicts,0,8
598183917624098816,2015-05-12 17:52:14,"Adult criminals arrive for trial in suits, but kids who steal gum remain shackled in the courtroom. This is wrong: http://t.co/JOPNY1rLam",4,4
598166500269228033,2015-05-12 16:43:01,CT's 39K #Polish speakers should have access to financial education. I'm urging @FDICgov to translate materials into Polish @LittlePolandNB,1,2
598166463904653312,2015-05-12 16:42:53,RT @SenMurphyOffice: Murphy urges FDIC to offer financial literacy documents in Polish http://t.co/gaO7hsttPN,1,0
598146839653838850,2015-05-12 15:24:54,"What does holding out for a ""better"" #IranDeal get us? History has a good example - North Korea: http://t.co/D0MpQCYWy6",3,1
598131835265261568,2015-05-12 14:25:16,RT @cpostolowski: @ChrisMurphyCT: workers shouldn't lose their jobs if their child gets sick @YoungInvincible #MillennialParents http://t.c…,2,0
598130456194895875,2015-05-12 14:19:48,RT @YoungInvincible: Sen. @ChrisMurphyCT: #MillennialParents shouldn't have to chose between food on the table and Christmas presents durin…,2,0
598112659947397122,2015-05-12 13:09:05,It's time to eliminate barriers to employment and #BanTheBox for job-seekers. Everyone deserves a #FairChance: http://t.co/eyv89uOTSm,5,2
597895729110122496,2015-05-11 22:47:04,Proud to have worked with Tom Gray and the Pentagon to finally bring these WWII sailors' remains home: http://t.co/L7RjRvp6GA,4,6
597890650193981440,2015-05-11 22:26:53,"I got the chance to visit The Lighting Quotient last week &amp; saw firsthand their commitment to innovation, research &amp; employee growth",0,2
597890585467432960,2015-05-11 22:26:38,"While TLQ's products are used globally, they are committed to US manufacturing, using local materials &amp; working with over 100 CT companies",0,2
597890531591598082,2015-05-11 22:26:25,"Today's #MondayManufacturer is The Lighting Quotient of #WestHaven, a 2nd generation family-owned manufacturer since 1977",1,3
597885380432699392,2015-05-11 22:05:57,People deserve to be judged on their current merits not their past wrongdoings. Banning the box will help us do that https://t.co/Fvlzf1yD7U,4,5
597862263987576833,2015-05-11 20:34:06,"It's National Women's Check Up Day - schedule your yearly well-woman visit, which is w/o a copay bc of the ACA. #ACAworks #CheckUpForWhat",0,2
597842974274387968,2015-05-11 19:17:27,A2: I'm planning to introduce two bills to help make college more affordable &amp; ensure that colleges are held accountable #MillennialMon,8,7
597842839465271298,2015-05-11 19:16:54,"A2: Student loans are weighing heavier on this generation than any before, thanks to the rising costs of college education #MillennialMon",9,4
597842465501147136,2015-05-11 19:15:25,RT @YoungInvincible: Q2: Why are #MillennialParents so impoverished? Aren’t they more educated? #MillennialMon,11,0
