id,created_at,text,retweets,favorites
600286928416731136,2015-05-18 13:08:51,Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,141,75
596721990872014848,2015-05-08 17:03:03,"Sec. @PennyPritzker, @SteveBenjaminSC &amp; I w/ reporters discussing importance of trade &amp; exports to SC's businesses. http://t.co/98cLrQxXuz",12,4
595983020303192065,2015-05-06 16:06:39,"As a former school teacher, I know education is the most important ingredient in the lives of our youth. #NationalTeacherAppreciation Week",17,10
595963152531103745,2015-05-06 14:47:42,"During #NationalTeacherAppreciation Week, remember to #ThankATeacher. Education must never be sacrificed on the altar of austerity.",12,3
594182283688554498,2015-05-01 16:51:10,Difference b/t a moment &amp; a movement is sacrifice. Read about my new bill to honor a true hero of the movement: http://t.co/raIP1N8LLO.,10,5
593198258480128001,2015-04-28 23:41:00,I am pleased to see the Lowcountry of SC has been given the designation of Promise Zone by the Obama Administration http://t.co/joJT3RyOae,11,7
590946737734471680,2015-04-22 18:34:16,"Click here http://t.co/asRuSgSMgd to read my op-ed, ""A Half Century's Legacy at a Crossroads"" in @HuffingtonPost.",7,4
590263482383216640,2015-04-20 21:19:15,"Congrats to @postandcourier on #Pulitzer for #tilldeath, on the disgraceful reality of domestic violence in SC that must be fixed",18,20
588441797933793280,2015-04-15 20:40:32,National Golf Day @wearegolf #NGD15 http://t.co/fiu6zkjiwZ,7,3
588438467081809920,2015-04-15 20:27:17,"pleased to attend @wearegolf National Golf Day event in support of youth golfing and golf industry. For the record, I made the putt #NGD15",11,10
585905215024590849,2015-04-08 20:41:03,Thanks so much to @mitchellreports for having me on her show today.  Here’s the link: http://t.co/fFtxWVdR4d,9,5
582647937613844480,2015-03-30 20:57:48,"RT @CAPAction: As of today, Loretta Lynch has waited longer to be confirmed than the last seven AGs combined. #ConfirmLynch http://t.co/LrP…",169,0
582271548230258688,2015-03-29 20:02:09,Congratulations to @GamecockWBB and @dawnstaley on their win today. They are now onto the Final Four. #goodluck,8,8
581493123597148160,2015-03-27 16:28:58,Congrats to my good friend @SenatorReid on a great career fighting for working ppl. We will miss you in Congress; ur legacy will long endure,22,22
580110614858727424,2015-03-23 20:55:23,"On the #AffordableCareAct's 5th anniversary, we celebrate the law that made health care a right for all, not just a privilege for the few!",16,9
578656329360887808,2015-03-19 20:36:34,Proud to join @RepJohnLewis @WhipHoyer @RepJohnConyers @RepBrady as original cosponsors of the Voter Empowerment Act http://t.co/1VHYwNA5Gd,11,14
578268854775902208,2015-03-18 18:56:53,"RT @SpecialOlympics: Great to see our friend from South Carolina, Rep @Clyburn! Thanks for having Rachell &amp; the @sosouthcarolina team! http…",14,0
577623629283864576,2015-03-17 00:12:59,"RT @HHSGov: #ACAisWorking To date 16.4M uninsured people have gained health care coverage, a historic reduction in the uninsured. http://t.…",54,0
577577742830567424,2015-03-16 21:10:39,RT @SenatorDurbin: Why has the Senate waited so long to confirm such an excellent choice for our next AG? A vote to #ConfirmLynch is overdue,61,0
577467017072095233,2015-03-16 13:50:40,"John Rainey was a good friend, a compassionate human being, an ardent practitioner of the Golden Rule.",8,1
577149575992991745,2015-03-15 16:49:16,"Saddened to hear the news of John Rainey's passing. He was a good friend, a compassionate person &amp; an ardent practitioner of the Golden Rule",3,0
576415750933622784,2015-03-13 16:13:18,I enjoyed discussing educational issues with SC Superintendent @molly_spearman today. Our children are our future. http://t.co/94UmIwp3rJ,6,3
576123376395280386,2015-03-12 20:51:31,Loretta Lynch has waited too long to be our next AG. RT if you agree that Sen McConnell should schedule a vote to #ConfirmLynch.,109,24
576094539523473408,2015-03-12 18:56:56,Loretta Lynch is more than qualified to be our next AG. RT if you agree the GOP should end the games &amp; schedule a vote to #ConfirmLynch,112,32
575643873625645057,2015-03-11 13:06:09,"Inspired by #Selma50, we recommit to the fight for equality &amp; work to defeat barriers to the ballot box. @SpeakerBoehner, let's renew #VRA!",147,80
575474555717709824,2015-03-11 01:53:20,My op-ed on Reflections on Selma can be read in @HuffingtonPost . Read it here: http://t.co/Z9aJrCOiyT.,13,12
575320683305156608,2015-03-10 15:41:54,RT @repjohnlewis: We commemorated the 50th annv of Bloody Sunday. Now it's our responsibility to fix SCOTUS decision that put a dagger in t…,566,0
575022710306267136,2015-03-09 19:57:52,Congress must restore the VRA and tear down unnecessary barriers to the ballot box.,22,16
574978667652251649,2015-03-09 17:02:51,Proud to stand on the right side of history for unfettered access &amp; greater participation in our democracy. #VotingRights,8,11
574962626914050049,2015-03-09 15:59:07,"50 yrs after Selma, the struggle b/t those that want to limit access to the ballot box &amp; those that want to expand it continues.",13,10
574631681518235648,2015-03-08 18:04:03,I was honored to be on the Edmund Pettus Bridge yesterday during the #Selma50 anniversary - here w/ @repbenraylujan. http://t.co/kGsaFxEe4V,18,25
