id,created_at,text,retweets,favorites
583773418115342336,2015-04-02 23:30:03,Always happy to see 11th district athletes succeed. Send Davene #Carter of @tarletonstate to the #CollegeSLAM Championship!,6,3
582623704322031618,2015-03-30 19:21:30,RT @GOPLeader: Met with Ukrainian President @poroshenko and expressed continued support for the people of #Ukraine. http://t.co/MP5wSO87we,62,0
580408048797237248,2015-03-24 16:37:16,"Kelsey, one of my interns in Midland, has a truly incredible story. Watch @Big2News's interview with her here: http://t.co/AmJfIrOkQo",4,3
571010758965903361,2015-02-26 18:15:48,RT @HouseAgNews: Tune in LIVE at 1pm ET and watch Nutrition SubCmt Chair @RepWalorski lead the review of #SNAP http://t.co/SwN2UhHaAg http:…,6,0
568040613356003328,2015-02-18 13:33:30,Talking to Craig Anderson on KWEL this morning. Turn on your radio to listen live! http://t.co/cNtGzJ3g6D,4,1
567781883119824896,2015-02-17 20:25:24,"Stopped by @newswest9 this afternoon to talk about immigration, obamacare, and the fight against ISIL http://t.co/vYQH1RWNxr",6,4
566219480884609024,2015-02-13 12:56:58,RT @cspanwj: Rep. Mike @ConawayTX11 (R) talks with us about Pres. Obama's #AUMF proposal to fight #ISIS. http://t.co/pVJ3wBltGm,8,0
566217098654146561,2015-02-13 12:47:30,"I'll be on @cspan in just a few min to talk about U.S. relations with Russia, Ukraine, &amp; the fight against ISIL. Tune in to watch live!",4,1
565533948680613888,2015-02-11 15:32:55,TUNE IN NOW: @DeptAgNews Secretary Vilsack testifying before @HouseAgNews http://t.co/Fqj073vpuS,5,0
562334459941621763,2015-02-02 19:39:17,Thank you @GovAbbott for declaring today #ChrisKyleDay to honor the memory of this American hero &amp; all his sacrifices for this country.,11,8
560910581754908674,2015-01-29 21:21:18,"The Senate voted to approve construction of #KeystoneXL. Mr. President, it's time to listen to Congress. It's #TimetoBuild the #KXLPipeline",11,3
557936491272228864,2015-01-21 16:23:20,What did you think of the #SOTU address last night? Read my full response to the President's speech here: http://t.co/sM94tclgqZ,4,1
552591672622993409,2015-01-06 22:24:56,"RT @USNatArchives: 70 years! Happy #anniversary to George and Barbara Bush, longest-married President and First Lady #wedding #TDiH http://…",245,0
545273436176941056,2014-12-17 17:44:52,The agreement announced today is a poorly negotiated deal for America and for the #Cuban people. The Committee will review this next year.,4,0
534413549658202112,2014-11-17 18:31:33,Time to act on the #KeystoneXL Pipeline. House has passed 9 bills authorizing construction of the #KeystonePipeline http://t.co/ZekbyL1bDF,6,4
530785575893479424,2014-11-07 18:15:17,#Lamesa #Cotton Day. A great day with the farmers and the men &amp; women at the King Mesa Gin. #Agriculture #johndeere http://t.co/U8I0hxaG9k,2,3
529386453277474817,2014-11-03 21:35:40,@PCGNews @TexasFarmBureau &amp; Lames Cotton Growers put together a #Cotton Field Day in #Lamesa #Texas on Friday http://t.co/n1ry8Sm1bl,0,0
528258760301887488,2014-10-31 18:54:37,I want to welcome @giancarloCFTC to Twitter. I also want to see a picture of his '73 Buick Convertible.,0,0
528252121658163201,2014-10-31 18:28:14,"""Our Constitution was made only for a moral and religious people."" #JohnAdams http://t.co/oqIiYDcddz",5,2
528251590600577025,2014-10-31 18:26:08,"""Swim or sink, live or die, survive or perish, I am with my country. You may depend upon it."" #JohnAdams http://t.co/saAqLpfKz7",0,3
522840720760004609,2014-10-16 20:05:16,#TBT Photo from 2007 with #SanAngelo #Marine Sarah Ford in Afghanistan  She now owns #RanchRoadBoots http://t.co/8uXgyY9zsL,2,5
522435171455623168,2014-10-15 17:13:45,"On this day in 1942, the Japanese executed Dean E. Hallmark, an #DoolittleRaid hero &amp; Robert Lee #Texas native. http://t.co/o71pcOku42",5,1
522367195754807296,2014-10-15 12:43:39,"“I’m unpersuaded with the reasons they’ve told me so far why they can’t get this done.” #APH #CropInsurance #FarmBill
http://t.co/HwCO25oqh6",3,1
519145153555365888,2014-10-06 15:20:24,"#USDA needs to implement #APH 
High Risk and ""Crazy High"" Premiums for #Texas #farmers #CropInsurance #FarmBill 

http://t.co/hdRbcUFPvL",2,2
517754961254678529,2014-10-02 19:16:16,#Texas Revolution began on this day in 1835. #ComeAndTakeIt cannon was used to fire the first shot. http://t.co/19IAIgLdAK,8,5
517332316205494272,2014-10-01 15:16:50,RT @TexasWheat: Wheat growers sign up for insurance policies today without the APH adjustment in the #farmbill. Hope RMA can find a way to …,7,0
516961684968448000,2014-09-30 14:44:05,"An #AmericanHero, a Marine's #Marine will be laid to rest in #ArlingtonCemetery today https://t.co/OedxtiFoUS http://t.co/e8EdOiJNBF",1,1
515573628902313985,2014-09-26 18:48:26,#OldYeller Days in #MasonTexas tomorrow.  Great event in the hometown of Old Yeller author Fred Gipson. http://t.co/XwsPXSXis4,0,0
515505006624382976,2014-09-26 14:15:45,#EricHolder has run roughshod over the law. Effort to get answers from him will not end with his #resignation. http://t.co/4eMeor5rxU,1,1
514835876493668352,2014-09-24 17:56:52,Great meeting with #MartinCounty #Texas #Cotton Growers.  #USDA needs to implement #APH as directed in the #FarmBill http://t.co/wfAQ0fXoJK,4,0
514149112199913473,2014-09-22 20:27:55,"""I only regret that I have but one life to give for my country."" Nathan Hale http://t.co/WppQC2uZTq",0,2
510486766768644096,2014-09-12 17:55:04,Record breaking #watermelon grown by the Hodges family in #DeLeonTexas in #TX11 Tipped the scales at 246 lbs http://t.co/S2SSUTAwk0,3,3
510084275996483584,2014-09-11 15:15:42,The investigation of what happened in #Benghazi will continue until every question is answered. http://t.co/oe24B0nJyY,1,0
510062169304875008,2014-09-11 13:47:52,Never forget the sense of visceral horror we all had on as we witnessed the events of 9/11 #September11 http://t.co/IvfNxT7GJN,2,1
509790094384189441,2014-09-10 19:46:44,"RT @RepKevinBrady: IRS Commissioner John Koskinen - ""“Wherever we can, we follow the law.” http://t.co/pJV2gGgUMc",41,0
509759431471808512,2014-09-10 17:44:53,"#Miles #Texas #Cotton Festival this Friday &amp; Saturday
http://t.co/BmLelHRnDX http://t.co/MBd62XHYSw",0,1
509456568975626240,2014-09-09 21:41:25,#Netanyahu It was a honor to meet the Israeli Prime Minister last week http://t.co/xetlBCzti1,1,2
509415949800570880,2014-09-09 19:00:01,Voting for a resolution that condemns the President for failing to notify Congress.  #USSecurity,1,1
509415516201840640,2014-09-09 18:58:18,Voting for a bill that would block the EPA's attempt to seize control of bodies of water that are under local &amp; state sovereignty #EPA,2,1
509048323102498818,2014-09-08 18:39:12,@USDAFoodSafety will be hosting two #FoodSafety webinars on 9/10 &amp; 9/17. Register @ http://t.co/nqIT6zFyYN #foodsafetymonth,0,0
509048044730716160,2014-09-08 18:38:06,September is #foodsafetymonth Register @ http://t.co/nqIT6zFyYN to hear from microbiologists &amp; food safety experts,0,0
507627800199565312,2014-09-04 20:34:33,"#tbt  to1895 William Carrol Crawford, last surviving signer of the #Texas Declaration of Ind died in #ErathCounty http://t.co/XdGGIYMHR8",0,1
507177150156648448,2014-09-03 14:43:50,#Brady #Texas is the #HeartOfTexas It is is the town that is closest to the geographic center of Texas. http://t.co/Eiahjp1xmu,0,0
506830801166934016,2014-09-02 15:47:34,"#TexasA&amp;M #AgriLife 41st annual #Sheep and #Goat Field Day on Sept 4th:
http://t.co/UYz8rdUaEX http://t.co/Je7DX8NPmO",0,1
504349578356076546,2014-08-26 19:28:04,#Notrees #Texas Because the town's 1 tree had been cut down while building a gas plant the town was named Notrees http://t.co/bz9xhOih8y,2,2
502887464261156864,2014-08-22 18:38:09,GAO report: Obama Admin broke the law when they failed to inform Congress about the release of 5 GITMO detainees http://t.co/rh4tty78WU,1,2
502864919843602433,2014-08-22 17:08:34,"Adam &amp; Lisa, our interns from #TarletonState have done a great job for the residents of the 11th District. http://t.co/qlldBqmOHk",0,2
502543855104061443,2014-08-21 19:52:46,"#KLST in #SanAngelo came out to my town hall in #Bronte It was a great event &amp; I appreciate them covering it
https://t.co/4LIWWYfTFG",0,0
502505193125449728,2014-08-21 17:19:08,"#tbt ""The Junction"" in my life.  #MOJO #PermianPanthers
https://t.co/Ob0D09pRra",1,0
492330125611261952,2014-07-24 15:27:03,#criticaldroughtrelief @HouseAgNews Chairman @RepFrankLucas &amp; I keep pushing the USDA on APH for crop year 2015 http://t.co/rE9D53AZdF,0,1
492324409970266112,2014-07-24 15:04:20,@HouseAgNews Chairman @RepFrankLucas Lucas did is urging the USDA to implement APH for the 2015 Crop Year.  He is spot on. #farmbill,1,2
491665542554845184,2014-07-22 19:26:14,"On the morning of July 21st, the Fort Hood-based #21stCavalryBrigade #21stCav thanked West Texas for its support. http://t.co/vSyMMnqaeR",0,2
489850097078128640,2014-07-17 19:12:18,#NationOfGivers voted for a bill that helps organizations like Rust St. Ministries  get the resources they need http://t.co/RPD9Yj2BCe,1,0
486602983883694080,2014-07-08 20:09:26,#CreatingJobs #SmallerGovernment https://t.co/ZhrdQau3xL,1,2
486564792933810177,2014-07-08 17:37:41,The Obama Administration should follow the #Texas model to strengthen our nation's economy. https://t.co/0OTNsEYiK8,2,0
484729236956413952,2014-07-03 16:03:50,Tragic accident in Comanche.  4th of July events are cancelled.  They are in mine &amp; Suzanne's prayers.,1,1
482538264881287169,2014-06-27 14:57:42,#ImperialPresidency https://t.co/z7SrrDMi2y,0,0
482245804057714688,2014-06-26 19:35:34,"#prisonerswap I am a co-sponsor of House Resolution 644.
https://t.co/YdVfPS3a05{%22search%22%3A[%22hres644%22]}",2,2
482159244155035650,2014-06-26 13:51:36,#OdessaHighSchool #CongressionalBaseball Game http://t.co/xkcUURkQUM,1,0
481545471706791936,2014-06-24 21:12:41,#naturalgas #exports https://t.co/yZSo8l4xPm http://t.co/3QSCx5PM02,1,2
481530883313115137,2014-06-24 20:14:43,#CustomerProtection #CFTC http://t.co/3C0yjU5Xzq,0,0
481527120628568064,2014-06-24 19:59:46,"RT @PEGCCouncil: Everything is bigger in Texas, including #PrivateEquity investment. TX ranked #1 in annual rankings w/$87.4 billion. http:…",7,0
481081463761563648,2014-06-23 14:28:53,"#PayDay, Dublin's got you covered. Every peanut on every #PayDay anywhere in the world is roasted in Dublin, TX. http://t.co/VFaIgkhMSO",2,1
480019721400909824,2014-06-20 16:09:54,RT @SpeakerBoehner: RT if you agree: Pres Obama should immediately deploy the National Guard to our southern border. http://t.co/EVWCyYfvc4,268,0
