id,created_at,text,retweets,favorites
601145460582195200,2015-05-20 22:00:21,RT @TommyForHealth: @CongressmanDan Thank you for sponsoring the Treat and Reduce Obesity Act!,1,0
601145263093325824,2015-05-20 21:59:34,"RT @RepSinema: Introduced a bill w/@CongressmanDan requiring VA to act on warnings about its failures, ending bonuses for bad mgmt.  http:/…",4,0
601141642322644993,2015-05-20 21:45:10,"Last night, I tuned in to #TheVoiceFinale to watch @joshuadavis77 from #TraverseCity perform.  Well done, Josh! http://t.co/pKkuZBhd5y",1,1
601075388274626560,2015-05-20 17:21:54,"Today, I will introduce the Demanding Accountability for Vets Act. When vets don't recieve care, there must be consequences! #veterans",1,0
598912481826873344,2015-05-14 18:07:17,RT @deichinger1: Michigan sportsmen have a great friend in @CongressmanDan. Great meeting today on wolves and public access with @NWFGreatL…,1,0
598873067608211456,2015-05-14 15:30:40,"Yesterday, I met with @MIPOAM during #NationalPoliceWeek.  If you see a cop this week, say thanks! http://t.co/9ySJpvfK9K",1,1
598563981540876288,2015-05-13 19:02:28,COOL standards will have a huge impact on MI.  Read my op-ed: http://t.co/hnLWj0G9bv http://t.co/oWhH7clPGn,9,4
596676229480189952,2015-05-08 14:01:13,".@joshuadavis77 is making #TraverseCity and Northern Michigan proud with his performance on #TheVoice.  Congratulations, Joshua!",2,6
596354237434585088,2015-05-07 16:41:44,"Today is the Vets Assistance Fair in #SaultSteMarie! If you are a vet who needs help w benefits, come by the National Guard Armory before 2!",2,0
595966710735331328,2015-05-06 15:01:51,This week I visited the @USGS Hammond Bay Biological Station.  They are doing great work to fight #InvasiveSpecies! http://t.co/4F7szUzZ6v,4,2
595336613753946113,2015-05-04 21:18:04,"It's #SmallBusinessWeek across the country. If you own or work at a small business in #MI01, send a photo to MI01photos@mail.house.gov!",3,1
593525052550750208,2015-04-29 21:19:34,RT @mihumanities: #POL15 @CongressmanDan Michigan State Champion Coral Brantly with Congressman Dan Benishek this morning in DC. http://t.c…,4,0
593506672867311616,2015-04-29 20:06:32,RT @DoubleRVideo: Thx @CongressmanDan for participating in NAB's Congressional PSAs on Supporting Our Troops https://t.co/PqrdI1wdc3 … @Bro…,1,0
593432923216420864,2015-04-29 15:13:29,RT @ama_rights: .@CongressmanDan AMA Champion #AMARights http://t.co/MVK5IxFMPO,3,0
590945013334441985,2015-04-22 18:27:25,RT @HouseAgNews: #HBD to #HouseAg member @CongressmanDan! Glad to have him on the Cmte. MI-01 has over 1.1 mil acres in #farm land http://t…,6,0
590938210240454656,2015-04-22 18:00:23,"If you see a veteran, be sure to say thank you! It was great to see U.P. Vets from the Honor Flight today! http://t.co/JQnUf5EOJ2",1,2
588348215373758465,2015-04-15 14:28:40,"This morning I met with Patrick Parker, the Chief of the Grand Traverse Metro Fire Department! http://t.co/PlmPjTQjxe",2,3
588336378859167744,2015-04-15 13:41:38,RT @nannburke: .@CongressmanDan backs bill to research toxics’ exposure for children of veterans: http://t.co/nCq5YUJMKJ @detroitnews,2,0
587627737424224256,2015-04-13 14:45:44,RT @yoopphoria: Even Congressmen Benishek loves our yogurt! @CongressmanDan #froyo #loveyoop http://t.co/W3tmgmqkeC,2,0
581117897428361216,2015-03-26 15:37:58,"It was great to meet with Scott Newman-Bale, the President of Business Development @ShortsBrewing in Elk Rapids! http://t.co/VDNae1tsOo",4,0
581116748302323713,2015-03-26 15:33:24,Protect grandma. Save Medicare. http://t.co/poHxxCR6cA,3,2
578909027704414209,2015-03-20 13:20:42,RT @lauradianeappel: .@PennockHealth CEO Sheryl Lewis Blake with @CongressmanDan. Thanks for a thoughtful meeting. #stophospitalcuts http:/…,4,0
578908953943388160,2015-03-20 13:20:24,RT @michpca: Thank you @CongressmanDan for supporting Health Centers by signing Bilirakis-Green #fqhc letter #AccessIsTheAnswer #FixTheCliff,1,0
572771870191316992,2015-03-03 14:53:50,"RT @CareAdvocacy: .@CongressmanDan visiting Christian Park Village in Escanaba, MI http://t.co/gloNFEArzZ",5,0
572416095828779008,2015-03-02 15:20:06,#AsianCarp would be devastating to the Great Lakes.  We must act now to prevent their spread http://t.co/bKGdFVzpSU.,6,3
570615415346503681,2015-02-25 16:04:51,H.R. 529 will allow computers to be included as a covered education expense. http://t.co/bKull6tHaH,3,0
568157300701200384,2015-02-18 21:17:10,RT @EmilyRissman: Great turn out for @CongressmanDan #Veterans Assistance Fair in Cheboygan. @MIVeteran http://t.co/5mvFQWUVPZ,5,0
568072488103616513,2015-02-18 15:40:10,RT @GaylordMichigan: @CongressmanDan  stopped by for a visit today!  #GaylordMichigan http://t.co/09FvcovneE,3,0
565159228789510144,2015-02-10 14:43:54,RT @ASAGrassroots: Thank you @CongressmanDan for meeting with members of ASA this week. #FollowFriday #FF http://t.co/U2R8NIXZ0w,5,0
563100767666851840,2015-02-04 22:24:19,RT @MichFarmBureau: New Michigan #FarmBureau President Carl Bednarski gets acquainted w/ @CongressmanDan Benishek in DC &amp; talks farming htt…,4,0
563065901814407168,2015-02-04 20:05:46,"The last time we updated our #EmailPrivacy Laws, I looked like this! #ECPA http://t.co/z6l3t0e0mJ",6,5
562637932365086720,2015-02-03 15:45:11,RT @AllisonScottTV: Congressional Snowmobile Ride with @RepHuizenga &amp; @CongressmanDan stop at Benzie Manistee Snowbirds @upnorthlive http:/…,10,0
562637867382743040,2015-02-03 15:44:55,RT @MichFarmBureau: Congrats @CongressmanDan &amp; @RepMoolenaar on assignments to many agriculture subcommittees. Good for MI farming! http://…,2,0
560836287587184640,2015-01-29 16:26:05,Small businesses like the Country Dairy Farm Store are the foundation of our economy.#TheRide2015 @RepHuizenga http://t.co/5TPvE3CJGp,4,2
560830099717906432,2015-01-29 16:01:30,Stopped by a VFW post to hear what vets have to say about how to improve services to our nation's heroes.#TheRide2015 http://t.co/vmV4WwG7AN,1,1
560826957269856256,2015-01-29 15:49:00,Just called to congratulate Gunnar Carlson on his appointment to West Point Military Academy. Back to #TheRide2015! http://t.co/FPORtoWciB,1,4
560818715764461568,2015-01-29 15:16:16,#Veterans issues are a priority for me. @RepHuizenga and I are meeting with vets to discuss their issues #TheRide2015 http://t.co/REQy7hNJv0,1,2
560508744078217216,2015-01-28 18:44:32,RT @rollcall: Michigan's @CongressmanDan &amp; @RepHuizenga are off on their 2nd annual congressional snowmobile trek: http://t.co/z9pKTv0oC4 @…,6,0
560449886366494720,2015-01-28 14:50:40,RT @HouseGOP: RT if you agree it's time to #EndTrafficking. http://t.co/7UWvy3GIbV,84,0
557990652412444672,2015-01-21 19:58:33,"Today in the House, we'll look at a bill that will lower energy prices across the country. #AmericasNewCongress http://t.co/S3w2mE0eOM",5,3
557645805134565376,2015-01-20 21:08:15,"Tune in to the #SOTU tonight, and stay tuned for the Republicans Address by @joniernst.",4,1
557635145487093760,2015-01-20 20:25:53,"Tonight, we'll hear from the President – and hopefully he wants to work with us to find solutions.",3,2
555376280133464064,2015-01-14 14:49:58,RT @healthylakes: Thanks @CongressmanDan for cosponsoring the #GLRI Act of 2015! The Act supports the #GLRI @$300M/yr for 5 yrs http://t.co…,7,0
553615816235950080,2015-01-09 18:14:30,The Great Lakes are vital to our way of life in Northern Michigan. http://t.co/NQSaVlEOZm,4,2
553576581760028672,2015-01-09 15:38:36,"RT @WCMUMike: My conversation w/ @CongressmanDan RT @WCMUNews: Benishek discusses new congress, priorities for next 2 years http://t.co/2WN…",1,0
553315976838914048,2015-01-08 22:23:03,"In Northern Michigan, we know that 40 hours a week is full time work. http://t.co/9pizVdNwXE",1,0
553276301822685185,2015-01-08 19:45:24,RT @thehill: Obama motorcade drives by scandal-plagued VA hospital in Phoenix: http://t.co/yX4nthB1QF,11,0
553199099466768384,2015-01-08 14:38:37,Full time = 40 hours. http://t.co/ywyzm2uYWe,3,3
552919581531336704,2015-01-07 20:07:55,"RT @WCMUMike: Checking in with #Mich. US Reps this week. We'll hear from @RepDanKildee Thurs. on Morning Ed &amp; ATC, and @CongressmanDan on F…",3,0
552889689494282240,2015-01-07 18:09:08,New Congress is in session - and ready to work: http://t.co/G9juiWKi3D,0,0
552884674939609089,2015-01-07 17:49:13,"Veterans have put their lives on the line. In return, we should ensure that they have the opportunity for employment when they return home.",0,2
552862434336444416,2015-01-07 16:20:50,The Hire More Heroes Act is only the beginning of #AmericasNewCongress: http://t.co/Ig0UebOWj7,1,1
552854091706425345,2015-01-07 15:47:41,"I'm proud to co-sponsor this bill in the 114th Congress, and I'm glad to see that this is one of our first priorities http://t.co/zSb2zK4lxQ",2,0
552599288359186433,2015-01-06 22:55:11,RT @BeccahAT2015: Kid bro got his passport today. Big thanks to @CongressmanDan for help getting this worked out. #Japan here we come! http…,3,0
552595907951493120,2015-01-06 22:41:45,"Now we continue the work of improving our economy,  fixing healthcare and ensuring that vets receive the care they've earned. #114thCongress",1,3
552591623511896064,2015-01-06 22:24:44,I was honored and humbled to be sworn in to the #114thCongress today.,0,3
544611082342780928,2014-12-15 21:52:55,Our open house in Alpena today was a great success! Thank you to all who were able to stop by! http://t.co/QV6I6BYZfx,1,1
543483217047994368,2014-12-12 19:11:11,This is great news for Mrs. Kinnunen's family! http://t.co/9AVpmS3p3K,3,0
543152883353800704,2014-12-11 21:18:33,For Christmas we want lower energy costs. That's not so much to ask: http://t.co/ySItMqfjdY,0,0
543127973650780160,2014-12-11 19:39:34,Check out this article on the GLRI bill! http://t.co/Gzyb7LXEUT,0,1
543127900808290304,2014-12-11 19:39:17,The Great Lakes are a critical part of life and the economy up here in MI and we need to continue to preserve them for future generations!,0,1
543127757954506752,2014-12-11 19:38:42,"This week we were able to pass H.R.5764, the Great Lakes Restoration Initiative (GLRI) Act of 2014.",0,1
542691954832986113,2014-12-10 14:46:59,December is a chance for us to remember the amazing work our country has produced: http://t.co/skdh299zGZ,1,1
542362976192565248,2014-12-09 16:59:44,Are you looking for a job in Northern Michigan? Head to http://t.co/0hoVUKY9gZ to search through current job openings! #jobs,1,1
542346977447788544,2014-12-09 15:56:10,We need to educate our young people about all the opportunities that are out there for them to secure good paying jobs right here!,1,0
542346853703233538,2014-12-09 15:55:40,Increasing vocational education in Northern Michigan has been one of my top priorities while in Congress. http://t.co/zuUmPgrLe1,2,0
542048475224223744,2014-12-08 20:10:01,What other spots in Northern Michigan do you think should be on this list?,0,0
