id,created_at,text,retweets,favorites
601391373565104131,2015-05-21 14:17:31,RT @westerncaucus: Western Caucus Chairman @CynthiaLummis &amp; @LamarSmithTX21: House COMPETES Bill Refocuses on Critical Research http://t.co…,1,0
600395575717195777,2015-05-18 20:20:34,RT @BroadlyServing: Thanks to Rep. @CynthiaLummis for filming PSAs on support for troops and #mentalhealth awareness. http://t.co/gUqbyPXYX…,1,0
599332377337438209,2015-05-15 21:55:48,"RT @westerncaucus: @CynthiaLummis NDAA Preserves Military Readiness, Ensures State-Led Conservation of Sage Grouse &amp; Prairie Chicken http:/…",1,0
599332188518273024,2015-05-15 21:55:03,I @RepKevinCramer @RepRyanZinke &amp; @RepAdrianSmith’s amendment keeps ICBMs alert 24/7 to reassure allies &amp; remind enemies America is prepared,1,2
599225633323880449,2015-05-15 14:51:38,RT @RepCloakroom: The Rep. Lummis (R-WY) {@CynthiaLummis} Amendment No. 35 was adopted by voice,2,0
596692463240269824,2015-05-08 15:05:43,#VEDay70 yrs since Nazi Germany’s surrender. WATCH the ceremonies &amp; flyover of the Capitol by WW2 planes here: http://t.co/ERgxchRlDr,5,5
596669145745399808,2015-05-08 13:33:04,RT @bigfootktga: U.S. Congresswoman Cynthia Lummis will join Jim O'Reilly at 8:10 Friday morning to discuss the nursing home... http://t.co…,1,0
595266983857360896,2015-05-04 16:41:23,Congratulations Cloud Peak Middle School from Manderson #Wyoming on making it to the National Science Bowl! http://t.co/LAlG4NR7Xb,2,2
594232486361698304,2015-05-01 20:10:39,@SenatorEnzi ‘s budget we passed in the house balances in 10 years without raising taxes: http://t.co/UOWPtideCy,3,1
594232371932745729,2015-05-01 20:10:12,Passed 1st joint House and Senate Budget Resolution in years thanks to @SenatorEnzi ‘s hard work. http://t.co/UOWPtideCy,2,2
594188863276523520,2015-05-01 17:17:19,It was a pleasure speaking with Georgene &amp; Sophia of #Wyoming while they were in D.C. http://t.co/4nIuydhj4L,2,2
594186163038093312,2015-05-01 17:06:35,@westerncaucus @RepGosar @MikeKellyPA @RepTomReed &amp; I on support for approp’s rider defending state water management http://t.co/LZdE3qFPlq,2,2
594184024047882241,2015-05-01 16:58:05,RT @westerncaucus: Caucus Members Support Energy and Water Appropriations Rider Defending State Water Management http://t.co/tbq6K0uSID,2,0
593102817935622144,2015-04-28 17:21:45,RT @westerncaucus: Sage grouse listing would threaten “readiness of numerous military installations located near the bird’s habitat” http:/…,3,0
591713691189522433,2015-04-24 21:21:52,"Soda ash is in everyday items from detergent to glass to toothpaste. Its industry in #Wyoming employs nearly 3,000 http://t.co/tg29PS6Npd",2,1
591713402944360448,2015-04-24 21:20:43,"Honored to be godmother to the ship ANSAC Wyoming, to name her &amp; activate her first loading of #Wyoming soda ash http://t.co/tg29PS6Npd",2,2
591712537672032256,2015-04-24 21:17:17,"Last week I went to Port of Portland, OR to name &amp; celebrate maiden voyage of a new ship called the ANSAC #Wyoming http://t.co/tg29PS6Npd",0,0
590584733442174976,2015-04-21 18:35:47,"I enjoyed a visit w/ Fawn Bartlett of Cheyenne East High School, Wyoming's Assistant Principal of the year. Congrats! http://t.co/OFGdiZyzvu",4,5
589174626179272705,2015-04-17 21:12:31,"RT @USFWSBirds: 1st place in the Nat'l Junior #DuckStamp Contest went to Andrew Kneeland, of Rock Springs, Wyo.  Congrats! http://t.co/0rh0…",78,0
589160421778710528,2015-04-17 20:16:05,It’s time for an end to the #DeathTax That's why I voted this week to repeal this unfair &amp; ridiculous tax: http://t.co/ZSD1kK1W9K,3,2
589159954487083008,2015-04-17 20:14:13,"This week I voted to repeal a truly unfair tax: the Death Tax, which devastates Wyoming farmers, ranchers &amp; families: http://t.co/ZSD1kK1W9K",2,5
588458360355233792,2015-04-15 21:46:20,RT @westerncaucus: @CynthiaLummis @MarkAmodeiNV2 @RepGosar &amp; @RepStevePearce respond to @forestservice abandonment of Groundwater Rule http…,2,0
587605730615787520,2015-04-13 13:18:18,RT @RepDianaDeGette: Great to run into Rep @CynthiaLummis between innings @Rockies home opener. Photo credit: Susan Kennedy http://t.co/FGO…,6,0
586627326487724032,2015-04-10 20:30:28,Harvard Law Professor Laurence Tribe: absence of @EPA legal authority makes #CleanPowerPlan a “power grab” http://t.co/K87LphD0f2,3,1
586627210523578368,2015-04-10 20:30:00,".@BarackObama ’s Constitutional Law professor: @EPA usurping prerogatives of States, Congress &amp; Federal Courts http://t.co/K87LphD0f2",6,1
586627056944971778,2015-04-10 20:29:24,Harvard professor Laurence Tribe accuses old Constitutional Law student @BarackObama of “burning the constitution” http://t.co/IitBjOxjjO,1,2
581552715555315713,2015-03-27 20:25:46,"House Budget supports Keystone, recommends defunding EPA Clean Power Plan &amp; expands timber and energy production http://t.co/GdmQMl0eUg",6,4
