id,created_at,text,retweets,favorites
601194313226256384,2015-05-21 01:14:28,Happy 25th birthday to the #Hubble Space Telescope. A quarter century of shots like this one. #hubble25 http://t.co/R8bKdA8QCd,94,78
600759433728131074,2015-05-19 20:26:25,"The @FisherHouseFdtn houses the families of service members receiving medical treatment, providing them a ""home away from home.""",19,24
600759121806131201,2015-05-19 20:25:10,"Bill Christiansen, Director of my Vista Office, presents a flag at opening of the Fisher House at @CampPendletonCA http://t.co/6jGEkdf3w8",6,15
600688186034098176,2015-05-19 15:43:18,"Amtrak derailment demonstrates potential value of ""Internet of Things:"" http://t.co/wMkznhXMoh #InternetOfThings #internetofthingscaucus",8,7
600686937205284864,2015-05-19 15:38:20,RT @CuteAnimalsBaby: nom nom nom http://t.co/zjbsSL6xaS,57,0
599285249055596545,2015-05-15 18:48:32,Sam the Dog is enjoying the warmer weather. #FridayPuppy http://t.co/bCmYjg846P,14,47
599264210208563200,2015-05-15 17:24:56,My deepest condolences to the families of the Camp Pendleton Marines lost in Nepal. They truly represent the best America has to offer.,105,96
598973709144166401,2015-05-14 22:10:35,"#ThrowbackThursday with the ""Governator"" @Schwarzenegger more than a decade ago. #tbt #tcot http://t.co/ZLOuNFcuHk",10,17
598195063781470210,2015-05-12 18:36:31,RT @FoundOpenGov: .@DarrellIssa and @SusanWBrooks lead our panel of Congressional experts at #Hack4Congress final presentations http://t.co…,17,0
598194947473420288,2015-05-12 18:36:04,"RT @MelissaAAMedina: ""It's critical to build easy access to government data... We need to be transparent"" - @DarrellIssa #Hack4Congress",15,0
598177429086154752,2015-05-12 17:26:27,What if the typical American family spent like the federal government? #tcot http://t.co/BuKEG7L36j,368,183
597891673721561088,2015-05-11 22:30:57,A special #MothersDay #MilitaryMonday in recognition of the sacrifices made by military parents and their children. http://t.co/yPOXXlA72q,36,46
596426533692186624,2015-05-07 21:29:01,"With warm weather upon us, #tbt to nearly ten years ago. Ice cream party and a seersucker suit! #ThrowbackThursday http://t.co/0fA6EFOxWB",9,37
596039211159007232,2015-05-06 19:49:56,"With breakthroughs like 3D printers, are factories ""the next fertile ground for the #internetofthings?"" @FastCompany http://t.co/OCzDXMiA62",18,18
594198778468540416,2015-05-01 17:56:43,"Today's #FridayPuppy, Raxy, is a certified search and rescue dog and belongs to Stacy, I.T. guru in my D.C. office. http://t.co/H6ifBAKBhP",21,38
593826038574120960,2015-04-30 17:15:35,"I hear the #MayweatherPacquiao fight is supposed to be big, but my money’s still on this guy. #tbt #FightOfTheCentury http://t.co/pQtz5p5m7W",15,50
593517966685143041,2015-04-29 20:51:24,"A tale of two ""recoveries,"" summed up in one picture. #tcot http://t.co/rhZ8p8jYMx",164,81
593160911621349376,2015-04-28 21:12:36,If IRS' priorities were straight the IRS' $11 billion budget &amp; workforce would no doubt stretch a lot further. #tcot http://t.co/nQfxtd9vIi,73,43
593120516443086848,2015-04-28 18:32:05,If the IRS' spending priorities were straight the IRS' $11 billion budget would no doubt stretch a lot further. #tcot http://t.co/pj5RrH032N,127,84
593105099716722689,2015-04-28 17:30:49,"Somehow, IRS Commissioner Koskinen's recent complaints just don't quite add up... #tcot http://t.co/juxquG9SHI",287,132
593096765718568960,2015-04-28 16:57:42,"A self-proclaimed activist A.G., Holder leaves office having failed to adequately respond to numerous investigations. http://t.co/gfJpsjxnOH",98,43
592779089452396545,2015-04-27 19:55:22,Master Sgt. Christopher Nelms crawls under the “Worm Pit” @ the Best Ranger Competition @ Ft. Benning #MilitaryMonday http://t.co/k9LF5AAUwt,28,38
591328494212100096,2015-04-23 19:51:14,#tbt to 1972 and 2007 w/Reps. Klein and LaTourette. We all attended Cleveland Heights High School. #ThrowbackThursday http://t.co/rf7OLhq8EK,18,25
590990333435084800,2015-04-22 21:27:30,I keep jelly beans in my office in honor of Reagan. His favorite was licorice. What's yours? #NationalJellyBeanDay http://t.co/YefMbwwJgp,35,60
590961748049534976,2015-04-22 19:33:54,I was pleased to hear former Lebanese Prime Minister @HaririSaad's vision for a more stable and prosperous Lebanon. http://t.co/F5wN4L199k,64,78
590565944742834176,2015-04-21 17:21:08,RT @CiscoPubPolicy: .@DarrellIssa talks about the internet of things at capitol hill forum w @Cisco cmo @BlairChristie  and panel. http://t…,18,0
590265335116365826,2015-04-20 21:26:37,"During WWII, Bob Klingman used his F4U Corsair's propeller to chop the tail off a Japanese aircraft. #MilitaryMonday http://t.co/1TXwHY7p13",55,54
588794896842121217,2015-04-16 20:03:37,We asked Hillary about e-mails back in 2012. She ignored it. Would her Administration also ignore Congress and the American people? #tcot,228,123
588730797831675904,2015-04-16 15:48:54,Met with Eddie Money today to discuss copyright law. #tbt to 1988: https://t.co/VsUu5ssqLI #ThrowbackThursday http://t.co/n3WgAJ3rXZ,12,17
588461797734100992,2015-04-15 22:00:00,RT @CEA: .@GaryShapiro @DarrellIssa @Humetrix Bettina Experton at #CESOTH http://t.co/uD5WoeD7oA,3,0
588377836047699969,2015-04-15 16:26:22,"“Republicans believe every day is the 4th of July, but the Democrats believe every day is April 15th.” - Ronald Reagan #taxday #TaxDay2015",212,137
588374014663512064,2015-04-15 16:11:11,I asked Hillary Clinton about her personal e-mail in 2012. State finally sent a non-response after she left office: http://t.co/e9ZfusZYi9,170,57
588087837964271616,2015-04-14 21:14:01,"Today also marks the 155th anniversary of the #PonyExpress, which ran all the way from St. Joseph, Missouri to Sacramento, California.",37,29
588017234280329216,2015-04-14 16:33:28,"The manhunt for John Wilkes Booth was one of the largest ever, taking 12 days, and requiring 10,000 federal troops. #lincoln150",30,21
588016404592517120,2015-04-14 16:30:10,"On this day, 150 years ago, Lincoln was assassinated. @HISTORY covers some lesser known aspects of his assassination. http://t.co/h1QDkYwi0b",24,17
587692488137252864,2015-04-13 19:03:02,"A view you don't get every day, even in D.C. Shot from the rotunda of the Library of Congress' Jefferson Building. http://t.co/kvFcAv7WzB",36,61
586236082603347969,2015-04-09 18:35:48,They say fashion goes in circles. Still waiting on that polyester shirt trend to come back around. #tbt to 1979. http://t.co/6kQtfkX7jc,22,67
