id,created_at,text,retweets,favorites
601183295888556035,2015-05-21 00:30:41,Prayers for the family of the Omaha PD Officer Kerrie Orozco who died of wounds sustained in the line of duty. #NeverForget,5,3
601140232688369664,2015-05-20 21:39:34,Was amazing to hear Dawna share her foster care story as part of #DCShadowDay. Every child deserves a forever family. http://t.co/X37lF5DUeq,3,6
601014736105435137,2015-05-20 13:20:54,Such an honor to hear the Matsiko World Orphan Choir at our district office! http://t.co/9RCkrK2CpI,1,3
600761627693154304,2015-05-19 20:35:08,"It was an honor to join @POTUS, @JoeBiden, @BillPascrell, &amp; @SenatorCardin for #BlueAlert signing ceremony: http://t.co/L0ItrMYOtE",2,3
600428712513900544,2015-05-18 22:32:15,Fees are increasing at @NatlParkService – make sure you plan your visit accordingly! http://t.co/0WZ6oehhxh,2,0
600067600392019970,2015-05-17 22:37:19,"Thoughts and prayers are with the San Diego PD officer shot during a car chase, may she make a full recovery",2,1
598953662120140800,2015-05-14 20:50:55,"Conducting a Google Hangout with law enforcement from across the country to discuss body cameras,… https://t.co/QhocQGNj9K",2,1
598918693184208897,2015-05-14 18:31:58,#ICYMI: talked with @loudobbsnews about the importance of respecting law enforcement and #TPA4USJobs http://t.co/qA0za97tnF,0,1
598606800322179072,2015-05-13 21:52:37,Incredible story about Wenatchee’s own Mariachi Huenachi group giving students opportunities for success! http://t.co/M1Hea9bCb1,1,4
598550257220333569,2015-05-13 18:07:56,"RT @Frazier7324: Congressman @davereichert former officer ""we will not tolerate the harm of our officers across the country"" #ThankYou http…",1,0
598549925035700224,2015-05-13 18:06:37,ICYMI: Federal public safety officers shouldn’t worry about a 10% tax if they must access retirement savings early: http://t.co/snbGr5MEN9,1,1
598266956173705217,2015-05-12 23:22:12,Pleased to see the House pass the National Blue Alert Act of 2015 and send it on for the president to sign: http://t.co/udYwyAS0OP,4,2
598236939888795649,2015-05-12 21:22:55,Disappointed by actions of Senate Dems to block a vote on #TPA4USJobs. TPA means well-paying jobs across the country.,0,0
598190294476140544,2015-05-12 18:17:34,Joined @RepAdamSmith at @seattleu to talk with students about the current issues of the day &amp; reasons to get involved http://t.co/qzK3uN02CL,1,5
597837466020753408,2015-05-11 18:55:33,"#ICYMI: Now, more than ever, we need to make #PoliceWeek2015 count: http://t.co/tAiM4CT6LD #ProtectandServe #HeroesInBlue",24,17
597468992673034242,2015-05-10 18:31:22,"It is devastating to hear of the two officers killed in line of duty last night in Hattiesburg, MS. Thoughts and prayers with the families.",4,7
597395659986112512,2015-05-10 13:39:59,"Happy #MothersDay to the women who raise us, give us support, and make us strong. Thank you.",2,1
596743259726176256,2015-05-08 18:27:34,Today we marked #VEDay70 with the #ArsenalofDemocracy flyover – we owe much to the #GreatestGeneration http://t.co/6B3y74pBkM,2,1
596397713777926145,2015-05-07 19:34:30,Visited Mission View Elementary to learn more about their after-school program successes! #TeacherAppreciation http://t.co/MIRfZJOBy5,2,3
596321868241620994,2015-05-07 14:33:07,Pray for peace in our communities. Pray for the men and women in uniform that protect us every day. Pray for our nation #NationalDayofPrayer,9,7
595998607117000704,2015-05-06 17:08:35,@Big_Drip It was great meeting you Reed! Congratulations again.,1,2
595991483116814337,2015-05-06 16:40:17,"Congratulations to Katherine Lasko for winning the WA-8th Congressional Art Competition with drawing “Oh, Honey!” http://t.co/3saInZ97ba",0,0
595793103082102784,2015-05-06 03:31:59,Tonight we mourn with the family of Coeur d'Alene PD Sgt. Greg Moore who passed away this evening after being shot in the line of duty,20,12
595658080601415682,2015-05-05 18:35:27,Our thoughts and prayers are with Sgt. Greg Moore who was shot this morning in Coeur d’Alene - may he make a full recovery,4,3
595614512700661760,2015-05-05 15:42:20,RT @AmandaMootz: Thanks @davereichert for your leadership to improve the lives of  mothers and children around the world @WVUSAdvocacy http…,6,0
595602013011976192,2015-05-05 14:52:40,Honored to present Tinuola Dada with @theaward’s silver medal yesterday for her commitment to excellence http://t.co/HCAnixWQAv,1,5
595346919087570944,2015-05-04 21:59:01,Prayers for the family and friends of NYPD Officer Brian Moore who was shot Saturday night and passed away today.,5,5
