id,created_at,text,retweets,favorites
601135494769029120,2015-05-20 21:20:45,"EPA water rule could add ""new restrictions to a slew of agricultural practices"" @dcexaminer http://t.co/GTzRzhQfG0",2,2
601089794198867969,2015-05-20 18:19:09,House Passes 6 Solutions For Our #Veterans via @HouseGOP http://t.co/YmujLLLl2T,2,2
600760083820056577,2015-05-19 20:29:00,House passes bills to boost veterans' assistance http://t.co/CwNkn5jb39,3,3
600733449234841600,2015-05-19 18:43:10,I am fully committed to ensuring that veterans receive the benefits they need and deserve. http://t.co/CwNkn5AMrJ,3,2
600323726094176257,2015-05-18 15:35:04,Live NOW with Michael DelGiorno  on @997wtn. Listen here --&gt; http://t.co/3VONdM16Gx #TN04,0,0
600317350940901376,2015-05-18 15:09:44,Live with Michael DelGiorno at 11:35 a.m. EST on @997wtn. Listen here --&gt; http://t.co/3VONdLJvOZ #TN04,1,1
599590182375960576,2015-05-16 15:00:13,Happy #ArmedForcesDay to the brave men &amp; women around our country. Thank you for your service. http://t.co/Wo1t2vzRKu,29,21
599310832296546306,2015-05-15 20:30:11,Today we remember those who lost their lives in the line of duty. Thank you for protecting us. #PeaceOfficersMemorialDay #PoliceWeek,17,21
599274265804931072,2015-05-15 18:04:53,"This #PoliceWeek, join me in telling the women and men in blue 'Thank you' http://t.co/PyPoso8A6H",3,5
598959889222742016,2015-05-14 21:15:40,This is unacceptable. Our veterans deserve better. http://t.co/meaPoThlBn,2,4
598950964951969792,2015-05-14 20:40:12,#TBT to last week when I met with students from Redeemer Classical Academy on the steps of the Capitol! #TN04 http://t.co/9RqCmax3vT,1,4
598884077375201280,2015-05-14 16:14:25,I voted against reauthorizing section 215 of #PatriotAct bc I believe this govt. mass data collection program violates our privacy rights.,1,1
598813782547148801,2015-05-14 11:35:05,Live NOW with @RalphBristol on @997wtn. Listen here --&gt; http://t.co/3VONdM16Gx #TN04,2,1
598805000282775552,2015-05-14 11:00:11,Live with @RalphBristol at 7:35 a.m. EST on @997wtn. Listen here --&gt; http://t.co/3VONdM16Gx #TN04,1,1
598534489694961665,2015-05-13 17:05:17,"Incredibly honored  - 
Rep. Scott DesJarlais Presented with @ACUConservative Award for Conservative Achievement #TN04 http://t.co/kOGkKQF0c0",2,4
598207488018804737,2015-05-12 19:25:53,Proud to join conservative legal brief stating that Obama's executive order exceeds his constitutional authority. http://t.co/iVfs9fxZ6X,3,0
598122807034322944,2015-05-12 13:49:24,Honoring those who protect us every day #PoliceWeek http://t.co/n5zUUh0BY1,6,5
597881134349946880,2015-05-11 21:49:05,"RT @GOPoversight: 2 years ago, the IRS admitted that it inappropriately targeted conservative groups. We're focused on finding answers. htt…",11,0
597512070603636736,2015-05-10 21:22:33,A very happy Mother's Day to all the mothers out there! Thank you for all that you do!,2,2
596677010656722944,2015-05-08 14:04:19,"Congrats #TN04 Art Competition winner Savannah Stone from Walker Valley High in Cleveland. Art title -""Just As Human"" http://t.co/drGbUbJjHC",1,1
596301036412870656,2015-05-07 13:10:20,"Praying for our leaders, servicemembers, and our nation today, on the 64th annual #NationalDayofPrayer http://t.co/K5goouIqpE",12,9
593867771630452736,2015-04-30 20:01:24,It was great meeting with members from @TNELECTRIC co-ops today to discuss energy issues important to our state. http://t.co/NWZuspqCot,1,0
593462777680961538,2015-04-29 17:12:06,Grace Whitten of Colombia is the 2015 Poetry Out Loud National Finalist for TN. Congrats Grace! #TN04 @NEAarts http://t.co/0XHW945WI6,4,4
593426667596607488,2015-04-29 14:48:37,Thousands of new Lerner emails found via @thehill http://t.co/dEA559ArHJ,4,2
593097036452462592,2015-04-28 16:58:47,I am glad TN will now have a voice on the House Freedom Caucus. Thank you all for your guidance and support. #TN04 http://t.co/LyBRvNKXn4,3,4
591669000813293569,2015-04-24 18:24:17,I am extremely proud to announce that I have been invited to join the House Freedom Caucus (HFC).,4,5
591253276303220736,2015-04-23 14:52:20,"In honor of #BringYourChildToWork Day, a picture of Maggie and me at the State of the Union this year. #TBT http://t.co/MDUItA9iOQ",2,3
