id,created_at,text,retweets,favorites
601395614761508864,2015-05-21 14:34:22,"Reasons to celebrate #OlderAmericansMonth this year:  #SocialSecurity turns 80, #Medicare &amp; #Medicaid turn 50. Let’s keep them strong!",4,1
601126682792165378,2015-05-20 20:45:44,It’s #OlderAmericansMonth – a time to honor the seniors who contribute so much to our nation.,2,2
600764680836120578,2015-05-19 20:47:16,"If your identity has been stolen, or you’ve received notice about a data breach, visit @FTC ’s new site at http://t.co/SFCdnQlSD5 for help",0,2
600415534681841666,2015-05-18 21:39:53,"Today we celebrate #headstart50! For these little learners and all kids, we must expand early learning opportunities. http://t.co/pFVFuq0eF3",4,4
598919780117131265,2015-05-14 18:36:17,RT @NPWF: Thumbs up! Say thanks to Sheryl Sandberg for advancing #paidleave and #minimumwage at Facebook http://t.co/HJnqGGcdyc http://t.co…,19,0
598848087482826753,2015-05-14 13:51:24,"RT @MomsRising: W/an econ. agenda for women &amp;families,we all win! When our voices join together, it's #MissionPossible! @DorisMatsui http:/…",12,0
598539204822458368,2015-05-13 17:24:01,RT @NHCOA: #Earlylearning pays off: For every $1 invested society sees an $8 return. Time 2 invest in our kids. #MissionPossible,3,0
598537768898318336,2015-05-13 17:18:19,"RT @MomsRising: No doubt about it: When women succeed, America succeeds! Time for #EqualPayNow! http://t.co/9bk1RH4Wi5 #missionpossible",5,0
598532878394339328,2015-05-13 16:58:53,RT @rosadelauro: Congress needs to pass pro-family policies. We all deserve the chance to build a better life for our families #MissionPoss…,23,0
598531483188502528,2015-05-13 16:53:20,I’ve met many women in the #SandwichGeneration caring for kids and aging parents. They need #PaidSickDays. That’s our #MissionPossible!,4,4
598528801421811713,2015-05-13 16:42:41,"RT @NancyPelosi: Building a strong economy for families, women &amp; our nation is #MissionPossible. We must do more to ensure #WomenSucceed!",86,0
598527358698659840,2015-05-13 16:36:57,Excited to join #MissionPossible advocates today who are fighting for women’s economic security – when #WomenSucceed America succeeds!,2,2
596421232821673984,2015-05-07 21:07:57,Thanks @SecBurwell &amp; @samhsagov for highlighting Ntl Children's Mental Health Awareness Day!  #mentalhealthmatters  https://t.co/oN42V4p3Nb,2,3
596374491221127169,2015-05-07 18:02:13,"Thanks @RepRoybalAllard, @RepLanceNJ7 &amp; @RepRyanCostello for today’s discussion &amp; to @Preeclampsia &amp; @Everymomcounts for your work! #PreAM15",0,2
