id,created_at,text,retweets,favorites
601069202036891649,2015-05-20 16:57:19,Talking energy in this week's column! I hope you'll take a moment to read it: http://t.co/xNTuFeMT9g,0,0
601066668861829120,2015-05-20 16:47:15,RT @fosterclub: Thank you @DrPhilRoe for recognizing  #fosteryouthvoices  https://t.co/snA8q9hXd6,1,0
600682406589378561,2015-05-19 15:20:20,RT @AmerGastroAssn: AGA President Dr Michael Camilleri meets with @DrPhilRoe after a great #DDW15 presentation http://t.co/OOT8Sq3CmA,7,0
599302487884111872,2015-05-15 19:57:02,@LLAMcNabb Thank you! It was truly an honor.,0,0
599233437875187712,2015-05-15 15:22:39,I'm proud to support #NDAA. Statement: http://t.co/llGyoHGK1m http://t.co/dKENAZwnCx,3,0
598864449785765890,2015-05-14 14:56:25,In my weekly column I discuss the bills considered in the House this week. Read here: http://t.co/jsdkzF5ZLn,0,0
598854270583181312,2015-05-14 14:15:58,Throwback Thursday. http://t.co/jOt7noFuxP,4,8
598148834502508544,2015-05-12 15:32:49,@SpinePros Thanks for sharing the photo. It was nice to meet you!,0,0
597831484913750016,2015-05-11 18:31:47,RT @SpinePros: Great meeting with Congressman  @DrPhilRoe today!   It was great to  discuss the future of #SpineHealth http://t.co/vBRDjtMi…,1,0
596310842381103105,2015-05-07 13:49:18,"RT @mcollinsNEWS: @SenAlexander and @DrPhilRoe push legislation to end what critics label as union ""ambush"" elections.
http://t.co/2zSUXLsh…",3,0
596039629578608641,2015-05-06 19:51:36,RT @EdWorkforce: .@DrPhilRoe: I remain committed to protecting American workers from the #NLRB’s overreach http://t.co/tC19o000HV,4,0
596039601132810240,2015-05-06 19:51:29,Read more about Teacher Appreciation Week and what I'm doing to support teachers in this week's column: http://t.co/kGl3ot2wGR,0,0
595995341708763137,2015-05-06 16:55:37,RT @RepublicanStudy: #RSC member @DrPhilRoe introduced a much-needed amendment to stop VA officials from getting bonuses for mismanagement …,8,0
595959085016690688,2015-05-06 14:31:32,RT @HealthInFocus: New Prognosis: Why the Roe-Sanchez Bill Matters http://t.co/k6vUFUpr3Y @DrPhilRoe @RepLindaSanchez #Medicare #repealIPAB…,3,0
595942080289087488,2015-05-06 13:23:58,"RT @AAOSAdvocacy: Bill introduced by @DrPhilRoe &amp; @RepLindaSanchez to repeal #IPAB receives widespread, bipartisan support: http://t.co/I8F…",2,0
595616220872847361,2015-05-05 15:49:07,RT @TV4th: Congressman Phil Roe came to visit us today!!! http://t.co/Armh4FUdtu,3,0
595616206696091651,2015-05-05 15:49:04,@TV4th Thank you for having me!,0,0
595607247226576897,2015-05-05 15:13:28,RT @OJEarly_GSUN: Check out a few of my photos from @DrPhilRoe's visit to #Greeneville: http://t.co/n9DmzaSCX3 http://t.co/yXyqdruH0j,2,0
595607161218199553,2015-05-05 15:13:07,Grateful to have @RepLindaSanchez as the Democrat lead on this important bill: http://t.co/4cjokTCdB6,0,1
595606933115117568,2015-05-05 15:12:13,Proud my bill to repeal #IPAB has more than 220 cosponsors + endorsement from many health groups: http://t.co/4cjokTCdB6,13,4
593846261620543488,2015-04-30 18:35:56,@AAOSAdvocacy Thank you for coming in!,0,1
593846234235928576,2015-04-30 18:35:50,"RT @AAOSAdvocacy: Rep. Phil Roe talks with surgeons in DC for #NOLC2015. Thanks for all your work for patients/physicians, @DrPhilRoe! http…",2,0
593828215183015936,2015-04-30 17:24:13,My staff's traveling office hour schedule for the month of May is up on my website: http://t.co/wFKSuk5BQc,1,0
