id,created_at,text,retweets,favorites
599309339497750529,2015-05-15 20:24:15,Mourning the death of Blues great B.B.King at 89. The thrill is truly gone.,6,3
599282841256497152,2015-05-15 18:38:58,"Trade pact must be consistent with American values including labor rights, environmental protections &amp; human rights. http://t.co/wp9cg1rezs",4,2
599229732589178880,2015-05-15 15:07:56,"Can't support GOP NDAA that uses OCO gimmick to pit defense vs domestic investment &amp; denigrates immigrants who serve

http://t.co/Za0B7TNlOM",4,1
598932011865264128,2015-05-14 19:24:53,Welcoming my Celtic brethren from Scotland to Capitol Hill with @RepJoeWilson http://t.co/fw3OgTesC9,8,1
598474349096624129,2015-05-13 13:06:18,Proud of work of @ffxfirerescue disaster team in #NepalEarthquake. They continue to save lives in tough conditions.  https://t.co/zSgd74LtDB,9,1
598132326057517057,2015-05-12 14:27:13,"Enjoyed participating in @fairfaxchamber #NewVaEconomy panel. We need to invest in transp, R&amp;D &amp; education, and reform our broken imm system",5,0
597850338809532417,2015-05-11 19:46:42,"RT @rollcall: .@GerryConnolly, @HulkHogan Look to Smash Cancer http://t.co/t7GFgZVHhY via @WARojas",5,0
597838025503145984,2015-05-11 18:57:47,"Safety must be our primary concern, but riders deserve better communication from @WMATA on such massive delays and alternate options",6,2
597828759849402369,2015-05-11 18:20:58,Today's @CloudCaucusAG inaugural report highlights metrics &amp; progress of federal use of cloud computing. http://t.co/udnFxwLXH9,6,1
597819791261487106,2015-05-11 17:45:19,Commemorating #Vietnam #HumanRights Day on Capitol Hill with many friends and constituents. http://t.co/kcdIEVWKzh,4,1
597802092980469761,2015-05-11 16:35:00,Full House for @CloudCaucusAG session on the Hill. Lots of high-powered innovators in crowd. Don't be a #boxhugger. http://t.co/DT1ypjuVc3,7,1
597801370335457281,2015-05-11 16:32:07,"Today's @JoeDavidsonWP column highlights our Thank-A-Fed initiative. Share your story at ThankAFed@mail.house.gov

http://t.co/m6sqberPAG",5,0
597395937854623744,2015-05-10 13:41:05,Happy Mother's Day! Call your Mom,3,1
597145895851929601,2015-05-09 21:07:30,Hayun Chong of Thomas Jefferson HS for Science and Technology won 1st Place in my annual Congressional Art Contest. http://t.co/d0D64bdV7l,7,7
597143090676248576,2015-05-09 20:56:21,My Annandale Bed Race team mixes it up with the competition on their way to their first place win this morning. http://t.co/gQNvpKR8J0,9,4
597142636282122240,2015-05-09 20:54:33,Handing out awards to students and proud parents at the 11th District Congressional Arts Competition. http://t.co/dTd68Y3ylS,4,3
597135783817039872,2015-05-09 20:27:19,"More than 300 students, parents &amp; teachers attended my annual Congressional Arts Contest awards at #LortonWorkHouse. http://t.co/SutlzBXPkp",8,3
597118465292574720,2015-05-09 19:18:30,Incredible young minds and future #STEM leaders at the #Fairfax Science and Engineering Fair at @GeorgeMasonU. http://t.co/9TFJchRqln,11,8
597058503543529472,2015-05-09 15:20:14,"RT @gaburke: WINNERS! For the 2nd year in a row, the @GerryConnolly Annandale Bed Race team accepts the 1st place trophy. http://t.co/VDHgw…",2,0
597048581497946112,2015-05-09 14:40:49,"RT @gaburke: The crack @GerryConnolly team, fueled by @BeaneticsCoffee, is ready to run and push in the Annandale Bed Race. http://t.co/hcB…",2,0
597007282241720323,2015-05-09 11:56:42,Flexing for breast cancer awareness with @HulkHogan. Connolly's Cruisers: largest Capitol Hill team 5 years in a row! http://t.co/FYJohwEBSg,36,62
596785752048013313,2015-05-08 21:16:25,Great to see so many photos from today's flyover. A wonderful way to mark the 70th anniversary of VE Day and honor our heroes of WWII.,5,1
596697857845010432,2015-05-08 15:27:10,Started my day with a great group of @nvar real estate professionals. http://t.co/1341fa5me4,5,1
596697724365447168,2015-05-08 15:26:38,Great roundtable discussions on transit with the Northern VA Transportation Commission this morning. http://t.co/HxkRFnGxJp,3,1
596413977632088066,2015-05-07 20:39:07,Great tour of @MCB_Quantico with Marines who serve and defend our country. Semper Fi.,4,1
596372126686318592,2015-05-07 17:52:49,Fortunate to join heroes of Prince William Dept. of Fire &amp; Rescue at Stations 2 and 23. Thanks for keeping us safe! http://t.co/3Kx1T3LVwq,4,2
596339303531335680,2015-05-07 15:42:24,"Support #PSRW 2015’s theme of ‘Government Works’ by participating in Thank A Fed! http://t.co/YoWa10DRdQ
@RPublicService",12,2
595948842195034112,2015-05-06 13:50:50,Troubling milestone: March global ave CO2 concentration passed 400ppm. Time to #ActonClimate http://t.co/WuZocRVxzl http://t.co/jJVdBODHPd,8,0
595707912615493633,2015-05-05 21:53:28,In Reston with @Serco_Inc execs. They're doing great work on defense and healthcare. Proud to have their workforce in the 11th district,7,2
595693047423336448,2015-05-05 20:54:24,"$566,000 @HHSGov grant to Greater PW Community Health Center means more doctors &amp; nurses to treat patients. http://t.co/QxLZa2F3Xt",8,1
595653261883002880,2015-05-05 18:16:18,It's National Teacher Appreciation Day! Glad I spent some of it with the Fairfax Education Association Retirees. http://t.co/seektQWbOO,7,0
595632842954186753,2015-05-05 16:55:10,Met with the president of Bechtel and other seniors execs in Reston this morning. We need to move forward on infrastructure investment.,4,2
595272418144419841,2015-05-04 17:02:58,Celebrating the rehab of 4 dams in Pohick Watershed. More than $8.5 m in federal funds for upgrades. http://t.co/WjlALWYmOt,5,0
595257581628690433,2015-05-04 16:04:01,"Met a lot of Silver Line commuters at @Level3 Congress at Your Company. Great questions on transit investment, open internet and #FITARA",5,0
594559108545642497,2015-05-02 17:48:32,I share the pride of the families of the 26 appointees to the US Service Academies from the 11th CD of Virginia. http://t.co/CRgFUZROFe,6,1
594556484203184128,2015-05-02 17:38:06,Proud to recognize the 26 young men &amp; women who have accepted nominations to the US Service Academies from VA-11 CD. http://t.co/Jb2KuYU55i,7,3
594553858111754241,2015-05-02 17:27:40,Beautiful day to walk through the Taste of Merrifield http://t.co/YLYBPOT9Dz,5,4
594489236549689344,2015-05-02 13:10:53,Great crowd for this morning's ribbon cutting at Fairfax City Old Town Square,6,0
594294866651324416,2015-05-02 00:18:32,Glad I stopped by @odbfairfax 's event tonight. They help people with the most basic need: access to food. http://t.co/vLHlAvvfAm,5,2
594162105626005504,2015-05-01 15:30:59,My statement opposing today's Energy &amp; Water Approps bill. We must be willing to make strategic investments. http://t.co/SWaQFScgEK,5,0
593950715321700352,2015-05-01 01:31:00,NoVA is home to amazing National Parks like @Wolf_Trap. Help celebrate the Centennial Campaign and take a visit. http://t.co/du9YSwkhGT,9,1
593890609477332992,2015-04-30 21:32:09,"SUCCESS in Nepal!  VA-TF1, @ffxfirerescue search &amp; rescue team, helps rescue 15-yr-old Nepalese boy trapped in earthquake rubble for 6 days.",10,5
593798589995974656,2015-04-30 15:26:30,We have introduced H.Res. 235 expressing condolences to the people of Nepal. Photos of @ffxfirerescue in Nepal: http://t.co/gjJqZ5qOD0,4,1
593760060519612416,2015-04-30 12:53:24,Proud to introduce H. Res. 225 w/ @RepLowenthal recognizing the 40th anniversary of the #FallofSaigon @VVANews http://t.co/t8NzsgCp4j,9,1
593517899886645250,2015-04-29 20:51:09,My @HouseNewDems colleagues @RepMikeQuigley &amp; @GregoryMeeks join me on media call about trade legislation. http://t.co/QzFbowg84J,7,2
593137495321223168,2015-04-28 19:39:33,"House appropriators cut @wmata $75m, threatening to unravel federal partnership with VA, MD, DC for vital safety upgrades",6,0
593075368233443329,2015-04-28 15:32:41,"Today, #SCOTUS has a chance to be on the right side of history and support #MarriageEquality #LoveCantWait #LoveIsLove",60,73
593069592391589889,2015-04-28 15:09:44,"RT @gaburke: NoVA Reps. @GerryConnolly, @DonBeyerVA, @RobWittman, @BarbaraComstock meet w/ @VATranspo Sec. Aubrey Layne abt I-66. http://t.…",6,0
