id,created_at,text,retweets,favorites
601170047747383296,2015-05-20 23:38:03,RT @RepWilson: Members of Congress wore red in honor of the kidnapped Chibok schoolgirls. #WearRedWednesdays #BringBackOurGirls http://t.co…,24,0
601027421543014401,2015-05-20 14:11:18,RT @reillygroupinc: Thanks @gracenapolitano for visiting Orange County dept Ed  4 the #typicalortroubled? Student mentalhealth training htt…,1,0
600794745267482626,2015-05-19 22:46:44,RT @TransportDems: T&amp;I Democrats introduce #GROWAMERICA Act to set robust long-term surface transportation investment levels. Read more: ht…,8,0
600776775048757248,2015-05-19 21:35:19,Proud to support #GrowAmerica Act &amp; work w/ @SecretaryFoxx to improve daily commute of SGV residents #RebuildRenew http://t.co/71JSWJc35B,1,2
600672981883482114,2015-05-19 14:42:53,"RT @RepBecerra: Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities…",230,0
600396594215784448,2015-05-18 20:24:37,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,142,0
598579632355430401,2015-05-13 20:04:40,So grateful to @afspnational for sharing personal stories of recovery &amp; hope at Survivors of Suicide briefing today http://t.co/y5TUarK7gY,8,11
598536908889858048,2015-05-13 17:14:54,RT @afspnational: Thank you to @gracenapolitano for speaking out for #mentalhealth awareness &amp; #suicideprevention! #livedexp,5,0
598533278862319616,2015-05-13 17:00:28,HAPPENING NOW: Survivors of suicide briefing. Watch live at http://t.co/UXhtkjbnav #mhm2015 #EndStigma,0,0
598507710527713282,2015-05-13 15:18:52,RT @laurennfrench: Democratic Caucus meeting today featured Tex-Mex breakfast for lawmakers today with salsa made by @gracenapolitano,3,0
598479656598253568,2015-05-13 13:27:24,"RT @RepGaramendi: Only 6 legislative days until Highway Trust Fund expires. 660,000 jobs hang in the balance while we wait on GOP bill. htt…",117,0
598265634829504512,2015-05-12 23:16:57,ICYMI Fed govt can and should become a leader in helping CA communities address their water needs. #drought #cawater http://t.co/67zS2XVh6r,11,3
595987852212760576,2015-05-06 16:25:51,Many thx to NYC First Lady @Chirlane @EmpireStateBldg @NAMICommunicate for raising critical awareness for #mentalhealth #mhm2015 #EndStigma,3,7
593879390729150465,2015-04-30 20:47:35,RT @Rep_JaniceHahn: Discussing how we can #FixTheTrustFund w/ the women of the @TransportDems. http://t.co/0vWHn6nD89,10,0
593825932005253120,2015-04-30 17:15:09,HAPPENING NOW: Children's Mental Health Awareness Day briefing. Watch live at https://t.co/KzQcpDLF5w #mhm2015 #EndStigma,2,2
593815562326822912,2015-04-30 16:33:57,RT @NAMICommunicate: NAMI's @darcygrutt and @EmCepla with @gracenapolitano raising awareness for children's mental health! http://t.co/ttGX…,21,0
593807787060293632,2015-04-30 16:03:03,Proud to join my colleagues &amp; many leaders/advocates for Children's Mental Health Awareness Day #mhm2015 #EndStigma http://t.co/fxrzjNNG7h,40,33
593796174504665089,2015-04-30 15:16:54,RT @RepJudyChu: So great to have mental health advocates in DC today to support children's mental health. #mhm2015 #EndStigma http://t.co/i…,19,0
593778009808707586,2015-04-30 14:04:44,HAPPENING NOW: May Mental Health Month kick-off press conf at House Triangle. Watch live at https://t.co/pQQMoNxj94 #mhm2015 #EndStigma,3,3
593762361359605760,2015-04-30 13:02:33,"RT @HouseRadioTV: News Conference: @gracenapolitano, et al on National #MentalHealthAwareness Month. At: 10am. Location: House Triangle.",1,0
593509459768381441,2015-04-29 20:17:36,TMRW Prss Conf @jilldiamondWBC @NationalFFCMH @MentalHealthAm @NAMICommunicate @BazelonCenter @afspnational #mhm2015 http://t.co/aQSCK4tOGl,4,2
593421422573281280,2015-04-29 14:27:47,RT @RepCummings: We can't allow violence to distract from our purpose. We must continue with peaceful calls for justice to honor the memory…,373,0
590969256659001344,2015-04-22 20:03:45,"Congrats to El Monte Union High School District, a 2015 US Dept. of Ed Green Ribbon School! @usedgov http://t.co/ucqDTnR1SY #EarthDay",0,1
590891214762835969,2015-04-22 14:53:38,RT @TransportDems: .@gracenapolitano: Investment in water infrastructure is vital to sustain recent economic growth and improvement http://…,2,0
588428134996955136,2015-04-15 19:46:14,RT @TransportDems: @gracenapolitano:#HR1732 is an attempt  to scrap clean water protection rule &amp; delay much needed clarification http://t.…,2,0
587751930312658944,2015-04-13 22:59:14,"Always great to recognize some of SGV's ""Unsung Heroines"" at annual Women of the Year ceremony http://t.co/4i3g6Ozr9r http://t.co/cyxho4OqXN",3,3
586282791417028608,2015-04-09 21:41:24,Proud to join @calpolypomona @FoothillTransit &amp; future transportation leaders at today's student summit. #SU4T http://t.co/DRob19foxh,4,3
583699759875153920,2015-04-02 18:37:22,RT @DonKnabe: Groundbreaking of ACE grade separation along Fairway with @RepEdRoyce and @gracenapolitano http://t.co/s8HvJtPKNH,2,0
583410494570115074,2015-04-01 23:27:55,Great visiting Commercial Cooling &amp; Jacmar Foodservice Distribution in City of Industry today. http://t.co/uTHRclujkp http://t.co/2eGyaHKPEm,2,0
580725935068078080,2015-03-25 13:40:26,"RT @AMWA_water: ""Water is the economy."" - @gracenapolitano at the 2015 Water Policy Conference. http://t.co/lLYbvnWJOk",3,0
578984217352220672,2015-03-20 18:19:29,"Thanks @ULaVerneLaw for invitation to speak on CA drought, critical water challenges at today's symposium #cawater http://t.co/8ruErDNkXk",9,2
578308837704384512,2015-03-18 21:35:46,How do you create 8.4 million jobs by 2018? Invest in working families and rebuild our nation: http://t.co/8EFDYRSwKx #RaiseForAmerica,3,2
578206359696576512,2015-03-18 14:48:33,RT @TransportDems: .@gracenapolitano at EPA hearing: We must agree...to balance healthy economic growth &amp; protecting health of the public a…,2,0
576532654188822529,2015-03-13 23:57:50,RT @syafoundation: SYA visited by LA County Probation @gracenapolitano #lasheriffsdepartment #la #youthempowerment #savinglives http://t.co…,4,0
576531157728260096,2015-03-13 23:51:54,Great visit today to Sunburst Youth Academy w/ @LASDHQ @LACProbation &amp; #LACOE @NGYFoundation http://t.co/wLcFJIPKAg http://t.co/W7wutvuObf,3,2
572932221193076736,2015-03-04 01:31:00,"@USDOT launching local jobs initiative is welcome news, which will increase jobs for San Gabriel Valley residents http://t.co/nO0U8sEvex",0,0
572886144574197760,2015-03-03 22:27:55,Proud to join @RepChrisGibson to reintro Mental Health in Schools Act to fund critical on-site mental health services for youth #EndStigma,4,3
568543883925327872,2015-02-19 22:53:19,Thank you @WestCovinaPD for K-9 Unit demo today &amp; for all you do every day to keep our communities safe. http://t.co/Qq9dHdc74E,3,4
566277327387381760,2015-02-13 16:46:50,Una familia unida es una familia fuerte. Learn more at http://t.co/ELt5chILuq @familiaesfamilia #unidos4love http://t.co/zK7GXjtziD,10,9
