id,created_at,text,retweets,favorites
601146753535074305,2015-05-20 22:05:29,I’m pleased to have helped craft the CJS Approps bill that continues successful salmon recovery efforts in SW WA. http://t.co/mxDCEG3BIz,1,1
600410517736402946,2015-05-18 21:19:57,"Today, we remember the 35th anniversary of Mt. St. Helens’ eruption- a day that will never be forgotten &amp; left its mark on the SW WA skyline",1,3
599317027493404673,2015-05-15 20:54:48,"My tribute to Ed Lynch-a remarkable Southwest Washington figure who made a lasting impact on our region.
https://t.co/CD3TnqGN5I",1,1
599001342066225152,2015-05-15 00:00:23,Individuals willing to die defending you and me have earned right to pursue to citizenship: http://t.co/vZvtkmFTY1,29,24
598935441543401472,2015-05-14 19:38:31,Finished the CJS Approps Subcommittee Mark-up. Working for salmon restoration &amp; resources to fight sex trafficking. http://t.co/yDDIDJNYLC,2,0
598891463242600448,2015-05-14 16:43:46,"Washington Post ran a Warren/de Blasio op-ed on “American Dream,” yet refused my response--but you can read it here: http://t.co/LCxpMdAbOu",24,15
598213539602530304,2015-05-12 19:49:56,"My 5th annual Jobs Fair is coming up on June 8th from 9am-12pm. Already over 30 employers and the list is growing! 
http://t.co/NLyEZBy42m",2,1
593861694058864640,2015-04-30 19:37:15,Congrats to Hudson's Bay High School for winning the Samsung Solve for Tomorrow challenge! #STEM http://t.co/J2pv7XdtGn,8,11
591245153580507136,2015-04-23 14:20:04,Fun photo shoot and quick interview with @marieclaire. Check in it out in the May issue! http://t.co/1R0EqbRuM1,11,14
590960841744318464,2015-04-22 19:30:18,"#VA wait times r still 30+ dys. My legislative directive to VA to fix provider shortages cleared 1st step in Congress
http://t.co/TZ1M4RD8rV",3,4
588820228261466112,2015-04-16 21:44:16,"Today I helped pass the state &amp; local sales tax deduction! Check out my speech on the House floor.
https://t.co/IFW4v3Gt7E",1,1
588418855518793728,2015-04-15 19:09:22,Part of my job is to make the IRS accountable to hard-working taxpayers. My #taxday address to Congress https://t.co/fxfWugrCmx,4,3
588406066670661633,2015-04-15 18:18:33,"It’s #taxday, &amp; this week I’ll support sales tax deduction &amp; death tax repeal to let fams &amp; sml biz’s keep more of their money.",5,3
587691627499651073,2015-04-13 18:59:37,"Want your art to rep SW WA in the US Capitol? Deadline for the High School Art Competition is Fri. April 17! #CAC2015
http://t.co/ShOr6zrLBw",2,1
586238086419472384,2015-04-09 18:43:46,"The VA Mobile Medical Unit is making its third trip to Pacific County from April 13-17. Click here for details. 
http://t.co/PXOYKuJjiG",0,0
585915798096584704,2015-04-08 21:23:06,"I am honored to be named the new Vice Chair of the Financial Services Appropriations Subcommittee.
http://t.co/WomNt2UWP6",3,5
585897996597997571,2015-04-08 20:12:22,My staff will have office hours at the Klickitat County Pioneer Center in White Salmon on April 9th from 12:30-2pm.,1,0
581171375215394816,2015-03-26 19:10:28,"Relieved the U.S. House passed Secure Rural Schools funding- critical for schools and emergency services. 
http://t.co/4f4cvnapVF",3,3
580849925401010177,2015-03-25 21:53:08,"Today I spoke with the FBI director about the need to combat the demand side of sex trafficking and protect victims.
https://t.co/8tj8wpriRz",5,8
