id,created_at,text,retweets,favorites
600360793457205248,2015-05-18 18:02:21,I was pleased to receive the National Conservation Achievement award from National Wildlife Federation. http://t.co/8lKrJHLFLX,3,8
599319434046607360,2015-05-15 21:04:22,Our bill is an important first step toward establishing the Chief Standing Bear trail. http://t.co/zLNTPAPRNY,0,3
598964225650925570,2015-05-14 21:32:54,Pleased to receive Standing Tall for Zoos &amp; Aquariums award last night in Washington. http://t.co/dz7WHamQmx http://t.co/UN1hqm4Ekk,1,3
598861066144190464,2015-05-14 14:42:59,Good editorial in today's @JournalStarNews regarding my ongoing efforts to designate Chief Standing Bear Trail: http://t.co/4O4gzXo8td,1,2
598177661681283073,2015-05-12 17:27:22,Congrats to the new Congressional Award  medalists &amp; certificate recipients in Bellevue area! @theaward http://t.co/IPSncC0VvC,4,6
597862124250103808,2015-05-11 20:33:32,Enjoyed having Brownell Elementary School third graders stop by my office today on walking tour of Lincoln. http://t.co/TwsnYfR4wl,1,5
596787026676031489,2015-05-08 21:21:29,Warren Buffett recently commented that Central America grows bananas better than we do in #Nebraska. http://t.co/ezRgPR5jxa,1,3
596731739919093760,2015-05-08 17:41:48,Remembering my high school days as a Key Club member with the Bellevue Kiwanis today. http://t.co/mAfuitfkCt,1,3
595986754059898881,2015-05-06 16:21:29,Appreciated speaking at the @LincolnChamber coffee this morning. http://t.co/QHtu9Nx2y2,0,4
594232275279192064,2015-05-01 20:09:49,Is Washington responsible for Baltimore? http://t.co/KRJlrBvRgP,0,3
593520102013698049,2015-04-29 20:59:54,My comments on Japanese Prime Minister Shinzo Abe's address to Joint Session of Congress: http://t.co/GUW5WxLg6m,1,3
593444825476812800,2015-04-29 16:00:46,Pleased my legislation to establish Chief Standing Bear National Trail passed the House yesterday. http://t.co/QjddtaQrrp,7,8
592733938906505216,2015-04-27 16:55:58,An interesting part of a rugby game is the scrum. http://t.co/0KsUEdRvLq,2,3
591617100264787968,2015-04-24 14:58:03,Happy Arbor Day! http://t.co/gbvKUhF6Xt,2,3
590940835832815616,2015-04-22 18:10:49,Congratulated @Coach_Riley at the #Nebraska Breakfast for getting his first #Huskers win this month! #GBR http://t.co/pspxPjlv3l,1,2
590222145151729664,2015-04-20 18:34:59,"When I don’t have a lot of time to describe #Nebraska, I just say: “Corn, cattle, and football.” http://t.co/XJboDdxYC7",4,7
589145697011834880,2015-04-17 19:17:34,Pleased to receive the Friend of the Farm Bureau award in recognition of my work in the 113th Congress. http://t.co/5SlBCOj0cf,2,2
588765340580065280,2015-04-16 18:06:10,Spoke at this morning’s #GlobalAg symposium about the connection between agriculture and international development. http://t.co/5mhW7SfRgn,3,8
588727347781709824,2015-04-16 15:35:12,"RT @ChicagoCouncil: .@JeffFortenberry: ""I never thought agriculture would become cool, and here we are."" #GlobalAg",9,0
587721453312802816,2015-04-13 20:58:08,"We must strive for a credible, verifiable agreement that effectively inhibits #Iran’s nuclear breakout. http://t.co/FRSOkCK2Rz",5,3
587704310999490562,2015-04-13 19:50:01,An Iranian weapon is likely to spark a new nuclear arms race in the volatile Middle East. http://t.co/FRSOkCK2Rz,4,3
587669979367092224,2015-04-13 17:33:36,We are near another critical moment with #Iran. http://t.co/FRSOkCK2Rz,1,2
586612743706411008,2015-04-10 19:32:31,Glad to be invited by students to visit Logan View HS this week! http://t.co/W130JbTpa6,2,2
586268489809276929,2015-04-09 20:44:34,Shot some hoops with the Winnebago boys basketball team. Proud to say I made a basket! http://t.co/qw2lRZu1bb,1,3
586267639422521344,2015-04-09 20:41:12,Enjoyed visiting Winnebago Public School yesterday &amp; congratulating their state champion basketball team. http://t.co/xQ6h4juNEO,0,2
586221525713477632,2015-04-09 17:37:57,RT @higginsdday: Replica of ship that was designed by Nebraskan and played key D-Day role is headed to France,1,0
585547724243763201,2015-04-07 21:00:31,Proud that my oldest daughter voted for the first time today!,2,4
585163409794138112,2015-04-06 19:33:23,Had a great time at Master's Hand Spring Fling in Tekamah on Saturday! http://t.co/adZg49CmHi,1,3
585121072854372352,2015-04-06 16:45:09,Our collective conscience obligates us to combat this most serious human rights violation of human trafficking. http://t.co/nz3Vz2kbvi,2,6
583998666689515520,2015-04-03 14:25:06,Human trafficking is a modern form of slavery that occurs around the world. http://t.co/nz3Vz2kbvi,9,7
583760872058687488,2015-04-02 22:40:12,"Human trafficking is attack on  fundamental principles of human dignity, human rights, &amp; justice. http://t.co/nz3Vz2kbvi",0,1
582579315419705344,2015-03-30 16:25:07,Reshoring is a great opportunity to accelerate our economic recovery. http://t.co/s35lynSFrm,1,1
582271525580988416,2015-03-29 20:02:04,Reshoring is the trend of jobs returning to America - an encouraging pattern. http://t.co/s35lynSFrm,1,2
581839926083244033,2015-03-28 15:27:03,Good to see so many young people at this morning's Academy &amp; Military Info Day at Lincoln East! http://t.co/ijtmXCrFW5,2,4
581796666237329409,2015-03-28 12:35:09,Hope to see you at today's Academy &amp; Military Info Day at Lincoln East HS. Doors open at 9:15 am. http://t.co/OmXymdm6jd,2,4
581576856178036736,2015-03-27 22:01:42,"Legislature should censure Sen #ErnieChambers, particularly in light of his refusal to take back his words. http://t.co/TyrcYDF74i",21,11
581576706529579008,2015-03-27 22:01:06,To refer to the police as ISIL further adds to the indignity. http://t.co/TyrcYDWIsS #ErnieChambers,5,5
581576600833011712,2015-03-27 22:00:41,Latest episode condoning violence against police reckless &amp; contradicts sacred duty of lawmaker to protect society. http://t.co/TyrcYDF74i,2,2
581576155892838400,2015-03-27 21:58:55,"Senator Ernie Chambers’ long history of bullying, bigotry, and hatred has reached a new low. http://t.co/TyrcYDF74i",6,2
581161675153383426,2015-03-26 18:31:55,Pleased my Chief Standing Bear Trail bill passed House Natural Resources Committee. http://t.co/dBeZUaCnxk,3,4
580760487887052800,2015-03-25 15:57:44,Pleased to speak about the #FutureOfAid this morning at a CQ Roll Call event. http://t.co/DZr80ibMtS,0,1
580380682960142336,2015-03-24 14:48:32,Pleased to participate in Carnegie Nuclear Policy panel and discuss evolving challenges in nuclear policy. http://t.co/W6tQ6B0Jqo,2,2
580161007340777473,2015-03-24 00:15:37,Invite high school students to participate in Congressional Art Competition - winning artwork displayed in Capitol! http://t.co/OmXymdm6jd,2,0
580109893321011201,2015-03-23 20:52:31,My office is hosting Academy &amp; Military Information Day Sat 3/28 at Lincoln East HS. Hope to see you there! http://t.co/OmXymd4vrF,3,2
