id,created_at,text,retweets,favorites
601387438137806848,2015-05-21 14:01:53,Congrats @MLauer on completing the #RedNoseDay challenge for kids everywhere! @TODAYshow http://t.co/COYjmBgobo,2,0
601373217840824320,2015-05-21 13:05:22,Sorry to miss the annual #Centenarian Brunch. Best wishes to all the RI centenarians and thank you @GinaRaimondo for celebrating our seniors,2,1
601200020638081027,2015-05-21 01:37:09,"RT @RINPR: Gov. Lincoln Almond declared May 20, 1998 ""WRNI Day"" and @jimlangevin signed the declaration as well http://t.co/CNMK5TklSl",3,0
601123334483484673,2015-05-20 20:32:25,.@First_Focus: thank you so much for this honor. I will continue to fight for kids. #ChampionForChildren http://t.co/fw6wq3h1yk,3,5
601095552537862144,2015-05-20 18:42:02,I'm very proud of @PellCenter's leadership on #cybersecurity issues. Thanks @JMLudes for the update on @SalveRegina's work,7,5
601089896514768897,2015-05-20 18:19:33,"I'm so pleased @BrownMedicine representatives, including Dr. Yoo, could be here today to discuss radiology. Thank you for your time!",2,1
601056801518419968,2015-05-20 16:08:03,Thanks to Sandy Parrillo of Providence Mutual for stopping by my office to discuss insurance issues @NAMIC,1,0
601048742280724480,2015-05-20 15:36:01,"To victims of trauma, know that I support you. You are stronger than you know #TraumaSurvivorsDay http://t.co/RMmxTGWr4u",5,8
601041711771553792,2015-05-20 15:08:05,"With nearly 400,000 children in the foster care system, we need to do better. We must prioritize permanency #FosterYouthVoices #DCShadowDay",10,9
601037723328188416,2015-05-20 14:52:14,"After that, she bounced around from placements until she aged out. We need better support for @BGirlDaniB and all #FosterYouthVoices",3,1
601037418310008833,2015-05-20 14:51:01,"At 6 wks old, @BGirlDaniB was taken from her mother &amp; placed w/ grandmother. At 15, she was moved again into foster care #FosterYouthVoices",2,2
601035538171305984,2015-05-20 14:43:33,.@BGirlDaniB is a strong example of #FosterYouthVoices. #DCShadowDay http://t.co/OZk0TVsm1H,4,4
601025324986535939,2015-05-20 14:02:58,RT @BGirlDaniB: So cool!! Representing RI @ Capitol Hill #FosterYouthVoices @jimlangevin @fosterclub http://t.co/TTWs8uNetZ,3,0
601010503931027456,2015-05-20 13:04:05,I'm so excited to welcome @BGirlDaniB to DC for #DCShadowDay. We need to listen to #FosterYouthVoices to improve the child welfare system,6,7
600996702322036736,2015-05-20 12:09:14,Congrats to all the @Newport_Chamber honorees at this morning's Excellence in Business Breakfast!,2,2
600988349852217344,2015-05-20 11:36:03,Best wishes to @BryantUniv at today's #WorldTradeDay event!,3,2
600770193334362112,2015-05-19 21:09:10,Grateful that @Adam_K_Levin could take the time to meet with me today. I appreciate all you and @IDT911 are doing to protect consumers,0,1
600727399756627969,2015-05-19 18:19:07,"Really looking forward to #DCShadowDay tomorrow. As co-chair of the Foster Youth Caucus, I believe the #FosterYouthVoices are so important.",7,8
600692913513865216,2015-05-19 16:02:05,"Congratulations @GinaRaimondo, being recognized by @InspireMindsRI as an Exceptional Leader, &amp; good luck to keynote speaker, @HelenaBFoulkes",5,7
600681097945620480,2015-05-19 15:15:08,"Thank you to Nichole Aguiar of the RI Chapter of @MarchofDimes for meeting with my staff to discuss health care, #CHIP and more",0,0
