id,created_at,text,retweets,favorites
601118160666910720,2015-05-20 20:11:52,Happy EMS Week! Thank you to our local EMS teams who keep us safe. #EMSStrong #EMSWeek2015 http://t.co/4ylABAuoL0,0,1
600701592258613248,2015-05-19 16:36:34,RT @RepMcCaul: Proud to see 2nd amendment rights for troops on military bases pass. @RepScottRigell @JudgeCarter @replouiegohmert  http://t…,13,0
600383962243018753,2015-05-18 19:34:25,ICYMI: Visit my site to read my press release on the House passage of the NDAA. http://t.co/8VEJEDf1Q6,1,0
598903130403647489,2015-05-14 17:30:08,The NDAA is the primary way Congress meets its most important obligation to “provide for the common defense.” http://t.co/5ddolfkYZk,1,0
598857838052540416,2015-05-14 14:30:09,Congratulations to the Hutto Chamber of Commerce 2015 Leadership class on graduating! http://t.co/8TabTQa4OD,0,1
598593794720727040,2015-05-13 21:00:56,Happy National Women’s Health Week! What are you doing to stay healthy this week? http://t.co/bEHQLAMhEo,1,1
598563631186386944,2015-05-13 19:01:05,57% of millennials support protecting unborn children from #abortion after the fifth month of pregnancy #theyfeelpain http://t.co/Xgwyl8vliZ,27,26
598148184980881409,2015-05-12 15:30:15,"This week we recognize the 900,000 police officers around the US that protect our country every day. #PoliceWeek http://t.co/o9bddGNct4",23,10
597846982317604864,2015-05-11 19:33:22,It's time we hold abortionists accountable for late term abortions. For more info ck out: http://t.co/yIYuIjZcQO http://t.co/aYI5kySkBj,2,3
596774376730718212,2015-05-08 20:31:13,Today a flyover w/ over 50 planes flew over the National Mall to honor the 70th anniversary of #VictoryInEuropeDay http://t.co/ya0fK544Bi,3,2
596766595558416385,2015-05-08 20:00:18,I was impressive to see the innovative solutions during my great visit w/ Emerson Electric in Round Rock this week! http://t.co/5zjcIZuBi8,1,2
596665598408527872,2015-05-08 13:18:58,Ck out the beautiful artwork done by some amazing District 31 artists from this year’s Congressional Art Competition. http://t.co/80ziQLyC2q,1,1
596426941995028481,2015-05-07 21:30:38,http://t.co/AKnqP9FqtJ,2,3
596343841294135296,2015-05-07 16:00:25,Congrats to John Lorek on receiving the Presidents Council on Fitness Sports &amp; Nutrition Community Leadership Award http://t.co/cva9LLIjqg,0,1
596299628900933635,2015-05-07 13:04:44,"Today is #NationalDayofPrayer I pray for our nation, our soldiers, our children &amp; our future. Blessings to all! http://t.co/V6o3buGm3L",5,3
595697710419812353,2015-05-05 21:12:56,Today is Teacher Appreciation Day! What are you doing to show your teachers how much you appreciate them today? http://t.co/nXlzARRegB,2,2
595301947923570689,2015-05-04 19:00:19,"Do you know the signs of a stroke? 

Face drooping
Arm weakness
Speech difficulty
Time to call 911

Spread the word! http://t.co/60aKAt8OMh",2,0
595271757474320386,2015-05-04 17:00:21,Congrats to Stefani &amp; Sir Willie on receiving Congressional recognition as Goodwill Industries Achievers of the Year! http://t.co/wXRq5wjt6k,0,1
595226401344659456,2015-05-04 14:00:07,http://t.co/ToDj3lbeyT,3,0
594886653983858689,2015-05-03 15:30:05,It's Lemonade Day! Help support your young neighborhood entrepreneurs by stopping by their lemonade stand! http://t.co/2Max1uxYX5,1,2
594192091888029697,2015-05-01 17:30:08,This is the earliest we have started the appropriations process since 1974! http://t.co/vfW6VQOHeL,1,1
594161893893275648,2015-05-01 15:30:09,http://t.co/2eHKDSm1pv,2,1
594131674587275264,2015-05-01 13:30:04,Congrats to Ronnie &amp; Dana for receiving the “Volunteer of the Year” award at the Round Rock PD Awards Ceremony! http://t.co/tB7Xmjh3NP,3,1
593905221790605313,2015-04-30 22:30:13,"I worked to stop a US Waters rule that would have horrible effects on American farmers, ranchers &amp; small businesses. http://t.co/9UX4Rh3GzJ",0,0
593875153114783744,2015-04-30 20:30:44,http://t.co/POKOgiSKIO,3,1
593844239794118656,2015-04-30 18:27:54,"11 years ago, on April 29, 2004, the WWII Memorial opened to honor the 16 million Americans who served in the war. http://t.co/0Zqb0pvpY5",2,0
593838233680764928,2015-04-30 18:04:02,RT @Vitiello_B2: @JudgeCarter Thanks for the flag and the recognition. Thanks for all you do #honoredtoserve http://t.co/UyZa4Ajnj0,2,0
593535924895555584,2015-04-29 22:02:46,"I met w/ the Presidents of @TexasTech Health Science Centers Dr. Mitchell &amp; Dr. Lange  about R&amp;D, education &amp; the VA. http://t.co/vURb24mKPH",0,1
