id,created_at,text,retweets,favorites
601168131436982272,2015-05-20 23:30:26,The House just paid tribute to Sgt. Eric Seaman from Murrieta and the other Marines who died serving others in Nepal https://t.co/uWQuDPS3BG,2,1
601123046435467264,2015-05-20 20:31:17,RT @GOPLeader: INFOGRAPHIC: How the America #COMPETESAct assures future U.S. economic competitiveness in technological innovation→  http://…,5,0
601107263248592897,2015-05-20 19:28:34,We can lead the world through research -- this bill clears the path: http://t.co/PgwBetFrEF,1,3
601102662898196480,2015-05-20 19:10:17,RT @HouseAppropsGOP: The Defense Subcommittee approved the FY16 Defense Appropriations bill on a voice vote.,2,0
601089760321531904,2015-05-20 18:19:01,Editorial: Obama's ISIS strategy under fire http://t.co/bF4MqGRiRv,0,0
600779246420627456,2015-05-19 21:45:08,"Today, the House will extend our federal highway programs, but I will keep advocating for a robust, long-term transportation bill.",0,1
600772425446346752,2015-05-19 21:18:02,"RT @SpeakerBoehner: We’ve kept our pledge to cut the cost of Congress, saving taxpayers $782 million. http://t.co/mu7WdeZyw3",1,1
600764133022117888,2015-05-19 20:45:05,"RT @politico: Robert Gates: U.S. has no Middle East strategy ""at all."" http://t.co/pS0Lo12X1a",3,0
600757076483133441,2015-05-19 20:17:03,Must read @washingtonpost editorial: The fall of Ramadi exposes Obama’s weak Islamic State strategy http://t.co/uvIbpJnRUm,1,0
600749043547934720,2015-05-19 19:45:08,Congrats to @UCRiverside’s @bournscollege on celebrating 25 years of educating our next generation of engineers! http://t.co/yGOf1aWskV,1,1
600742019405852673,2015-05-19 19:17:13,"Yesterday, I voted for bipartisan legislation (H.R. 1382) aimed at encouraging businesses to hire veterans.",0,1
600394702483918848,2015-05-18 20:17:06,RT @SpeakerBoehner This is our only way to stop a bad deal with #Iran → http://t.co/WK2QR43e8t,0,0
600379565610037248,2015-05-18 19:16:57,RT @HouseGOP: Why is #trade important? This is why: http://t.co/5Up7FQrYju,1,1
600351784205443073,2015-05-18 17:26:34,"Sgt. Eric Seaman from Murrieta died selflessly serving others. My thoughts, prayers, and deepest condolences go out to his family &amp; friends.",2,0
598209810694209536,2015-05-12 19:35:07,"Today, the House will vote on H. R. 1732, which puts on the brakes on EPA’s run-away regulatory overreach.",2,1
598194447680049152,2015-05-12 18:34:04,"This #PoliceWeek, tell the women and men in blue 'Thank you' http://t.co/2MNogLg0AV",1,3
598178385655922688,2015-05-12 17:30:15,More bullet-train funny math http://t.co/o24P8PCpUw,0,0
597552615249981440,2015-05-11 00:03:40,Congratulations to Murrieta's @RickieFowlerPGA on winning the Players Championship!,4,4
597437596017364992,2015-05-10 16:26:37,Happy Mother's Day to all of the moms out there. Thank you for everything you do!,2,4
595439680209825792,2015-05-05 04:07:37,RT @EastvaleMayor: @KFIAM640 @CrystalCruzCBS @NBCLA @KTLA @foxLAnews  https://t.co/SExTQIZxuv,3,0
595333835472044032,2015-05-04 21:07:01,Obama Administration Oversees Big Decline in American Energy Production on Federal Lands http://t.co/ORvHxMqxhB,0,0
595318752004059137,2015-05-04 20:07:05,"Contrary to goals, ER visits rise under Obamacare http://t.co/8w3aZKn68J",1,0
595303737813524480,2015-05-04 19:07:25,"Nearly half of ObamaCare exchanges face financial woes, report says  http://t.co/vCN0VNXUkE",0,0
594187839836921857,2015-05-01 17:13:15,Rep. Calvert Votes for Critical Water Infrastructure Amidst Ongoing California Drought http://t.co/3iYVMVt2qM,1,1
593935324742602754,2015-05-01 00:29:50,Rep. Calvert Votes to Fulfill Our Obligations to Our Veterans http://t.co/SIDvgATVRb,2,2
593863674768457728,2015-04-30 19:45:08,Here's what you should know about our appropriations bills on the floor this week: http://t.co/eqXx8m81es,2,0
593854343473827842,2015-04-30 19:08:03,#ThisDayInHistory George Washington was sworn in as the first President of the United States. http://t.co/6gftG0mWch,0,2
593842122962378754,2015-04-30 18:19:29,Today we're voting on our first appropriations bill of the season. Here's what you need to know: http://t.co/Nyo38ANAdo,15,13
593525951088107520,2015-04-29 21:23:08,RT @GOPLeader: President Obama again chooses vetoes over working with Congress → http://t.co/dKZjv9KNnf,5,0
593494259002671104,2015-04-29 19:17:12,The U.S. economy barely grew in the first quarter of 2015.  We must do better. http://t.co/sw5J1LL3Q6,1,0
593477779112534017,2015-04-29 18:11:43,"IRS watchdog finds 6,400 missing Lois Lerner emails http://t.co/uJDaS932Qj",2,0
593465961778384896,2015-04-29 17:24:46,RT @denise_kruger_: Thank you to @KenCalvert and staff for meeting with me this week to discuss @WaterRF and water in CA at #waterweek2015 …,1,0
593461561274015746,2015-04-29 17:07:16,"Last time the Appropriations process started this early, 'Bennie and the Jets' was the top song on the radio. http://t.co/6A1ieHgsnt",0,1
593179336104108032,2015-04-28 22:25:49,39.8 million jobs. That's how many rely on trade in our country. #TPA4USJobs http://t.co/1GHUgRwDT0,4,0
593163035516260352,2015-04-28 21:21:02,"This week, we're voting to fund your priorities.

Our veterans deserve the best -- so we're making sure they get the funding they need.",1,1
593104352774115328,2015-04-28 17:27:51,House Republicans are getting to work! This is the earliest we've starting the Appropriations process in over 40 years.,0,2
591659133025189888,2015-04-24 17:45:04,ICYMI - Read my op-ed with @RepSteveIsrael about the benefits of exporting #LNG to #Ukraine: http://t.co/n3NXxfL1jT  #natgas,3,0
591649221159342080,2015-04-24 17:05:41,Rep. Calvert to Host Annual Academy Night.  DETAILS: http://t.co/DgCWsqzwJq,0,0
591321148991770625,2015-04-23 19:22:02,House Republicans are getting things done for the American people http://t.co/YQk8d2Oxvi,2,1
591306138936803328,2015-04-23 18:22:24,My heartfelt and deepest condolences go out to the families of Warren Weinstein &amp; Giovanni LoPorto.,0,0
591281360771407874,2015-04-23 16:43:56,Read my op-ed with @RepSteveIsrael about the benefits of exporting #LNG to #Ukraine: http://t.co/n3NXxg2CIt  #natgas,2,0
591278953836457985,2015-04-23 16:34:22,I just introduced legislation to protect employee bonuses from unnecessary government regulations. http://t.co/mLs2y9kxGe,2,3
590974358136365056,2015-04-22 20:24:01,RT @HouseGOP: Some big accomplishments for the House through 100 days. http://t.co/0o3VH9iwrV http://t.co/YwPf6jF4c8,3,2
590949477818634241,2015-04-22 18:45:09,Celebrate #EarthDay and #FindYourPark http://t.co/3yj5SREn1X #NationalParkWeek,2,2
590947151364009984,2015-04-22 18:35:54,California's ObamaCare exchange  is facing a nearly $80 million budget deficit next year. http://t.co/vOKr53psQ8,2,0
590943987277680642,2015-04-22 18:23:20,Appropriations Committee Approves Fiscal Year 2016 Energy and Water Appropriations Bill http://t.co/5Mtf8BhWW7,0,0
590673377070698498,2015-04-22 00:28:01,Editorial Boards Applaud First Entitlement Reform in Decades http://t.co/coA5DMj4dF,2,0
590658275542077440,2015-04-21 23:28:01,EPA overreach too much even for Obama's professor http://t.co/7J7hwvk5vr,2,0
590643291978366977,2015-04-21 22:28:29,Unions want to raise costs for road work http://t.co/m75awaeBAd,0,0
590251387545460736,2015-04-20 20:31:11,"Incompetence, Mismanagement Plague California’s Obamacare Insurance Exchange http://t.co/9bbMMYvdXj via @DailySignal",1,0
590236019657613314,2015-04-20 19:30:07,U.S. economy isn't growing fast enough http://t.co/j0mSch3SBz,2,0
590221076753297408,2015-04-20 18:30:45,Where the West begins http://t.co/UzPD1EfSFD via @hughhewitt,0,0
589669183098458113,2015-04-19 05:57:43,RT @ABC7: #PRADODAM FIRE UPDATE: Horse evacuation center opened at Ingalls Park at 100 6th Street in Norco http://t.co/eOYnxoTUnf,38,0
589669166392573952,2015-04-19 05:57:39,RT @ABC7: #PRADODAM FIRE UPDATE: @RedCross has opened an evacuation center at Riley Gym at 3900 Acacia Ave in Norco http://t.co/eOYnxoTUnf,35,0
588428842206826496,2015-04-15 19:49:03,"RT @MLB Today, we celebrate the iconic Jackie Robinson. #Jackie42 http://t.co/06Q9hI6VTM",1,0
588413741974228993,2015-04-15 18:49:02,House upset by VA’s entrenched culture of retaliation against whistleblowers http://t.co/cOeb6kp1cn,3,1
588398641095671808,2015-04-15 17:49:02,Nothing is certain in life but death and taxes. We're making one of those better (taxes): http://t.co/wNx4mFZ5AY,0,0
588383485728980992,2015-04-15 16:48:49,Press Enterprise editorial: Cities should settle airport fight http://t.co/nAs5wXypbz #ONT,0,1
588092879714693120,2015-04-14 21:34:03,RT @NatlParkService #OTD in 1865 Lincoln was assassinated. Join us for 24hrs of tribute to his passing and legacy http://t.co/sNPxqCUrnk,2,0
588062467323924480,2015-04-14 19:33:12,Seven Bills to Stop IRS Abuse http://t.co/68jkf0dQhn,1,2
588047369674956801,2015-04-14 18:33:12,"Today the House is taking action (H.R. 650, H.R. 685) to expand home buying options for American families.",1,2
588032288706994178,2015-04-14 17:33:17,The bill provides critical funding for local Army Corps of Engineers flood control projects.  https://t.co/G2fdG9NDXY,3,1
