id,created_at,text,retweets,favorites
601422206124630016,2015-05-21 16:20:02,AK has world-class fisheries &amp; military....glad to see the Navy &amp; Cordova residents engaging directly over concerns. https://t.co/H6GN3DK3fX,2,1
601181172698320896,2015-05-21 00:22:15,Great to see Palmer Chamber of Commerce held a military appreciation luncheon to show support for our veterans. http://t.co/xkKjB9i0bi,1,6
601171591599390720,2015-05-20 23:44:11,This is good news for both communities involved - thanks to everyone who worked together on this effort. https://t.co/bhBVjq61b8,0,3
601168993559420928,2015-05-20 23:33:51,RT @CraigAKLibrary: Read about all the #NationalMedal Recipients. The Class of 2015 includes some incredible institutions and stories. http…,4,0
601166182511685633,2015-05-20 23:22:41,"@Chenagrrl If your call was inadvertently dropped, please call my office back.",0,1
601089972062531587,2015-05-20 18:19:51,RT @EnergyGOP: Murkowski: OCS Revenue-Sharing is ‘Simple Fairness’ http://t.co/PSqOaxfDJw via @alaskapublic #offshore,4,0
601052077360545792,2015-05-20 15:49:16,RT @Ch2KTUU: We've got your map of where to find Bike to Work Day treats this morning right here: http://t.co/DKFPYdhoMo #ktuu http://t.co/…,7,0
601014996852703232,2015-05-20 13:21:56,"Happy Bike to Work Day, Anchorage! Be extra careful on the roads and make sure to look out for each other!",2,4
600858738082357248,2015-05-20 03:01:01,"@Iceblue52Roth absolutely! As a scientific research opportunity, these icebreakers open up a new world of knowledge.",0,0
600855404722130944,2015-05-20 02:47:46,RT @EnergyGOP: Miss our hearing this morning on U.S. #energy supply? Here's a recap: http://t.co/Rr1hlScOFh #energyisgood http://t.co/Nubi2…,2,0
600828413096665088,2015-05-20 01:00:31,"I introduced bipartisan legislation to authorize 6 heavy icebreakers. From a military perspective, it's imperative. http://t.co/RdhcwXVJQW",13,6
600749167141527554,2015-05-19 19:45:37,"Updated @DucksUnlimited on my Bipartisan Sportsmen's Act to open up lands for hunters, fishermen, and outdoorsmen. http://t.co/pdIvqOsUdS",2,3
600736851603955713,2015-05-19 18:56:41,"RT @EnergyGOP: .@lisamurkowski: The irony of denying #Alaska opportunity while people 4K miles away lock up access to our resources
https:/…",7,0
600734774550994944,2015-05-19 18:48:26,"Great op-ed from @defense_news on what many in AK know: the Arctic is full of opportunities, and the US must engage: http://t.co/ZUoJNhnJ28.",5,3
600664878567784453,2015-05-19 14:10:41,RT @EnergyGOP: Murkowski: America is the leader in all #energy. We have it all. #energyisgood: http://t.co/7PZ5R2A8iV,4,0
600339298714525697,2015-05-18 16:36:57,"This past weekend, a grateful crowd of Alaskans came together to salute the 2nd Engineer Brigade at a… https://t.co/kZUMnemk7q",1,0
600331275644366848,2015-05-18 16:05:04,Proud to cosponsor USA Freedom Act to protect privacy; @washingtonpost says “It should pass...the sooner the better.” http://t.co/2YKJdFb8lr,7,6
