id,created_at,text,retweets,favorites
601029977568587776,2015-05-20 14:21:27,Have you signed up for the Virginia Young Professionals summit yet? http://t.co/g2YYWgcxx3 #VAYPS15 http://t.co/2O0DBTdEnW,12,4
600800471641661440,2015-05-19 23:09:29,Looking forward to joining the DC premiere of #SlutThePlay tonight for an important conversation about sexual assault and rape culture.,18,18
600769864215744512,2015-05-19 21:07:52,Rand Paul &amp; I introduced a bipartisan bill to empower federal employees to reduce wasteful end-of-year spending: http://t.co/uxuIqyrhlE,8,10
600365071051726848,2015-05-18 18:19:21,Happy 50th Anniversary @HeadStartgov! Thanks for providing opportunities for our most vulnerable kids #HeadStart50 http://t.co/DFueBRLF7V,16,6
599698499450609665,2015-05-16 22:10:38,Stopped by the Greek Festival in Norfolk this afternoon http://t.co/hsgxCzHmSO,8,11
599696038992183296,2015-05-16 22:00:52,RT @PilotNews: Photos | Commencement at TCC in Norfolk http://t.co/97USnbPNer,4,0
599626114680627200,2015-05-16 17:23:00,"So glad I could join @TCCva faculty, grads &amp; their families today. Congrats! There are great things ahead #tccgrad15 http://t.co/iFQovWIAJQ",20,19
599373054297382912,2015-05-16 00:37:26,Inexcusable that veterans are waiting double the national average at Hampton VA Med Center for doctors appt. http://t.co/myOIpZorIG,26,20
599254447777251328,2015-05-15 16:46:08,"Honored to celebrate w/ 1,700 grads! RT: @mjb2144 Just had Sen Warner on my flight! Brought down 4 TCC Grad! @TCCva http://t.co/46SOnIN0bF",9,6
599245510088724480,2015-05-15 16:10:37,RT @VACommerce: Now is the time 4 #VaCraftBeer Thx @MarkWarner @VaDHCD @VisitVirginia #VABiz 4 #NewVAEconomy @GovernorVA #SouthwestVA http:…,7,0
598959794997829632,2015-05-14 21:15:17,"Motion picture Loving, telling the story of a couple’s courageous fight for equality, will be filmed in Virginia  http://t.co/LnnI3MxBDI",13,8
598592646391734275,2015-05-13 20:56:22,Just intro'd a bill w/ @SenRonJohnson &amp; @KellyAyotte to require @IRSnews to notify tax-related identity theft victims http://t.co/pb8mXPMWTV,12,6
598552777908957184,2015-05-13 18:17:57,RT @WaarInfo: Senator Mark Warner addresses Virginian REALTORS  during the Legislative meetings in DC. http://t.co/nyV3tIF6Rk,2,0
598546010139467776,2015-05-13 17:51:03,.@TCCva Looking forward to congratulating all the graduates &amp; their families! #TCCgrad15,13,7
598545706438234112,2015-05-13 17:49:51,RT @TCCva: .@MarkWarner Looking forward to hosting you at commencement on Saturday!  http://t.co/T7fkUH25iN #TCCgrad15,3,0
