id,created_at,text,retweets,favorites
601168096347496449,2015-05-20 23:30:17,Congrats to the @VanderbiltU Women's Tennis team on winning the 2015 NCAA Division I Women's Tennis Championship! http://t.co/72rBrg3Zxo,3,5
601137966363312131,2015-05-20 21:30:34,"#Cures2015 will enable people to live better, healthier lives. http://t.co/y9bXEj72Dh",4,2
601122861227606016,2015-05-20 20:30:33,It’s my hope these courts will rule in favor of free expression of faith. http://t.co/64D5u2SLLp,2,0
601087404368338944,2015-05-20 18:09:39,RT @YVPatLawler: Thx to @MarshaBlackburn for hosting @Results4America &amp; @youthvillages #whatworks for youth #agingout of #fostercare http:/…,6,0
601074367351681025,2015-05-20 17:17:51,Today @HouseCommerce #SubCommTech considers 7 bills aimed at improving transparency &amp; accountability at the FCC. http://t.co/dL9eliwkQB,2,0
601060000329531392,2015-05-20 16:20:45,It's ridiculous the EPA wants to regulate your mud puddles as navigable waterways. http://t.co/Cg464qNZee,8,4
600983770867576832,2015-05-20 11:17:51,I'll be on air with @RalphBristol this morning at 7:35am EST. Hope you'll join me.,1,1
600745483632513024,2015-05-19 19:30:59,"As if Obamacare isn’t already unaffordable, these potential premium hikes could be disastrous. http://t.co/BfrJoqWn3q",7,6
600717826962432000,2015-05-19 17:41:05,"Signed, sealed, delivered. 51 of my colleagues signed my letter to the #IRS. I’ll keep you posted on the response. http://t.co/PIVDmqrqNx",18,13
600692711113523201,2015-05-19 16:01:17,Joining @PointofViewRTS @ 3:30pm EST re: legislation I’ve reintroduced to block the Administration’s efforts to take over the Internet.,3,3
600656015353327616,2015-05-19 13:35:28,RT @RepChrisCollins: For me #Cures2015 is about Incentivizing Innovation &amp; Defeating Disease. To learn more check out @HouseCommerce video …,4,0
600462203662311424,2015-05-19 00:45:20,"There is no example of gov't run health care bringing down costs, increasing access &amp; delivering better outcomes. http://t.co/z2Ugm74Ey8",13,6
600425713859219458,2015-05-18 22:20:20,"Proud to introduce the #SOFTWAREAct w/@RepGeneGreen, encouraging Health IT innovation &amp; a #Path2Cures http://t.co/gmys5H9p5B",0,0
600394101851316226,2015-05-18 20:14:43,"Cybersecurity isn’t just a matter of keeping our financial &amp; personal info safe, it’s a matter of nat'l security. http://t.co/RmgItE1mrX",8,2
600364739399688192,2015-05-18 18:18:02,Why we must give our troops what they need to fight terrorism &amp; provide for the common defense. #MondayMotivation http://t.co/WO8ij96fc0,3,2
600295845163114496,2015-05-18 13:44:17,Hope you enjoyed your weekend. Jack &amp; Chase helped me harvest their lettuce crop after Sunday lunch was finished. http://t.co/tIZR8WsCjo,1,6
599326041698652160,2015-05-15 21:30:37,#NDAAFY16 passed &amp; will restore to 100% vital training for Army's flying hours program. Great news for @FortCampbell http://t.co/8ymI45nZJx,2,3
599243411468713985,2015-05-15 16:02:17,ICYMI: My interview w/@Greta last night on letter to the IRS re: Clinton Foundation http://t.co/gsssQuYXU6,13,5
599211067026382848,2015-05-15 13:53:45,"God bless B.B. King for blessing us with wonderful music, fabulous stories &amp; running the riff on his old guitar. http://t.co/liL04cp2ML",9,14
598973313201876992,2015-05-14 22:09:00,Close to 30 of my House colleagues agreed to sign my letter to the #IRS. Join me tonight on @FoxNews w/@greta at 6:30pm CT/7:30pm EST.,8,8
598901945424879616,2015-05-14 17:25:25,"""Obamacare is hardly the unmitigated success that its many apostles proclaim."" http://t.co/4OQBAGXWEq",12,6
598887376266592256,2015-05-14 16:27:31,Joining @WilkowMajority at 12:40pm EST to talk about the tax status of the Clinton Foundation. Be sure to tune in.,0,0
598864944340332544,2015-05-14 14:58:23,You've got a problem when the neighbors don't trust you. http://t.co/mvwECofgwI,4,2
598639031438725120,2015-05-14 00:00:41,Joining the @DavidWebbShow tonight at 9:40pm EST to discuss my letter requesting the IRS investigate Clinton donations.,7,6
598625486663712768,2015-05-13 23:06:52,"Pleased to help lead effort to pass #HR36, protecting women &amp; children from dangerous late-term abortions. http://t.co/kwvR2ODv1A",14,17
598570516547510272,2015-05-13 19:28:26,This is exactly why too much government is bad government. http://t.co/NEu0txfmR6,6,8
598516707821518848,2015-05-13 15:54:37,Humbled to meet constituents w/ the @alsassociation yesterday. http://t.co/Db0P1Ki36o,5,5
598499194098327552,2015-05-13 14:45:02,Today marks 2 years since Dr. Gosnell’s conviction. Read my op-ed w/@SteveScalise re: our vital first right; life. http://t.co/Wm4r5dRTV6,16,15
598259222372024320,2015-05-12 22:51:28,RT @dcexaminer: NEW: Life: our first right http://t.co/unEshARFYQ via @MarshaBlackburn and @SteveScalise http://t.co/aWznb1nSGp,17,0
598177355350282241,2015-05-12 17:26:09,HR1732 will allow us to craft a sensible solution to protect our waters w/o a vast expansion of the fed gov’s reach. http://t.co/Y6cUTgPUdZ,11,5
598141514087309313,2015-05-12 15:03:44,We know that the thin blue line is a family &amp; we appreciate your commitment to serve &amp; protect. http://t.co/hXSQNBE8hL #HeroesInBlue,8,4
597837396068200448,2015-05-11 18:55:17,Visited @DispensaryHope in Nashville. Good to see efforts to keep the safety net working for those who need it most. http://t.co/fUGRdWi5Rb,1,2
597781948552077312,2015-05-11 15:14:57,Congrats to 8 Williamson County students named Nat'l Merit Scholars. I wish you the best in your future endeavors. http://t.co/BrQ8mvdDjF,0,2
597050268648415232,2015-05-09 14:47:31,Speaking at the #SCSummit around 11am CT/12pm EST. Click for a list of speakers and to watch LIVE: http://t.co/SoYoQI2wVL,12,7
596809040128258048,2015-05-08 22:48:57,Tmrw I’ll be speaking w/Steve Bannon on Breitbart Sirius XM Radio ahead of my remarks at the SC Freedom Summit. Tune in around 10am EST!,4,5
596763900982472704,2015-05-08 19:49:35,"On this #VEDay, thank you to all who served. http://t.co/pKp8ykG7Bc",12,10
596678100068466688,2015-05-08 14:08:39,Congrats to the cast &amp; crew of @Nashville_ABC. Thank you for highlighting the talent that makes Tennessee so great. http://t.co/c4H9KFG9X2,3,3
596330110652940289,2015-05-07 15:05:52,"Praying for our leaders, servicemembers, and nation today, on the 64th annual #NationalDayofPrayer. http://t.co/INM0N1t4WB",12,9
596305812387160064,2015-05-07 13:29:19,"Enjoyed joining @SenJohnson, @JeremyRDurham , &amp; @mayorkenmoore for West Haven's Coffee with your Congressman event. http://t.co/1TH3CaVcis",2,5
596099103106412544,2015-05-06 23:47:55,RT @wcsBHS: Congratulations Josie Dowd - Congressional Art Winner!! Josie's artwork will be hung in the US Capitol Building!! http://t.co/3…,8,0
596098697689182208,2015-05-06 23:46:19,Middle TN is home to many pioneers in the healthcare field. Great to see some receiving the recognition they deserve. http://t.co/gfKrvgFWic,1,3
596051283791994881,2015-05-06 20:37:54,Tomorrow marks the 64th #NationalDayofPrayer. If you’re interested in attending an observance; search for one here: http://t.co/rNCXe3X09B,6,9
596036733046755329,2015-05-06 19:40:05,Happy #NursesWeek! The compassion &amp; care you show your patients is greatly appreciated. http://t.co/fMslwqPh2a,6,4
596001235909681153,2015-05-06 17:19:02,#IRS issued $5.6 billion in potentially bogus edu tax credits. Spoke w/@greta on how we should hold #IRS accountable. http://t.co/GpgkXsozxu,4,1
595709844151205890,2015-05-05 22:01:09,Joining @Greta on @FoxNews tonight to discuss IRS waste. Tune in around 6:40pm CT / 7:40pm EST.,5,3
595696493102759936,2015-05-05 21:08:06,"Honored to receive 2015 Medicare Part D Patient Access Champion Award. @NAMI_Tennessee, @TLACC, &amp; @MensHlthNetwork http://t.co/KnFzhkkZbn",3,10
595668799598243840,2015-05-05 19:18:03,Glad to be at the JTG Board Mtg today w/@EddieGeorge2727 &amp; @MaryLittleton78. Appreciate their work in the community with local HS students.,2,0
595613602566012928,2015-05-05 15:38:43,"Congrats to Dr. Ed Glaser of Sole Supports, Inc., for being named @SBAgov's TN Small Business Person of the Year. http://t.co/JIRfvtsapH",1,1
595325761365680128,2015-05-04 20:34:56,Joining Americana Music for #amtriangle kickoff. http://t.co/Je4dn4Ccf5,1,4
595318849240735744,2015-05-04 20:07:28,Pleased to join @BillHaslam and @SenJackJohnson for the investiture of Judge Deanna Johnson http://t.co/30m6HIO5Pc,1,3
595262699744919552,2015-05-04 16:24:21,Woman of Distinction with @IngrahamAngle and @thenaomijudd is underway now. Thanks all! http://t.co/sadNdOsRHP,13,41
595251699998203906,2015-05-04 15:40:39,"Congrats to @VanderbiltU coach, Geoff Macdonald, for being named SEC Women's Tennis Coach of the Year. http://t.co/PJORXO4AK8",1,1
594294205838655488,2015-05-02 00:15:54,#SBW2015 is around the corner! Proud of all the small businesses that call #TN07 home. http://t.co/gGgKi3cJQL,3,4
594231869996138496,2015-05-01 20:08:12,"Pleased w/ passage of  H.J. Res. 43, expressing disapproval of #RHNDA &amp; protecting religious freedom http://t.co/34nxGDjnmI",3,3
594218441327902720,2015-05-01 19:14:51,"Supported House passage of FY16 Energy &amp; Water Appropriations Act, protecting taxpayers from DOE regulatory overreach http://t.co/5Qo9Vb5UFd",4,0
594198581776625664,2015-05-01 17:55:56,Pleased to work w/@RepCharlieDent &amp; @ToddRokita to protect our homes &amp; ceiling fans from regulatory overreach. http://t.co/FFhFKXPH9G,6,3
594150003704201216,2015-05-01 14:42:54,Continuing my fight to rein in the DOE and protect Americans from regulatory overreach. http://t.co/GfNp97j84z,23,16
