id,created_at,text,retweets,favorites
601173496962686976,2015-05-20 23:51:45,My floor speech today calling on Congress to end the NSA bulk collection program: http://t.co/LMZiXZLmYJ,12,10
601092774528679937,2015-05-20 18:30:59,Extending the #PatriotAct takes our eye off a long-term solution. We must #EndThisDragnet. @washingtonpost: http://t.co/weLRWl5Zkm,20,15
601082229293502464,2015-05-20 17:49:05,Enjoyed talking with Gila/Mimbres Community Radio host Jamie Newton. Tune in to 89.1FM or http://t.co/a3a1LBRBNE for news from Grant County!,2,0
600754701403951105,2015-05-19 20:07:36,"As a proud supporter of #MarriageEquality, I'm glad to see #NoH8OnTheHill working to build awareness. #LoveCantWait http://t.co/mRxTW52VqL",6,12
600726939968602112,2015-05-19 18:17:18,Extending the #PatriotAct is not an option. We must #EndThisDragnet and pass the #USAFreedomAct http://t.co/xnnMngHUsL,27,25
600673289086828545,2015-05-19 14:44:06,RT @GreenChamberLC1: .@MartinHeinrich being interviewed about what Organ Mountains-Desert Peaks Monument means for NM #CelebrateOMDP http:/…,5,0
600435747607445505,2015-05-18 23:00:12,"RT if you think it’s #TimeToWakeUp &amp; #ActOnClimte. Thank you, @SenWhitehouse for taking on this issue week after week http://t.co/gHEE9TVACb",47,30
600367508126887936,2015-05-18 18:29:02,I strongly oppose extending the Patriot Act without making reforms to protect Americans’ privacy &amp; civil liberties. #EndThisDragnet,71,76
600367414539329536,2015-05-18 18:28:40,The NSA’s bulk phone records collection is a major invasion of Americans’ privacy. #Fight215 #EndThisDragnet,132,136
600367329797656576,2015-05-18 18:28:20,"RT @RonWyden: Every day at 2:15 pm PT and 2:15 pm ET, I’ll be tweeting to urge Congress to #EndThisDragnet. Schedule your tweets &amp; join me",43,0
600349108780535808,2015-05-18 17:15:56,"It's morally imperative we embrace the challenge &amp; #ActOnClimate, using science as our guide to making solid policy decisions. #TimeToWakeUp",8,7
600349036307185664,2015-05-18 17:15:38,I commend @SenWhitehouse for highlighting why it’s #TimeToWakeUp &amp; #ActOnClimate. Tonight is his 100th speech on climate change. #100Reasons,7,3
600304042796023810,2015-05-18 14:16:51,Productive visits to @lcdfnm &amp; Santa Teresa Port of Entry this weekend.  @elpasotimes: http://t.co/dEP9zLTgBb,2,0
599944782153129984,2015-05-17 14:29:17,A big thank you to everyone who made Organ Mtns-Desert Pks events a success! #celebrateomdp @crucessunnews: http//:http://t.co/6QO8sgzzA6,3,1
599686040060825600,2015-05-16 21:21:08,With members of the Border Industrial Association at the Union Pacific Intermodal Facility in Santa Teresa. http://t.co/FOiCwAx5yZ,2,2
599650906863489024,2015-05-16 19:01:31,Wind turbine blade work in Santa Teresa http://t.co/pnXmjiIbrX,4,6
