id,created_at,text,retweets,favorites
601092931462762496,2015-05-20 18:31:37,"Always happy to advocate for Hawaii residents like Debra, who was falsely declared dead by the Social Security Agency http://t.co/etaEa9dyO5",0,1
601085003901075458,2015-05-20 18:00:07,RT @KITV4: Trending: Kauai woman says Social Security thought she was dead http://t.co/P5LXt8RlvY http://t.co/OwtwZbSWp8,4,0
600784257540206593,2015-05-19 22:05:03,I met with future @Interior summer intern Martin Moore &amp; am proud that he is pursuing a career serving Insular Areas http://t.co/XBizGFGbNi,3,3
600780765400604672,2015-05-19 21:51:11,"Congrats to HI students Fuatino &amp; Martin of @Chaminade_Univ, James of @UHManoaNews who will intern with @Interior Office of Insular Areas",4,5
600744279879884802,2015-05-19 19:26:12,Read the amicus brief @SenBlumenthal @SenWhitehouse  @ChrisCoons &amp; I filed to #Fight4DAPA here: http://t.co/6qqtpBHaVp,8,4
600738050466021376,2015-05-19 19:01:27,I won't give up the #Fight4DAPA until all families are reunited. Our immigration system is broken &amp; relief for families is long overdue,9,9
600373463782694912,2015-05-18 18:52:42,"As we celebrate 50 years of Head Start, I'll continue to fight for this vital program that has helped countless Hawaii keiki #HeadStart50",4,4
600360086566019073,2015-05-18 17:59:33,Happy Anniversary Head Start! Quality early learning helps our keiki enter kindergarten ready to succeed. #HeadStart50,3,2
598621777401618432,2015-05-13 22:52:08,"Happy to join @SenBrianSchatz, @amyklobuchar &amp; AAPI leaders to celebrate #APAHM2015 http://t.co/d4UwSqKl0o",8,7
598614157286576128,2015-05-13 22:21:51,"Today, I introduced a package of bills to put us on a path to a clean energy economy http://t.co/tiIhspitte",6,11
598308703251484672,2015-05-13 02:08:05,Stay in touch with me on my new Facebook page at http://t.co/8K0XxTSTAm,3,2
598247557576433664,2015-05-12 22:05:07,My Hawaii delegation colleagues and I are fighting to restore Medicaid access to COFA migrants http://t.co/lrvXubUPWt,0,1
597873074277593088,2015-05-11 21:17:03,I'm always looking for new ways to connect with you- check out my Facebook page at http://t.co/8K0XxUauYW,5,0
597836429138485248,2015-05-11 18:51:26,"Today, I am proud to introduce the Viral Hepatitis Testing Act in honor of #APAHM2015. @HepBFoundation @AAPCHOtweets @apiahf",10,6
596736432321875969,2015-05-08 18:00:26,"Today we honor our heroes who liberated Europe, including Hawaii's 442nd RCT &amp; 100th Battalion veterans #VEDay70 http://t.co/TDLRkaQNdS",3,0
596719594913583104,2015-05-08 16:53:32,Mahalo to Hawaii's dedicated educators who changed my life &amp; so many others #ThankATeacher,5,4
595699505149837312,2015-05-05 21:20:04,Small businesses create 2 out of every 3 new jobs. Learn more about starting a small business at https://t.co/giXIoJTRMD #DreamSmallBiz,1,1
595694726705188867,2015-05-05 21:01:04,"Join me in observing National Small Business week &amp; celebrating the 121,000 small businesses in Hawaii. #DreamSmallBiz",2,2
595666798797684736,2015-05-05 19:10:06,"The #GOPBudget would cause 13,000 HI residents to lose health coverage http://t.co/TdjgLGw1It http://t.co/v17Y1YmRUB",1,2
595664403422314496,2015-05-05 19:00:35,"While HI is building a clean energy future, the #GOPBudget cuts agencies that protect our air and water http://t.co/AEe7Qeex8N",1,4
595661760763297793,2015-05-05 18:50:05,Visitors to HI's national parks spent $340 million last year. The #GOPBudget would delay or cancel improvements http://t.co/ZDoAjS0iPt,4,3
595657995675009024,2015-05-05 18:35:07,"8,000 Hawaii workers would lose access to job training &amp; assistance under the #GOPBudget http://t.co/TdjgLGw1It http://t.co/QBbxmMGvNi",2,3
595654208654692352,2015-05-05 18:20:04,"Instead of making college more affordable, the #GOPBudget would cut Pell Grants for 22,000 students in HI http://t.co/WW65kn7Iqn",0,3
595651699789836288,2015-05-05 18:10:06,"Students at Title I schools would suffer under the #GOPBudget, which cuts $4.2 mil from Hawaii alone http://t.co/mEII01cR2m",1,2
595649323808919552,2015-05-05 18:00:40,120 children would lose access to Headstart programs under the #GOPBudget http://t.co/TdjgLGw1It http://t.co/zO4Tj3sK5D,4,4
595645411190116352,2015-05-05 17:45:07,Seniors worked too hard for Medicare benefits to lose them to special interests #GOPBudget http://t.co/TdjgLGw1It http://t.co/BGOcJadUct,0,6
595641156240863235,2015-05-05 17:28:12,The #GOPBudget would weaken our economy &amp; cost Hawaii jobs http://t.co/TdjgLGeqQV http://t.co/7Is43c7hXQ,2,4
595636405897932802,2015-05-05 17:09:20,The #GOPBudget is bad for Hawaii families &amp; the middle class http://t.co/TdjgLGeqQV http://t.co/HHX4lbyZJu,0,3
595632602381430784,2015-05-05 16:54:13,Stay tuned for my top 10 reasons why the #GOPBudget is bad for the middle class &amp; Hawaii http://t.co/TdjgLGeqQV,3,4
594242928186384384,2015-05-01 20:52:09,May is Asian Pacific American Heritage Month &amp; I look forward to celebrating the success of the AAPI community #APAHM http://t.co/s8m35hhtgT,6,6
593905515081654272,2015-04-30 22:31:23,Good luck to Marcus Mariota in tonight's #NFLDraft! Hawaii will be cheering you on,4,5
593840368988348416,2015-04-30 18:12:31,I know firsthand how hard it is to make ends meet in a minimum wage household. Let’s #RaiseTheWage &amp; lift millions out of poverty,5,7
593836715783155712,2015-04-30 17:58:00,The majority of minimum wage workers &amp; tipped workers are women. Let’s #RaiseTheWage &amp; give families a much needed raise,14,13
593539292347146240,2015-04-29 22:16:09,Prime Minister Abe's address was a testament to the strong relationship between our two countries #AbeInTheUSA http://t.co/MKnKUj7ZPN,4,5
593469048362504192,2015-04-29 17:37:01,"Happy to be on PM Abe's escort committee with @DorisMatsui- or as the press knows her, the other Mazie Hirono http://t.co/Mlmlr3adnH",10,11
593116129859641344,2015-04-28 18:14:39,"As a long time supporter of marriage equality, it's clear that #LoveMustWin #SCOTUS http://t.co/ByUpzZgfze",22,27
593111137241210881,2015-04-28 17:54:49,Proud to join folks from all over the country to tell the Supreme Court that #LoveCantWait http://t.co/3nIMw9yNjN,18,14
592819695381807106,2015-04-27 22:36:44,Productive meeting with Japanese Defense Minister Gen Nakatani this afternoon to kick off #USAJapan70 http://t.co/xNIF94imoc,3,4
592713916150620163,2015-04-27 15:36:24,My thoughts are with those recovering from the devastating Nepal quake and their families. https://t.co/euivvUSqbg,2,3
591701873171767296,2015-04-24 20:34:54,"RT @CivilBeat: #Civilbeat Editorial: @maziehirono Should Continue to Resist Efforts to Weaken #FOIA
http://t.co/LaO5lkZi1h http://t.co/qvax…",6,0
591694574545960960,2015-04-24 20:05:54,Hawaii Editorial Board praises my fight for transparency in cybersecurity bill http://t.co/rHVQ2zfpIC,3,3
591316310199525376,2015-04-23 19:02:49,Loretta Lynch's wealth of experience will serve her well as our next Attorney General. http://t.co/0ZDrs6RCEK http://t.co/BYLf13pJRS,5,5
