id,created_at,text,retweets,favorites
601151804978651137,2015-05-20 22:25:33,Today @SenateMajLdr McConnell welcomed members of @KBT4AllModes to the @uscapitol and discussed #Kentucky priorities. http://t.co/CGMKaSXBBe,2,3
601151619758170112,2015-05-20 22:24:49,Thx Senate Cmte on Environment &amp; Public Works Chairman @InhofePress for talking transportation policy w/@KBT4AllModes http://t.co/b86lGdMXwz,1,1
601118936265007104,2015-05-20 20:14:57,Meeting w/ members of the @KBT4AllModes to discuss transportation &amp; infrastructure issues important to #Kentucky https://t.co/xS2vfMU2Mj,2,3
601090509117988864,2015-05-20 18:21:59,"Thanks, @SenMarkey. We look forward to hearing from @HHSGov on this important issue.   https://t.co/BB06Sqv88l",0,3
601072122505601026,2015-05-20 17:08:56,.@SenateMajLdr McConnell spoke with @FocusFamily during their Faith and Freedom Forum today in D.C. http://t.co/9ECJ00k56m,0,5
601069391200002049,2015-05-20 16:58:04,"Trade Promotion Bill Will Help Spur Better Jobs, Higher Wages and a Stronger Economy http://t.co/FW0NfV4YQk",3,2
601069243917062146,2015-05-20 16:57:29,McConnell Praises House Passage of Human Trafficking Bill https://t.co/Bi7t7RLJgx,2,1
601068952794570752,2015-05-20 16:56:20,.@SenateMajLdr McConnell on the Passage of Human Trafficking bill: http://t.co/SE5D401hb5,0,0
601068701815840768,2015-05-20 16:55:20,The Justice For Victims of Trafficking Act represents a vital ray of hope for the countless victims of modern slavery who need our help - MM,0,0
601041651809787904,2015-05-20 15:07:51,.@SenateMajLdr meets w/@DeptofDefense Sec. Carter   to discuss importance of @FortKnoxKy &amp; @FortCampbell to #Kentucky http://t.co/fSMgmqjZsz,4,4
600780238352687104,2015-05-19 21:49:05,RT @bereaonline: Senators McConnell &amp;#038; Markey Partner on National Effort to Address Prescription Drug a... http://t.co/kZ0ZCZg0HD http:…,2,0
600745945865789441,2015-05-19 19:32:49,McConnell | Expanding free trade will grow Kentucky exports http://t.co/Hozmuq9mnS via @courierjournal #TPA4USJobs,2,1
600744845896986624,2015-05-19 19:28:27,Trade is key to high-quality #Kentucky jobs &amp; a way to export more of the things Kentucky workers make. #TPA4USJobs http://t.co/oryunT9CII,4,2
600734591159279616,2015-05-19 18:47:42,McConnell teams with Dem to press HHS for opioid action http://t.co/qVbBe8MNDn,3,0
600734289362165760,2015-05-19 18:46:30,"Thanks to Chase Robbins, Pres. of Apex Motorsports in Shelbyville, #Kentucky, for attending today's #Trade presser.
https://t.co/EGrGIZ22zq",3,1
600727018372767745,2015-05-19 18:17:36,"RT @bereaonline: “Blue Alert Act” Signed into Law -  http://t.co/7v1QjsYkuO - Mitch McConnell
U.S. Senate Majority Leader Mitch Mc... http:…",3,0
600700892065767424,2015-05-19 16:33:47,.@SenateMajLdr McConnell-sponsored “Blue Alert Act” signed into law by POTUS. http://t.co/3uTOYPYQ2f #Kentucky cc @kystatepolice,0,1
600688296591785985,2015-05-19 15:43:44,RT @HarmReduction: .@McConnellPress @SenMarkey request metrics &amp; strategies for @SecBurwell Opioid Initiative http://t.co/sO5Gglwgof http:/…,1,0
600688264035598336,2015-05-19 15:43:37,RT @HarmReduction: Leadership: @McConnellPress @SenMarkey call for @Surgeon_General report &amp; call to action on opioid &amp; heroin crisis http:…,2,0
600688238135746561,2015-05-19 15:43:30,"RT @HarmReduction: .@McConnellPress &amp; @SenMarkey: ""crisis of opioid related overdoses strikes w/out regard to geography, age, race, or soci…",4,0
600686781865009152,2015-05-19 15:37:43,RT @HarmReduction: Thank you! Senators @McConnellPress &amp; @SenMarkey Partner on National Effort to Address Rx Drug &amp; Heroin Crisis http://t.…,2,0
600683512312770560,2015-05-19 15:24:44,.@SenateMajLdr McConnell &amp; @SenMarkey Partner on National Effort to Address Prescription Drug and Heroin Crisis http://t.co/ANdJOgdwqs,1,1
600680392434327553,2015-05-19 15:12:20,"Chase Robbins of Apex Motorsports Inc of Shelbyville, #Kentucky speaking next at McConnell presser on #Trade. Watch: https://t.co/uFOAeH1eiL",1,0
600678207310974976,2015-05-19 15:03:39,". @SenateMajLdr, @SenJoniErnst, Sen. @MarkWarner &amp; small business owners hold press avail now. #TPA4USJobs. LIVE:https://t.co/uFOAeH1eiL",4,0
600677941731786752,2015-05-19 15:02:36,Trade press conference live now: https://t.co/uFOAeH1eiL,0,0
600663834001571840,2015-05-19 14:06:32,"In Kentucky, trade study says it could bring almost $3 billion in new investment and support more than 18,000 additional jobs.",3,0
600389118707822592,2015-05-18 19:54:55,"Senate Agenda This Week to Focus on #Trade, #FISA and #HighwayFunding https://t.co/seTPsvoOFG",1,2
600384313818030082,2015-05-18 19:35:49,"Senate Agenda This Week to Focus on Trade, FISA and Highway Funding http://t.co/zlYBiF99FQ",2,2
600312457408675840,2015-05-18 14:50:17,McConnell | Expanding free trade will grow Kentucky exports http://t.co/Hozmuq9mnS via @courierjournal,3,1
600310282813079552,2015-05-18 14:41:39,.@SenateMajLdr McConnell's op-ed on #trade in today's @courierjournal. #Kentucky #TPA #TPA4USJobs http://t.co/IxMER4OAeF,6,2
599919063553314816,2015-05-17 12:47:05,"Coming Up on @ThisWeekABC: @SenateMajLdr Mitch McConnell http://t.co/BpUQT4b1Mz""",6,4
599268207506108416,2015-05-15 17:40:49,#PoliceWeek #Kentucky http://t.co/1JG0oNMcMo http://t.co/YYMbw75QqE,9,7
598976437069029376,2015-05-14 22:21:25,McConnell Honors Nation’s Law Enforcement Officers https://t.co/zS3HXxxleU #PoliceWeek,1,2
598976268936163329,2015-05-14 22:20:45,McConnell Honors Nation’s Law Enforcement Officers http://t.co/1JG0oNuBnO #PoliceWeek,4,3
598970376949895168,2015-05-14 21:57:20,"""I want recognize the many men and women who protect and serve as peace officers in my home State of #Kentucky"" - @SenateMajLdr #PoliceWeek",7,8
598969449840939009,2015-05-14 21:53:39,McConnell honoring our nation's law enforcement officers on Senate floor now. #NationalPoliceWeek Watch live here: http://t.co/pVTrJKk7Li,3,4
598961328687063041,2015-05-14 21:21:23,".@SenateMajLdr McConnell meets w/ @KYSTATEFOP members to discuss issues important to our law enforcement.
#Kentucky http://t.co/PFpek2arEL",4,2
598947314926014466,2015-05-14 20:25:42,"""Proud to support this bill which honors sacrifices of those on front-line in protecting #Kentucky"" -- @SenateMajLdr https://t.co/jYHO7nUl9s",4,5
598900084672229376,2015-05-14 17:18:01,#TPA4USJobs http://t.co/1R9fIPgFtG,15,4
598869510909796352,2015-05-14 15:16:32,.@KentuckyNewEra: McConnell once again shows how to govern http://t.co/a8XtZ78jPA #Kentucky,2,3
598867011830185984,2015-05-14 15:06:36,"RT @KYTrey: Senator McConnell (@SenateMajLdr) discussing taxes, trade &amp; regulations with our #dcflyin group from #Cincy &amp; #NKY. http://t.co…",9,0
598860222892003328,2015-05-14 14:39:38,"""In #Kentucky, we’re seeing how hospitals &amp; their patients are feeling the negative effects of"" #Obamacare
--@SenateMajLdr McConnell",7,4
598860104751001601,2015-05-14 14:39:09,#Obamacare is Hurting #Kentucky Hospitals  https://t.co/jXMqKJuwIX,6,4
598567972827979776,2015-05-13 19:18:20,.@SenCapito and Bipartisan Group of Senators Introduce Legislation to Roll Back “Clean Power Plan” http://t.co/DhncO855vV,2,2
598567478839619585,2015-05-13 19:16:22,.@SenateMajLdr: I applaud @SenCapito for her bill to fight back against @EPA. Proud to cosponsor. http://t.co/6XN5lY7Azg via @thehill,1,1
598560680980172800,2015-05-13 18:49:21,Senate Democrats accept @SenateMajLdr McConnell’s bipartisan path forward on #Trade http://t.co/e1w78P6YpQ,2,4
598556844458639360,2015-05-13 18:34:07,Sen. McConnell speaking now on trade legislation and his intent to move forward with the bipartisan path he laid out earlier in the week.,3,1
598551789798031360,2015-05-13 18:14:01,.@KY_ALSChapter advocated on behalf of @alsassociation during a visit with Senator McConnell in the @uscapitol http://t.co/J4kQ0ePHh8,3,3
598522961352597504,2015-05-13 16:19:28,.@SenateMajLdr McConnell honored to receive the Award for Conservative Achievement from @ACUConservative http://t.co/Hyk1QpYRNd,7,5
598520936921505792,2015-05-13 16:11:26,#Kentucky  https://t.co/YT8SWHLi4c,0,0
598514105746620416,2015-05-13 15:44:17,AP: Major #Kentucky candidates for governor will refuse @EPA plan http://t.co/kJsbgnt9Cv #coal @KentuckyCoal @countoncoal,1,0
598502462929108992,2015-05-13 14:58:01,.@SenateMajLdr McConnell Comments on #AmtrakDerailment https://t.co/jEFlKOoasK,2,0
598498127453249538,2015-05-13 14:40:47,McConnell Co-Sponsors Adoptive Family Relief Act  http://t.co/skYSmIECyE,3,2
598495185790697472,2015-05-13 14:29:06,.@SenateMajLdr McConnell Comments on #AmtrakDerailment  http://t.co/1xCjJnqAFQ,2,0
598494533513564160,2015-05-13 14:26:30,We also reaffirm our gratitude to our nation’s first responders. - @SenateMajLdr (2/2) #AmtrakDerailment,0,0
598494409550868481,2015-05-13 14:26:01,"Senate sends its condolences to the victims, those who were injured, &amp; their families &amp; loved ones - @SenateMajLdr #AmtrakDerailment (1/2)",0,2
598482935772098560,2015-05-13 13:40:25,"RT @CraigCaplan: McConnell on Senate floor:Senate sends its condolences to victims &amp; families in Philadelphia #Amtrak detrailment,gratitude…",7,0
598216506607022080,2015-05-12 20:01:44,RT @PBPeak: KY ALS Warriors with Sen Majority Leader Mitch McConnell @ALSPublicPolicy @cjnews @heraldleader @Team_Mitch http://t.co/3iMwJbP…,6,0
