id,created_at,text,retweets,favorites
600714383996678145,2015-05-19 17:27:24,"Robert Gates: ""I certainly don't think we have a strategy"" in The Middle East - READ: http://t.co/nq2ihrhkUC",0,0
600665143257767936,2015-05-19 14:11:44,Tune in live to our consumer product safety #subcmt hearing. WATCH: http://t.co/vOscCj1I27,0,0
599225809962958848,2015-05-15 14:52:20,Reading #TPP this AM. Absolutely wrong that all details are being hid away from the American people. Make it public http://t.co/EpCmUUtnvG,6,7
598924242814570496,2015-05-14 18:54:01,Thank you @permedcoalition for your hospitality and your interest in making #Cures2015 a reality http://t.co/QCAYJ2lS1F,2,2
598884071482269696,2015-05-14 16:14:24,#ICYMI - Hawaii's $205 Million #ACA Exchange Implodes. Read More --&gt; http://t.co/LtFhGyqAur,0,0
598852728610299904,2015-05-14 14:09:51,"RT @HouseCommerce ""WATCH LIVE: #SubHealth vote on #bipartisan #Cures2015 legislation &amp; Microbead-Free Waters Act -&gt; http://t.co/BiOl7QQWAK""",0,0
598805441875935232,2015-05-14 11:01:57,"Live at 6:35 CT, I'll be on the air live with Amy &amp; Dave on @570KLIF talking #budget &amp; #amtrakcrash - I hope you'll tune in",6,3
598583124688314368,2015-05-13 20:18:32,"Follow #NDAA amendment debate ""@RulesReps: Rules committee on #NDAA amendment consideration has started. LIVE: http://t.co/SROhV7clSo”",0,2
598467491023716352,2015-05-13 12:39:03,#ICYMI - Last night I spoke in recognition of the @GarlandPD for #NationalPoliceWeek WATCH: http://t.co/IZroefcbse,2,4
598450753397772288,2015-05-13 11:32:32,My thoughts and prayers are with the victims and loved ones of the #amtrakcrash - tragic news to wake up to #Amtrak188 #amtrak,5,1
598222400069730305,2015-05-12 20:25:09,Would be remiss on #NationalPoliceWeek not to thank @GarlandPD officers for their bravery during the May 3 #TexasShooting,5,2
598173607441870848,2015-05-12 17:11:16,This #NationalPoliceWeek find time to thank a law enforcement officer for all they do to #ProtectAndServe - Thank you officers,1,0
598093615399882753,2015-05-12 11:53:24,"Will #PrayForNepal today, after their 2nd deadly quake in recent weeks. Godspeed to emergency crews saving lives: http://t.co/36ZJJB9REJ",13,7
597768616445108226,2015-05-11 14:21:58,Thank you @TexasGuard for your courage during this weekend's severe weather http://t.co/vVDYk0s91s,1,2
597507956545089538,2015-05-10 21:06:12,Happy Mothers Day and thank you moms for all you do,2,3
596835433222250496,2015-05-09 00:33:50,"Agree RT ""@GovAbbott: Everything bigger in TX, that includes business climate. TX ranks #1 best state to do business http://t.co/9VGTToBj5a”",2,3
596774935663611904,2015-05-08 20:33:26,This afternoon's flyover was a truly unforgettable tribute the #WWII heroes who fought in freedom's name #VEDay70 http://t.co/Y2uZKXM2db,5,4
596672971919511553,2015-05-08 13:48:16,"Today marks the 70th VE day, the end of #WWII in Europe. May we never forget the heroes fought and died there for freedom  #VEDay70",13,9
596388312727822336,2015-05-07 18:57:08,Congrats @nfmtweets on opening your new #Texas location in The Colony. Welcome to our community. http://t.co/G6Ra7sOQq9,2,2
596377834710511616,2015-05-07 18:15:30,Thank you @GDWCAR_members for inviting me to join you this afternoon  #SmallBusinessWeek http://t.co/7QGKA8B3by,0,1
596354541873954816,2015-05-07 16:42:57,This #NationalDayofPrayer give thanks and praise to God for the unnamed officer who saved dozens in the #texasattack - A true #hero,4,3
596329669760278528,2015-05-07 15:04:07,"Now the Lord is the spirit, and where the Spirit of the Lord is, there is #freedom - 2 #Corinthians 3:17 - #NationalDayofPrayer",1,3
596308623418089472,2015-05-07 13:40:29,"Let us unite and pray for our leaders, soldiers, and our nation's future on the 64th annual #NationalDayofPrayer http://t.co/2iTkwxSaGh",8,5
596115144725389312,2015-05-07 00:51:40,About to join The Wells Report on 660 AM to talk about my No Armed Drones Act. I hope you'll tune in,2,0
596004135637491712,2015-05-06 17:30:33,"Please join me in sending condolences to the family of Fmr. Speaker Jim Wright, who has passed at age 92 http://t.co/7zRU7oZFIk #Texas",8,2
595633805794377728,2015-05-05 16:59:00,My TROL Act defends small businesses from bad-faith patent demand letters http://t.co/7t9naN7SVe #DreamSmallBiz #smallbusinessweek,1,1
595593027315310592,2015-05-05 14:16:57,"Happy #CincoDeMayo ! - I'm proud to represent the rich history, culture, and contributions of Hispanic North Texans who call TX-26 home.",1,3
595312233909002241,2015-05-04 19:41:11,Did you know #smallbiz comprises 99.7 percent of #US employer firms and acct for over half of our GDP? #DreamSmallBiz #smallbusinessweek,4,6
594231279559778304,2015-05-01 20:05:51,Arming a drone for day-to-day police purposes is an over-the-top show of force. Read my @DailyCaller piece here: http://t.co/PSDdk9Qa28,9,3
593804300947709954,2015-04-30 15:49:12,"#ThrowbackThursday to '06 w/ World #Golf HOF legend, ""Lord Byron"" Nelson. Great golfer, greater Texan #TBT #Texas http://t.co/ApHj2bFYqI",1,0
593775755919777792,2015-04-30 13:55:46,"Glad to see you're back in action and on the mend, @kseliger #txlege",1,1
593483690010943488,2015-04-29 18:35:12,Technology shouldn't outpace medicine #Curesin4words #cures2015,5,4
593454870092447745,2015-04-29 16:40:41,"HR 434 ""@txpetes: .@SenTedCruz @MichaelCBurgess @JohnCornyn The #ethanol mandate is broken. I nominate you to go on the record against it!”",1,1
593429780919414784,2015-04-29 15:00:59,Modernized medicine saves lives #Curesin4Words #Cures2015,6,3
593416240527450112,2015-04-29 14:07:11,"Yesterday, I introduced the TROL Act to root out patent trolls who threaten entrepreneurs and consumers http://t.co/4PEDW9jFkm #SubCMT",3,0
593143816728772609,2015-04-28 20:04:40,"Is this ideal? And the answer is no. - But, @IamJohnOliver is @LastWeekTonight clever? And the answer is yes. http://t.co/rqFEAUOO3p",2,2
593106003018788864,2015-04-28 17:34:25,"In half an hour, tune in to listen to me with KERA radio's #ThinkinDC live from #NPR studios",1,2
593047240446447616,2015-04-28 13:40:55,"Congrats TX-26 Congressional #Art Competition winners Solomiya, Bryant &amp; Skye. Solomiya's ""Soldier Reflection"" pic'd: http://t.co/xkhUSFv9uv",2,2
592758841386885124,2015-04-27 18:34:55,Lawful citizens shouldn't have to face military tactics from police. My NADA Act bars domestic use of armed #drones : http://t.co/W02hakQ8hz,6,1
591775273856704513,2015-04-25 01:26:34,"TX-26: If you think you've been a victim of tax ID fraud, contact my office or visit my site for useful information: http://t.co/Kp3JB9vdCS",4,1
591615097673555968,2015-04-24 14:50:05,"If the #IRS wants to regain public trust, they must crack down on income tax identity thefts. http://t.co/EmqFOlub63",3,2
591611243900882944,2015-04-24 14:34:46,Happy 25th Birthday @NASA_Hubble Telescope. http://t.co/Jiv18BCGcK,1,2
590988362951065601,2015-04-22 21:19:40,Glad the 2009 Ft. Hood shooting victims are finally getting the recognition they deserve. My floor speech yesterday: http://t.co/NawIDWmvR3,2,1
590898924212334592,2015-04-22 15:24:16,Our #SubCMT markup of the Targeting Rogue and Opaque Letters (TROL) Act starts at 11:00 CT. Tune-in here: http://t.co/DTYkphstrr,1,0
590517550313791489,2015-04-21 14:08:49,"#BlueBell just seems too good to harm anyone. JK aside, good to know safety is priority. I'll be awaiting its return with the rest of #Texas",4,6
590492797452582912,2015-04-21 12:30:28,"Today in 1836, #TX forces won the battle of San Jacinto, winning the TX Revolution http://t.co/TJICj3VtLZ #RemembertheAlamo #RememberGoliad",12,7
590322436232519680,2015-04-21 01:13:31,"The Flat Tax on the presidential circuit. 
#HR1040 if you are keeping score home: http://t.co/JBbR1wpXIU",3,1
590264041349767168,2015-04-20 21:21:28,Want to know what's up for consideration on the House floor this week? Click here to stay in the know: http://t.co/9iKdCEbBUS,0,1
589436979844145152,2015-04-18 14:35:01,@CoServ_Energy in action at #PrepareNTX http://t.co/0ZkcK2QrhU,2,3
589426428518727681,2015-04-18 13:53:06,Looks like someone is ready to #PrepareNTX - looking forward to seeing everyone today at the LaGrone Center http://t.co/24VDEQBiRF,3,7
589112384582770688,2015-04-17 17:05:12,Thank you for helping me #PrepareNTX @W5NGU @FEMARegion6 @DentonCoESO @CityofDentonTX @DentonPD and @DentonISD http://t.co/gwJwxRwchj,2,1
589111271766753280,2015-04-17 17:00:47,Thank you for helping #PrepareNTX @KnoWhat2Do @NCTCOGEP @AARPTX @ATT @REDCROSSDFW @CoServ_Energy and @DefensiveMind http://t.co/gwJwxRwchj,5,3
588812032989908992,2015-04-16 21:11:42,"The #Medicare ""Doc Fix"" has officially been signed into law. So long #SGR",3,5
588285333831319553,2015-04-15 10:18:48,RT @MorningBriefing: Good morning. Congressman @michaelcburgess is up at 6:20 am et.  Then @SenatorDurbin talks Lincoln at 6:40 am et.  All…,2,0
588160829469655040,2015-04-15 02:04:03,"Had to see it through ""@NateWeixel: And @michaelcburgess just walked onto Senate floor. Was the driving force behind #SGR deal in the House”",8,8
588157103451328513,2015-04-15 01:49:15,92-8 #FixedMedicareNow,14,10
587726163864330241,2015-04-13 21:16:51,@ColleenWeather @BradBartonDFW &amp; @FTWMet will head up the #PrepareNTX expert weather panel Saturday. See you there: http://t.co/gwJwxRwchj,2,2
587663876910637056,2015-04-13 17:09:21,From the @attbyronnelson to @TheMasters in just 5 years. Congrats on winning your #GreenJacket @JordanSpieth #TheMasters,2,8
587625218367160320,2015-04-13 14:35:44,Only 5 days left to TX-26's Emergency Prep Summit &amp; Fair! Come help me #PrepareNTX Details: http://t.co/gwJwxRwchj http://t.co/bYBL40ZNH9,1,1
586930208143355904,2015-04-11 16:34:00,Thank you to the panelists &amp; attendees who came to the annual North TX U.S. Service Academies Forum @lewisvillehs http://t.co/6LNFmxOfqg,3,3
586915084930134019,2015-04-11 15:33:55,On KSKY 660 with Rick and Jan Poston.,0,0
586608238633873408,2015-04-10 19:14:37,Tomorrow is the North TX Service Academies Forum @ #Lewisville HS - a great opportunity for students looking to serve http://t.co/muVOiaRSZ8,1,0
586269879189295105,2015-04-09 20:50:06,"#TBT to Camp Victory, Iraq with now @GovernorDeal, Rep. Charlie Norwood, and LTC Pete Chiarelli http://t.co/DkeCoDVvPx",2,2
586256596344426496,2015-04-09 19:57:19,RT @texmed: Top 10 Myths About HR 2: The Bill to Repeal the Medicare #SGR http://t.co/elPx9H0zbJ,2,0
