id,created_at,text,retweets,favorites
601121229270024194,2015-05-20 20:24:04,.@Senate_GOPs Thanks for the warm wishes!,1,2
600651863436976130,2015-05-19 13:18:58,It was great to visit with you and your students. Thanks for making the trip! https://t.co/wUFwduJVvA,0,1
597797978649264128,2015-05-11 16:18:39,Thank you to Valley County Commissioner Cruickshank for testifying at last week’s EPW Committee hearing. https://t.co/bXAgR8wRSq  #idpol,2,1
596756853968805888,2015-05-08 19:21:35,"It was a festive atmosphere on the National Mall for the Arsenal of Democracy flyover!” #idpol #VEDay70
https://t.co/d3SGb4hPeU",1,3
595970922768654336,2015-05-06 15:18:35,RT @EPWRepublicans: .@MikeCrapo BLM land grab over sage grouse has created a high level of anxiety. Idaho has a protection plan that FWS sh…,5,0
595970912236732416,2015-05-06 15:18:32,"RT @EPWRepublicans: .@MikeCrapo: ID has pursued  collaborate process to avoid sage grouse listing, FWS moving goal post in '14 prevents col…",5,0
595961525443153922,2015-05-06 14:41:14,Congrats to @BoiseFire for being named one of thirty finalists for the Employer Support Freedom Award---&gt; http://t.co/GWZwP0AugO #idpol,2,3
593074822760005632,2015-04-28 15:30:31,I'll be joining @AARPIdaho at 11:00 AM MT/10:00 AM PT for a tele-townhall.  Want to participate? More here--&gt;http://t.co/9Kgl7NY3w3 #idpol,5,1
590175948848300035,2015-04-20 15:31:25,RT @BudgetGOP: WATCH - MT @cspan #FY2016 #BalancedBudget Conference Committee – LIVE at 3pm ET on C-SPAN http://t.co/vQaYgIBr7J http://t.co…,4,0
589165075371577344,2015-04-17 20:34:34,#FF to members of the Idaho Delegation: @SenatorRisch @CongMikeSimpson @Raul_Labrador #idpol,1,1
588759823388319744,2015-04-16 17:44:15,"Always great to see you, Neal! @590kid  https://t.co/wDdNzwNnFE",1,1
588756643568947200,2015-04-16 17:31:37,I had the opportunity to visit with @580KIDO's Kevin Miller this morning--always great seeing him! #idpol http://t.co/YdBofIVOOG,1,3
588718564942589954,2015-04-16 15:00:18,RT @Senate_RPC: Passed #budget in 1st 100 days of #GOP Senate majority. That hasn't happened the last 4 of 5 years under Dem control. http:…,15,0
588492010740383744,2015-04-16 00:00:03,The time for tax reform is now. #TaxDay --&gt; http://t.co/jsWO6T5z9X (2/2),10,2
588491647387836416,2015-04-15 23:58:37,"Our tax code is too long, complex and anti-competitive to serve as the long-term foundation for the economic growth our country needs. (1/2)",8,4
587695951130861571,2015-04-13 19:16:48,Op-Ed: #EPA Must Not Undercut Water Projects.  Read it here &gt;&gt;&gt; http://t.co/OjkCzMGkQV #idpol,5,1
586224321284157441,2015-04-09 17:49:04,"Firearm laws should be consistent across ALL public lands. Sign the petition to stand up for #2ndAmendment rights
http://t.co/PVEQPhexcb",4,3
586223992043917312,2015-04-09 17:47:45,Americans should not be banned from exercising their #2ndAmendment rights on millions of acres of federal land.  RT if you agree.,11,9
585523279244480512,2015-04-07 19:23:22,Thanks to those who came out to my town meeting in Pierce. It was great visiting with you. #idpol http://t.co/VIwYHM9wB9,2,0
585519741873344513,2015-04-07 19:09:19,"Thank you for welcoming me to Pierce, which houses the oldest public building in Idaho at the old courthouse. http://t.co/RKP3Y6drO2",1,1
585518921954000896,2015-04-07 19:06:04,RT @AARPIdaho: Ask questions &amp; share your views with @MikeCrapo in a tele-town hall on 4/28 at 11 a.m.: http://t.co/Au2gREcFE6 #taxreform #…,3,0
583636122397503488,2015-04-02 14:24:29,RT @IdahoPubRadio: .@MikeCrapo is hosting town meetings in north Idaho. @GlennMosley1 caught up with him in Kendrick on Tuesday: https://t.…,4,0
583290896852119552,2015-04-01 15:32:41,RT @QuorumCall: #Senate Sen. Mike Crapo Proposes Legislation Requiring Additional Review of CFPB Rules http://t.co/kflnkhWeQl @MikeCrapo,3,0
583290601204006912,2015-04-01 15:31:30,"RT @IdahoPubRadio: .@MikeCrapo speaking tonight at the Kendrick Fire Station, part of his north Idaho tour this week. #idpol http://t.co/M2…",1,0
582964823631257600,2015-03-31 17:56:59,Firearm laws should be consistent across ALL public lands. Sign the petition:http://t.co/PzoSYcQLEu #2ndAmendment http://t.co/mCHPYZDjnZ,6,1
582950190702829568,2015-03-31 16:58:50,"For a full list of my scheduled town hall meetings in north #Idaho, click here: http://t.co/qm5QdxHhpE. #idpol http://t.co/lNasu25sLp",1,0
582929565263233024,2015-03-31 15:36:53,Thanks to Mayor Joe Guaridpee for welcoming me to Wardner. #idpol.  Full schedule: http://t.co/qm5QdxHhpE http://t.co/LwQxbQxqpL,0,2
582921167763292160,2015-03-31 15:03:31,"11,000 followers! Thanks for following #Idaho  RT to help me reach 12,000. #idpol http://t.co/0NSQACVwe8",4,3
582915696516046848,2015-03-31 14:41:46,"Thanks to the over 60 Idahoans who attended my town meeting in Coeur d'Alene. #idpol 
http://t.co/qm5QdxHhpE http://t.co/ttVzIQspSX",0,3
582900028097896448,2015-03-31 13:39:31,"RT @InlandNewsroom: Idaho Senator Mike Crapo has a half-dozen town meetings slated for Tuesday.

The first one starts at 8-30... http://t.c…",1,0
582609214532673536,2015-03-30 18:23:55,RT @IdahoGOP: Sign the petition and stand with Senator Crapo as he sponsors legislation standing for your Second Amendment rights. http://t…,6,0
582572622166290432,2015-03-30 15:58:31,RT @ThomasRessler: Sen. @MikeCrapo introduced a bill last week to require all #CFPB rules be evaluated in the EGRPRA regulatory review proc…,1,0
582569881310269440,2015-03-30 15:47:37,"RT @IdahoPubRadio: .@MikeCrapo has 24 community meetings scheduled in north Idaho, starting tonight in Coeur d'Alene. Link: http://t.co/YVP…",1,0
581120629673443328,2015-03-26 15:48:49,@TheRealLisaBain @PANtweets @prophet_joe Thanks for stopping by! I enjoyed our discussion.,0,3
581119648294408193,2015-03-26 15:44:55,RT @QuorumCall: #Senate Crapo sets North Idaho town meetings http://t.co/Ugs6Tmw3cZ @MikeCrapo,2,0
580158490687250432,2015-03-24 00:05:37,"#Obamacare at 5 years--Americans faced with higher premiums, more taxes and less choice.
http://t.co/ekgD4iGjLA http://t.co/QvUofRZgES",9,1
580139501873467392,2015-03-23 22:50:10,Did you know Americans are banned from exercising their #2ndAmendment rights on millions of acres of federal land? http://t.co/Aid0jptsLZ,5,2
