id,created_at,text,retweets,favorites
601435786555207680,2015-05-21 17:14:00,Thanks to the @DoleFoundation for hosting this AM's #HiddenHeroes: Focus on Faith &amp; Interfaith Leadership Breakfast! http://t.co/GVgKlyVd6a,15,23
601365551965970433,2015-05-21 12:34:55,"RT @RepEBJ: .@HouseGOP's ""America COMPETES Act"" is anti-science, anti-innovation &amp; caters to special interests. http://t.co/f77WjXXpre",75,0
601147904766664704,2015-05-20 22:10:03,Honored to join @the_USO to assemble care packages for our servicemembers &amp; their families today! http://t.co/FJqBbvICQW,18,48
601076907245961217,2015-05-20 17:27:56,RT @SciCmteDems: 75! The number of science orgs professional societies universities &amp; businesses that #opposeHR1806 #AmericaCOMPETES http:/…,23,0
601011590075424769,2015-05-20 13:08:23,RT @RepLoisFrankel: .@HouseGOP has punted Highway Trust Fund deadline 2 months deeper into the critical summer construction season. This is…,88,0
600735075219668993,2015-05-19 18:49:37,RT @JECDems: One of out every four U.S. bridges is structurally deficient or functionally obsolete.  This chart helps explain why. http://t…,43,0
600724539358720000,2015-05-19 18:07:45,The best solution for our broken immigration system is enactment of comprehensive immigration reform. http://t.co/ivASqR0tIl #Fight4DAPA,94,66
600714065363804161,2015-05-19 17:26:08,"Questions for @nationaljournal's #DCWomen convo, Empowering Women in 2015 &amp; Beyond? Tweet using #AskNJ &amp; watch live → http://t.co/vGpgCeIt0c",16,20
600689859871776769,2015-05-19 15:49:57,My full statement on New Legislation to Ban So-Called ‘Conversion Therapy’ → http://t.co/dchlf8TmZR http://t.co/sYS2zPozpd,115,108
600641999323168768,2015-05-19 12:39:46,"RT @RepBecerra: Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities…",230,0
600302663834673155,2015-05-18 14:11:22,"As we mark #HeadStart50, let us renew our commitment to ensuring all kids have tools needed to succeed. http://t.co/vgGVmJlGYS #EngageDems",50,49
600287121916764162,2015-05-18 13:09:37,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,142,0
599972998209261569,2015-05-17 16:21:24,On International Day Against Homophobia &amp; Transphobia we recommit to breaking down bigotry wherever it exists #IDAHOT http://t.co/AiMlrZqI0x,104,121
599263165508100098,2015-05-15 17:20:47,Dems stand for strong national defense &amp; we've sent a strong message in support of military. No more GOP gimmicks. http://t.co/SKwT7RqGTT,35,34
