id,created_at,text,retweets,favorites
600664817783984128,2015-05-19 14:10:27,"As Ranking Member of the House Appropriations Committee, I vow to fight for critical investments in our nation’s crumbling infrastructure.",3,3
600662931508977664,2015-05-19 14:02:57,"W/ #HighwayTrustFund expiring on May 31, roughly $5m for Ashford Avenue Bridge in Dobbs Ferry is at risk. http://t.co/8RaBi0U3ev",2,1
600662365596712960,2015-05-19 14:00:42,"Yesterday in Dobbs Ferry, I called on Congress to pass a long-term reauthorization of the #HighwayTrustFund http://t.co/MguY8HitFs",2,0
600335085800415232,2015-05-18 16:20:12,I’ll continue supporting Head Start b/c nothing produces better returns than investing in our children. #HeadStart50 http://t.co/vezI3fT542,2,0
600334766928441344,2015-05-18 16:18:56,"Today marks the 50th Anniversary of Head Start, which served &gt;3K children + families in Rockland and Westchester last year. #HeadStart50",2,1
598858773520883712,2015-05-14 14:33:52,Proud to receive @HumaneSociety Legislative Leader award for perfect score on 2014 Humane Scorecard http://t.co/r7SZFs2gdC,2,3
598577019736203264,2015-05-13 19:54:17,"As RM of House Approps Cmte, I will continue working to increase @NIH funding so we can find cures for diseases like #ALS @alsassociation",4,0
598576818573156352,2015-05-13 19:53:29,"Met w/ @alsassociation reps, including constituents from Cortlandt and Port Chester, in my Washington DC office http://t.co/YtzgmIelen",4,0
596747787456352257,2015-05-08 18:45:34,"As RM on House Approps Cmte, I’ll continue supporting #smallbiz in the Lower Hudson Valley – the backbone of our economy. #SmallBusinessWeek",3,1
596744071554670592,2015-05-08 18:30:48,"In 2013, @SBAgov supported $29m in capital to businesses in Westchester and Rockland #DreamSmallBiz #SmallBusinessWeek",1,0
596741048254255105,2015-05-08 18:18:47,Great walking tour today with @LtGovHochulNY &amp; @wpmayorroach in White Plains to celebrate #smallbusinessweek http://t.co/YRYOBqKcSQ,6,0
596740818033111041,2015-05-08 18:17:52,I visited the General Bearing Corporation manufacturing facility in West Nyack #DreamSmallBiz http://t.co/ULIU1Dw8Jv,1,0
596740677926551554,2015-05-08 18:17:19,"This week is #SmallBusinessWeek, where we recognize the important contributions of America’s entrepreneurs and #smallbiz owners.",2,1
596432841031946240,2015-05-07 21:54:05,I am pleased the Senate passed #Iran Review Act. Looking forward to working with my colleagues to quickly pass the measure in the House.,3,0
596331198600843265,2015-05-07 15:10:11,I look forward to working with the new Israeli government to advance our common interests and protect our shared security needs.,8,5
596330280320966656,2015-05-07 15:06:32,I congratulate @IsraeliPM on his successful formation of the new #Israel governing coalition. http://t.co/QPSExJshpd,2,1
595997750354911232,2015-05-06 17:05:11,"As RM of House Approps Cmte, I will continue fighting to ensure the safe transport of hazardous materials via rail. http://t.co/lG5Re7x3r9",3,0
