id,created_at,text,retweets,favorites
601061811878690817,2015-05-20 16:27:57,Good luck to the @SanJacCollege baseball team at the #NJCAAWorldSeries! http://t.co/WJrgYp9Ix1,1,5
600747990580535299,2015-05-19 19:40:56,#Texas has thrived with energy development. We must balance community needs with #energy #4jobs http://t.co/qi2C4HI8ZH,3,2
600710965802496000,2015-05-19 17:13:49,RT @HouseCommerce: JUST RELEASED: #SubEnergyPower's energy diplomacy draft to be included int he cmte's Architecture of Abundance --&gt; http:…,2,0
600469414144651264,2015-05-19 01:13:59,15 yrs ago #SugarLand #Olympic Gold Medalist @taralipinski graduated from HS. I'm proud of our #TX22 native! http://t.co/JRC9mvrYH5,0,1
600344949939425280,2015-05-18 16:59:24,Congrats to the @HoustonRockets for their big win! On to the Western Conference Finals! #ClutchCity #NBAPlayoffs,2,1
600308587890606081,2015-05-18 14:34:55,Prayers for the family of fallen @houstonpolice Officer Richard Martin. We are deeply humbled by your sacrifice. http://t.co/qq3DEHa32e,2,0
600301774944280576,2015-05-18 14:07:50,Prayers for everyone affected by the tragedy in the #WacoShooting #PrayersforWaco,2,0
599654846241722370,2015-05-16 19:17:11,In Nashville w/ Dad. Now we know what Davy Crockett ate before he told #Tennessee where to go. #GodBlessTexas http://t.co/0ipn1FnCDg,1,2
599578006106038272,2015-05-16 14:11:50,Join me in thanking our brave military men &amp; women for their service &amp; sacrifices for US liberty. #ArmedForcesDay http://t.co/ewaAOK8jl5,0,3
599293745956298752,2015-05-15 19:22:18,RT @HouseCommerce: Bicameral leaders call on @EPA to include small business input in Clean Power Plan rulemaking --&gt; http://t.co/RTxZqBHrS8,3,0
599203895139762176,2015-05-15 13:25:15,@HoustonRockets with a huge comeback win! Time to #BeatLA in Game 7 on Sunday. #ClutchCity http://t.co/t5YfMsjE7K,0,1
599178284174319616,2015-05-15 11:43:29,Tune in to @SamMaloneShow at 7:30 am where we will be talking issues of the day!,2,1
598973382865068032,2015-05-14 22:09:17,Voted to give Congress a stronger voice in negotiating with #Iran. http://t.co/LnnFsIvMMo http://t.co/Iq8bFlQQwi,2,2
598916312916750336,2015-05-14 18:22:30,Proud to be honored by @ACUConservative for protecting conservative values. #ACURatings http://t.co/XIDk5uzzOt,3,2
598866650079821824,2015-05-14 15:05:10,Proud to represent some of the best places for retirement in the Houston-area! #TX22 http://t.co/mz5g6an9bH,0,0
598684496355938304,2015-05-14 03:01:21,Congratulations to future Midshipman Dwayne Williams on receiving an appointment to the U.S. Naval Academy! @NavalAcademy,2,1
598677244421099520,2015-05-14 02:32:32,Congratulations to Tyson Stickler on his appointment to the U.S. Naval Academy! @NavalAcademy,0,1
598658561208492032,2015-05-14 01:18:18,"Great meeting this week with my friend, Mayor Allen Owen, discussing transportation needs in @MissouriCityTX. http://t.co/Tj0uFTG0UO",2,0
598615936107675649,2015-05-13 22:28:55,Congratulations to Jason Sattler for receiving an appointment to the U.S. Air Force Academy! @AF_Academy,0,1
598606802603941888,2015-05-13 21:52:37,Voted today to #ProtectLife by supporting #HR36. #TheyFeelPain http://t.co/R5psKeIfJB,1,2
598596075784642560,2015-05-13 21:10:00,Congratulations to Robert Leyba for his appointment to the U.S. Naval Academy! @NavalAcademy,1,0
598577183431467008,2015-05-13 19:54:56,Congratulations to Stephen Gracza for receiving an appointment to the U.S. Military Academy! @WestPoint_USMA,0,1
598555711421947904,2015-05-13 18:29:36,Congratulations to Andrew Faulk for his nomination to the U.S. Air Force Academy! @AF_Academy,0,1
598534480735907841,2015-05-13 17:05:15,Congratulations to Joshua Balba on his appointment to the US Military Academy! @WestPoint_USMA,0,1
598524372001824769,2015-05-13 16:25:04,Proud to protect the unborn by voting for #prolife #HR36 today. #TheyFeelPain http://t.co/8aUc370FYs,35,25
598297416878567425,2015-05-13 01:23:14,"Across America, you keep us safe and secure. Thank you! #PoliceWeek http://t.co/aNM4CND6u6",0,2
598194263382425600,2015-05-12 18:33:20,Important step forward for drilling in the Arctic. Let’s keep moving. #Yes2Energy #4jobs http://t.co/elVWNYxgU9,3,1
598151459310567424,2015-05-12 15:43:15,It's outrageous that #Obama ignored injunction on #ExecutiveAmnesty. I support @ACLJ &amp; TX efforts to shut it down. http://t.co/ExXZZGVYjd,0,0
597871443217637376,2015-05-11 21:10:34,I had a great time at Sartartia Middle School in @FortBendISD speaking to kids about online safety w/ @google. http://t.co/iXW3cmc4LD,2,3
597559247358939136,2015-05-11 00:30:01,"""Come &amp; Take It"" in SL at Lowe's. Owner called it a ""battle wagon."" http://t.co/fJ0j16RwNM",4,3
597429843605757952,2015-05-10 15:55:49,Happy #MothersDay to all mom's - the backbone of their family! Special thanks to my wonderful mom &amp; my amazing wife! http://t.co/3az7h0pTQU,2,4
596807044402847745,2015-05-08 22:41:02,Thrilled this VA sign was finally installed on I69/US59! Now veterans in FB know where to go for local care. http://t.co/hY0dd1nb6D,4,3
596702065847574528,2015-05-08 15:43:53,Great #WWII flyover happening at our nation's capitol today in honor of the 70th anniversary of #VEDay! Watch live: http://t.co/VLhwVzlmCR,0,1
596689290618347520,2015-05-08 14:53:07,Thank you for the sacrifices of the Greatest Generation in defense of world freedom. #VEDay70 http://t.co/ye1ShDJEMR,13,15
596653907654385664,2015-05-08 12:32:31,Tune in to @SamMaloneShow where we are talking issues of the day!,0,1
596404593959010304,2015-05-07 20:01:50,"On this #NationalDayofPrayer, we pray for America, our military defending us and all who face difficult challenges. http://t.co/pNtmFs6SDu",2,2
596375317029199872,2015-05-07 18:05:30,We all remember that one special teacher. Teacher Appreciation Week lets us #ThankATeacher for inspiring kids &amp; making the future brighter.,2,2
596035818818510849,2015-05-06 19:36:27,Competition was fierce this year. Thx to the talented #TX22 artists competing in the #CongressionalArtCompetition http://t.co/p0mpJeJp2x,3,2
595975536280731648,2015-05-06 15:36:55,New cranes @PortofHouston means great economic news for 1 of the world's busiest ports. http://t.co/IE7Omj6OXr,2,3
595658376849264640,2015-05-05 18:36:38,Great event talking offshore drilling at #OTCHouston! http://t.co/NcGarWgB29 http://t.co/LLUSYBEi8U,3,3
595605291728773120,2015-05-05 15:05:42,"It's Natl Sm Business week. Thank you America's entrepreneurs. 
#Shoplocal #SmallBusinessWeek #SBW2015 http://t.co/ZtjKpnxHAJ",2,3
595325364655812608,2015-05-04 20:33:22,"Always love seeing the truck at #SugarLand Firehouse #5! Thank y'all! 
  #InternationalFirefightersDay #SugarLandFD http://t.co/bsfmKNkUC1",3,2
595305456001777664,2015-05-04 19:14:15,Had a blast with these heroes at #SugarLand Firehouse #6 - thanks guys! #InternationalFirefightersDay #SugarLandFD http://t.co/mZS7hYnfIH,1,2
595297871345266688,2015-05-04 18:44:07,Great talking to these heroes at #SugarLand Firehouse #1 - thank you guys! #InternationalFirefightersDay #SugarLandFD http://t.co/I46yOnGRJ6,1,3
595293222273982465,2015-05-04 18:25:38,Saw a piece of #WTC at my stop to #SugarLand Firehouse #7 #InternationalFirefightersDay #SugarLandFD http://t.co/VE0fv0e07y,2,3
595287636585021441,2015-05-04 18:03:27,Looking forward to talking offshore drilling issues at @OTCHouston tomorrow! #OTC2015,1,2
595284132441231361,2015-05-04 17:49:31,"Huge congrats to #FortSettlmentMS for winning @DOE_SC_NSB #ScienceBowl
http://t.co/wj3EZvBYJN",2,3
595258947591925760,2015-05-04 16:09:27,Congrats on the big win! https://t.co/ti7ni2t2Lw,1,2
595257309686865922,2015-05-04 16:02:56,"Next stop #SugarLand Firehouse #2 - thank you for your service!
 #InternationalFirefightersDay #SugarLandFD http://t.co/w011kQ76ju",2,2
595228293982457856,2015-05-04 14:07:38,First stop of the day was Anne Sullivan's @cohoustonfire Firehouse #68 to say thanks on #InternationalFirefightersDay http://t.co/aICDmDnIyU,1,2
595062902261981184,2015-05-04 03:10:26,#FirefightersDay is tomorrow. I’m taking donuts to the stations in my home town. Join me where you live &amp; let me know how it goes! #IFFD,2,1
594946119328751616,2015-05-03 19:26:23,"Congrats to Pat for earning a BA from @UHouston after leaving UT early to marry Judge Herbert, the man of her dreams! http://t.co/HOTmifR1Xa",0,2
594526928368967680,2015-05-02 15:40:40,Drove my daughter Kate to her 1st vote for FBISD Board. Hope to earn her vote in Nov 2016. http://t.co/dg3w3bx9nS,2,3
594241932647374848,2015-05-01 20:48:11,"Voted for a #BalancedBudget last night. Important bicameral budget that makes needed cuts, supports our military &amp; repeals #Obamacare.",1,0
594181179231891457,2015-05-01 16:46:47,"Great flight home w/my hero, Apollo 17 Cmdr #GeneCernan on board! Loved the Capitol screening of his new film @LastManOnMoon last night!",2,2
593879875326451712,2015-04-30 20:49:30,I'm working to bring a common sense process to the #EndangeredSpeciesAct http://t.co/Df9I6XHif3,1,1
593838499666731009,2015-04-30 18:05:05,RT @HouseCommerce: WATCH LIVE: @FCC testifies at #SubCommTech hearing at 2pm—&gt; http://t.co/hUpxsJ5Bia #Yes2Transparency http://t.co/aE0CyvP…,6,0
593503534630318081,2015-04-29 19:54:04,"Today, Japan's PM @AbeShinzo stood where FDR said ""a date which will live in infamy."" Two former enemies are now allies working together.",3,2
593486098510249984,2015-04-29 18:44:46,"Great Capitol visit w/8th graders from Calvary Episcopal Preparatory in Richmond, TX. http://t.co/Oq8F1J2Xvh",0,3
593446761974407168,2015-04-29 16:08:28,Way to go @PearlandISD! Thanks for providing a quality education for your students.  https://t.co/YA42nWmEoV,0,1
593222682344296449,2015-04-29 01:18:03,Let’s go @HoustonRockets! #RedNation,1,0
593153458796154880,2015-04-28 20:42:59,States rightfully call the public comment period for #EPA climate rule a “sham.” http://t.co/vzjo2370w1,1,0
593143270894612480,2015-04-28 20:02:30,"RT @katyisd: CONGRATULATIONS to our 2015 District-Wide Teachers of the Year: Christina Dismuke, Morton Ranch ES &amp; Scott Lightle, Beckendorf…",4,0
593077735385387008,2015-04-28 15:42:05,Texas leads the way in powering America. #Yes2Energy #4jobs http://t.co/VD5RrN9KRR,2,1
592772930662211589,2015-04-27 19:30:54,"Houston lost a kind soul. Sam Spritzer, Holocaust survivor &amp; Houstonian, died at the age of 92. May God rest his soul http://t.co/398bsLE0sj",6,1
591991882672111618,2015-04-25 15:47:18,My prayers go out to the people of Nepal.,1,2
591663242440736769,2015-04-24 18:01:24,I cosponsored #HR606 to ensure the families of fallen public safety heroes receive the benefits they are promised w/o fear of unfair taxes.,1,1
591620599014940672,2015-04-24 15:11:57,"The #HubbleSpaceTelescope was only supposed to last 15 yrs, yet today we celebrate its 25 significant yrs in space. http://t.co/3Ujk6v55PN",2,2
591328666824519680,2015-04-23 19:51:55,Happy #IsraelIndependenceDay to our dear friend and ally in democracy! #67years #Israel http://t.co/0bZ3sa1w9c,4,2
591252239798394880,2015-04-23 14:48:13,Happy Birthday to my friend @HouseCommerce Chairman @RepFredUpton. Thank you for all you do for the Committee and the House of Reps.,0,2
590969755189833729,2015-04-22 20:05:43,Paying #IRS employee bonuses instead of helping taxpayers is just wrong. http://t.co/3TcR4vphdp,1,0
590925225488965632,2015-04-22 17:08:47,#Obama new flood rule could hurt #TX22 residents. We need details &amp; #transparency. See more info here: http://t.co/AvyfqZhuSh,0,0
590688663174000641,2015-04-22 01:28:46,I applaud the @TexasHouse for approving legal #opencarry! I hope the Texas Senate follows suit. http://t.co/joRccCyGx6,5,0
590608836618235904,2015-04-21 20:11:34,Nonpart report: EPA proposed carbon rule for power plants will cause #gridreliability risks for #America! #Yes2Energy http://t.co/Rw9dJqTJgg,0,0
