id,created_at,text,retweets,favorites
601438223806570498,2015-05-21 17:23:41,#InnovationWeek continues w/ passage of the #SPACEAct. Credit to @GOPLeader for leading effort &amp; maintaining our role as a leader in space.,1,1
601425660729552897,2015-05-21 16:33:46,RT @SpeakerBoehner: This is one of the greatest stories of survival &amp; determination in American naval history. http://t.co/walKqMUZ6p #Figh…,8,0
601374772795150336,2015-05-21 13:11:33,ICYMI- I voted to make permanent the R&amp;D tax credit ensuring American innovators remain world leaders #InnovationWeek http://t.co/EliB6tFrEm,1,2
601161269710815232,2015-05-20 23:03:10,"Voted for America #COMPETES Act, setting priorities for research in a fiscally responsible manner. #InnovationWeek http://t.co/TTa4c0CkP8",1,1
601041068667318272,2015-05-20 15:05:32,Attn @clevelandcounty: Staff is holding office hours at County Manager's office today from 1-4 PM. Residents stop by w/ question &amp; concerns.,0,0
601031667256598529,2015-05-20 14:28:10,It's #InnovationWeek in the House. Learn what @HouseGOP is doing to reduce Washington-built roadblocks to progress: http://t.co/pfYReyp0Al.,0,0
600725748983398400,2015-05-19 18:12:34,Proud to support #S178 as it passed the House &amp; heads to President's desk. Vital legislation to help #EndTrafficking. http://t.co/z03zK6WScj,3,2
600706431327850496,2015-05-19 16:55:48,RT @hkycorningproud: Congressman Patrick McHenry (NC-10) is #hkycorningproud! http://t.co/VZtmMmKqA0,2,0
600655124449624064,2015-05-19 13:31:55,Last night the House passed 6 bills to help our veterans &amp; continue much-needed reforms at the #VA. Learn more here: http://t.co/Pm4cmJX8ji.,4,1
600307945096740864,2015-05-18 14:32:21,ICYMI- the #NC10 Weekly Email is posted. Read about a busy legislative week in DC: http://t.co/YEA9oeWXSq #HR36 #NDAA http://t.co/IY4r5dt4yv,0,0
600020484596502528,2015-05-17 19:30:06,"Inspirational story on Lincoln County's Braylon Beam, a six-year old who has decided to dance his way through chemo: http://t.co/o4VMLA2ZPM.",5,0
599594430182522880,2015-05-16 15:17:06,Today we recognize #ArmedForcesDay. Thanks to the men &amp; women of our armed forces for defending our freedom every day http://t.co/hZKNSTaCgN,12,10
599315980314107904,2015-05-15 20:50:39,"RT @GOPLeader: Thank you to @MacTXPress &amp; @HASCRepublicans, who worked to ensure #NDAA contains the funds we need for our defense &amp; oversea…",9,0
599306494291619840,2015-05-15 20:12:57,ICYMI- I joined 112 colleagues sending a brief opposing the President's illegal executive overreach on immigration: http://t.co/UmEvcqniDe.,0,1
599280071816433665,2015-05-15 18:27:57,My pleasure! Thanks for stopping by &amp; for your patience while we wrapped up votes.  https://t.co/cJY2JPKsCe,1,2
599279730991443968,2015-05-15 18:26:36,Thanks to the 6th-8th graders from Tri-City Christian in Conover for stopping by the Capitol today. Was a fun group! http://t.co/jcQPIEypOA,2,3
599265059349635072,2015-05-15 17:28:18,Saying a prayer today for all officers who were lost in the line of duty. Thankful for their service &amp; sacrifice. #PeaceOfficersMemorialDay,6,6
599263480236122112,2015-05-15 17:22:02,RT @RepMarkMeadows: Remembering Officer Jason Crisp. I'm forever grateful for his service. #NationalPeaceOfficersMemorialDay http://t.co/BX…,5,0
599228978621227008,2015-05-15 15:04:56,We must ensure our armed forces have the tools they need to succeed. I'm proud to support #FY16NDAA to do just that. http://t.co/aRQwH2bSWM,0,2
598957946702270465,2015-05-14 21:07:57,Now President Obama must improve upon the existing framework. A nuclear #Iran poses too great a threat to regional peace &amp; our ally #Israel,0,0
598957767332880386,2015-05-14 21:07:14,"I voted for the #Iran nuclear review bill. While far from perfect, Congress MUST have a say in any potential #IranDeal or sanctions relief.",0,1
