id,created_at,text,retweets,favorites
601456769513037824,2015-05-21 18:37:23,Great op-ed by @galeninstitute's @gracemarietweet on my bill to create an independent watchdog for #Obamacare http://t.co/vGr3J7Hrx6,3,1
601441097458417664,2015-05-21 17:35:06,"Thx @RodneyDavis for supporting #SIGMA, my bill to create an #Obamacare Special Inspector General → http://t.co/RtEVL23uhX",0,2
601424971257155584,2015-05-21 16:31:01,"Thx @TGowdySC for supporting #SIGMA, my bill to create an #Obamacare Special Inspector General → http://t.co/RtEVL23uhX",0,0
601417265670553600,2015-05-21 16:00:24,"We have Special Inspectors General for Iraq, Afghanistan, and TARP, so why not for #Obamacare? → http://t.co/gL2zGeigeg",0,1
601411376108666881,2015-05-21 15:37:00,RT @gracemarietweet: We need an Obamacare watchdog. My latest for @ForbesOpinion. @PeterRoskam http://t.co/lirM3PMZUJ,1,0
601402171557478401,2015-05-21 15:00:25,The facts don't lie: independent watchdogs have recouped billions of taxpayers dollars → http://t.co/gL2zGeigeg,0,1
601390472662224897,2015-05-21 14:13:56,"As this chart indicates, a Special Inspector General for #Obamacare could save billions → http://t.co/gL2zGe0FmI http://t.co/jquykGLe3B",1,2
601376081464156160,2015-05-21 13:16:45,"Thx @RepLynnJenkins for supporting #SIGMA, my bill to create an #Obamacare Special Inspector General → http://t.co/RtEVL2l5Gx",1,0
601375887704064001,2015-05-21 13:15:59,"Thx @michaelcburgess for supporting #SIGMA, my bill to create an #Obamacare Special Inspector General → http://t.co/RtEVL2l5Gx",0,0
601375740936986625,2015-05-21 13:15:24,"Thx @MarshaBlackburn for supporting #SIGMA, my bill to create an #Obamacare Special Inspector General → http://t.co/RtEVL2l5Gx",1,0
601101949124083712,2015-05-20 19:07:27,Joining @TeamCavuto on @FoxNews @ 4:45pm ET to discuss my new bill to create an Obamacare Special Inspector General → http://t.co/RtEVL2l5Gx,1,1
601033606652375041,2015-05-20 14:35:53,WATCH my opening statement from this morning's @WaysandMeansGOP Oversight hearing on #obamacare implementation → http://t.co/Cq3YCbJdTR,6,2
601026852594003968,2015-05-20 14:09:02,"The Constitution is clear: Congress writes the law, and the President executes the law. Period. WATCH → http://t.co/xU5VJUzrK9",7,3
601026364695773184,2015-05-20 14:07:06,"If one president can ignore parts of the healthcare law, can another president ignore the whole thing? TUNE IN LIVE → http://t.co/xU5VJUzrK9",6,2
601025894568853504,2015-05-20 14:05:14,WATCH: I'm hosting a @WaysandMeansGOP Oversight hearing on the Admin's unilateral actions to implement #obamacare → http://t.co/xU5VJUzrK9,3,3
601024994827759616,2015-05-20 14:01:39,RT @WaysandMeansGOP: Tune in at 10AM: @PeterRoskam chairs hearing on the use of administrative actions in Obamacare implementation http://t…,9,0
601020908724183040,2015-05-20 13:45:25,RT @sarahcwestwood: Obamacare might be getting its very own inspector general thanks to @PeterRoskam http://t.co/AmepBxq9f8,7,0
600819302237904896,2015-05-20 00:24:18,RT @dcexaminer: GOP lawmakers move to name Obamacare inspector general http://t.co/K9e1z4n07r,10,0
600781477723426816,2015-05-19 21:54:00,Proud to see efforts to quell discriminatory boycotts against #Israel gaining steam on the state and federal level http://t.co/T9p98Ivtm2,1,1
