id,created_at,text,retweets,favorites
601134230081507329,2015-05-20 21:15:43,The people of Nepal need our help: We should do unto others as we would have them do unto us: https://t.co/eu0mYFa5LC,4,2
600679176585216000,2015-05-19 15:07:30,"My thoughts and prayers are with the family, friends, and coworkers of fallen HPD officer Richard Martin.",0,2
600353373456617473,2015-05-18 17:32:52,Today is the 50th Anniversary of Head Start. Investments in our children’s education pay huge dividends in the form of a better tomorrow.,2,2
599571207248293889,2015-05-16 13:44:49,"Today is Armed Services Day. Let’s salute our men and women in uniform, many of whom go to distant places to protect our democracy.",1,2
599278904071819265,2015-05-15 18:23:19,Our nation has the opportunity to be a blessing to others by helping the people of Nepal: https://t.co/M4ZMaTcrue,1,0
599274887832801280,2015-05-15 18:07:21,Today is National Peace Officers Memorial Day. Our men and women who serve our communities under the color of law deserve our appreciation.,0,1
598903380128493568,2015-05-14 17:31:07,"Today, I recognized Asian Pacific American Heritage Month by honoring some great Americans, including Wong Kim Ark: https://t.co/Yk31VeEEjf",1,1
598855570049748992,2015-05-14 14:21:08,"Yesterday, I joined my fellow @CAPAC Members at the Congressional Ceremony for Asian Pacific American Heritage Month. http://t.co/mK859mkIYa",4,3
598578648959078400,2015-05-13 20:00:45,"I discussed “how soon we forget” the lessons of the 2008 Recession, as we examine regulations and Dodd-Frank: https://t.co/tL1tPWiHqv",4,0
598181506536837120,2015-05-12 17:42:39,"During this difficult time, the people of #Nepal need more than just our condolences and prayers: They also need our assistance.",3,0
597390717875421185,2015-05-10 13:20:20,Happy Mother’s Day! Let’s honor the mothers in our lives for their sacrifices and contributions.,6,3
596399178940588035,2015-05-07 19:40:19,Today is the #NationalDayofPrayer.  I encourage all people of faith to pray for strength and wisdom for our communities and our great nation,8,8
596395358323941379,2015-05-07 19:25:08,"On National Teacher’s Day, let’s all take a moment to thank our teachers, the molders of human minds and the sculptors of humankind.",0,0
595566433054138368,2015-05-05 12:31:17,"This Cinco de Mayo, let’s celebrate the myriad contributions of Mexican heritage and history to our great nation.",13,5
594863625212272641,2015-05-03 13:58:34,"Yesterday, I convened a meeting with many community leaders and activists, all of whom pledged support for Nepal. http://t.co/yaZU3YcXmX",5,1
594535096536985602,2015-05-02 16:13:07,"Today, I had a check-up at the UT Health Medical School Houston's Stomp Out Stroke Event. http://t.co/WWJA9PWYmk",5,3
594499114701824000,2015-05-02 13:50:08,This month is Asian Pacific American Heritage Month. The diversity and history of Asian communities are essential to the American experience,2,0
594208146425552896,2015-05-01 18:33:56,Congressman Al Green Introduces Resolution to Promote Minority Health Awareness: http://t.co/zNPilOuigV,4,0
