id,created_at,text,retweets,favorites
601405938441027584,2015-05-21 15:15:23,Our VA isn't doing its job. Tell us your story. http://t.co/15JzZsLQ4U,1,1
601037389046423552,2015-05-20 14:50:54,Congratulations to the Cecil County Public Library for their achievement in museum and library service. http://t.co/dmEdBfFDrp,0,1
600846897776095233,2015-05-20 02:13:58,RT @SBAList: Watch @RepAndyHarrisMD speak in favor of #hr36 last Wednesday http://t.co/cMgXqgzxbG #theyfeelpain #prolife,1,0
600846713839087616,2015-05-20 02:13:14,Going to be on @WCBM680 tomorrow morning with Sean and Frank from 6-7. Tune in!,1,0
600665855995879424,2015-05-19 14:14:34,Tune in to @wbalradio at 10:35 today! I'll be talking with @C4Show about issues that are important to you!,0,1
600663805199278080,2015-05-19 14:06:25,About to go on @WCBM680 with Tom Marr. Tune in!,0,0
600654400487579648,2015-05-19 13:29:03,Going to be on with Tom Marr at 10am today. Tun in on 680 or at http://t.co/0r8pZp82M5,0,0
600347823071105024,2015-05-18 17:10:49,"RT @RepublicanStudy: ""It really is nearly impossible to fire a federal employee."" via @weeklystandard http://t.co/gY5AmDkowZ",4,0
599632845506772992,2015-05-16 17:49:45,RT @TheAvenueNews: Come out to Martin State Airport @MartinState today and tomorrow to get up close to some World War II planes http://t.co…,2,0
599414330493403136,2015-05-16 03:21:27,"RT @RectorSun: What does @RepAndyHarrisMD, Maryland's lone Republican in Congress, think about @Amtrak funding after derailment? http://t.c…",5,0
599018992825663489,2015-05-15 01:10:31,Amtrak had PTC installed at site of crash. System just wasn't on http://t.co/Rig5HNsbgU,4,4
599017487569653760,2015-05-15 01:04:32,RT @alneuhauser: UPDATE: Amtrak got FCC approval in early March for positive train control system. http://t.co/wNi5hBBJc7 #amtrak188 http:/…,5,0
599016854804426752,2015-05-15 01:02:02,"RT @alneuhauser: BREAKING: Site of #Amtrak188 crash had positive train control installed, but it was turned off http://t.co/wNi5hBBJc7 http…",4,0
598979417944252416,2015-05-14 22:33:16,Congressmen: Amtrak train and tracks had PTC but it was turned off. @usnews exclusive: http://t.co/Rig5HNsbgU,2,1
598957901047267329,2015-05-14 21:07:46,Going to be on @WMALDriveatFive at 5:15! Tune in online at http://t.co/jNR0efApRh!,0,0
598854673760649218,2015-05-14 14:17:35,Going on @NPR in the next 10 minutes. Tune in on http://t.co/2ZUTD5GxWR or WAMU 88.5!,0,0
598561064368766976,2015-05-13 18:50:53,"RT @HouseGOP: ""We know that after 20 weeks, babies can feel pain and live. Here is one of those survivors."" -@RepHartzler http://t.co/iR7Yw…",43,0
598561035348549634,2015-05-13 18:50:46,"RT @HouseGOP: ""All children have purpose in the eyes of our beholder. Make no mistake, this is a human rights issue."" -@RepDianeBlack",24,0
598559751069421569,2015-05-13 18:45:40,"RT @HouseGOP: Now: House GOP gather to discuss H.R. 36. ""All of us know in our heart what this issue means."" -@RepTrentFranks http://t.co/8…",21,0
598558807371980800,2015-05-13 18:41:55,Here's a picture of the crowd fighting to protect the unborn. #HR36 http://t.co/nm953pk3ku,1,3
598558185729949696,2015-05-13 18:39:26,Great turnout of both the public and members who want to protect the unborn. #HR36,3,3
598557654789787649,2015-05-13 18:37:20,Learn more about HR36 --&gt; http://t.co/PMT7hSlaKE,0,0
598555768296755200,2015-05-13 18:29:50,Heading to the Capitol to support the Pain-Capable Unborn Child Protection Act! #HR36,3,5
598541984882528257,2015-05-13 17:35:04,@CNN did a great job covering the ceremonies honoring those officers who have died in the line of duty! #PoliceWeek http://t.co/Anpvfma0rL,0,0
598539409173143552,2015-05-13 17:24:50,RT @RClark_MACo: US House of Representatives Passes Waters of the US Bill @nacotweets @repandyharrismd @jdelaneyformd http://t.co/TmMx8GFC8F,1,0
598537398700658691,2015-05-13 17:16:50,This week is National #PoliceWeek. Thank you to all the men and women who work tirelessly to protect us every day! http://t.co/SESqjcNcT6,60,51
598165805298245633,2015-05-12 16:40:16,Were you able to see the Arsenal of Democracy Flyover last week in DC? Check out my Facebook for pictures! http://t.co/uztBCxDwPM,2,0
597575869880782848,2015-05-11 01:36:04,Happy Mother's Day to all of the amazing mothers in Maryland's First District! http://t.co/hOEI9AfZ9I,5,4
596748340794097664,2015-05-08 18:47:46,Check out my Facebook page to vote for the 2015 Art Competition on Social Media contest! #MD01 https://t.co/Sfx15dprXf,2,0
596383743125880832,2015-05-07 18:38:59,"Today &amp; every day I pray for the future of this great nation, as well as our servicemembers. What do you pray for? #NationalDayofPrayer",9,8
596383570811322368,2015-05-07 18:38:18,It's National Day of Prayer. Prayer is an act of faith that has unified us as a nation since our inception. #Prayer http://t.co/MCRMLMNgnd,2,4
596363611930497024,2015-05-07 17:18:59,"Great news for those traveling throughout Maryland, especially those heading to the Eastern Shore! #MD01 http://t.co/MGRdcxXbk5",2,2
596048445015728129,2015-05-06 20:26:37,Mary Lee is paying the Eastern Shore a visit! #MD01 http://t.co/gDP9rNN877,3,0
596048233253761024,2015-05-06 20:25:47,RT @HouseGOP: Retweet to say 'Thank You' to our brave men and women in uniform. #MilitaryAppreciationMonth http://t.co/Z4Hy9gOJnr,440,0
595657939031031808,2015-05-05 18:34:54,Thank you to all of the hardworking and dedicated teachers in Maryland's First District! #ThankATeacher http://t.co/MOgJ4iunho,7,0
595253069845307393,2015-05-04 15:46:05,"Interesting read --&gt; ER visits climb under ObamaCare, poll finds via @thehill http://t.co/YjgBSlLzWk",4,0
594203440018038784,2015-05-01 18:15:14,Exciting news for the Salisbury Zoo! http://t.co/ywJnAJyfuQ,2,0
