id,created_at,text,retweets,favorites
601006065250136064,2015-05-20 12:46:26,Great victory for Angelenos as Los Angeles City Council votes to #RaiseTheWage to $15 an hour by 2020 http://t.co/pOkG4xZk3P,9,8
600767436019933185,2015-05-19 20:58:13,Kudos to @CAPAC for putting on a successful #APAHM2015 symposium last week. Proud to stand with you! http://t.co/WNpxXfFcyl,4,2
600707880484999168,2015-05-19 17:01:33,"RT @Citizenship4All: .@RepBecerra #fight4dapa because it's not only good for families, but for our economy &amp; country http://t.co/9banM3XS7O",30,0
600707774272696321,2015-05-19 17:01:08,RT @RepZoeLofgren: Joining my colleagues @RepBecerra @YvetteClarke and @RepRubenGallego today to continue the #Fight4DAPA. http://t.co/Om7l…,20,0
600640322587140097,2015-05-19 12:33:06,"Cada día que las acciones ejecutivas de inmigración están bloqueadas, nuestras familias, negocios, y comunidades pierden #Fight4DAPA",119,27
600639580245610496,2015-05-19 12:30:09,"Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities #Fight4DAPA",229,104
600436461209559040,2015-05-18 23:03:02,Millions of Americans have benefited from @HeadStartgov over the years including my Field Deputy Irvin #HeadStart50 http://t.co/hRisrMhlLc,10,9
600435948279701507,2015-05-18 23:01:00,"Today, we celebrate the 50th Anniversary of @HeadStartgov.",6,6
600085883967012864,2015-05-17 23:49:58,"Honored to receive Friend of #CalRTA award. Our #teachers, and all Americans, should have a secure retirement. http://t.co/P9tpD1KryO",10,6
599024542586114048,2015-05-15 01:32:34,"Meeting comedian AND constituent, @jennyyangtv during @APAICS #APAHM dinner was 1 of the highlights of my week! http://t.co/vc7SJER7vk",7,13
599008610102935552,2015-05-15 00:29:16,Why would Congress go out of its way to stop #Dreamers from aiding in the defense of our nation? http://t.co/tg5gEgNuqx,12,13
598823599269634048,2015-05-14 12:14:06,Tune in now for my live interview with the @BPShow on this week’s news. VIDEO here: http://t.co/dfGYix9K2h,7,1
598627553990070273,2015-05-13 23:15:05,We’re less than 3 weeks away from watching money for our transportation programs expire. https://t.co/p0IL90NLQc #RebuildRenew,6,3
598468415284760576,2015-05-13 12:42:43,RT @WesternGrowers: #WesternGrowers appreciates .@RepBecerra taking time today to speak to our members. #Becerra #TPA #cawater http://t.co/…,6,0
598138108341833728,2015-05-12 14:50:12,RT @HHPNC: Congrats @fhs_panthers1 Gisselle Diaz for placing 1st in this year’s Student Art Competition! @RepBecerra #hlppride http://t.co/…,16,0
597483702633897986,2015-05-10 19:29:50,Happy #MothersDay to all our wonderful mothers. Let’s make sure our country’s laws honor their hard work and sacrifice. #equalpay,18,15
596729996057681920,2015-05-08 17:34:52,RT @LAAACoalition: Congressman Xavier Becerra (D-34) takes the stage! We are very appreciative that he is here!  #LAAACSummitOnAging http:/…,9,0
596685535827001344,2015-05-08 14:38:12,RT @CAUSEusa: Congressman Xavier Becerra showing his support! #cause22 #couragetolead http://t.co/u5CNjSKOQM,5,0
596685353022554112,2015-05-08 14:37:28,RT @tedlieu: With Congressman Xavier Becerra at wonderful @causeusa dinner. @RepBecerra http://t.co/CIODgDtXLv,12,0
596478146205065216,2015-05-08 00:54:06,Celebrating Older Americans Month with wonderful constituents at Glassell Park Senior Center @ACLgov #OAM15 http://t.co/ZlyncmFMhC,10,11
596403907313676288,2015-05-07 19:59:06,"So proud of two of my Fellows, Emily &amp; Grant who graduated from @CHCI last week.   Congrats to both of you! #TBT http://t.co/UnLN0wGvE1",5,5
596045511817371649,2015-05-06 20:14:58,RT @RepTedLieu: Excited and honored to join @DeptVetAffairs @RepBecerra for announcement of Homeless Veterans Initiative in LA. http://t.co…,20,0
596041568169103360,2015-05-06 19:59:18,"RT @radiobilingue: #LineaAbiertaHOY: @RepBecerra ""Tengo el derecho de saber que contiene el tratado del #TPP. Asi no voy a votar a favor de…",5,0
596041553296109569,2015-05-06 19:59:14,RT @radiobilingue: #LineaAbiertaHOY: @RepBecerra: #Baltimore muestra ruptura de confianza de comunidad en los uniformados q deberian estar …,4,0
596008465262338048,2015-05-06 17:47:46,RT @ConsulMexLan: Presentamos servicios que ofrecemos a comunidad a Gobernador @eruviel_avila @RepBecerra @gilcedillo @CarlosMSada http://t…,4,0
595221446814760960,2015-05-04 13:40:26,Caught up w Lt Gov. #GavinNewsom in DC. I look forward to working w him as we continue to help make CA the best state http://t.co/0aqsIKXQtn,4,6
594259204573155328,2015-05-01 21:56:49,I am honored to celebrate this year’s #APAHM &amp; recognize the rich history of Asian Americans and Pacific Islanders. http://t.co/7R9VoOqmmf,6,6
594213364592705536,2015-05-01 18:54:40,Thank you to everyone who came out in support of immigration reform and efforts to #raisethewage this #MayDay,11,7
594185379101704192,2015-05-01 17:03:28,Proud to join @RepBobbyScott and @PattyMurray to introduce legislation to #raisethewage to $12 by 2020.,8,7
594159074046038018,2015-05-01 15:18:56,"Not only did I thank him for his service to @LACo_FD, I pledged my assistance for any challenges #firstresponders in #LA County might face.",3,3
594158901999890432,2015-05-01 15:18:15,"Glad I got to sit down with Mike Metro, a true hero who recently retired from 40 years in the #Fireservice. http://t.co/vT7w9fhWOp",3,2
593484258573983744,2015-04-29 18:37:28,.@DeptVetAffairs Secretary McDonald sent a very strong message: ‘Please don’t let this funding bill become law' http://t.co/51h3laovJe,6,4
593437352854462464,2015-04-29 15:31:05,RT @LCAgingOrgs: Thank you @RepBecerra for coming to speak at our #LCAO meeting in the Capitol Visitor Center! #SocialSecurity #aging http:…,8,0
593437237418811392,2015-04-29 15:30:37,RT @MaxRichtman: Spoke to @RepBecerra this morning at Leadership Council of Aging Organizations meeting at Capitol Visitors Center: http://…,5,0
593053090502332416,2015-04-28 14:04:09,2 yrs ago my daughter &amp; I rallied at SCOTUS for #marriageequality. I’ll push court for @FreedomToMarry #LoveMustWin http://t.co/dnxfpUm8tI,29,15
