id,created_at,text,retweets,favorites
601042493321404417,2015-05-20 15:11:11,RT @RepLoisFrankel: .@HouseGOP has punted Highway Trust Fund deadline 2 months deeper into the critical summer construction season. This is…,88,0
600669804933062656,2015-05-19 14:30:16,"RT @RepBecerra: Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities…",230,0
600413817147936770,2015-05-18 21:33:03,RT if you agree that high-quality early education sets children up for success #HeadStart50,12,5
600294248508956672,2015-05-18 13:37:56,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,142,0
598496709250064384,2015-05-13 14:35:09,"RT @RepGaramendi: Only 6 legislative days until Highway Trust Fund expires. 660,000 jobs hang in the balance while we wait on GOP bill. htt…",117,0
596664990716813313,2015-05-08 13:16:33,RT @RepJudyChu: Happy National Small Business Week! More than 1/2 of Americans own or work for a small business. Let's help them succeed! #…,75,0
596376143047045120,2015-05-07 18:08:47,Letting student loan borrowers refinance while interest rates are low helps them get ahead: http://t.co/Q8lGJQRShM http://t.co/lZR6CmxQDf,6,2
596330279150694401,2015-05-07 15:06:32,RT @RepAdams: Let's pass #BankOnStudents Emergency Loan Refinancing Act that lets student loan borrowers refinance existing student loans t…,133,0
596316939712077824,2015-05-07 14:13:32,A heartfelt thank you to the nurses in #NewMexico for all you do to promote healthy and happy communities! #NursesWeek,0,1
595951728337539072,2015-05-06 14:02:18,RT @NydiaVelazquez: This National Small Business Week we salute American entrepreneurs who create 3 out of 4 new jobs. Let's help them succ…,139,0
595644214991581185,2015-05-05 17:40:22,On #NationalTeacherDay let's thank teachers for all they do to help our kids succeed. #ThankATeacher http://t.co/syRV9alXBZ,5,0
595224114979336192,2015-05-04 13:51:02,"RT @RepPeterDeFazio: @SpeakerBoehner, let's take up a long-term surface transportation funding bill! Infrastructure investments grow the ec…",102,0
593753029159038977,2015-04-30 12:25:28,GOP's closed-door negotiations on bad House budget &amp; bad Senate budget have resulted in a bad deal for hard-working Americans. No  surprise.,76,41
593053169745268736,2015-04-28 14:04:28,#LoveMustWin because all families should have the protections that come with marriage. #LoveCantWait,56,72
591651601653325824,2015-04-24 17:15:08,April is Alcohol #Responsibility Month.  Talk with your kids today about how to say NO to underage drinking. @goFAAR,7,3
590968974290067456,2015-04-22 20:02:37,It's #EarthDay! Celebrate by heading out to a park near you → http://t.co/974xOsCV1B http://t.co/PI77lGmR6x,6,2
590508679134347266,2015-04-21 13:33:34,Caroline Rotich of Santa Fe won the Boston Marathon women's race yesterday. Congratulations!! http://t.co/SiavNJdvSC,3,1
588443982532780032,2015-04-15 20:49:12,#GOPs1st100Days of new Congress have included ZERO bills to grow the economy. Let's fight for hard-working families! http://t.co/fDlvTcRXcb,4,2
588391861477367810,2015-04-15 17:22:06,"Today marks #GOPs1st100Days of the new Congress. So far? Dysfunction, obstruction &amp; distraction. RT if you agree, Americans deserve better.",5,0
588065650012266496,2015-04-14 19:45:51,"As long as hard-working women are making less for the same work, we must fight to pass the Paycheck Fairness Act. #EqualPayNow",3,1
586524343536082944,2015-04-10 13:41:15,RT @RepHankJohnson: .@HouseDemocrats want to pass #BankOnStudents legislation that allows borrowers to refinance their student loans. http:…,147,0
586166170505588736,2015-04-09 13:58:00,RT @RepRaulGrijalva: Most loans like mortgages can be refinanced. Let's pass #BankOnStudents bill to give student loan borrowers option to …,147,0
585442617657335808,2015-04-07 14:02:51,RT @repmarkpocan: FACT: Student loan debt surpassed $1 trillion over past 2 yrs. Let's pass #BankOnStudents bill that lets borrowers refina…,272,0
585164811572531201,2015-04-06 19:38:57,.@HouseDemocrats have filed a brief in support of POTUS' #ImmigrationAction to strengthen families and US economy. http://t.co/anMlUIPzJD,12,4
585080461115916290,2015-04-06 14:03:46,RT @RepJoeCourtney: #BankOnStudents bill would allow for refinancing of student loans. Much-needed measure would help millions of borrowers…,158,0
582911104751443969,2015-03-31 14:23:31,RT @repjohnconyers: Hardworking families are the engine of economic growth. That's why we must achieve bigger paychecks &amp; better infrastruc…,103,0
580066828560531456,2015-03-23 18:01:23,FACT: The 130 million Americans with pre-existing conditions can no longer be denied health coverage because the #ACAisWorking,13,6
580007893216419841,2015-03-23 14:07:12,"RT @NancyPelosi: On this 5th bday of the Affordable Care Act, we celebrate millions now covered under this critical law! #ACAisWorking http…",323,0
578976507244126209,2015-03-20 17:48:50,I introduced a bill 2 support green energy training programs @ community colleges. @SFCCNM is leading this effort http://t.co/NWBu1QTJ0y,4,5
578975745403326465,2015-03-20 17:45:49,"@NancyPelosi and I saw the greenhouse, biofuels lab, and more. Thanks to @SFCCNM for the great tour. http://t.co/TRXSQaHN6D",1,2
578974776384851968,2015-03-20 17:41:58,Today I welcomed @NancyPelosi to @SFCCNM to highlight the great work at #SFCC and discuss job training programs. http://t.co/qDiBqIXoue,1,3
576040969969278976,2015-03-12 15:24:04,RT @RepHuffman: Bigger paychecks &amp; better infrastructure. We must put the #MiddleClassFirst. Working families are the engine of America's e…,117,0
575654542974521344,2015-03-11 13:48:32,"RT @Clyburn: Inspired by #Selma50, we recommit to the fight for equality &amp; work to defeat barriers to the ballot box. @SpeakerBoehner, let'…",147,0
574953582061056000,2015-03-09 15:23:10,RT @RepTerriSewell: Selma is now! The fight for voting equality must continue so long as there are barriers that limit access to the ballot…,160,0
573124049599111168,2015-03-04 14:13:16,RT @RepSteveIsrael: Strong unity of @HouseDemocrats pushed full funding of @DHSgov across finish line. Time for @HouseGOP to stop the manuf…,165,0
572764888344485888,2015-03-03 14:26:05,"RT @NancyPelosi: RT if you agree: @SpeakerBoehner must bring up clean, long-term, Senate-passed DHS bill. #DontShutDownOurSecurity http://t…",590,0
571332124298641411,2015-02-27 15:32:47,"RT @BettyMcCollum04: GOP shutdown of DHS would make places like @mallofamerica more vulnerable. @SpeakerBoehner, #DontShutDownOurSecurity! …",155,0
570990272693309440,2015-02-26 16:54:24,It's time 4 Republicans 2 stop putting their political security ahead of national security. #DontShutDownOurSecurity: http://t.co/ZugqKyueMb,13,5
570689874459828225,2015-02-25 21:00:43,Just 3 days left until @HouseGOP shuts down Homeland Security. Americans deserve better. #DontShutDownOurSecurity http://t.co/3PxAbIGYDa,3,1
568893922656854016,2015-02-20 22:04:15,Visit @NatlParkService 2 learn about Every Kid in a Park. 4th graders+their families can visit National Parks 4 free. http://t.co/lqKbUWlHGR,4,1
568479586515873792,2015-02-19 18:37:49,Visiting the Roundhouse to address a joint session of the #NMleg. Watch my speech here: http://t.co/gSvRJhIzIq http://t.co/qwOI1tzYnR,8,3
568090014422339585,2015-02-18 16:49:48,Great news: About 11.4 million Americans are signed up for private health coverage. http://t.co/n019HKIrxK #11MillionAndCounting #ACAWorks,7,0
568074921697550336,2015-02-18 15:49:50,RT @RepLujanGrisham: .@HouseGOP should drop their anti-immigrant efforts &amp; join with Dems to fund @DHSgov. #DontShutDownOurSecurity http://…,82,0
566709849627840514,2015-02-14 21:25:31,I'm honored to join with the community in Taos today to celebrate #ColumbineHondo #Wilderness: http://t.co/6B3NCwHzx4,7,3
566708509799366657,2015-02-14 21:20:12,RT @SenatorTomUdall: Pleased to join Sen Bingaman @MartinHeinrich @repbenraylujan to dedicate #ColumbineHondo #Wilderness in Taos today htt…,8,0
566306123641552896,2015-02-13 18:41:15,Tell Republicans to stop risking our national security over their efforts to deport DREAMers #DontShutDownOurSecurity,6,2
566295956032069633,2015-02-13 18:00:51,Only 2 weeks until @DHSgov shutdown; it's time for GOP to pass clean bill &amp; stop holding national security hostage #DontShutDownOurSecurity,4,2
566261035020333058,2015-02-13 15:42:06,GOP’s unpaid-for tax cuts could provide 10 yrs of universal Pre-K for American children &amp; a year of NIH research. http://t.co/mP3yhbUM1s,3,2
566240522625613826,2015-02-13 14:20:35,I’m proud to join @Familiaefamilia in their work to stop bullying and end discrimination. Love is love. #Unidos4Love,10,6
565884953284845568,2015-02-12 14:47:41,"RT @RepHastingsFL: Yesterday, the GOP unanimously defeated a clean DHS funding bill. Americans deserve better. #DontShutDownOurSecurity htt…",161,0
565650640836517889,2015-02-11 23:16:36,"Wonderful to meet the Rocky Mountain Youth Corps, and congratulations to the Corpsmember of the Year, Jasmine Romero! http://t.co/HvFp6qtOSZ",2,1
565233134158237696,2015-02-10 19:37:35,Divisive right-to-work plan would do more harm than good in New Mexico and weaken the middle class: http://t.co/rchLrCaRqD #NMleg,12,8
565229552012902400,2015-02-10 19:23:21,"With 18 days &amp; 7 legislative days left until @DHSgov runs out of funding, I urge @HouseGOP, #DontShutDownOurSecurity. http://t.co/OI3i9mbC8A",4,3
563719252570800128,2015-02-06 15:21:57,RT @WhipHoyer: 22 days till @DHSgov runs out of funding. GOP needs to stop playing political games #DontShutDownOurSecurity http://t.co/AFK…,143,0
562695588752678912,2015-02-03 19:34:17,"Today, stories of Americans from across the country show us the Affordable Care Act is working. #PeopleOverPolitics http://t.co/Vl7eD9QTUS",6,3
562633287563489281,2015-02-03 15:26:43,RT @HouseDemocrats: .@HouseGOP will vote for 56th time to repeal/undermine health care for Americans today. Time for #PeopleOverPolitics! h…,189,0
558652863820627969,2015-01-23 15:49:56,RT @RepPeterDeFazio: House Dems are fighting for bigger paychecks &amp; better infrastructure. Time for the GOP to get on board with putting th…,147,0
557912229614718976,2015-01-21 14:46:55,RT @RepSteveIsrael: Last night the President laid out a strong economic vision that expands opportunity for working families &amp; puts the #Mi…,125,0
555750164024279040,2015-01-15 15:35:39,RT @RepRubenGallego: At this dangerous time the GOP shouldn't endanger America's national security to satisfy the most extreme of their par…,95,0
555377242420031488,2015-01-14 14:53:47,RT @RepLindaSanchez: The GOP's radical anti-immigrant amendments would tear apart families &amp; are poison pills for important DHS funding bil…,183,0
554676763864100864,2015-01-12 16:30:20,RT @HomelandDems: .@HouseGOP must end political gamesmanship over homeland security funding. Their tactics send a dangerous message @ the w…,139,0
553237435325632512,2015-01-08 17:10:57,Jan 30th is the last day to apply for @CHCI's paid summer internship in DC! For more information and to apply visit http://t.co/gGpPlyBnyw,16,2
552818995804790784,2015-01-07 13:28:14,"We must have an America that works for all, not just the privileged few. A shame the GOP spent Day #1 fighting for the special interests.",124,72
552107006971346946,2015-01-05 14:19:02,"RT @NancyPelosi: As 114th Congress begins, @HouseDemocrats will put forward legislation to provide bigger paychecks, better infrastructure …",225,0
548162132626251776,2014-12-25 17:03:31,Merry Christmas!! I hope you and your family have a wonderful Holiday season.,0,3
545323424365559808,2014-12-17 21:03:30,Join @CHCI in a Google Hangout today at 2:30MST for information on how to best apply for the Internship Program. https://t.co/wESvaUykLG,0,1
543081075481010176,2014-12-11 16:33:13,Have a 2014 health care plan? Learn more about your options for 2015. http://t.co/qPgeWCLw9R  #GetCovered http://t.co/rHsmG25wTa,2,0
541996409898434560,2014-12-08 16:43:08,RT @RepJuanVargas: President Obama's #ImmigrationAction means millions will spend the holidays with the security of knowing their families …,275,0
540578997940535296,2014-12-04 18:50:51,"HOY: Una vez más, los Republicanos en la Cámara forzaran un voto ante-inmigrante. #Latism",2,1
540559878289629184,2014-12-04 17:34:52,FACT: The only #immigration votes @HouseGOP has allowed in 113th Congress have been anti-immigrant votes.,6,3
539797746182787072,2014-12-02 15:06:26,"Necesitamos menos obstrucción de los Republicanos, y mas cooperación para pasar #reformamigratoria. #TiempoesAhora",1,0
539789811213959168,2014-12-02 14:34:54,RT @RepHorsford: Over one million people have already signed up for health insurance. #GetCovered at http://t.co/2aySngiTAn between now and…,117,0
539533558411304961,2014-12-01 21:36:39,"An important day to remember. @NYTArchives: 59 years ago, Rosa Parks refused to give up her seat &amp; changed the world. http://t.co/ferNDHGjwQ",4,4
538046856354615297,2014-11-27 19:09:01,Happy Thanksgiving! Wishing you and your family a safe and joyful holiday. http://t.co/NYGjd9oE3A,4,4
537605683383123968,2014-11-26 13:55:57,"GOP's obsession w/dismantling quality, affordable health care has hit a new low. Lawsuit against POTUS is irresponsible waste of tax dollars",80,59
535598035775275008,2014-11-21 00:58:17,Watch President Obama’s executive action on immigration announcement livestream at 8pm ET at http://t.co/jLnIVAx4ua #ImmigrationAction,13,8
