id,created_at,text,retweets,favorites
601096952206491649,2015-05-20 18:47:35,It was a pleasure having Akela in the office today for #FosterYouthVoices. Best of luck in college &amp; in the future! http://t.co/SYczkrh5xZ,5,4
601052801804939266,2015-05-20 15:52:09,RT @HouseSmallBiz: .@RepBlainePress asks panel about intellectual property security - Bieron says trade agreements are best route to securi…,2,0
600736826601660416,2015-05-19 18:56:35,I'm proud to send bipartisan legislation (420-3) on anti-human #trafficking to the president's desk.,2,1
600666528464375808,2015-05-19 14:17:14,"RT @FinancialCmte: LIVE NOW ""The Future of Housing in America: Oversight of the Rural Housing Service” http://t.co/JE9AgObkNj",1,0
600402860392734720,2015-05-18 20:49:31,"Honored to support &amp; speak in support of my friend @RepJoeHeck's bill, the Vulnerable Veterans Housing Reform Act.",4,1
600390458758529024,2015-05-18 20:00:14,Read my weekly bulletin about the #House working to protect the gift of life http://t.co/fxjYYMcnWM,1,1
599243012384817152,2015-05-15 16:00:42,Unbelievable. I couldn't be happier the #MedalofHonor will be awarded to a very deserving World War I veteran. #MO03 http://t.co/N0lRcP2T3A,2,1
598945997486739457,2015-05-14 20:20:28,@FinancialCmte Great to be back in 2128!,0,0
598945819572723712,2015-05-14 20:19:45,"RT @FinancialCmte: A look inside of our new @FinancialCmte hearing room from earlier today, Housing and Insurance Chair @RepBlainePress htt…",2,0
598856264505040896,2015-05-14 14:23:54,RT @FinancialCmte: TUNE IN 10AM ET “Protecting Consumers: Financial Data Security in the Age of Computer Hackers” http://t.co/Pvnp3AWknx,4,0
598557736461332481,2015-05-13 18:37:39,Thanks for coming by! https://t.co/MjZcPKSe6L,2,1
598488490637185024,2015-05-13 14:02:30,Proud to support legislation to #DitchTheRule  http://t.co/Z6tjmgEeUW,1,0
598468627071905792,2015-05-13 12:43:34,RT @ALS_STLRegion: Grateful to @RepBlainePress for your continued support of people with #ALS!  #ALSAdvocacyDay2015 @ALSPublicPolicy http:/…,4,0
598237452164268032,2015-05-12 21:24:57,The stories that Missourians shared during today's #ALSAdvocacyDay2015 were truly moving. Thank you for coming by! http://t.co/QVnaPdelGr,1,2
598235762593771521,2015-05-12 21:18:15,"RT @BroadlyServing: Thank you, Rep. Luetkemeyer for filming PSAs on support for #troops &amp; #mentalhealth awareness http://t.co/gUqbyPXYXo #C…",1,0
598167222029307904,2015-05-12 16:45:53,Take a moment to thank the brave men &amp; women who protect our communities each day. #NationalPoliceWeek http://t.co/P0IzjSxFhr,3,0
597807903039475712,2015-05-11 16:58:05,"Last week, I wrote an op-ed for @RedAlert about #nationalsmallbusinessweek Read here: http://t.co/hbABwWnDAX",4,0
597749056052527104,2015-05-11 13:04:15,"RT @RedAlert: . @RepBlainePress : Congress should level the playing field for our nation’s small businesses
http://t.co/rKUN5SqDLy http://t…",5,0
