id,created_at,text,retweets,favorites
601133992490999808,2015-05-20 21:14:46,"Today, I was proud to lead the House in honoring #Amtrak Train 188 victims and first responders. http://t.co/Swi5gVsGiM",0,1
600402535648731138,2015-05-18 20:48:14,Exactly 50 years after the launch of Head Start let's ensure the window of opportunity stays open for our nation's at-risk kids #HeadStart50,0,0
598329535994720256,2015-05-13 03:30:52,Thoughts and prayers are with those affected by tonight's train derailment in Port Richmond. Thanks to our hospitals and first responders.,7,6
590620301433696257,2015-04-21 20:57:07,The Senate has been playing political games w/ Pres. Obama's Attorney General nomination. Time to #ConfirmLynch now! http://t.co/fS5L1Tw3yz,2,1
578653034789629952,2015-03-19 20:23:29,We need to modernize voter registration and ensure that state and local election officials are fully equipped to administer their elections.,10,5
578652788533653504,2015-03-19 20:22:30,RT @HouseAdm_Dems: #VotingRights #VoterEmpowermentAct @RepBrady &amp; Dem Leaders reintroduce the Voter Empowerment Act. Read about it here: ht…,4,0
573648876890030080,2015-03-06 00:58:44,Devastating news. Police Officer Wilson gave his life protecting our city. My thoughts and prayers are with his family and friends.,11,3
570343191100067841,2015-02-24 22:03:07,I support repeal of the SGR. #FixMedicareNow,11,6
565892627242156032,2015-02-12 15:18:10,I am excited to announce that Philadelphia will host the 2016 Democratic National Convention!,24,18
542406320146509826,2014-12-09 19:51:58,Very excited by news of DOL’s final rule barring fed. contractors from discriminating in employment on a person's LGBT status #equality,6,2
537991924985364480,2014-11-27 15:30:44,Happy Thanksgiving! I am grateful for my family &amp; the 1st District of #PA. Remember to take a moment to think of those less fortunate today.,0,2
537619590680158209,2014-11-26 14:51:13,Join me in welcoming Day&amp;Zimmerman to @citychesterpa and thanking Mayor Linder &amp; Thaddeus Kirkland for advancing city http://t.co/L9fTINZXbJ,2,1
536970073630867456,2014-11-24 19:50:16,RT @HouseAdm_Dems: .@RepBrady Issues Letter on Latest #RepublicanLawsuit Effort http://t.co/Pq9eSgnvyJ,6,0
533343188111884288,2014-11-14 19:38:19,RT @HRC: @PhiladelphiaGov  Congratulations on Philadelphia scoring a 100 on @HRC's #2014MEI! http://t.co/rKeljuVEBQ #LGBT http://t.co/5mhzp…,4,0
533323695063064576,2014-11-14 18:20:52,"Moments ago, I introduced a bill on the floor of #Congress to expand federal hate crime laws to better protect #LGBT individuals",10,9
532178670623141888,2014-11-11 14:30:57,Today we must think of all of the brave men &amp; women who risked their lives to protect our country - thank you for your service &amp; sacrifice,1,2
520641398228652034,2014-10-10 18:25:57,Proud to receive 100% from @HRC - we must continue the fight for #LGBT equality http://t.co/oKQEpnJVvj,3,1
514778981137403904,2014-09-24 14:10:47,L'Shana Tova to all of those celebrating Rosh Hashanah this week! My family and I wish everyone a happy and healthy 5775.,3,3
514494716776570880,2014-09-23 19:21:14,"RT @6abc: #BREAKING: 3 charged in attack on gay couple in Center City
http://t.co/SMpBUZQWnF",45,0
514491743430266880,2014-09-23 19:09:25,"RT @phillygaynews: Congratulations to @SenatorJimFerlo, who became PA's first out state senator today #lgbt #harrisburg",8,0
514453738095120384,2014-09-23 16:38:23,Don't forget that today is National Voter Registration Day! It's not too late. Learn more: http://t.co/9YYnZ9effr #CelebrateNRVD,2,0
514060516457984000,2014-09-22 14:35:52,I've written bill to strengthen hate crime laws to better protect those in #LGBT community - hate crimes have no place in #Philly or U.S.,9,6
513036016501129216,2014-09-19 18:44:52,@SFnicko @jfagone Alan. Mother like Alan Ladd. http://t.co/3azBfY118K. Game over. Have a great weekend guys.,3,3
512604867018645504,2014-09-18 14:11:38,Please take moment today to think of slain PA state trooper Cpl. Bryon Dickson. My deepest condolences to his family &amp; fellow troopers,1,2
512304983422042112,2014-09-17 18:20:00,@SFnicko @jfagone You were so close - thought you'd get there on your own. Last hint: It isn't a laddy's name.,1,0
511865861251297280,2014-09-16 13:15:05,@SFnicko @jfagone I'll give you A hint,1,1
511640574211145729,2014-09-15 22:19:53,@SFnicko @jfagone E as in Cheesesteak is incorrect,3,3
511633054188982272,2014-09-15 21:50:00,@SFnicko @jfagone Do you guys want to buy a vowel?,3,6
510063737026641920,2014-09-11 13:54:06,"On this anniversary of #911, let us #neverforget those we lost 13 years ago on this tragic day in American history",0,1
507988294471544832,2014-09-05 20:27:02,Met w/ Sec of #VA Robert A. McDonald to discuss how to best serve our #veterans and their families http://t.co/kFF4PrR2TO,2,2
507890509785104384,2014-09-05 13:58:28,RT @RepJeffries: States w/ higher minimum wages are creating more jobs. Will fact-based evidence convince @HouseGOP to hold a vote to #Rais…,131,0
502100922320060416,2014-08-20 14:32:43,I'm sure this won't be the last time this all-star athlete will be on the cover of Sports Illustrated - Go #Mo'ne! http://t.co/ULiivgJFik,2,5
500020091019620353,2014-08-14 20:44:14,Extremely concerned &amp; saddened w/ situation in #Ferguson &amp; death of Michael Brown. I call for immediate demilitarization and investigation,31,25
495201577238822912,2014-08-01 13:37:11,"RT @HouseDemocrats: .@SpeakerBoehner, it's time to stop catering to most radical voices of the GOP &amp; address #BorderCrisis in thoughtful &amp; …",188,0
494577991209725952,2014-07-30 20:19:16,"Instead of wasting taxpayer dollars on this lawsuit against the President, the GOP should pass the Fair Minimum Wage Act! #DoYourJobHouseGOP",45,22
494566074638413826,2014-07-30 19:31:55,1 in 5 Americans and 1 in 3 children get health care through #Medicaid.  Happy 49th anniversary!,1,1
494127822081126400,2014-07-29 14:30:27,"RT @repsandylevin: Instead of wasting taxpayer $ on frivolous #GOPLawsuit, @SpeakerBoehner should join Dems to put #middleclassfirst! http:…",158,0
492329837265440768,2014-07-24 15:25:54,RT @JuliaBrownley26: 5 years ago was the last time the minimum wage was raised. RT if you support Dem plan to put #MiddleClassFirst &amp; #Rais…,248,0
492309327504756736,2014-07-24 14:04:25,"Now THAT is a real throwback RT @chakafattah: #TBThursday / @RepBrady &amp; @chakafattah, years ago.  http://t.co/353y8xIgdz",7,6
491941922496577536,2014-07-23 13:44:28,RT @RepJohnYarmuth: The Dem #MiddleClassFirst agenda includes 21st Century Make It In America Act to create good-paying jobs here at home h…,82,0
491218407585370112,2014-07-21 13:49:29,"RT @repjoecrowley: While GOP wastes time &amp; taxpayer $ suing POTUS, Dems have a plan to jumpstart our economy &amp; put  #MiddleClassFirst http:…",167,0
491216636393701376,2014-07-21 13:42:27,RIP to my friend &amp; #Philadelphia legend Hank Salvatore - may his tireless commitment to our city never be forgotten,3,0
489772502886141952,2014-07-17 14:03:58,"RT @RepTierney: While GOP piles more debt on students, Dems will #BankOnStudents to help students refinance loans: http://t.co/GsfjjtpDyV #…",90,0
489428264331804673,2014-07-16 15:16:06,"Instead of wasting America's $ on a ridiculous lawsuit, Dems have a plan to put the #MiddleClassFirst. Learn more: http://t.co/8rg72xSBI8",1,1
489046942727831553,2014-07-15 14:00:51,"RT @RepJohnLarson: Today, House Dems will intro a constitutional amdt to overturn Citizens United b/c a govt #bythepeople is a govt of the …",287,0
