id,created_at,text,retweets,favorites
601120340576772096,2015-05-20 20:20:32,Unacceptable. We must reinvest in our infrastructure through legislation like the Nation Building Here at Home Act. https://t.co/uXVNvKgEUG,5,3
601114418320138240,2015-05-20 19:57:00,"Low cost power &amp; @NYPAenergy funds 157 jobs @NA_Hoganas @Cummins @BNEnterprise Just Greens, CambriaAsphalt &amp; We Care: http://t.co/l7vLnprQlD",1,0
601101465520885760,2015-05-20 19:05:31,RT @waterbikesbuff: Counting down to the first summer season on the Water @ Canalside including Paddle &amp; Pedal Boats.Opening this weekend h…,8,0
601091407395299328,2015-05-20 18:25:33,I introduced the Nation Building Here At Home Act to make our infrastructure a priority. VIDEO HERE: http://t.co/zaAxBJEFj2 #RebuildRenew,1,1
601056343760478209,2015-05-20 16:06:14,RT @NatlDevCouncil: Great News for our #NMTC project in #Buffalo !! http://t.co/JEk2IfkVFN,1,0
601032064276819968,2015-05-20 14:29:45,HAPPENING NOW: Staff on hand at the Valley Community Center until 12pm for Congress On Your Corner. http://t.co/PSxQtEF8im #COYC,3,1
601028756413747201,2015-05-20 14:16:36,RT @CanisiusCollege: Contemporary Writers Series at #Canisius receives NEA grant @RepBrianHiggins http://t.co/AqXoMTP80R,1,0
600748282080432129,2015-05-19 19:42:06,Bellamy Commons project at 1490 Jefferson to receive $300k through @FHLBNY: http://t.co/yTsCCXGYdx @bhrwny @EvansBankJobs @BuffaloNAACP,4,0
600741502227189760,2015-05-19 19:15:10,RT @BN360: .@priceline lists #Buffalo as a Top 25 #MemorialDay destination spot: http://t.co/H0L4xsEBdK #buffalove http://t.co/erFfJbAdoq,5,0
600735442967859200,2015-05-19 18:51:05,$3 million to @RoswellPark from @theNCI for ovarian cancer research: http://t.co/19FNTlbnkj @WNYOCP @OCNA @NOCC_National @OvarianCancerDY,5,2
600722915718467584,2015-05-19 18:01:18,RT @TheBuffaloNews: Recurring artisan market coming to Canalside http://t.co/nuFVLrOcYC,5,0
600715403606806529,2015-05-19 17:31:27,"Via @BfloBizFirst, Bellamy Commons secures $300,000 @FHLBNY housing grant: http://t.co/TrOyIEw21n @EvansBankJobs @bhrwny",1,1
600705715200761857,2015-05-19 16:52:57,"RT @TheBuffaloNews: Queen City Bike Ferry opens to public noon to 8 p.m. Friday. @CanalsideBflo Preview photos:
http://t.co/OVZjegfu0h http…",5,0
600697829594681344,2015-05-19 16:21:37,"Grant announced for Bellamy Commons project, will inject new life into vacant community ctr (via @TWCNewsBuffalo) http://t.co/9ktrc8j0PM",3,2
600407169259962370,2015-05-18 21:06:38,In honor of @MuseumDirectors #ArtMuseumDay check out WNY's world-class galleries @AlbrightKnox @BPArtCenter @UBArtGalleries,8,6
600395250084016128,2015-05-18 20:19:17,Happy #InternationalMuseumDay @NTHistoryMuseum @BfloNavalPark @SPMofWNY @AerospaceMuseum @TRInauguralSite #MuseumDay,5,1
600389492701339648,2015-05-18 19:56:24,It’s #InternationalMuseumDay – NY-26 is home to many museums like @Musedisability @buffaloscience @BuffaloHistory @NiagaraHistory #MuseumDay,5,2
600372150810374144,2015-05-18 18:47:29,Bellamy Commons project not possible w/o Herb Bellamy Jr @MayorByronBrown @FHLBNY @EvansBankJobs @bhrwny @LISCBuffalo @NYSHCRonline,6,2
600371874355388416,2015-05-18 18:46:23,"Bellamy Commons will bring over $8M in investment to Bflo's East Side through additional fed, state &amp; city funding. http://t.co/ekTJku9FHt",1,1
600371701642305536,2015-05-18 18:45:42,"Construction currently underway on the Bellamy Commons project, set to open Spring 2016. @FHLBNY http://t.co/RAGIZPTl1h",1,1
600359615490985984,2015-05-18 17:57:41,"Bellamy Commons is named after Herb Bellamy Sr., a former Buffalo Common Council member, @USMC vet &amp; founder of 1490 Enterprises Inc.",2,1
600359090397847552,2015-05-18 17:55:35,"Herb Bellamy Jr, CEO of Buffalo Black Achievers Inc speaking abt his father's legacy &amp; significance of 1490 Jefferson http://t.co/BnDUVQ3hWm",1,0
600358116266549248,2015-05-18 17:51:43,"In addition to housing units, Bellamy Commons will host @BuffaloNAACP &amp; Buffalo Black Achievers Inc. offices. @FHLBNY http://t.co/OpwBpqGP5h",2,0
600357691324760064,2015-05-18 17:50:02,"$300k @FHLBNY grant awarded to @bhrwny for Bellamy Commons project, which will have 30 affordable housing units. http://t.co/EfoZYXOJxa",3,2
600356964753879040,2015-05-18 17:47:09,.@FHLBNY grant will help transform vacant community service center at 1490 Jefferson. @EvansBankJobs http://t.co/sUBJVthkZt,3,0
600355701421166593,2015-05-18 17:42:07,W/@MayorByronBrown &amp; Herb Bellamy Jr announcing @FHLBNY $300k grant for Bellamy Commons. @EvansBankJobs submitted app http://t.co/YbjjMVucje,3,0
600343627508899840,2015-05-18 16:54:09,"RT @AlbrightKnox: It may be #MuseumDay, but we're breaking down museum walls with our #AKPublicArt Initiative. View a map of projects: http…",3,0
600337824588517376,2015-05-18 16:31:05,Many impressive students receiving awards today at @CanisiusHS. Best of luck as you graduate. https://t.co/fLdQRS9gXs,1,2
600337673753075714,2015-05-18 16:30:29,Zackary will do great things at @USAFA. Proud to have him represent our region there &amp; serve our country. @CanisiusHS http://t.co/wbmqX4DYCu,8,12
600336513818300416,2015-05-18 16:25:53,At @CanisiusHS to announce Zackary Krieger's acceptance to the @USAFA at this morning's Senior Awards Ceremony. http://t.co/Rk1gBt73t0,6,11
600331507807481856,2015-05-18 16:05:59,Queen City Bike Ferry paid for in part by NYPA funds secured through federal relicensing. http://t.co/yqNWdTFAUU,1,3
600310401805524992,2015-05-18 14:42:07,RT @KatieNews4: The first bicycles are coming on board the new Queen City Bike Ferry. Boat can carry up to 25 bikes &amp; 49 passengers http://…,6,0
600310223274905603,2015-05-18 14:41:25,RT @BMaz1: The Queen City Bike Ferry is ready to launch http://t.co/2DboHum6Z0,4,0
600310080232411136,2015-05-18 14:40:51,"RT @jhickeyBN: The Queen City Bike Ferry will make its maiden voyage, a 20-minute trip from Canalside to the Buffalo Marina and back http:/…",9,0
600309910639931393,2015-05-18 14:40:10,"Queen City Bike Ferry open to public on Friday, will transport pedestrians &amp; cyclists btwn @CanalsideBflo &amp; Marina. http://t.co/1YtEjqwoUK",9,4
599639216599879680,2015-05-16 18:15:04,Thank you to all those who have served our country this #ArmedForcesDay @USArmy @USArmyReserve @USNavy @usairforce @USMC @USCG,5,5
599324651920166912,2015-05-15 21:25:06,Outer Harbor access remains free as it should be. http://t.co/YSbLTOP4Wa,4,6
599320073166270464,2015-05-15 21:06:54,BREAKING NEWS: No parking fee at Small Boat Harbor this summer https://t.co/Buy7ad33Q4,4,6
599304633287364608,2015-05-15 20:05:33,"Via @NiagaraGazette, NT schools to hire counselors, psychologist with @usedgov $1.17M grant http://t.co/UE99Xg1TYb",3,0
599301591204818945,2015-05-15 19:53:28,"RT @BeeNewspapers: Something to do this weekend, the Williamsville Farmers Market  opens up in it's new location Island Park~Village... htt…",1,0
599269300357181441,2015-05-15 17:45:09,"Congratulations to @DYouville President Sister Denise Roche, retiring July 1, 2016 after over 36 years of service. http://t.co/9I1mbgKTuz",2,1
599256003205554176,2015-05-15 16:52:19,RT @HARBORCTR: The Canalside District looks great. We're excited to be part of Buffalo's renaissance! #OneBuffalo (Photo by @BWipp) http://…,127,0
599246667037151232,2015-05-15 16:15:13,#FF #biketoworkday2015 @GOBuffalo @bflobybicycle @BfloBikeShare @BNbikeped @BfloBikeParty @GBNRTC &amp; non-traditional bikes @waterbikesbuff,5,6
599227803683442688,2015-05-15 15:00:16,"RT @914Airliftwing: The C-130 flight simulator project is progressing nicely at the Niagara Falls Air Reserve Station. This project,... htt…",3,0
599222356859592704,2015-05-15 14:38:37,RT @WBFO: Biking to work promoted as a healthy alternative http://t.co/FCC2erOUxa via @wbfo #BikeToWorkWeek,2,0
598957198111289345,2015-05-14 21:04:58,Parking fees are inconsistent with keeping our waterfront open to all (via @TheBuffaloNews) http://t.co/u4jwvuQ1fd,9,4
598936900028788738,2015-05-14 19:44:19,Proud that our office could help this family cut through red tape to bring their daughter home (via @NBCNewsWorld) http://t.co/pDPvOZUjbn,2,0
598929152000032769,2015-05-14 19:13:32,"#TBT Speaking on House Floor about keeping @USPS offices open, such as WNY's William Street office: http://t.co/NhKDgzrTK1 @APWUnational",2,0
598928230607933440,2015-05-14 19:09:52,RT @ALZIMPACT: The HOPE for Alzheimer's Act has 149 cosponsors in the House and 24 cosponsors in the Senate! Learn more: http://t.co/mf4F2X…,8,0
598918765439537152,2015-05-14 18:32:15,Walnut Senior Living provides independent living option @peopleincnews (via @WestSenecaBee) http://t.co/dPSMbKbwSk,3,1
598903133507592192,2015-05-14 17:30:08,"I think it's flattering, but this is WNY's state park. The people demanded it, and now it's becoming a reality. https://t.co/azwsxUDBUl",4,5
598894887719804928,2015-05-14 16:57:22,"Proud to Stand With Postal Workers &amp; fight to keep offices open &amp; service effective, today &amp; every day @APWUnational http://t.co/S5vgjfHI8E",8,5
598880044006641664,2015-05-14 15:58:23,"RT @TheBuffaloNews: Black Rock Historical Society opens its doors today.
http://t.co/fZ2Fiesm2z http://t.co/D41Haw4jV1",2,0
598874618905100288,2015-05-14 15:36:50,Staff on hand at @DGCC877 Delavan Grider Community Ctr for Congress On Your Corner from 11:30am - 1:30pm today http://t.co/PSxQtEF8im #COYC,1,1
