id,created_at,text,retweets,favorites
601070103426400256,2015-05-20 17:00:54,"Rep. Cicilline just congratulated Newport, RI on hosting 125,000 visitors for the @volvooceanrace - https://t.co/8IelaCvCaO",0,0
600694894022262784,2015-05-19 16:09:57,Great video of Congressman Cicilline taking part in last week's Fire Ops 101 with @ProvFirefighter http://t.co/B4oqz2e4Mz,3,3
600338371165163521,2015-05-18 16:33:16,Rep. Cicilline celebrating the 50th anniversary of Head Start earlier today in Central Falls. #HeadStart50 http://t.co/qkViuZ7o2t,2,2
599278605701623808,2015-05-15 18:22:08,Listening to President @BarackObama speak at the National Peace Officers' Memorial Service today.… https://t.co/GhSctWW9Gk,0,0
598862456589529088,2015-05-14 14:48:30,Congressman Cicilline helping raise awareness about the kidnapped Chibok schoolgirls yesterday #BringBackOurGirls http://t.co/hCs7dmfuao,20,3
598566328329441280,2015-05-13 19:11:48,Meeting with the American Jewish World Service earlier this morning on Capitol Hill. https://t.co/m513OmFFF7,1,1
598556097507655680,2015-05-13 18:31:08,"Expiration of Highway Trust Fund could mean RI loses over $200 million in federal funds and 1,689 jobs. Read more at http://t.co/vRcOHrXRmE",0,0
598549897097420800,2015-05-13 18:06:30,Cicilline underscores importance of long-term re-authorization for Highway Trust Fund - http://t.co/vRcOHrXRmE,0,0
596319186730807297,2015-05-07 14:22:27,Second Circuit rules bulk metadata collection is illegal. Cicilline has co-sponsored legislation to end it - http://t.co/sGCIxS3ZTi,3,1
593485789897564160,2015-04-29 18:43:33,House just voted to pass Congressman Cicilline's bill to honor the late Sister Ann Keefe - http://t.co/OxPf2AmVMs,5,3
593482319396220928,2015-04-29 18:29:45,"RT @RepCloakroom: H.R. 651 was passed – 423 Yeas, 0 Nays",4,0
593479781657800707,2015-04-29 18:19:40,House is now voting on passage of Congressman Cicilline's bill to honor the late Sister Ann Keefe.,2,2
593155805609865216,2015-04-28 20:52:19,UPDATE: US House of Representatives will consider legislation to honor Sister Ann Keefe around 2pm tomorrow.,3,3
593145928548274178,2015-04-28 20:13:04,Cicilline bill to honor Sister Ann Keefe is now on House floor.,2,1
593041736332640256,2015-04-28 13:19:02,Standing in solidarity with those arguing for marriage equality before the Supreme Court. #LoveMustWin #LoveCantWait http://t.co/uoy1T8HDMf,3,0
591993035107344384,2015-04-25 15:51:52,HAPPENING NOW: Congressman Cicilline joining @LatinoPublicRad on 1290 AM. http://t.co/ccSJebDD8w,3,1
591696562805481472,2015-04-24 20:13:48,87% of California businesses reported no increased costs and 9% reported SAVINGS due to employee retention #leadonleave,2,1
591695982489968642,2015-04-24 20:11:30,"In California, which has paid leave, 90% of businesses say the policy has either a positive or neutral effect #leadonleave",0,0
591693668827926528,2015-04-24 20:02:18,Roundtable discussion on paid leave with Congressman Cicilline and @LaborSec is underway. http://t.co/0ZmcTxMqsc,1,1
591693204078067713,2015-04-24 20:00:27,More than 30 million American families have young children and almost 40 million Americans provide unpaid eldercare #leadonleave,0,0
591692837500166144,2015-04-24 19:59:00,"Touring Gold International Machinery and LNA Laser Technology with @LaborSec, @jimlangevin, and @gaylegoldin. http://t.co/QKNcsAnuqa",4,2
591683619258785793,2015-04-24 19:22:22,Women who use paid leave and come back to work are 39% less likely to need public assistance in their first year back #leadonleave,3,1
590896462827036672,2015-04-22 15:14:29,"For Earth Day, a throwback to 2013, when I testified in support of creating the Blackstone River… https://t.co/ShBpvozBFK",3,1
590199487794171904,2015-04-20 17:04:57,RT @SenWhitehouse: Looking forward to hosting lots of #RI #veterans on May 2nd: http://t.co/1cpWohq7UH @RINationalGuard @RwbRi @SENEDIA_ ht…,21,0
588476006702387200,2015-04-15 22:56:28,"Earlier tonight, Congressman Cicilline blogged on @HuffingtonPost about the need for LGBT protections - http://t.co/1RBDVkQutD",6,3
