id,created_at,text,retweets,favorites
601116594178289664,2015-05-20 20:05:38,House Veterans’ Affairs Committee Ranking Member Corrine Brown’s Statement at Joint VA Hearing http://t.co/seUQMQBKI6,3,0
600467577110929409,2015-05-19 01:06:41,Congresswoman Brown Says University of Florida Health Center at Jacksonville will not close on Her Watch http://t.co/sOE6mVjd4K,5,0
600350752893214720,2015-05-18 17:22:28,@HeadStartgov Remains vital to bridging the gap between poverty&amp; possibilities for our nation's children #HeadStart50 http://t.co/1zmJXxkCEF,1,0
600345723339743233,2015-05-18 17:02:28,Congresswoman Brown Says University of Florida Health Center at Jacksonville will not Close on Her Watch http://t.co/rAiDXXyzel,6,2
599016515493564416,2015-05-15 01:00:41,Veterans’ Affairs Committee Ranking Member Corrine Brown Statement on Denver VA Medical Center http://t.co/FCAyeEwex2,4,1
598518407600984067,2015-05-13 16:01:22,"Congresswoman Brown Statement on Amtrak Derailment: Pledges to Work with Federal Agencies to Determine Cause, Prov... http://t.co/KgsCBoKvbF",3,3
598181447611117568,2015-05-12 17:42:25,"Today is #ALSAdvocacyDay2015! ALS occurs throughout the world with no racial, ethnic, or socioeconomic boundaries. http://t.co/bya6tLudgn",2,1
596797980524605441,2015-05-08 22:05:01,Congresswoman Brown Stresses Outstanding Work of Orlando Housing Authority http://t.co/ohtnKTr2cm,3,1
596163689830551552,2015-05-07 04:04:34,Congresswoman Brown Urges CMS to Hold Firm on Low Income Pool Funding for Florida http://t.co/RQh8FwvZBs,7,3
593792988175867904,2015-04-30 15:04:15,"House Veterans' Affairs Ranking Member Corrine Brown Strongly Opposes House Military Construction, Veterans Affair... http://t.co/YsQSnjVpQy",3,0
593158115815743488,2015-04-28 21:01:29,House Veterans Affairs Ranking Member Corrine Brown Introduces Legislation to Ensure Gender Specific Services at V... http://t.co/ebsKmcgVTd,4,1
592813466177638403,2015-04-27 22:11:58,Standing with The National Coalition of 100 Black Women as they visited our Nation’s Capital to advocate #NC100BW http://t.co/4MFteaBqtv,7,2
591331215216513024,2015-04-23 20:02:02,Congresswoman Corrine Brown Very Pleased with Historic Senate Confirmation of Loretta Lynch as United States Attor... http://t.co/J0W6bqqTQf,3,1
590999537889718274,2015-04-22 22:04:04,Congresswoman Corrine Brown Hopeful Senate Vote on Attorney General Nominee Loretta Lynch Will Occur Thursday http://t.co/Jeany9mB1F,4,0
590996287811616768,2015-04-22 21:51:09,RT -- @WhiteHouse: This is the only planet we've got. Let's fight to protect it. http://t.co/j7STDqznE7 #ActOnClimate http://t.co/vVef1ij6tX,4,2
590988702102454272,2015-04-22 21:21:01,RT @RepEBJ: It's been 165 days. The Senate must end these games and #ConfirmLynch http://t.co/zv00Cbc8iV,33,0
590923597528588291,2015-04-22 17:02:19,Ranking Member Corrine Brown Working to Build a Better VA: Opening Statement at Hearing on 'Philadelphia and Oakla... http://t.co/Yl1T2VhEe1,3,0
590549142658797568,2015-04-21 16:14:22,"It is appalling that Loretta Lynch waited so long for a vote, on Senate floor over an unrelated bill. #ConfirmLynch http://t.co/MFtcI9ZQGR",4,1
590546929643315201,2015-04-21 16:05:34,Congresswoman Corrine Brown Criticizes Governor Scott's Lawsuit http://t.co/3yG7SPXCxY,1,0
589112003068882944,2015-04-17 17:03:41,Congresswoman Corrine Brown Works to Increase Desperately Needed Funding for Transportation and Infrastructure http://t.co/86hC35hvqP,4,0
588463142369366017,2015-04-15 22:05:20,Ranking Member Brown Pledges to Work to Improve VA Construction Practices http://t.co/vedv7HVvGu,5,0
588431020011167744,2015-04-15 19:57:42,Welcome friends &amp; families of #NDSS. I applaud the tireless work they continue to do in our communities &amp; nationwide! http://t.co/CwFJhGq0GW,5,1
588100414215688192,2015-04-14 22:03:59,"As We Mark Equal Pay Day, Congresswoman Corrine Brown Calls for Passage of the Paycheck Fairness Act http://t.co/tn0LRphgNH",3,0
588088164759240704,2015-04-14 21:15:19,"We must pass the Paycheck Fairness Act. When #womensucceed, America succeeds! #EqualPayNow #EqualPayDay http://t.co/NtbXhmdQ7j",2,1
588087695198552065,2015-04-14 21:13:27,"According to @uscensusbureau, by age 65, the avg woman will have lost $435,049 throughout her working life bc of the pay gap. #EqualPayNow",4,3
