id,created_at,text,retweets,favorites
600761317633331201,2015-05-19 20:33:54,"Today I join Reps.McDermott, Reps. Black, and Reps.Franks on the introduction of a bipartisan Adoption Tax Credit Refundability Act of 2015",0,0
593836862432772096,2015-04-30 17:58:35,"Meeting today with George Sheldon, Acting Director of IL Department of Children snd Family Services http://t.co/Kj6IXw82cs",3,1
593836367773343744,2015-04-30 17:56:37,Great meeting with Violette Hawkins of Edward Jones on the role of financial advisors http://t.co/ke49dXhFtM,0,0
588469326555918336,2015-04-15 22:29:55,Commend @McDonalds on moving forward on employee pay and benefits.  Looking forward to continuing the progress.,6,1
588462796670521344,2015-04-15 22:03:58,I introduce a bill designating 4th wk in April 'Every Kid Healthy Week' (H.RES.190) to highlight the importance of keeping kids fit&amp;healthy.,2,2
587991943277318144,2015-04-14 14:52:58,On the occasion of the Minority Health Month and the 50th Anniversary of ESEA: http://t.co/saMSbHubFZ and http://t.co/cDBPpu8jhD,2,1
581475375785635841,2015-03-27 15:18:27,"Bipartisan HR2: It's a good day for doctors&amp;nurses, a good day for healthcare, and a good day for America #docfix   
http://t.co/LTTCEVPbUL",6,0
578555203936493568,2015-03-19 13:54:44,RT @Aaron_Cortes: #TRIOworks! We believe in the mission. @RepDannyDavis @COETalk @Illinois_TRIO #illinoisPresident http://t.co/tDxahlVTuw,4,0
578304245365104640,2015-03-18 21:17:31,"RT @CTULocal1: ""When we stand together, Chuy will be mayor for ALL of Chicago,"" says U.S. Congressman @RepDannyDavis #chuy2015 http://t.co/…",24,0
578304216717987840,2015-03-18 21:17:24,"RT @CBCFInc: ""We R the most incarcerated nation."" Black boys dropout b/c they don't see teachers like them @RepDannyDavis#CBCFCPAR http://t…",4,0
578304140733988864,2015-03-18 21:17:06,"RT @UIFedRelations: While on the Hill, had a chance to thank @RepDannyDavis for his support on @UIHealth priorities! http://t.co/zLV0q6xqPH",3,0
578304033150144513,2015-03-18 21:16:40,RT @The316Group: #SickleCell research advocacy meeting w/ @RepDannyDavis &amp; @ToneTime10 #greaterthansicklecell #3andLongSCD http://t.co/QlkG…,4,0
578304016880398337,2015-03-18 21:16:36,RT @ToneTime10: Pleasure spending time with @RepDannyDavis talking #SickleCell #greaterthansicklecell http://t.co/20raHb84C6,12,0
575405745509896192,2015-03-10 21:19:54,"RT @McPhersonHall: @RepDannyDavis 
THANKS for your efforts to ""educate"" students on the various tax programs. 
Wish Chairman John Kline wou…",7,0
575029569465544704,2015-03-09 20:25:07,RT @SenatorReid: Republicans are undermining our Commander-in-Chief while empowering Iran’s hardline ayatollahs.,531,0
574999539687555072,2015-03-09 18:25:47,RT @garcia4chicago: Thank you @repdannydavis for your endorsement &amp; your faith in me to build a Chicago that works for all. #Chuy2015 http:…,56,0
574999510486814721,2015-03-09 18:25:40,RT @AANP_NEWS: Thanks @RepDannyDavis for cosponsoring HR 1342 Home Health Planning &amp; Improvement Act to increase access to care #HomeCareAc…,1,0
574999475191742464,2015-03-09 18:25:32,RT @DickStreetman: @MediaDervish And @RepDannyDavis http://t.co/kUi29EYfyy,1,0
574998964522651649,2015-03-09 18:23:30,"RT @RepGwenMoore: #RightToWork is WRONG for Wisconsin! @GovWalker: As the backbone of our nation, our working families deserve better! http…",3,0
574392283912601600,2015-03-08 02:12:46,"RT @repjohnlewis: 50 yrs ago today, we set out to march from Selma to Montgomery to dramatize to the nation that people of color were denie…",6477,0
573894362620391424,2015-03-06 17:14:13,Make use of tax breaks to fulfill your dream of college. Learn more of what is available for you http://t.co/IK1O9gfFRB  #TaxBreaks4Students,8,3
573312024488378368,2015-03-05 02:40:12,"RT @IHEPTweets: This week, we'll be tweeting with @RepDannyDavis to encourage more students to take advantage of tax credits #TaxBreaks4Stu…",5,0
573311996965335040,2015-03-05 02:40:06,"RT @emilylhauser: I called @SenatorDurbin &amp; @RepDannyDavis last wk, &amp; called @janschakowsky to thank her. These folks work for you - tell t…",2,0
573311941764112385,2015-03-05 02:39:53,RT @rweingarten: More students need to know about #TaxBreaks4Students.Thanks @RepDannyDavis for encouraging more to take this opportunity t…,3,0
573245754661314561,2015-03-04 22:16:52,Need some green for the expensive college scene? http://t.co/IfELup0HSy #American_Opportunity_Tax_Credit #TaxBreaks4Students,3,1
573223304254889985,2015-03-04 20:47:40,"Meeting w/Tommie Smith, 1968 Olympic Gold Medalist on the importance of PE. Healthy kids, healthy future for America http://t.co/qZtbjjCgXE",6,6
573166099040210944,2015-03-04 17:00:21,Don’t owe taxes? You STILL may qualify for up to $1k in funds for tuition a year. More info at http://t.co/IfELup0HSy #TaxBreaks4Students,1,1
572935026964340736,2015-03-04 01:42:09,"RT @emv52: .@OfficialCBC MT @MicheleOPRFFP Great talk @RepDannyDavis . ""Don't be discouraged. Things do change.""  #hungerpc15 http://t.co/4…",4,0
572934616660766720,2015-03-04 01:40:31,RT @EleanorNorton: Thank you co-chair @RepDannyDavis &amp; our participants for making today’s racial profiling roundtable a great success! htt…,4,0
572855106258903043,2015-03-03 20:24:35,Do you know there's no limit on number of years for this credit #Lifetime_Learning_Credit see http://t.co/IfELuoJ6tY #TaxBreaks4Students,6,1
572771405068161025,2015-03-03 14:51:59,Returning citizen taking classes? #Lifetime_Learning_Credit gives up to $2k for education costs http://t.co/IfELup0HSy #TaxBreaks4Students,1,0
572529854295498752,2015-03-02 22:52:09,College can be affordable. Find out more if you are eligible #TaxBreaks4Students http://t.co/IK1O9gfFRB,4,0
