id,created_at,text,retweets,favorites
601430339156910080,2015-05-21 16:52:21,It is time for @HouseGOP to acknowledge that climate change is real and join the fight for a healthier tomorrow! http://t.co/h26f4ePdCo,4,3
601072697918038017,2015-05-20 17:11:13,"RT @WhiteHouse: ""Climate change constitutes a serious threat to global security—an immediate risk to our national security."" —@POTUS http:/…",302,0
601067780318875648,2015-05-20 16:51:40,"I am fighting in the Appropriations markup today to reverse @GOP cuts to @NSF funding, which supports critical basic research &amp; innovation",14,22
600752911715475457,2015-05-19 20:00:30,The Ex-Im Bank helps to level the playing field for American workers &amp; businesses. So why is @HouseGOP ready to let it expire? #ExIm4Jobs,3,3
599623158879154176,2015-05-16 17:11:16,Great crowd @quailridgebooks in Raleigh for #NeighborhoodOfficeHours. Come by from 1-3 today w/ ?s or just to say hi! http://t.co/stDm6f1yWl,0,0
599574317396041728,2015-05-16 13:57:11,Honored to celebrate St. Aug's 148th graduating class and welcome my friend @repbobbyscott as commencement speaker! http://t.co/WaWR5kE0on,7,2
599235465296924672,2015-05-15 15:30:42,#EndangeredSpeciesDay demonstrates the Earth’s diversity and reminds us we must protect our nation’s wildlife and their habitats,3,0
599207563125760000,2015-05-15 13:39:50,Started the morning with a great conversation about the Iran negotiations with @VOANews for a Farsi broadcast http://t.co/iKYejYPbbb,0,1
598840687551995904,2015-05-14 13:22:00,RT @quailridgebooks: Congressman David Price meeting constituents at our store http://t.co/LIUq3ee3EZ @RepDavidEPrice,1,0
598831933456556032,2015-05-14 12:47:13,"RT @RepPerlmutter: Let's renew Highway Trust Fund ASAP. @HouseGOP's needless crisis casts uncertainty on 6,000 US construction projects. ht…",102,0
598539326822166528,2015-05-13 17:24:30,"At today's Approps markup, I am fighting to reverse GOP cuts to @Amtrak &amp; @USDOT and build a safer, smarter transportation system #Amtrak188",5,11
596718264631336961,2015-05-08 16:48:15,A great day for NC's future! Breaking ground on Raleigh Union Station w/ @NancyMcFarlane @PatMcCroryNC @USDOT @NCDOT http://t.co/rH0ZnBrZgw,5,6
596423480326934528,2015-05-07 21:16:53,"RT @rhodes44: Reps Schakowsky, Doggett and Price lead efforts to support diplomacy to prevent #Iran from obtaining a nuclear weapon http://…",36,0
596380826100699138,2015-05-07 18:27:23,Honored to join @janschakowsky @RepLloydDoggett &amp;150 of our colleagues in support of @WhiteHouse diplomacy w/ #Iran http://t.co/PUbDfsUH5h,16,6
596331289130737664,2015-05-07 15:10:33,"Sorry, billionaires- my bill w/@ChrisVanHollen &amp; @SenatorTomUdall will empower small donors in presidential campaigns http://t.co/Z2ie4mcwqX",12,8
596324376007614465,2015-05-07 14:43:05,Thanks to @Cisco for hosting me for an update on your work in @TheRTP and a chance to visit with your talented team. http://t.co/WVYc5dKqsM,0,2
596020213268815873,2015-05-06 18:34:27,Thanks to the talented entrepreneurs @AmerUnderground Raleigh for hosting me for a #smallbusinessweek visit today! http://t.co/tSGJfvgLVE,4,4
595618120636719104,2015-05-05 15:56:40,Honored to #ThankATeacher by presenting a flag to teacher of the year Mrs. Sizemore at Cummings High in @BurlingtonNC http://t.co/2cPAhy4vNG,5,4
595606001446952961,2015-05-05 15:08:31,"From the proud son of a family of educators, thank you to the great teachers of the 4th District! #ThankATeacher http://t.co/GsSWTJ17qq",4,9
595579271453761537,2015-05-05 13:22:18,"RT @BillPascrell: Nothing returns more to the Treasury than investments in education. This #NationalTeacherDay, thank a teacher for helping…",136,0
595338632040468480,2015-05-04 21:26:05,Enjoyed meeting the East Chapel Hill High Robotics Club and learning about their successes in robotic competition! http://t.co/VakkzpBJ9b,2,4
595276525190127617,2015-05-04 17:19:17,"I am looking forward to visiting small businesses in Durham, Graham, Burlington, Raleigh &amp; Fayetteville this week! http://t.co/1Y1oaqkK0C",1,6
595251436080013313,2015-05-04 15:39:36,Great visit @DukeU today w/ leading gun violence researchers @DukeSanford &amp; a talk to the Triangle SmartTalk group. http://t.co/fvS0pxMwYC,3,1
594531839978688512,2015-05-02 16:00:11,Enjoyed visiting with my @HarnettCounty constituents at my #NeighborhoodOfficeHours in @LillingtonNC today! http://t.co/iwWdaUzxGW,2,0
594497338175037440,2015-05-02 13:43:05,I'll be at the @HarnettCounty @HCPLibrary in @LillingtonNC from 10-12 today for #NeighborhoodOfficeHours. Come by w/ ?s or just to say hi!,2,1
593843330397646850,2015-04-30 18:24:17,Thanks to @IRIglobal for facilitating an informative discussion about the legislative process with Ukrainian MPs http://t.co/Set95PmJf6,12,2
593809090473758720,2015-04-30 16:08:14,"RT @politico: With Baltimore’s troubles as a backdrop, House Republicans are proposing new cuts from urban renewal programs http://t.co/aeL…",41,0
593805938999566336,2015-04-30 15:55:42,"Congrats to @GSK, which was named one of the top employers of military families, National Guard soldiers, &amp; reservists by @DeptofDefense!",0,0
593805554973278208,2015-04-30 15:54:11,Thanks to @JeffFortenberry &amp; @RepSamFarr for standing with us to save @OWprogram's critically important legislative outreach efforts!,6,4
593479832735997953,2015-04-29 18:19:53,I was honored to join @PeterRoskam for a moment of silence on the Floor today expressing condolences to the government and people of #Nepal,3,1
593178242460311552,2015-04-28 22:21:28,Marriage equality is a defining civil rights issue of our time. #SCOTUS should stand on the right side of history &amp; agree that #LoveCantWait,157,251
593153806864687105,2015-04-28 20:44:22,"Great convo w/ parliamentary staff from Afghanistan, Kosovo, Nepal &amp; Ukraine on strengthening legislative resources http://t.co/zEgXgXadBs",2,0
592676816093085697,2015-04-27 13:08:59,"RT @RepBecerra: .@HouseGOP time to help hardworking Americans save for a home, college &amp; retirement. No more breaks for billionaires! http:…",100,0
592020235827466240,2015-04-25 17:39:58,I'm at the Courthouse in Pittsboro until 3 today for #NeighborhoodOfficeHours. Come by with ?s or just to say hi! @chathamnc @pittsboroncgov,4,4
591984924422512641,2015-04-25 15:19:39,Thanks for dropping by my #NeighborhoodOfficeHours in Durham this AM. Next stop: Pittsboro Courthouse from 1-3 today. http://t.co/Z3ADyKTiUL,2,1
591339212827418624,2015-04-23 20:33:49,National parks are natural &amp; cultural treasures. They also support 277k jobs &amp; create $29B in econ growth @NatlParkService #NationalParkWeek,6,6
591333319180070912,2015-04-23 20:10:24,I congratulate Loretta Lynch on her historic confirmation &amp; wish her the best as she prepares to lead @TheJusticeDept http://t.co/XgdIhxvL0y,6,4
591281089907425280,2015-04-23 16:42:51,"RT @RepJohnYarmuth: RT if you agree: Instead of handing billions to the top 0.2%, @HouseGOP should fight for hard-working families! http://…",190,0
590977051391369216,2015-04-22 20:34:43,"Today, the House Approps Committee passed my amendment providing $15M for VA mental health and prosthetics research: http://t.co/NSnAwEnGLz",2,4
590940555934355456,2015-04-22 18:09:42,Happy #EarthDay! Addressing climate change and protecting the environment is a public health imperative: http://t.co/Me52Wd9PAu,5,7
590867270357901312,2015-04-22 13:18:29,RT @GKButterfield: Loretta Lynch is capable &amp; deserving of confirmation as America's next AG. I urge my GOP colleagues in the Senate to #Co…,144,0
590300501549436929,2015-04-20 23:46:21,Congrats to Rachel Geoffrion of @CEJordanHigh (1st place) &amp; all the participants in my #CongressionalArtCompetition! http://t.co/9dGcfTEbEw,5,6
590169423916437504,2015-04-20 15:05:30,Enjoyed participating in small group discussions with members of the Chapel Hill-Carrboro Chamber of Commerce http://t.co/vDzpPntHn4,2,1
589139551819542529,2015-04-17 18:53:09,Happy #NationalLibraryWeek to NC's librarians! Libraries are critically important community hubs and educational resources. @ALALibrary,3,1
588815990772916224,2015-04-16 21:27:26,Triangle World Cup news- 6 former @GoHeels players will be on the US Women's Natl team &amp; head coach Jillian Ellis began her career @ncstate!,5,4
588793392513032192,2015-04-16 19:57:38,"I thank Dr. Scott Ralls for his his years of exemplary service to NC's community colleges, &amp; I wish him the very best http://t.co/Q0FW0Tojbs",0,0
588718895852347393,2015-04-16 15:01:37,GOP estate tax repeal is foolish fiscal policy- it cuts taxes for only the richest 0.15% &amp; adds $270B to the deficit http://t.co/rXeQBD0WCJ,15,8
588712220789473282,2015-04-16 14:35:05,"Today, on Yom HasHoah, we remember the victims of the Holocaust. They remind us that the moral quest for justice &amp; peace for all is not over",1,3
588443148415668224,2015-04-15 20:45:53,Great visit to Charlotte w/ the President &amp; @RepAdams- now back to DC to fight for working moms &amp; the middle class! http://t.co/jUv1My9fVw,5,10
588428524844908544,2015-04-15 19:47:47,"If @PatMcCroryNC accepts #ACA Medicaid $, all low-income NCians will receive health care, even those w/ chronic diseases #ObamaTownHall",11,6
