id,created_at,text,retweets,favorites
601135645592027137,2015-05-20 21:21:21,Kerry from Tampa is discussing with me about repealing Obamacare on my live teletown hall taking place now.,0,0
601134844882608128,2015-05-20 21:18:10,Participating in teletown hall. On line with Bruce from Land O Lakes discussing illegal immigration. http://t.co/Idc6XsZ99X,1,2
601133986807676928,2015-05-20 21:14:45,Participating in a teletown hall now. Jeanne from Tampa is asking what Congress will do to safeguard our country from ISIS.,1,1
598938175491469313,2015-05-14 19:49:23,Voting on Iran Nuclear Agreement Review Act. Congress has a right to review POTUS nuke agreement. #NuclearDeal #IranDeal,3,3
598580415562125312,2015-05-13 20:07:46,I had a great time meeting realtors from Fla. Dist. 15. Thank you to everyone who participated in today's meeting. http://t.co/CnJbtyyJde,1,2
598149436951371776,2015-05-12 15:35:13,It was an honor to give the UCF Class of 2015 commencement speech and encourage graduates to make their Moms proud! http://t.co/I8qxVPX7yN.,2,1
597395720908480513,2015-05-10 13:40:13,Wishing all MOMS a very Happy Mothers Day!,2,1
596704414582308864,2015-05-08 15:53:13,I'm enjoying a great discussion at an employee town hall meeting @MetLife in Tampa. Huge turnout! Thank you! http://t.co/K0ZIWOfJbL,2,2
596630643884175360,2015-05-08 11:00:05,"Thank you to America’s military spouses for your loyalty, faith &amp; strength. Happy Military Spouse Appreciation Day. http://t.co/yCldIL2FWC",10,6
596438521730232320,2015-05-07 22:16:39,On the #NationalDayofPrayer I can think of no greater time to pray for our country and its leaders for courage to stand on principles.,4,2
596385989595164672,2015-05-07 18:47:54,Congratulations UCF Class of 2015! It was an honor to speak to you today. Your hard work has paved the way to your success. #GoKnights,1,1
595248351265878016,2015-05-04 15:27:20,"Today is #nationalOJday Celebrate this great day by pouring a refreshing, tall glass of orange juice and enjoy!",11,4
595181090869891072,2015-05-04 11:00:04,Happy International Firefighters’ Day. Thank you all for your sacrifice and service! http://t.co/cLSmINBkvs,7,0
592692117438345217,2015-04-27 14:09:47,RT @brianccarroll: Its great to have @RepDennisRoss on the campus of @seuniversity for an open dialogue with students on public policy. htt…,9,0
592659779094470658,2015-04-27 12:01:17,"RT @seuniversity: Don’t forget that this morning, we have @RepDennisRoss on campus, sharing with us at 10am in B&amp;E 115. You're not going to…",1,0
591301020052955136,2015-04-23 18:02:03,(2/2) DR. SCHANZER: “I would say that Iran is probably the terrorist central bank” http://t.co/vCca5xXaKS,14,7
591300630251065344,2015-04-23 18:00:30,(1/2) ROSS: “would one draw the conclusion that there is a terrorist central bank?” http://t.co/vCca5xXaKS,4,1
591270452460269568,2015-04-23 16:00:35,Love @FLPolyU's new Phoenix Mascot! Great choice &amp; represents STEM education initiatives.,2,1
591266862257852416,2015-04-23 15:46:19,Lifting economic sanctions on Iran will make it easier for them to aid terrorists across the globe.  http://t.co/vCca5xFzTk,3,3
591266806809100288,2015-04-23 15:46:06,(2/2) that Iran is the lead sponsor of radical Islamic terrorism throughout the world. http://t.co/vCca5xFzTk,0,2
