id,created_at,text,retweets,favorites
601380109283495936,2015-05-21 13:32:45,You don't need to understand Bayesian statistics to understand what bringing new treatments&amp;Cures can do for American families #Cures2015,2,2
601367327481933826,2015-05-21 12:41:58,TY for working w/ us MT @VoteforCuresCO Thx 4 your passionate leadership. We want to ensure &gt;$$ for NIH. http://t.co/7hoAQxNYfE  #Cures2015,3,0
601138856440832001,2015-05-20 21:34:06,"RT @MelissaAttias: .@FrankPallone &amp; @RepDianaDeGette requesting that E&amp;C Oversight look into antibiotic resistance, youth e-cigarette use, …",1,0
601107475119616000,2015-05-20 19:29:24,"I agree, we must rebuild our crumbling roads &amp; rails MT @aristeia_dave
This is just embarrassing, I urge you to act. http://t.co/qBNQkiBHx0",2,1
601096038049513474,2015-05-20 18:43:57,"New #windturbine tech could allow every state to produce #windenergy, just not quite as well as #CO &amp;our 2,332 MWatts http://t.co/duYyZlj0IS",2,1
600826615342473216,2015-05-20 00:53:22,I will continue to #Fight4DAPA because immigrant families have waited long enough. @MiFamiliaVotaCO. Juntos podemos!,4,5
600786887557697536,2015-05-19 22:15:30,"Wow, must be a Byers market for bad DeGette #puns RT @ByersAlex ""So, you wanna DeGette out of here or what?"" #congressionalpickuplines",10,26
600786495973236736,2015-05-19 22:13:57,"#Cures2015 means new hope for people, like my Choir Director, John Kuzma, whose love for what they do has been cut short by their diseases.",4,3
600786059098791938,2015-05-19 22:12:13,#Cures2015 did something everybody said we couldn't do; writing a big bill in a #bipartisan way. https://t.co/AUM2AHfbPv,5,4
600778185110900736,2015-05-19 21:40:55,Decaying #CO roads cost every driver in our state abt $535/year in car repairs. @HouseGOP games w/ #Highwaytrustfund is $ out of our pockets,2,1
600777264360468480,2015-05-19 21:37:16,#CO's roads highways &amp;dams don't have time for @HouseGOP games w/ the #highwaytrustfund. Let's get serious &amp; fix this http://t.co/YMQ3oYZT3I,5,3
600732205078487040,2015-05-19 18:38:13,My statement on the #Takata #airbag recall. http://t.co/CSIoRr9VF8,0,0
600707986508611584,2015-05-19 17:01:59,The same armored vehicle that patrolled Kabul might be the wrong fit for Larimer Square. Join the stand against a #militarized police force.,8,2
600703629922795521,2015-05-19 16:44:40,Let’s keep war machines in war zones. RT to join me &amp; say NO to a #militarized police force. @RepHankJohnson http://t.co/eph7EjqMMg,18,6
600380117685248000,2015-05-18 19:19:09,"Glad you joined the party, Mr. President. Welcome to twitter @POTUS.",6,10
600374503236046849,2015-05-18 18:56:50,"RT @ECcures: #Cures2015 bill ""does so much more."" - @RepDianaDeGette http://t.co/9jv7tC326g",2,0
600373153987039232,2015-05-18 18:51:28,On #HVAD we recognize the docs &amp; innovators who have dedicated their lives to finding an #HIV Vaccine. You bring us 1 step closer to a cure.,1,1
600366544330326016,2015-05-18 18:25:13,There is no better investment than the life of a child. RT to stand w/ #HeadStart50 for the next 32mill kids http://t.co/X9Bz89ghQA,6,6
