id,created_at,text,retweets,favorites
601115235563495424,2015-05-20 20:00:14,Great to have Zach with me today from #TN06 for foster youth shadow day!  #DCShadowDay #FosterYouthVoices http://t.co/ZzmC44Xup7,6,1
601086804989767680,2015-05-20 18:07:16,Participated in @WaysandMeansGOP Oversight Hearing on Obama Admin’s use of executive orders to implement #Obamacare: https://t.co/9m4JwNEygJ,1,2
601050805681188864,2015-05-20 15:44:13,Inspired by today's Women in the Military wreath laying ceremony. Honored 2 recognize Petty Officer Victoria Alvarez. http://t.co/gb9IYh09Sy,3,3
600752531736690689,2015-05-19 19:58:59,"Proud 2 intro #bipartisan Adoption Tax Credit Refundability Act w/ @RepDannyDavis, @RepJimMcDermott, @RepTrentFranks. http://t.co/ZDtzg3Bh3w",0,1
600727260778340352,2015-05-19 18:18:34,Proud to support the Justice for Victims of Trafficking Act. Thanks @JohnCornyn for leading this effort. #S178 http://t.co/IWDX88EcwZ,2,3
600672354373603329,2015-05-19 14:40:23,I’m participating in a @WaysandMeansGOP Health Subcmte. hearing on ways to improve competition in #Medicare. Watch: http://t.co/o2jwgYEjX6,0,2
600363770813272064,2015-05-18 18:14:11,RT @Protectaxpayers: #ICYMI: #TPA had .@RepDianeBlack join the #podcast last week to talk about her #GSA reform bill:  http://t.co/T3i3KLXF…,2,0
599648004233101312,2015-05-16 18:49:59,"On #ArmedForcesDay, we pause to honor the brave Americans who answer the call to serve. Thank you for your sacrifice. http://t.co/6Zydi0qCsR",4,6
599331400773455872,2015-05-15 21:51:55,Enjoyed speaking w/ TN Assoc. of Licensed Professional Investigators this wk about House efforts to #EndTrafficking. http://t.co/ymoDJyG7Zq,1,3
599327621860696064,2015-05-15 21:36:54,ICYMI: My interview with @OANN this week on #HR36: https://t.co/MZ2xELdbxR #ProLife #TheyFeelPain,0,0
598964674655289345,2015-05-14 21:34:41,"RT @Protectaxpayers: New #TPA #Podcast is up! Honored to have .@RepDianeBlack on the show to talk #GSA reform: http://t.co/T3i3KLXFAo 

htt…",2,0
598926318030434304,2015-05-14 19:02:16,RT @RepublicanStudy: Don’t miss #RSC member @RepDianeBlack’s op-ed: “Pain-Capable Opponents Ignore Science” http://t.co/JchDmLQLY4,15,0
598909953320030208,2015-05-14 17:57:14,Told @EWTN’s @JCalvi that #HR36 is a human rights issue. Watch our interview here: https://t.co/2w83YEKkQG #TheyFeelPain,3,3
598904894725160960,2015-05-14 17:37:08,"Our local police work tirelessly to make #TN06 an even better place to live, work, and raise a family. #PoliceWeek http://t.co/aI13JEF77j",4,4
598864489782616064,2015-05-14 14:56:35,.@ClarkBeckham made White House &amp; #TN06 proud on @AmericanIdol. He’s a winner in our book!,0,1
598843796311437312,2015-05-14 13:34:21,The facts are on our side in the fight to defend the unborn. Read my op-ed in @WashTimes: http://t.co/0quzlfXyao #TheyFeelPain #HR36,22,21
598605401937031168,2015-05-13 21:47:04,Grateful for House passage of #HR36 - legislation to protect the most innocent and vulnerable among us. http://t.co/JO2sQiCppD #TheyFeelPain,16,10
598591004669796352,2015-05-13 20:49:51,My opening remarks from today’s floor debate on #HR36: https://t.co/GGBFpWfr6t  #TheyFeelPain #ProLife,4,2
598573280367370240,2015-05-13 19:39:25,"RT @SBAList: .@RepDianeBlack ""basic decency and compassion demands that something has to change"" #hr36 #theyfeelpain",8,0
598572203324678146,2015-05-13 19:35:08,I’m on the House floor speaking in support of #HR36. Watch live here: http://t.co/86TtClrP83 #ProLife #TheyFeelPain,8,9
