id,created_at,text,retweets,favorites
601392698189291520,2015-05-21 14:22:47,Tune in as I join @SpeakerBoehner in a signing ceremony for anti-trafficking legislation. http://t.co/rdJ1TirQxy,8,3
601176336187707393,2015-05-21 00:03:02,R&amp;D is the lifeblood of many MN businesses. I voted to permanently extend the R&amp;D tax credit to give them certainty http://t.co/aWoxVJFyG2,5,7
601042779721052162,2015-05-20 15:12:20,Arlene represented the best in public service and was respected by nearly everyone she interacted with. My thoughts are w her family. (2/2),2,1
601042407120105472,2015-05-20 15:10:51,"Sad to hear that longtime Bloomington school board member, Arlene Bush, has passed away. http://t.co/Fr69ZyQbYp (1/2)",2,2
600780652124962816,2015-05-19 21:50:44,It was a true bipartisan effort to take action that protects children from sexual exploitation. Thank you @amyklobuchar for your work.,2,7
600778402501677056,2015-05-19 21:41:47,Legislation I authored to protect trafficking victims now headed to President's desk after passing House. http://t.co/Lm84wKfxSc #NotForSale,5,6
600358034993471489,2015-05-18 17:51:24,Read @KateDreyfuss on why students should be able to protect themselves against the dangers of #MenB: http://t.co/YxnJUcHsXF,0,1
599323964956090369,2015-05-15 21:22:22,Watch this week's correspondence corner: Q's on treating and reducing obesity and restricting terrorist financing: https://t.co/lRUE4x1bH0,0,0
599292400872357889,2015-05-15 19:16:57,RT @SpeakerBoehner: Thank you @RepErikPaulsen for your leadership on passing the Don’t Tax Our Fallen Heroes Act. http://t.co/SVk1imtX3s ht…,34,0
598990718888243201,2015-05-14 23:18:10,Thanks for all the kind bday wishes! Some friends stopped by my office to celebrate -- many Dilly Bars were consumed. http://t.co/L7Af2JrnpF,6,6
598983390415757312,2015-05-14 22:49:03,"Chatted w students from Edina's Valley View M.S. on the Capitol steps today. Of course, they wanted to snap a #selfie http://t.co/UmXmAL9N0u",6,20
598979062263078915,2015-05-14 22:31:51,My statement on today's vote ensuring Congressional review for any potential Iran nuclear deal: http://t.co/cSS6y5ggYq,1,2
598935745995403265,2015-05-14 19:39:44,"For more info on the bill, go here: http://t.co/4qyZwdLKOO Thank you to police, firefighters, and EMTs that keep our communities safe.",0,1
598935263453261824,2015-05-14 19:37:49,The Don't Tax Our Fallen Public Safety Heroes Act has passed the Senate and now heads to the President! TY @KellyAyotte for your hard work.,8,5
598272280414822400,2015-05-12 23:43:21,RT @KellyAyotte: .@RepErikPaulsen Thx for your leadership to help ensure survivor benefits for families of our fallen public safety officer…,9,0
598272180909154304,2015-05-12 23:42:57,Our public safety officers keep our communities safe despite the known risks involved. This bill shows we support them and their families.,1,1
598271224003821568,2015-05-12 23:39:09,"The bill ensures that police, firefighters, and EMTs won't have death benefits taxed if killed in line of duty: https://t.co/Brpr3SL1DT",5,4
598270270185611264,2015-05-12 23:35:22,"My bill, the Don't Tax Our Fallen Public Safety Heroes Act just passed 413-0. TY to @KellyAyotte for leading on this issue. #PoliceWeek",7,3
598141908553224193,2015-05-12 15:05:18,Good column on why #MenB needs to be added to the recommended vaccine list in order to protect students: http://t.co/OCRqET18R7,1,1
597895171884343296,2015-05-11 22:44:51,More information on the Don't Tax Our Fallen Public Safety Heroes Act is available here: http://t.co/b0Uuvq5QPp,4,0
597894848709005316,2015-05-11 22:43:34,Voting tmrw on my bill to ensure death benefits of police officers and firefighters killed in line of duty are not taxed #NationalPoliceWeek,2,1
597491080326684672,2015-05-10 19:59:09,Happy #MothersDay to the wonderful moms out there. Grateful for all that my mom has done for me. http://t.co/4OmOfCyrnh,4,8
597184994642034688,2015-05-09 23:42:52,Congrats @concordiastpaul graduates - thanks for letting me give your commencement address today. http://t.co/Tmv8M7cO49,2,7
596788285919342593,2015-05-08 21:26:29,"Moving video that shows the horrors that trafficking victims endure, along with the size and scope of the problem: https://t.co/2OeuFJcTsg",3,3
596764937281740801,2015-05-08 19:53:43,Local singers taking action in the fight to #endtrafficking. Great to see more people involved in ending this crime. http://t.co/uJNa9KNeEs,0,2
596733688722935810,2015-05-08 17:49:32,"On the 70th anniversary of #VEDay, may we never forget the courage and sacrifice of the greatest generation.",3,4
596441441456402432,2015-05-07 22:28:15,Joining the Medical Device Research Group for a happy hour to discuss device tax repeal http://t.co/DQwgxfloAF,1,2
596436219300569089,2015-05-07 22:07:30,Presented Katherine Craemer of Minnetonka with a Congressional Award Silver Medal. Congrats Katherine! http://t.co/ZsRQcFUQmV,1,2
596354650674049024,2015-05-07 16:43:23,Nice to chat with Elroy who stopped by my Congress on Your Corner in Rogers http://t.co/eX6g1sBgVX,1,1
596333903373303808,2015-05-07 15:20:56,Congress on Your Corner event this morning at the Rogers Cub Foods starting at 11:15am. Stop on by and say hello!,0,0
596065936618201088,2015-05-06 21:36:08,"More problems at the IRS. Nearly 1,600 employees not paying taxes rewarded with bonuses, promotions: http://t.co/6cSFDl1zPu",2,1
596021909659189248,2015-05-06 18:41:11,Agree with @WSJ editorial on need to pass #TPA4USjobs sooner rather than later: http://t.co/bCzkvngaQH,3,2
595671690476167168,2015-05-05 19:29:32,"RT @USGLC: So thrilled to have @RepErikPaulsen, @USTDA Dir. Lee Zak &amp; @LandOLakesInc Pres. Chris Policinski at our global forum in #Minneso…",6,0
595671519004598272,2015-05-05 19:28:51,Spoke this afternoon at the @USGLC forum about benefit #trade opportunities present for MN and rest of the US. http://t.co/9AWBEj5jUo,2,1
595320291657523200,2015-05-04 20:13:12,Met the team @ltdbrewing in Hopkins - entrepreneurs supporting #SmallBrewAct http://t.co/6lq6UsJIXu,7,11
595253984757055488,2015-05-04 15:49:43,It's #CharterSchoolsWeek. I visited Athlos Academy in Brooklyn Park to read to Ms. Gifford's first grade class http://t.co/idYGvbR2sv,3,3
594253760358146048,2015-05-01 21:35:11,Here's this week's correspondence corner covering quality care for diabetes patients and the STAPLE Act. https://t.co/7H1MuQk9FH,0,0
594229487958683648,2015-05-01 19:58:44,For background on what the Steve Gleason Act would do and the problem it addresses: http://t.co/uHxerrE2KZ,1,1
594229211772145666,2015-05-01 19:57:38,"I agree with @TeamGleason - step in right direction today from @CMSGov, but Congress must pass Steve Gleason Act to permanently fix issue.",0,0
594228179658797056,2015-05-01 19:53:32,RT @TeamGleason: We are so close to fixing @CMSgov's policy &amp; ensure technology for the disabled. Tell congress to pass this bill: http://t…,36,0
593891505321938944,2015-04-30 21:35:43,More information on the STAPLE Act here: http://t.co/mI8olDSvWY,0,0
593891087212752898,2015-04-30 21:34:03,Introduced the STAPLE Act with @RepMikeQuigley to keep best and brightest STEM Ph.D. graduates in the U.S. https://t.co/3Nc1nHWyHo,3,1
593774401058930688,2015-04-30 13:50:23,Speaking at the #Transatlantic #Economy 2015 release event. Important to note one in five US jobs is tied to #trade. http://t.co/Ml067cnBI9,12,5
593766335127166976,2015-04-30 13:18:20,RT @LeadingAge: Thanks @RepErikPaulsen for co-introducing the bipartisan Treat &amp; Reduce Obesity Act! @CQNow  #CostofObesity http://t.co/mNn…,4,0
593759483341443072,2015-04-30 12:51:07,RT @TommyForHealth: Just minutes away from joining @SenatorCarper @RepErikPaulsen to talk about #costofobesity at the Newseum!,2,0
593547269124796416,2015-04-29 22:47:51,"RT @RichardRubinDC: Listen to me, @RepErikPaulsen, and the @BGOV team talk taxes tomorrow: http://t.co/bbC2ZU7mNk",7,0
593545514844557312,2015-04-29 22:40:52,"Congrats to the winner of the Congressional Art Competition, Kayla Bolster! http://t.co/pib3eiSeZt",1,2
593442891059593216,2015-04-29 15:53:05,"RT @HouseGOP: On trade, ""now is not the time to sit on the sidelines"" says @RepErikPaulsen in @RedAlert:
http://t.co/pY69SVzL0T #TPA4USJobs",7,0
593442804057153536,2015-04-29 15:52:44,Wrote for @RedAlert on why passing #TPA4USJobs means trade deals where everybody plays by the rules and everyone wins http://t.co/YjJ4ZN2bkM,0,1
593220216324251648,2015-04-29 01:08:15,Talked with #EPHS students who were visiting the Capitol building. Of course I had to get an #EagleNation selfie. http://t.co/YYGdm8Oo2g,11,62
592833044282736641,2015-04-27 23:29:46,Proud to recognize our student's dedication to the arts by hosting the Congressional Art Competition http://t.co/agu2cw29aB,1,8
592816519287046147,2015-04-27 22:24:06,Impressed with Robotics teams @RoboHawks2531 @GoStormBots4778 ingenuity and design. Can't wait to see what's next http://t.co/za97wys9Tm,16,34
592771328853278720,2015-04-27 19:24:32,"ICYMI: @StarTribune editorial urges passage of #TPA4USJobs. TPA will ""net the best free-trade agreements"" for U.S. http://t.co/uhlW6Tpp7R",3,2
592754859381813249,2015-04-27 18:19:05,With my 2nd grade lunch buddies at Shirley Hills Elementary in Mound Westonka http://t.co/uPv5c9zpXe,10,14
592715184378089477,2015-04-27 15:41:26,Visited Ms. Eisenmann's 1st grade class at Excelsior Elementary this morning. The students had a lot of questions! http://t.co/YtMulOW13U,2,5
591707564351557632,2015-04-24 20:57:31,RT @ShopFloorNAM: #Manufacturers thank @RepErikPaulsen for supporting #jobs in the US through #TPA4USjobs. http://t.co/yR2x59N8b3 http://t.…,2,0
591005579524628480,2015-04-22 22:28:05,My statement on the Senate's passage of anti-sex trafficking legislation: http://t.co/BzNsm5hwto,3,5
590945930490339328,2015-04-22 18:31:03,"Unfortunately, my ""Dröp It Like It’s Hötdish"" didn't come out on top. Congrats to the winner, @BettyMcCollum04! http://t.co/qQxVZJ9Kmt",2,4
590945090006339584,2015-04-22 18:27:43,@USRepRickNolan and I keep an eye on judge @jburcum during today's Minn. delegation #hotdish competition. http://t.co/kuHaXkCZ0y,5,7
