id,created_at,text,retweets,favorites
601398632219312128,2015-05-21 14:46:22,Beginning my line of questioning at today's Task Force to Investigate Terrorism Financing hearing. Watch --&gt; http://t.co/RlDuzcIyoz,1,0
601392375970328576,2015-05-21 14:21:30,"RT @followFDD: .@RepFitzpatrick introduces witnesses for hearing on dangerous nexus between terrorism, crime + corruption. http://t.co/XL9g…",2,0
601390921259814913,2015-05-21 14:15:43,RT @RepStephenLynch: Today @RepFitzpatrick and I are holding the 2nd hearing of the Task Force to Investigate Terrorism Financing. Tune in …,6,0
601385721430052864,2015-05-21 13:55:03,".@RepStephenLynch &amp; I are getting ready to being our 2nd hearing of the Task Force to Investigate Terrorism Financing.

10am - 2128 Rayburn",1,0
601379492163031041,2015-05-21 13:30:18,"Happening Soon: 

A Dangerous Nexus: Terrorism, Crime, and Corruptio
Thursday, May 21, 2015 10am - 2128 Rayburn 

http://t.co/RlDuzd09g7",0,0
601376484503191552,2015-05-21 13:18:21,"Excited to be joined by task force vice chair @reppittenger for another critical hearing on terror financing.

Watch: http://t.co/RlDuzcIyoz",0,0
601369857788116992,2015-05-21 12:52:01,Second hearing of the #bipartisan Task Force to Investigate Terrorist Financing TODAY at 10am - 2128 Rayburn HOB http://t.co/RlDuzcIyoz,0,1
601108409191116801,2015-05-20 19:33:07,RT @NoLabelsOrg: Cheers to Problem Solvers @RepFitzpatrick &amp; @RepChrisGibson for being two of the most bipartisan members in Congress: http…,4,0
601077957403213825,2015-05-20 17:32:07,"#FixNotFight  

MT @RepSchrader I'm not too far behind you there at #10! http://t.co/Iatj1fJHSU #BipartisanshipWorks http://t.co/fEzd8W380m",1,6
601024562151690240,2015-05-20 13:59:56,RT @GUPublicPolicy: #Bipartisanship does not equal #centrism. Why we created the #BipartisanIndex with @TheLugarCenter  http://t.co/wD4eQMh…,4,0
601004522689994752,2015-05-20 12:40:18,I've opposed the bulk collection of data and secret laws provided by Section 215 of the PATRIOT Act since day one... http://t.co/wWekcBwdGZ,0,0
600803644053655552,2015-05-19 23:22:05,"While I am a proud R, I’ve worked in Washington under the belief that good ideas aren’t restricted to one party http://t.co/WDlLjnMY1i",3,1
600712790169374720,2015-05-19 17:21:04,Proud to be recognized by @TheLugarCenter as one of the most #bipartisan members of Congress http://t.co/ktSctsCKXV,1,1
600669312010067968,2015-05-19 14:28:18,"Report: Fitzpatrick #6 Most Bipartisan Member of Congress
http://t.co/ktSctsla6n",0,2
600667442134851584,2015-05-19 14:20:52,(cont) https://t.co/JV3RQWQsVg,0,0
600667376535867392,2015-05-19 14:20:37,Local Rs leading the way in working together to achieve common goals,0,0
600667196575088640,2015-05-19 14:19:54,RT @SpeakerBoehner: FACT: Republicans have cut the cost of Congress by $782 million. http://t.co/yWp95oqJTV http://t.co/uTuiKkCQpa,42,0
600663854138425345,2015-05-19 14:06:37,"RT @JonathanTamari: Georgetown rates @RepFitzpatrick (6 overall), LoBiondo, Gerlach, Runyan, Dent among most bipartisan House members: http…",2,0
600291642445275136,2015-05-18 13:27:35,"RT @BroadlyServing: Thanks to @RepFitzpatrick of PA for filming PSAs on support for troops, #cyberbullying, #mentalhealth awareness http://…",1,0
600043116004044800,2015-05-17 21:00:01,Great to see local US Postal Service Letter Carriers down in my Washington office this week! http://t.co/N71nWF5lTW,1,0
599287426419466240,2015-05-15 18:57:11,RT @Defenders: Thank you to @RepFitzpatrick @RepRichardHanna @RepLoBiondo @RepWalterJones @RepDold for voting to defend the #EndangeredSpec…,9,0
598832954148823043,2015-05-14 12:51:16,"RT @RepFrankGuinta: It is because of our #military that our nation remains, ""land of the free &amp; home of the brave.""  RT to celebrate #Milit…",3,0
598569439190249474,2015-05-13 19:24:09,RT @PhillyInquirer: NTSB confirms that preliminary data shows #Amtrak train exceeded 100 mph prior to derailment. Conducting further calibr…,19,0
598560683740045313,2015-05-13 18:49:22,My statement on last night's #Amtrak188 derailment: http://t.co/msgMJHuIHF,3,1
598559900730597376,2015-05-13 18:46:15,RT @TheIntellNews: UPDATE: @AP video analysis indicates #Amtrak188 train speed was about 107 mph nearing curve: http://t.co/RocYCGlf23,5,0
598534193539190785,2015-05-13 17:04:06,"Thoughts &amp; prayers go out to all the passengers, crew &amp; first responders involved in last night’s #Amtrak188 accident http://t.co/msgMJHd7j5",1,3
598511787537932288,2015-05-13 15:35:04,My statement on last night's #Amtrak188 derailment: http://t.co/msgMJHd7j5,8,2
598503670616039424,2015-05-13 15:02:49,Statement on last night's #Amtrak188 derailment: http://t.co/msgMJHuIHF,1,0
598468534969245696,2015-05-13 12:43:12,RT @ALSphiladelphia: Thanks again to @RepFitzpatrick for your continued support for ALS research &amp; patient care #ALSAdvocacy2015 http://t.c…,2,0
598246280423407616,2015-05-12 22:00:02,I’m committed to finding new ideas to address our infrastructure shortcomings in a way that works for American... http://t.co/prpj4yGyDF,2,2
598191560287715328,2015-05-12 18:22:36,"RT @NhamptonPatch: Did Your School Make It? 10 Bucks-Area Schools Lauded As Best In State, Nation http://t.co/K55XZyZ5hU",1,0
598170776890646529,2015-05-12 17:00:01,Thanks to the #Feasterville Business Association for inviting me to speak this week about what's happening in the... http://t.co/STml0EW5AU,0,0
598137839344168961,2015-05-12 14:49:08,"RT to thank our local, state and federal law enforcement officeres. #NationalPoliceWeek http://t.co/jg7eHhEOgo",3,3
598107650577006592,2015-05-12 12:49:10,RT @post5708: @RepFitzpatrick joined @post5708 last night w/ Hanusey Family in support of Bucks County fallen heroes #honor http://t.co/bSh…,1,0
598095280622411777,2015-05-12 12:00:01,It's #NationalPoliceWeek - join me in thanking all law enforcement officers across Bucks &amp; Montgomery counties. http://t.co/aiNZFkwiGl,3,2
597883888447393793,2015-05-11 22:00:01,Proud to help kick off Meghan's Foundation's Fitness Challenge this weekend in #Buckingham to raise funds for the... http://t.co/duYTVbT7Gc,2,0
597808408125779971,2015-05-11 17:00:05,"For five years, St. Mary's Life in #Trevose has been providing all-inclusive care for #BucksCo seniors. Happy to... http://t.co/u3BQQp47Fy",0,0
597491303849598980,2015-05-10 20:00:02,To all the moms out there - #HappyMothersDay! http://t.co/q8vlB0BOA2,2,2
597144026488254464,2015-05-09 21:00:04,Joined fellow Animal Welfare Caucus co-chiar Rep. Earl Blumenauer last week at the ASPCA's 'Cost of Care and... http://t.co/WYVPJVO0Ob,2,0
596737060150583297,2015-05-08 18:02:56,"RT @RepSteveChabot: In honor of #VEDay70, vintage WWII aircraft flew down the National Mall. Here's a look: http://t.co/vxRJ8jGP4W",16,0
596721232701202433,2015-05-08 17:00:03,No Labels did some polling about the need for a #bipartisan national agenda that makes Congress work for ALL... http://t.co/YBBMT1oT5G,0,0
596702402281111552,2015-05-08 15:45:13,RT @DeptofDefense: Watch Live @ 12:10pm EDT coverage of  #VEDay70 Commemoration @WWIIMemorial #ww2flyover http://t.co/A1HaUdGZfM http://t.c…,123,0
596680352896286720,2015-05-08 14:17:36,Proud to represent #BucksCo http://t.co/aPWCFq6Kiz,0,0
596654621529153537,2015-05-08 12:35:21,"RT @LWCFCOALITION: Thanks @RepFitzpatrick for cosponsoring bill to protect #LWCF #Outdoors4All! LWCF protects #PA's beautiful #publiclands,…",1,0
596358844625846272,2015-05-07 17:00:03,"This is #SBW15 - a perfect time to get out and #shopsmall, #shoplocal
Read: http://t.co/FfKQm2nUwS http://t.co/m0IQafDJha",2,1
596343996567289856,2015-05-07 16:01:02,Great photo by @ChloeElmer_BCCT from yesterday at #Newtown Middle School. Read the story --&gt; http://t.co/Rmqmj0EFky http://t.co/3Y4lwduxHc,2,1
596308437694337024,2015-05-07 13:39:45,"The kids at #Newtown Middle School get it: Our $18 trillion national debt is unsustainable.

That’s why Congress... http://t.co/F2bvOtuSNX",4,1
596071948158947328,2015-05-06 22:00:01,Safeguarding animals against abuse and advancing their protection is not a partisan issue. Kindness and... http://t.co/6O4jMnd9Qc,4,1
