id,created_at,text,retweets,favorites
600318987319287808,2015-05-18 15:16:14,"ISIS, the terrorists Obama referred to as a ""JV team,"" just captured another city. http://t.co/m4yO5cCbGR",2,1
599202050136735744,2015-05-15 13:17:56,ObamaCare website company quits. http://t.co/hatMdym41D,2,0
598902833673588738,2015-05-14 17:28:57,Read my latest column in the @NOLAnews on why we should allow the Export-Import Bank to expire: http://t.co/iB8FBSVoLY,3,1
598606075403833348,2015-05-13 21:49:44,H.R. 36 protects the lives of pre-born babies in the fifth month of development. http://t.co/tQ0m1eRe6D #theyfeelpain,5,3
598490621100335104,2015-05-13 14:10:58,They have no voice but they are not alone. #HR36 #theyfeelpain http://t.co/dKkSyCJbfQ,5,4
598489452122603520,2015-05-13 14:06:19,Honored to receive the @ACUConservative 's Award for Conservative Excellence from @mschlapp this week. #ACUratings http://t.co/syIURGIygg,3,2
597765840843481088,2015-05-11 14:10:57,Great news: Louisiana has moved up to number 7 among the 50 states for a positive business environment. http://t.co/N7OD07PBSe,5,2
596362330784555008,2015-05-07 17:13:54,Join me in a #NationalDayofPrayer as we pray for our nation. http://t.co/ihTGsHFE8f,10,11
596322629449097218,2015-05-07 14:36:08,"Today we celebrate the 64th #NationalDayofPrayer. Read: ""An Open Letter to American on Prayer"" which I signed: http://t.co/Xtpl5UFB9y",8,5
595593473102901248,2015-05-05 14:18:44,"As global warming policies are damaging the European economy, skepticism grows among scientists and politicians.http://t.co/h2LijKv3Hf",7,1
594156806571712512,2015-05-01 15:09:56,Voted last night to protect First Amendment Rights for Residents of the District of Columbia.http://t.co/9asDpOJyeY,3,4
593887665084313600,2015-04-30 21:20:27,It was great to meet with Dr. James Hobley from Shreveport this afternoon. http://t.co/6ImdlAre4Z,5,4
593131245418196992,2015-04-28 19:14:43,The U.S. Supreme Court does not have the right to redefine marriage. http://t.co/GqODKVwXPz,13,13
593082825336877056,2015-04-28 16:02:19,"#Marriage should be determined by the states, not the Supreme Court. #Stand4Marriage http://t.co/NmZyoCwyNE",16,19
592710693335539713,2015-04-27 15:23:35,Iranian Jews think Obama and some in Congress are naive when it comes to negotiating with Iran. http://t.co/gvrdkqpKpJ,4,0
591231140834500608,2015-04-23 13:24:23,It was an honor to accept the Guardian of Seniors’ Rights award from the  @60PlusAssoc this week. http://t.co/NPFTR3cVco,2,2
590886684214059009,2015-04-22 14:35:38,RT @SlapYaMama: @RealMissLAUSA visits our Nation's Capitol &amp; LA Congressman @RepFleming..He keeps #SlapYaMama in his office! http://t.co/xD…,8,0
590886461895004160,2015-04-22 14:34:45,Glad to support the Air Force's decision to realign B-1 and LRS-B Under Air Force Global Strike Command http://t.co/9ZC192II83,1,1
590149793986568192,2015-04-20 13:47:29,"Radical Islamists continue killing Christians around the world. Obama says nothing, does nothing. http://t.co/OcaADquV2b",22,7
589072498030960640,2015-04-17 14:26:42,The military has low morale. Cites leadership as the problem. http://t.co/rax3npbyq3,12,5
588795416558313472,2015-04-16 20:05:41,Today I voted to fix the broken tax code + rein in IRS abuses http://t.co/MNSinTAmFh,3,2
588736923092520960,2015-04-16 16:13:15,RT @FAIRImmigration: Running into friends at @FAIRImmigration's radio row -  @SenatorSessions and @RepFleming. http://t.co/ScSJsK9MOx,7,0
588736646444638208,2015-04-16 16:12:09,Remember that school loans were put under direct control of the federal government. http://t.co/ut7qAJkyFA,2,0
588458968323739648,2015-04-15 21:48:45,Had the privilege of meeting with Miss Louisiana and other contestants this afternoon. http://t.co/f6eN4L5t3V,2,0
588425858286747648,2015-04-15 19:37:11,My latest op-ed on fixing the tax code via @mindenph http://t.co/ntLK7QU7gT #TaxDay,2,1
588354398033747968,2015-04-15 14:53:14,M6 alternative disposal method selected via @shreveporttimes http://t.co/twupwiN6wN,2,0
588343232649687040,2015-04-15 14:08:52,Each year we're reminded that we need to simplify the tax code. Happy #TaxDay http://t.co/M6ZIwsM1th,12,6
588039879763881986,2015-04-14 18:03:27,Recently I visited North Caddo Medical Center in Vivian and was given a tour of the hospital’s expansion project. http://t.co/W8grhPFNn3,1,0
587613347870285825,2015-04-13 13:48:34,"""Cuomo’s StartUp NY Program Creates a Whopping 76 Jobs, Costs Taxpayers $53 Million"" via @thehill http://t.co/MIg8XAAB7R",11,5
586163881963290624,2015-04-09 13:48:54,Big Tobacco is back...in the form of Big Pot. WATCH: https://t.co/ul8D9xynVt,1,1
585867847395598336,2015-04-08 18:12:34,"Everybody knows the cost of ObamaCare has been going up dramatically. Wait until the ""Cadillac"" tax begins.http://t.co/TsEp6hvh2U",7,1
584057291109965824,2015-04-03 18:18:04,A blessed and happy #GoodFriday. http://t.co/H1zGjIHwZ7,5,5
583997663122685953,2015-04-03 14:21:07,"Under Obama, job recovery isn't happening. http://t.co/cPGgmZZCSb #JobsReport",0,1
582896830087843840,2015-03-31 13:26:48,I am pleased the Senate confirmed General Robin Rand as @BarksdaleAFB_LA new Commander. http://t.co/J1yfTxrYwX,3,2
581446144162729985,2015-03-27 13:22:18,Yesterday I voted for the Medicare reform bill to offer stability to physicians. http://t.co/AmoiOZHiUM,4,2
581087874889703424,2015-03-26 13:38:40,The House budget I voted for yesterday provides a fiscally sound path forward for our country.  http://t.co/Kx9btaysxR,5,3
580813650027499520,2015-03-25 19:28:59,"""Marijuana Extract for Children with Epilepsy is Questioned"" via @WSJ http://t.co/MacESzttaE",1,0
580733435771240448,2015-03-25 14:10:15,"Avonlea, my beautiful granddaughter, came to visit her Pops in my Congressional office this week. http://t.co/0umOfRFRJo",0,6
580446926295957505,2015-03-24 19:11:46,"RT @NatResources: “Taxpayers...deserve accountability, and transparent, responsive government"" - @RepFleming http://t.co/IDczTHAtwf http://…",6,0
580008409971458049,2015-03-23 14:09:15,Five years ago today #Obamacare was signed into law and it’s still hurting people.  Share your story/ concerns: https://t.co/Wb6fRLWyjK,3,3
579016256768077824,2015-03-20 20:26:47,Join me tonight at 5:22pm EST as I discuss the growing hostility toward #religiousfreedom with @tperkins http://t.co/HkWHaqpueY,2,3
578925104903667712,2015-03-20 14:24:35,RT @peter100percent: Thank you @RepFleming for all you do to cure #cysticfibrosis @CFAdvocacy @CF_Foundation http://t.co/uKDXIDNXQ4,6,0
578924855774556160,2015-03-20 14:23:36,Obama exposes his plan to skip over the Congress and go straight to the UN to work against Israel. http://t.co/rqIyDVkG4Z,11,3
578594114318557184,2015-03-19 16:29:21,Took my grandson on the House floor today. http://t.co/RN2OCuSVQ7,4,7
578553571249152000,2015-03-19 13:48:15,#TBT to when I shook @netanyahu's hand a few weeks ago at a joint session of Congress. Congrats on re-election! http://t.co/e82jAgzkX3,0,4
578279234768134145,2015-03-18 19:38:08,Introduced legislation today with @RepGwenGraham that will make filing taxes easier for seniors. http://t.co/6hsWNoRu0M,5,8
578189687296286720,2015-03-18 13:42:18,Happy #AgDay and thank you to our farmers! http://t.co/DwDV5BAg8S,4,7
577869790594760704,2015-03-17 16:31:09,ICYMI I discussed the House budget with @TeamCavuto last night. Watch HERE: https://t.co/f6HEeArmgk,1,0
577828478575316992,2015-03-17 13:46:59,"Al Gore says ""climate-change deniers"" should be punished. Does he deny selling his company to a big oil company? http://t.co/YseztqMUmm",3,5
577546227740471296,2015-03-16 19:05:25,RT @FRCdc: Join 60k Americans in standing up for #religiousfreedom for our military chaplains like Wes Modder: http://t.co/yL1cGoY0zS,14,0
577490193776840704,2015-03-16 15:22:46,RT @jfradioshow: We can't get this done until we have a Republican President. We need to look at our leadership. They need to be bold&amp; cour…,2,0
576467618703532032,2015-03-13 19:39:25,"Have a Blessed Day. ""Air Force Reinstates Phrase After Brief Prohibition"" via @BreitbartNews http://t.co/BTyqbiFJ9T",5,0
576025134332567552,2015-03-12 14:21:08,CRS: Illegal immigrants under Obama's Executive Amnesty will receive Social Security payments. http://t.co/NVGLYCBAfD,8,0
575346820399951873,2015-03-10 17:25:46,CBO predicts spike in Obamacare premiums. http://t.co/W5VTWcVJmo,5,0
574958504349462528,2015-03-09 15:42:44,"Net job growth under Obama, all to foreign born. via @BreitbartNews http://t.co/Uoh2Hf4HVl",5,1
573874215520174080,2015-03-06 15:54:09,The Obama administration apparently lied to the court about executive amnesty via @WashTimes http://t.co/3YWQlFG3fv,24,9
573542140774649856,2015-03-05 17:54:36,It was an honor to meet with Hall of Fame and five time NCAA Champion Skip Bertman yesterday. http://t.co/04EMCnXDeu,6,3
573131884512870401,2015-03-04 14:44:24,"""DHS approved 100,000 expanded amnesty applications before judge halted program"" via @washingtontimes http://t.co/cYW4Gssgq9",6,1
563824476929159168,2015-02-06 22:20:05,About to talk live on @FRCdc radio. Click on the link to listen http://t.co/HkWHaqpueY,5,2
563814836224950273,2015-02-06 21:41:46,"RT @FRCdc: Craig James sits in for @TPerkins on #DCwatchlive at 5pm. He'll be joined by Bob Maginnis, @RepFleming &amp; Bob Morrison http://t.c…",3,0
563740168893784064,2015-02-06 16:45:04,On @CNN The senate needs to pass this DHS funding bill and send it on to the president.,4,3
563737973263704064,2015-02-06 16:36:21,About to go on @CNN to talk about Senate Democrats blocking DHS funding to preserve the president's amnesty.,1,2
563703002369105920,2015-02-06 14:17:23,I would vote today to stop all funding for Planned Parenthood. Rep Fleming on C-SPAN,1,1
563693380463763457,2015-02-06 13:39:09,On now on @cspan #WashingtonJournal http://t.co/erIFdHIHhd,3,2
563687727913517057,2015-02-06 13:16:41,I'll be on @cspan at 7:30 AM CT talking about the House Freedom Caucus and the president's budget.,4,2
563360529226686464,2015-02-05 15:36:31,About to talk live with @jeffcrouere on @wgso990am New Orleans. Click on the Listen Live link http://t.co/Sw2xYwKCkQ,3,1
563092720290635777,2015-02-04 21:52:20,Illegals to get tax benefits for illegal work http://t.co/lwc73irFVw,3,0
562711174446604288,2015-02-03 20:36:13,Joining @PointofViewRTS to talk about the House Freedom Caucus,4,0
560561840921788416,2015-01-28 22:15:32,RT @FRCdc: .@SenatorSessions calls on DOJ nominee to speak out against a President who's “out of step” w/ own laws on marijuana http://t.co…,8,0
560519687092850689,2015-01-28 19:28:02,Great time today talking w @CSHSGators students who are in DC this week as part of a Close-Up Foundation trip http://t.co/QCX1V4XZgZ,1,0
559832787373801472,2015-01-26 21:58:32,RT @tperkins: Joining #DCWatchlive today is @RepFleming &amp; @BobbyJindal. Tune in live at 5pm ET: http://t.co/9eBvLktkwP,5,0
559734503229632512,2015-01-26 15:27:59,"RT @MelindaDeslatte: GOP congressmen form House Freedom Caucus with ""agenda of limited, constitutional government in Congress."" @RepFleming…",9,0
558278548495294465,2015-01-22 15:02:32,Welcome to all the Louisianians who came to DC for @March_for_Life  Thank you for standing for the unborn! #WhyWeMarch,7,5
558277931043397633,2015-01-22 15:00:05,Thankful for you! RT@LARighttoLife Thankful for Louisiana Students for Life college students who made the trip to DC http://t.co/8sflKZtz9V,0,0
557728593833652228,2015-01-21 02:37:13,"RT @HouseCommerce: That single pipeline will support over 42,000 American jobs. Why stand in the way? #TimetoBuild #SOTU",31,0
557727378441789441,2015-01-21 02:32:23,"Washington needs to repeal #Obamacare, cut taxes &amp; slash unnecessary &amp; burdensome regulations http://t.co/gveOSDRbGr #SOTU",1,3
557725608785231873,2015-01-21 02:25:21,The national debt has risen by $7.5 trillion under President Obama. Now at more than $18 trillion. #SOTU,4,3
