id,created_at,text,retweets,favorites
600745698032799744,2015-05-19 19:31:50,Tomorrow the house votes on a bill I introduced to boost lead times in severe weather forecasting. #EveryMinuteCounts http://t.co/dPqtNn1kiP,2,2
599278315090874369,2015-05-15 18:20:59,"Lesser Prairie Chicken's ""threatened"" ESA listing burdens ag producers &amp; could even hinder military base functions http://t.co/rI7ZEI5rdq",1,1
599274706672451585,2015-05-15 18:06:38,RT @OKCattlemen: House passed language to fix Lesser Prairie Chicken ESA listing. Thank you @RepFrankLucas for leading this effort!  http:/…,4,0
598517154317770752,2015-05-13 15:56:24,Thank you to the men and women who serve to protect us everyday #PoliceWeek http://t.co/BuBSJ60F40,5,3
596766331900428288,2015-05-08 19:59:15,Proud to announce this year’s winner of the Third District Congressional Art Competition! http://t.co/qHD49Qq7WQ http://t.co/gXztXHc71d,0,1
596691617383358464,2015-05-08 15:02:22,"70 years later, we will never forget the heroism &amp; sacrifice of the #GreatestGeneration who fought to liberate Europe http://t.co/RMo2nRKmLo",7,8
596380272133812224,2015-05-07 18:25:11,3rd District Main Street communities received 15 of the 22 annual awards from @OKcommerce for hard work &amp; innovation! http://t.co/8OJyWvFwQr,1,3
595985269767147520,2015-05-06 16:15:35,Great first stop in El Reno to kick off my town hall meetings this week! http://t.co/pt2LF6VvYI http://t.co/hC07YrOF6s,1,1
595974041044922368,2015-05-06 15:30:58,Honored to be recognized by @FeedingAmerica &amp; @rfbo for my work on the Farm Bill: https://t.co/orzUwYpqkw http://t.co/umbGTxLjw3,4,3
595669355217707008,2015-05-05 19:20:15,"Voting for the congressional art competition ""fan favorite"" closes tomorrow – hit ""like"" on your favorite piece HERE: http://t.co/OPMqUvaO6O",0,0
594230550044549120,2015-05-01 20:02:58,"Great visit with OK State Senators @stephaniebice, @kimdavid2010, and @AJ_GriffinOK this afternoon in my DC office http://t.co/sunt2v8drl",4,18
593893902366683136,2015-04-30 21:45:14,Excited to host six town hall meetings next week throughout SW Oklahoma. Full details here: http://t.co/pt2LF6VvYI http://t.co/letsrs0yv0,1,2
593464381918285825,2015-04-29 17:18:29,VOTE for your favorite submission to the 2015 Third District Congressional Art Competition! http://t.co/OPMqUvaO6O http://t.co/yqZOFRDJ0M,0,1
593139690108297221,2015-04-28 19:48:16,"Glad to sit down w/ @Ron_on_RON in my DC office this afternoon to discuss #FarmBill, trade, and EPA regulations http://t.co/OIX8XieTBH",3,5
590990093785165824,2015-04-22 21:26:33,Glad to visit w/ @EnidChamber earlier today in the Capitol to discuss issues ranging from Vance AFB to EPA regulation http://t.co/5GU1G6gY3M,1,0
589107333512454144,2015-04-17 16:45:08,"Yesterday, the Oklahoma delegation reflected on the OKC bombing tragedy, 20 years later http://t.co/37HXoVKdxB http://t.co/FLV0ikV68D",4,0
588078265358757889,2015-04-14 20:35:59,Enjoyed meeting @okfarmbureau this morning in the Capitol to discuss Farm Bill implementation and other ag issues http://t.co/2Ap1hG68QY,2,2
587993188478115840,2015-04-14 14:57:55,RT @okfarmbureau: Thankful for the common sense @RepFrankLucas brings to DC! #OKFB15 http://t.co/QXGnNGjAQd,3,0
586305252435087362,2015-04-09 23:10:39,"Honored to meet Roy ""Junior"" Herring &amp; present this WWII hero w/ the Bronze Star for  bravery in the field of combat http://t.co/sLaQCZyYkR",5,3
585846270402650112,2015-04-08 16:46:50,Thanks Sapulpa High School for inviting me to speak this morning! http://t.co/5hUOrMU0Rb,0,0
585521788450406400,2015-04-07 19:17:27,This morning I was proud to commemorate the 75th anniversary of the Agricultural Research Service in Stillwater. http://t.co/9pB1aRtATG,1,5
583014435054309376,2015-03-31 21:14:07,Great discussion at yesterday's town hall meetings in Woodward and Taloga! http://t.co/XUp2hTocXH http://t.co/c5JLCH7Mve,1,4
582666998095679488,2015-03-30 22:13:32,Met up with the Woodward Fire Dept this afternoon to assess some of the wildfire damage throughout western Oklahoma http://t.co/lyiZ85foO9,4,5
582550594554056705,2015-03-30 14:30:59,It was an honor to speak with veterans this weekend at the El Reno American Legion. Thank you for your service. http://t.co/srFc16lCwh,3,2
581569627664183296,2015-03-27 21:32:58,REMINDER: Be sure to check my website for next week's town hall meeting schedule: http://t.co/1rNpgo6bWV http://t.co/UA0rFhsofH,3,2
581524561512042496,2015-03-27 18:33:54,"Visiting Washington? Schedule a Capitol tour through my website!

http://t.co/byhpSEYH1Q http://t.co/OsIWYHHt16",0,1
581128417103482880,2015-03-26 16:19:46,The House-passed budget plan balances our nation's budget in nine years and sets us on the path to a stronger economy http://t.co/oz7xdDlC7s,3,2
580830523527954432,2015-03-25 20:36:02,RT @OKCattlemen: Outstanding mtg with @RepFrankLucas !  Great friend and fellow beef rancher he is! @BeefUSA @JBurtrum http://t.co/aMj9RWpT…,5,0
580820565616926720,2015-03-25 19:56:28,This afternoon I addressed several reps from the Altus Chamber of Commerce &amp; @97AMW at the Library of Congress. http://t.co/MeGVASLWqM,4,1
580738025338105856,2015-03-25 14:28:29,RT @KSWO_7NEWS: Rep. Frank Lucas announces town hall meetings in Oklahoma http://t.co/2PXkffid42 #7news #KSWO,2,0
580701735834009601,2015-03-25 12:04:17,"Look forward to joining @johnherrick10 at 7:15 am OKT this morning to discuss #Obamacare &amp; #Budget, listen live here: http://t.co/L7uULyk2N6",1,1
580469926609195009,2015-03-24 20:43:09,"I'm hosting town hall meetings next week in Dewey, Woodward, Washita, Ellis &amp; Harper counties http://t.co/1rNpgnOB5n http://t.co/7lDKAJa63X",3,0
580407741807747073,2015-03-24 16:36:03,There’s more work to be done to improve rural veterans access to healthcare but I'm glad VA will revise distance reqs http://t.co/iCJRlH9Mud,0,0
578926481029615616,2015-03-20 14:30:03,Happy first day of spring &amp; good luck to @OSUMBB and @OSUWBB! https://t.co/E1sn0O1COA,12,17
578591563707781121,2015-03-19 16:19:13,EPA admits they did wrong by America’s farmers &amp; ranchers in rolling out the controversial Waters of the U.S. Rule http://t.co/ELLNSDICDL,4,5
578163921321893888,2015-03-18 11:59:55,"Joining KWFX &amp; KWDQ shortly to discuss the latest in DC, including our nation's budget &amp; the EPA. Listen live here http://t.co/xXXPPL7Bq9",0,1
577900912372543488,2015-03-17 18:34:49,"RT @GOPLeader: The Science Advisory Board Reform Act ensures the science guiding the #EPA’s regulatory policy is objective, transparent, &amp; …",7,0
