id,created_at,text,retweets,favorites
601231837164347392,2015-05-21 03:43:34,RT @HouseFeeds: Congressman Garamendi Cosponsors Transformational Transportation Bill: The GROW AMERICA Act http://t.co/1fl7PUbYAs,5,0
601152261306359808,2015-05-20 22:27:22,"With work toward a healthier bee ""UC Davis makes a buzz in National Geographic"" http://t.co/sFCtpoS1U4 #UCDavis #Ag http://t.co/DsevZUTsWo",3,3
601131607769088002,2015-05-20 21:05:18,Tune in now to MSNBC's #EdShow. Garamendi on to discuss California oil spill and need to #ActOnClimate Change. -staff http://t.co/fTVpDAlKsQ,3,4
601125599088922624,2015-05-20 20:41:25,I will discuss the Santa Barbara oil spill &amp; the Coast Guard response at 2 PM PT / 5 PM ET on MSNBC’s #EdShow. http://t.co/Is7QMEGTk7,5,5
601123943836229637,2015-05-20 20:34:51,I will discuss @POTUS’s speech to Coast Guard Academy on security risks of climate change at 5 PM ET on MSNBC’s #EdShow. #ActOnClimate,11,8
601097546237349888,2015-05-20 18:49:57,I cosponsored #GROWAMERICA Act to rebuild our crumbling infrastructure &amp; create American jobs http://t.co/xcGCtWkr7X http://t.co/HC7JwvZ7HE,4,1
601095967501361152,2015-05-20 18:43:41,RT @JennDrudgeCaAAM: Great to visit today @RepGaramendi. Im glad to continue to work with you to keep jobs in America! http://t.co/pDAbTmaL…,1,0
601089867594997761,2015-05-20 18:19:26,RT @MissJonesss_: @RepGaramendi thank you for being a strong supporter &amp; showing us the power that students have. #UCDay http://t.co/Pj4FuS…,3,0
601088684126019586,2015-05-20 18:14:44,RT @Anthony_M_Abril: Thanks to @RepGaramendi for talking with us about his commitment to student debt refinance and Financial Aid! #UCDay h…,2,0
601077834895990785,2015-05-20 17:31:37,RT @HouseFeeds: Coast Guard Bill that Garamendi Co-Authored Passes House of Representatives http://t.co/96sOxU2Ese,1,0
601077793783488512,2015-05-20 17:31:28,RT @AllDailyRepNews: Garamendi applauds Coast Guard funding vote http://t.co/YHXhGdyfyT,1,0
601077390803083265,2015-05-20 17:29:52,RT @TransportDems: T&amp;I Democrats introduce #GROWAMERICA Act to set robust long-term surface transportation investment levels. Read more: ht…,8,0
601062232408072193,2015-05-20 16:29:38,"RT @UofCalifornia: Thank you @RepGaramendi! #UCDay
https://t.co/qiw0iSn5jw",1,0
600454711268012035,2015-05-19 00:15:33,House passes #CoastGuard bill to support their indispensable role in U.S. security &amp; properity http://t.co/Z9vun1MuPh http://t.co/iFIdGg4uDX,6,4
600450674296561665,2015-05-18 23:59:31,RT @Transport: House passes bipartisan #CoastGuard legislation unanimously! http://t.co/L1gsmnLzgO http://t.co/KzDtcHrmu7,3,0
600438790726021120,2015-05-18 23:12:17,"RT @HouseFeeds: As Interest Rates Drop for New Student Loans, Garamendi Highlights Need for Refinancing Options http://t.co/68fyF5nnYM",1,0
600438698384166912,2015-05-18 23:11:55,RT @HouseFeeds: Davis Office Open House http://t.co/orbifHIHQW,1,0
600424500832968705,2015-05-18 22:15:31,"Pushing for #Amtrak funding, PTC safety technology for Capitol Corridor &amp; across U.S.. Video: https://t.co/1ghR0wuX7x",3,3
600404748110561281,2015-05-18 20:57:01,Head Start early education builds ladders of opportunity for our most vulnerable children. #HeadStart50 http://t.co/fm3TORZeff,5,1
599610705990590465,2015-05-16 16:21:47,Right now: Congressman discussing the tragic Amtrak crash with @AlexWitt on MSNBC. -staff http://t.co/BadhuYfcYI,3,4
599312902479294464,2015-05-15 20:38:25,We must learn from the Amtrak tragedy and strengthen our nation's transportation safety: http://t.co/HvXiI7g8SX http://t.co/Dp0QujYeoF,1,0
598881978440617984,2015-05-14 16:06:05,"RT @NavyLeagueUS: ""I don't want to wait until 2016 to move on this."" - @RepGaramendi on @USCG major acquisitions hearing today",3,0
598614981924548611,2015-05-13 22:25:08,"I introduced a ""Water Plan for All of California"" to help make #CADrought-resistant. http://t.co/48qE9lSitE http://t.co/c7rYYMOdNu",9,3
598589856642637825,2015-05-13 20:45:17,Suisun City natives Kimen &amp; Diana swung by my office today. We chatted about med school &amp; tech. http://t.co/2veGTvJ3Q6,2,1
598544900318167041,2015-05-13 17:46:39,Discussed role of social media in #ISIS terrorist campaign &amp; US counter-terrorism. Watch my interview with CNN at https://t.co/Zrpy0RgxYJ,1,2
598521902991302657,2015-05-13 16:15:16,It’s important to keep US-#Russia line of communication open. My interview with @WolfBlitzer: https://t.co/Zrpy0RgxYJ http://t.co/NJuSUs2tqS,2,0
598513065659920384,2015-05-13 15:40:09,My heart goes out to all impacted by horrific Amtrak derailment. TY 1st Responders. @NTSB investigating. Need answers http://t.co/pnUhlYlDNK,2,0
598499986926608384,2015-05-13 14:48:11,Bold idea for US Transportation: The #GrowAmerica proposal: http://t.co/hwWkUz7Qhd #InfrastructureWeek #RebuildRenew http://t.co/KAVdaERTlY,11,1
598467224618283009,2015-05-13 12:37:59,"Only 6 legislative days until Highway Trust Fund expires. 660,000 jobs hang in the balance while we wait on GOP bill. http://t.co/lx8Yymu42c",117,32
598459714482130944,2015-05-13 12:08:09,"RT @bpshow: We have @RepGaramendi in studio this morning to talk TPP.

https://t.co/scHnHJs1IP",2,0
