id,created_at,text,retweets,favorites
581164807300202496,2015-03-26 18:44:22,Reintroduced bill to rename Waldwick post office in honor of fallen @USMC Staff Sgt Joseph D’Augustine #Hero #Patriot http://t.co/KaIPu1SICV,13,2
580865874321649664,2015-03-25 22:56:31,I supported a budget plan today that reins in the spending that threatens the economic well-being of the US #PJNET http://t.co/j7oxYK7ZoM,486,49
560108575775653888,2015-01-27 16:14:25,"RT @RepCardenas: Protecting property reaches across aisles. I'm standing w/ @SenRandPaul, @RepWalberg, @RepGarrett &amp; @keithellison to re-in…",18,0
558652176365789184,2015-01-23 15:47:12,RT @repjustinamash: #ff @RepDeSantis @RepFleming @RepGarrett @Jim_Jordan @Raul_Labrador @RepMarkMeadows @RepMickMulvaney @RepMattSalmon,11,2
552600543286546434,2015-01-06 23:00:10,Welcome! MT @RepStefanik: Honored to be sworn in today to serve as New York's 21st Representative to Congress! #NY21 http://t.co/vf2L0wbpwx,7,3
552553518046142464,2015-01-06 19:53:19,It's an honor to be sworn-in to the 114th Congress today. I promise to faithfully serve the people of New Jersey’s 5th District.,10,9
552525689464029185,2015-01-06 18:02:44,Many constituents have called on me for new leadership.  I agree. Today I supported Rep. Daniel Webster for Speaker of the House. #PJNET,520,135
547065907231879168,2014-12-22 16:27:30,Check out my op-ed in @NorthJerseybrk about our desperate need for tax reform. #TCOT #PJNET http://t.co/tJHnfXoDMx,363,13
545967951665696769,2014-12-19 15:44:37,Take a moment to watch a recap of the legislative initiatives I pursued this year. #PJNET http://t.co/YqtjK7PC0o,362,7
542720340951306241,2014-12-10 16:39:47,RT @SpeakerBoehner: This is the highest award Congress can give to express the appreciation of the American people. http://t.co/6hknBoVDBr,0,0
542418654436917248,2014-12-09 20:40:59,Wishing all our troops the best this holiday season! Click here http://t.co/v2JHsW5ajY to do the same. #PJNET http://t.co/QtnDkvPO9O,394,35
535840670603571201,2014-11-21 17:02:25,About to join @Varneyco to discuss #immigration. Be sure to tune in!,1,0
534748743485386752,2014-11-18 16:43:30,"Today’s terrorist attack in Israel is yet another tragic reminder that not everyone in the world respects human life, liberty, and dignity.",6,6
512337376245727232,2014-09-17 20:28:43,"RT @DarrellIssa: In honor of this occasion, for the next little while I’ll be tweeting the entire Constitution.",141,0
512336970107060224,2014-09-17 20:27:07,"RT @GOPLeader: To secure the blessings of liberty, the founders created our great Constitution. Happy #ConstitutionDay!",24,0
512336554799673344,2014-09-17 20:25:28,"RT @SpeakerBoehner: In advance of #ConstitutionDay tomorrow, here’s a reminder of the #Preamble written by our #FoundingFathers: http://t.c…",114,0
512336181678583808,2014-09-17 20:23:59,"RT @HouseGOP: On September 17, 1787, the Constitution was signed in Philadelphia, PA. Happy #ConstitutionDay! http://t.co/1IFBNtwa53",107,0
512326416604864512,2014-09-17 19:45:10,"Today, @RepCardenas &amp; I introduced the #FAIRAct to protect Americans from unconstitutional property seizures. #PJNET http://t.co/dwRVOoBx9m",424,97
512269777629614080,2014-09-17 16:00:07,"On this day in 1787, the U.S. Constitution was signed. RT to tell me why you love the Constitution. Happy #ConstitutionDay2014! #PJNET",383,42
510096888394436608,2014-09-11 16:05:49,"Today, I join you as we remember those we lost and pray for those who fight to protect our freedom. #NeverForget http://t.co/L7SDrSjicB",3,3
507630039270055936,2014-09-04 20:43:27,#FSOC irresponsibly &amp; inappropriately designated another U.S. business as too-big-to-fail today. Learn more: http://t.co/aejPmpFkEf #TBTF,1,0
494475190688960512,2014-07-30 13:30:47,"RT @JustinRBLT: If anyone's still looking for the video of Monday's @RepGarrett market structure roundtable, here it is: http://t.co/QQ7R3F…",3,0
494167844016250881,2014-07-29 17:09:29,"Are you part of this group? This is not okay: http://t.co/z8fSkMtBwM""",3,2
494110744573513728,2014-07-29 13:22:36,LIVE MARKUP—&gt; Watch @FinancialCmte discuss legislation on #Fed and more http://t.co/aRpogWP4af #4jobs,2,1
494110546413625345,2014-07-29 13:21:49,Fed’s regulatory process is not transparent and fails to consider regulatory costs http://t.co/aRpogWP4af  #4jobs #finserv,2,1
493905648648609793,2014-07-28 23:47:37,Thx u @FIAPTG! MT: Thxs @RepGarrett for hosting a thoughtful &amp; productive discussion on market structure. @OptiverUS http://t.co/i6UVG6ami2,1,3
493819030466076674,2014-07-28 18:03:26,RT @NASDAQ: Bob Greifeld at @RepGarrett's #marketstructure roundtable discussing need for governance in #darkpools regulation http://t.co/V…,6,0
493757187039047682,2014-07-28 13:57:41,RT @amacker: .@repgarrett found quite the Library of Congress room for this today's market-structure hearing. http://t.co/CSLlS9g71D,2,0
493756968989765632,2014-07-28 13:56:49,RT @BATSGlobal: Joe will speak at today's Roundtable on US Equity Market Structure hosted by @RepGarrett. Follow along at #DCMSR or via @CN…,3,0
493731693803487232,2014-07-28 12:16:23,Excited to host an equity mrkt structure roundtable today! #4jobs #Economy,3,0
489857361948180480,2014-07-17 19:41:10,My thoughts &amp; prayers are w/ @WaldwickPD NJ as they mourn the loss of Officer Goodell.,6,2
489856725642915840,2014-07-17 19:38:39,RT @NJSP: RIP @WaldwickPD Officer Christopher Goodell. Godspeed brother... #GoneButNeverForgotten http://t.co/YhzOZIJJ43,1,0
489454867606695937,2014-07-16 17:01:48,RT @RepCloakroom: The Rep. Garrett (R-NJ) {@RepGarrett} Amendment was adopted by voice,1,0
489131642192408578,2014-07-15 19:37:25,Lots of adoptable pets at the Capitol today. Support local #NJ shelters &amp; take home a furry friend like this guy: http://t.co/So78SYV51R,2,4
