id,created_at,text,retweets,favorites
601116435050561536,2015-05-20 20:05:00,"RT @DrFriedenCDC: Thank you to @RobWittman &amp; @RepGeneGreen for your work on Congressional #PublicHealth Caucus; important step to a safer, …",2,0
600388986377482241,2015-05-18 19:54:23,Congrats @HoustonRockets on a great game and making it to the next level. I'm a long time fan! #Htown,0,2
600295848371695616,2015-05-18 13:44:17,Thanks Head Start for providing 50 years of opportunity and education to America's children! #HeadStart50,6,9
598850446451712000,2015-05-14 14:00:47,#Cures2015 markup in #subhealth today. Watch live http://t.co/8dwKp0QvuM,0,2
596696454615461888,2015-05-08 15:21:35,"BLS #jobs report shows 213,000 jobs were created in April, bringing unemployment rate down to 5.4% #jobs #economy",2,0
595641556264218624,2015-05-05 17:29:48,Happy National #TeacherAppreciationDay to all of our hardworking teachers. Thank you for all that you do!,6,3
593786180027740160,2015-04-30 14:37:11,#Cures2015 opening statement http://t.co/dxNwuZ3Cm6,3,0
593776131041558529,2015-04-30 13:57:16,#SubHealth convening hearing on #Cures2015 in 5 mins http://t.co/Qh3yWSDwPv,0,0
593770184395096064,2015-04-30 13:33:38,Tune into the #Cures2015 hearing today at 10 a.m. here http://t.co/Qh3yWSDwPv,1,1
593749235792793601,2015-04-30 12:10:23,Looking forward to the #Cures2015 hearing today in @HouseCommerce Cmte.,1,0
593455800124895233,2015-04-29 16:44:23,RT @RepDianaDeGette: Proud to stand w @RepFredUpton Rep @FrankPallone @RepGeneGreen &amp; @RepJoePitts &amp;take the next step toward revolutionizi…,11,0
591292094905462785,2015-04-23 17:26:35,In honor of 67th Anniversary of Israeli Independence #Israelindependenceday http://t.co/wfSZYIuuhr,2,0
591265864202248192,2015-04-23 15:42:21,"Through programs like @UHouston partnership, the TGCCCC &amp; CCPI, industry job opportunities become realities http://t.co/kmdyOmAiba",0,0
591260110846066688,2015-04-23 15:19:30,"""This bill is right on the mark."" - Dr. Ramanan Krishnamoorti @UHouston. Watch here: http://t.co/YlDumq0kDU",1,0
591259440109715458,2015-04-23 15:16:50,"Thanks to @UHouston , @SanJacCollege, @exxonmobil &amp; stakeholders, Houston is the launching pad for efforts like #workforcedevelopment",1,1
591250967154294784,2015-04-23 14:43:10,Thanks @UHouston for being at @EnergyCommerce today to talk about 21st Century Workforce title to train more minorities in #STEM,0,0
591247027209666560,2015-04-23 14:27:30,At @HouseCommerce Hrg to discuss 21st Cent Workforce initative to train more minorities in #energy and #STEM,2,1
590996356917022726,2015-04-22 21:51:26,"Me, principal from Deady Middle School,  Astronaut Stanley Love and Israel Galvan. #AstronautDay in the District. http://t.co/zhmBNVEkZC",1,1
590975966429741056,2015-04-22 20:30:24,"Superbugs are a real threat to public health, we must #ADAPT before its too late. @comcastnewsmkrs http://t.co/JYb3WEbPYD",2,0
590925261404774400,2015-04-22 17:08:55,Happy to be on at @ComcastNewsmkrs talking about Antibiotic resistance. http://t.co/9Ech6hEHj2,1,1
590635811818835968,2015-04-21 21:58:45,"Celebration of signing the #SGR, #CHIP, #FQHC legislation @WhiteHouse http://t.co/iQdL08NAKA",10,3
590634231489044480,2015-04-21 21:52:28,At the @WhiteHouse celebrating the bipartisan #HR2 SGR reform and #CHIP reauth package http://t.co/qC7x7W0XAF,2,1
590527483797250048,2015-04-21 14:48:18,"Energy sector is ready to spend billions to meet the demands of the market, but they need permitting certainty http://t.co/J9WKbHppwA",2,0
590526329424060416,2015-04-21 14:43:43,@ENERGY released #QER. It's important to us that Admin sees need for investment in energy infrastructure http://t.co/J9WKbHppwA,0,0
590526035952828416,2015-04-21 14:42:33,@ENERGY released #QER. It’s important to us that Admin sees need for investment in infrastructure http://t.co/J9WKbHppwA,0,0
590518702589743104,2015-04-21 14:13:24,RT @rosetexas: Thank you @RepGeneGreen Your support of #T1D research is extraordinary! @JDRFHou was honored to have you at our Gala. http:/…,2,0
590518594640990208,2015-04-21 14:12:58,"@Hou_DER @NACHC @El_Centro_FQHC thank you, it's always pleasure to work with y'all.",1,1
590518435957833728,2015-04-21 14:12:21,RT @Hou_DER: Congrats @RepGeneGreen receiving @NACHC Community Health Champion Award fr @El_Centro_FQHC Funding champ for #fqhc http://t.co…,3,0
588773940945891328,2015-04-16 18:40:21,On #HolocaustRemembrance we honor the millions that lost their lives &amp; the courage of the Jewish people that fought back #YomHashoah,4,0
588392084681453568,2015-04-15 17:22:59,"Happy that #HR2 passed the Senate &amp; #SGR fix is finally done! This will protect #Medicare patients, extends #CHIP &amp; funds Comm Hlth Ctrs",0,1
