id,created_at,text,retweets,favorites
601396394029613056,2015-05-21 14:37:28,"My first read of the day, from @nationaljournal - Rand Paul Ends His NSA Filibuster after 10 Hours http://t.co/XKJ2gZ02Jp",3,2
601117776414146560,2015-05-20 20:10:20,RT @USChamber: What #EPA did to sell its water rule might have skirted the law - http://t.co/HaXVCf38ZN,3,0
601115573611790336,2015-05-20 20:01:35,"Help spread the word about missing AZ resident Denise Thiem last seen in Astorga, Spain. Click here for more info: https://t.co/D0vp8oIOP9",2,0
601067779807178752,2015-05-20 16:51:40,Honored to help assemble care packages today with @the_USO for our deployed service members. #OperationCarePackage http://t.co/uuYDSI5zt2,2,3
601042027451719680,2015-05-20 15:09:20,I will continue to ensure Congress tightens its own belt before we ask hardworking Americans to do the same. http://t.co/6AxHObTTLZ,2,4
600722442609401856,2015-05-19 17:59:25,RT @RebekahLSanders: US looking into whether Arizona hostage Kayla Mueller was held by ISIS leader killed in military operation http://t.co…,4,0
600707185711128576,2015-05-19 16:58:48,I'm not giving up my efforts to ban 1st-class flights for Congress. Still pushing forward with my bill the COACH Act. http://t.co/Expo4nTl88,8,4
600676391265370112,2015-05-19 14:56:26,"My first read of the day, from @thehill - House Passes Bills to Boost Veterans' Assistance http://t.co/onS4BHO02z",5,3
600436882472841216,2015-05-18 23:04:43,"Moving Arizona’s BLM office to Santa Fe will lead to permitting delays, job losses &amp; less efficient land management. http://t.co/MAkdoKfQyu",8,2
600424639903440899,2015-05-18 22:16:04,"This week’s #MilitaryMonday features U.S. Army veteran Ignacio Servin of Phoenix, Arizona. https://t.co/EshSo6FuO2 http://t.co/fX9vWBd3t0",4,1
600387557592006656,2015-05-18 19:48:43,Help @LibraryCongress honor #veterans this #MemorialDay by contributing histories to http://t.co/hsicxuxJON. http://t.co/02XkD90gfk,26,24
600365044996677633,2015-05-18 18:19:15,Lawmakers push ban on first-class airfare for Congress: http://t.co/vzk6JkENI4 … @RepRodBlum @RepGwenGraham @thehill http://t.co/4OdNJnGIXs,15,7
600358059853090816,2015-05-18 17:51:30,RT @PaysonLonghorn1: Mr. Taylor's Government class was recently able to do a Google Hangout with Congressman Paul Gosar.  It was a great wa…,2,0
600352473799327744,2015-05-18 17:29:18,RT @DoubleRVideo: .@RepGosar participated in NABs Congressional PSAs on Supporting Our Troops! We Thank You! https://t.co/PqrdI1eCkv @Broad…,3,0
600342306915495936,2015-05-18 16:48:54,"Congrats to Prescott HS students Lukas Stogsdill &amp; Samuel Molloy, finalists for my 2015 Congressional Art Competition http://t.co/ojOrBIrYSc",0,3
600323394337398784,2015-05-18 15:33:45,"Great op-ed from a former intern, @lilydashevsky featured in @azcentral - No Vaccination? Then Stay Out of College: http://t.co/DGGhN7J3df",3,2
600315428372643841,2015-05-18 15:02:06,"Don't mess with Arizonans... Watch this #SunDevil ""handle"" a wild pitch this past weekend https://t.co/JzjBFMwJ8L @ASU_Baseball",2,4
599970381944979457,2015-05-17 16:11:00,Expanding the FMLA to cover parents coping with the devastation of losing a child is common sense: http://t.co/iNbK2ubGxj,2,2
599618780604534784,2015-05-16 16:53:52,"To those who answered the call of duty, we honor your sacrifice &amp; pledge ourselves to serving you. #ArmedForcesDay http://t.co/yzXYq3hczT",4,5
599221735934799872,2015-05-15 14:36:09,"My first read of the day, from @NumbersUSA : House Approves Amendment Stripping Amnesty Provision from Defense Bill https://t.co/He7NaQ4qG2",4,3
598999395846266882,2015-05-14 23:52:39,"Introduced the No Welfare for Weed Act, ensuring SNAP/TANF benefits aren’t used for marijuana. http://t.co/wOsqhbsQug http://t.co/YNdpuo5RqH",7,6
598990526701051904,2015-05-14 23:17:24,I'm pleased to see the @RepMoBrooks amendment stripping an amnesty provision in the NDAA successfully pass the House https://t.co/IBNYO7Qu9i,7,2
598914008142458880,2015-05-14 18:13:21,The NDAA is no place for an immigration debate &amp; our military shouldn't be used as pawns to cement Obama's amnesty. http://t.co/oMzSpBIB08,13,6
598908689387520004,2015-05-14 17:52:13,RT @COPSArizona: Thank you @RepGosar for meeting with us regarding the passage of National Blue Alert. #policeweek http://t.co/HbXQRmhZV8,2,0
598848125147709440,2015-05-14 13:51:33,Great conversation this morning with AZ's leading women at the Dodie Londen Excellence in Public Service Series. http://t.co/JDxhlz2Olm,0,2
598586889113862144,2015-05-13 20:33:30,"Talk is cheap, results matter. Proud to be honored by @ACUConservative for my Conservative voting record. #ACURatings http://t.co/JrpkaK8o72",8,7
598528536815783936,2015-05-13 16:41:37,A majority of Americans support the Pain-Capable Unborn Child Protection Act and so do I. #TheyFeelPain http://t.co/BG08IbxnUz,36,29
598488377319620609,2015-05-13 14:02:03,"My first read of the day, from @WashTimes -GOP Push Bill to Ban Abortion after 20 Weeks of Pregnancy http://t.co/tkcfkLTgJi @RepTrentFranks",23,14
598229876034920448,2015-05-12 20:54:51,"RT @HouseGOP: The #EPA wants to control private waters, including lakes &amp; farm trenches. Here's how we're fighting back: http://t.co/6a0Rs6…",20,0
598208608917139457,2015-05-12 19:30:21,I have joined as an amicus plaintiff in the lawsuit seeking to overturn Obama's unconstitutional executive amnesty. http://t.co/ImVFKEqN0f,8,10
598195610081198080,2015-05-12 18:38:42,One simple act of patriotism from an Arizona man can inspire millions. Will you take the American flag challenge? http://t.co/tvxycfaRyl,4,3
598167404003389441,2015-05-12 16:46:37,RT @sacpaaz: Thank you @RepGosar @RepMcSally @RepTrentFranks @RepKirkpatrick for opposing consolidation of AZ &amp; NM BLM operations https://t…,8,0
598124977066500096,2015-05-12 13:58:01,"My first read of the day, from @azcentral - The War on Terror Isn't Worth Our Privacy
http://t.co/o4Of4mJxB5",4,0
598109393180299264,2015-05-12 12:56:06,RT @muellerew: .@RepGosar &amp; @kelliwardaz congratulate AZ students for winning local contest at their school. #ccot #readyforkelli http://t.…,6,0
597903549457117184,2015-05-11 23:18:09,"Today’s #MilitaryMonday features US Army veteran Robert Leech of Williamson Valley, Arizona: https://t.co/gDCJ3xJPpD http://t.co/VU1uPfktmb",3,4
597856666537893888,2015-05-11 20:11:51,Are you signed up for my weekly e-newsletter? Join the conversation. Sign up here: https://t.co/W5dOOUQCSc http://t.co/zGwCeDkxSW,1,1
597766764072665088,2015-05-11 14:14:37,"My first read of the day, from @thehill - This Week: Defense, Abortion and Trade Top Agenda http://t.co/PfASFk62EL",4,1
596789995605762049,2015-05-08 21:33:17,"This weeks final #SmallBizWeek Spotlight features JR Motors owned by Jim Carlo of Lake Havasu City, AZ #DreamSmallBiz http://t.co/GtiYs33cok",8,3
596773031487401984,2015-05-08 20:25:52,"Congrats to Michaela Fijlkowski from Palmcroft Elementary in Yuma, AZ for her winning Easter Card Competition entry! http://t.co/Ecpn5fZBNb",5,2
