id,created_at,text,retweets,favorites
601072100825276417,2015-05-20 17:08:50,RT @RyanBHart: Players get their kicks helping charity http://t.co/js6uWDITDj @RepGusBilirakis GM'ed the winning team.,1,0
601072066109005824,2015-05-20 17:08:42,"During an emergency, it is crucial that alerts and warnings are both reliable and effective: http://t.co/PjOT1itwZp cc @HouseHomeland",0,0
601045720196583424,2015-05-20 15:24:01,Max is a young boy fighting a rare disease. Meeting him was an honor – I know who I'm fighting for. #Cures2015 http://t.co/S60Q9XACCX,0,1
600817312804032512,2015-05-20 00:16:24,RT @RareCandace: Thank you @RepGusBilirakis for continuing to fight for the #RareDisease community! Excited to see #Cures2015 come up for v…,1,0
600786883325652994,2015-05-19 22:15:29,#Cures2015 is one of the best things Congress has done in a long time: https://t.co/U16nVw0Gbp #path2cures cc @HouseCommerce,8,5
600786212526358528,2015-05-19 22:12:49,RT @ScripDonnaDC: .@RepGusBilirakis: 1 in 10 Americans suffer from #rarediseases; #Cures2015 Open Act has 6mo #FDA exclusivity for rare dis…,5,0
600784948254142464,2015-05-19 22:07:48,"RT @ScripDonnaDC: .@RepGusBilirakis : This is about the people who need more effective treatments but do not have access to them
 #Cures201…",3,0
600777546427400192,2015-05-19 21:38:23,"RT @HouseCommerce: E&amp;C members to deliver opening statements on H.R. 6, the 21st Century Cures Act following floor votes: http://t.co/OG3iC…",13,0
600731380276953088,2015-05-19 18:34:56,"RT @SuncoastNews: NEW VIDEO: Players get their kicks at a kickball tournament that helped Pasco Kids First and other groups.
http://t.co/DY…",1,0
600673546298335232,2015-05-19 14:45:08,RT @ECcures: #Cures2015 UPDATE: Read the new section by section here --&gt; http://t.co/VJMU7sfrWi,14,0
600422510543396864,2015-05-18 22:07:36,RT @HouseCommerce: The cmte is set to advance the nonpartisan 21st Century Cures Act THIS WEEK. What does #Cures2015 mean to you? --&gt; http:…,14,0
600340419407392768,2015-05-18 16:41:24,RT @RareAdvocates: Thank you Rep. Gus Bilirakis for speaking up for rare disease patients! His editorial is featured in the Hill... http://…,2,0
600340402131066880,2015-05-18 16:41:20,RT @Synoptyx: ICYMI: Bilirakis on #Cures2015  One in 10 people suffer rare disease... http://t.co/aJ20EUpp1h via @GovDelivery,2,0
600340331180236802,2015-05-18 16:41:03,"RT @curetheprocess: In case you missed today's 21st Century Cures briefing, Representative Gus Bilirakis has put together a short... http:/…",2,0
599314361111486464,2015-05-15 20:44:13,"RT @TravelCoalition: Thanks for your continued support for @BrandUSA and the FL #travel and tourism industry, @RepGusBilirakis  https://t.c…",1,0
599277179101388800,2015-05-15 18:16:28,"RT @HeatherHelene13: @RepGusBilirakis @ECcures Thank you so much for your support of the OPEN Act, Rep. Gus Bilirakis and Rep. G.K. Butterf…",1,0
599269981516337152,2015-05-15 17:47:52,12/2014: My bill to reauth #BrandUSA &amp; boost tourism was signed into law. First qrtr 2015: Tourism to Florida is up - http://t.co/FJKQt8LQGD,0,0
599037489114910720,2015-05-15 02:24:01,RT @ELDERCAREADVOCA: @RepGusBilirakis @thehill Rare Diseases Are Increasing! 21st Century Cures Are The Solution In Addressing This Critica…,2,0
598984364039479296,2015-05-14 22:52:55,"RT @ECcures: “This is a great day."" - @RepGusBilirakis. #Cures2015 legislation passes #SubHealth --&gt;  http://t.co/9jv7tC326g",3,0
598956972558258176,2015-05-14 21:04:04,RT @RareCandace: @RepGusBilirakis the ITP community sends their well wishes and thanks for the #OPENACT. We are excited for #Cures2015 and …,1,0
598956022728785920,2015-05-14 21:00:18,The OPEN Act has been included in the @ECcures draft bill. We will save the lives of those w/ rare diseases: https://t.co/aH7VuTcNgZ,2,0
598926940570054657,2015-05-14 19:04:44,RT @PACCandMe: .@RepGusBilirakis Thank you very much for being so supportive of rare disease communities!,1,0
598925889145933824,2015-05-14 19:00:34,"Individuals living with rare diseases, such as William’s Disease, often have few options for treatment: https://t.co/zP5nJLUiQW",1,1
598899339323310080,2015-05-14 17:15:04,"Today the Health Subcommittee passed the #Cures2015 bill, an important step toward accelerating cures and treatments: http://t.co/SuUI1mki0F",1,1
598888053290053632,2015-05-14 16:30:13,Congress has a chance to come together to make a real difference in the lives of tens of millions of Americans: http://t.co/zFA7sEkzBo,1,1
598885335041347584,2015-05-14 16:19:25,RT @RareCandace: Immune Thrombocytopenia made it into @thehill. Check out the op-ed by @RepGusBilirakis http://t.co/RgAA2OYMf5 #ITP #RareDi…,3,0
598880783206653953,2015-05-14 16:01:20,"RT @ECcures: Patient groups, stakeholders continue to applaud #Cures2015 “Vision” &amp; “Leadership” --&gt; http://t.co/8Jo9DKstdj",4,0
598880738809896962,2015-05-14 16:01:09,RT @ECcures: ICYMI: @RepGusBilirakis discusses #Cures2015 legislation &amp; #RareDisease in @thehill --&gt; http://t.co/LZx7OL2zst,4,0
598868402241929217,2015-05-14 15:12:08,Better cures and treatments more quickly – today the @ECcures draft passed the #SubHealth in bipartisan fashion. http://t.co/KZqA0Z9Xgr,4,5
598862810274275329,2015-05-14 14:49:54,RT @curetheprocess: Thank you Rep. Gus Bilirakis for your strong advocacy for rare disease patients in the #Path2Cures! We appreciate... ht…,3,0
598862772840050688,2015-05-14 14:49:46,"RT @ScripDonnaDC: .@RepGusBilirakis : #Cures2015 OPEN Act incentivize #pharma #biotech to do trials for #rarediseases treatments 
#FDA #NIH",2,0
598862265597730816,2015-05-14 14:47:45,RT @RareCandace: I am #1in10. Thank you @RepGusBilirakis for fighting for #raredisease patients like me. Let's end off label use! http://t.…,3,0
598859822298202112,2015-05-14 14:38:02,@ECcures is giving us an opportunity to address some of the structural barriers to new cures: http://t.co/zFA7sE2YJQ #path2Cures,0,0
598859185493774337,2015-05-14 14:35:30,RT @RASopathiesnet: TY for supporting #TheOPENACT. It has been included in #cure2015 legislation. #RASopathies @RepGusBilirakis http://t.co…,1,0
598857442743742464,2015-05-14 14:28:35,RT @HouseCommerce: WATCH LIVE: #SubHealth vote on #bipartisan #Cures2015 legislation &amp; Microbead-Free Waters Act --&gt; http://t.co/WYmZI0zDlt,11,0
598851045838725120,2015-05-14 14:03:10,RT @LakerLutzNews: Speakers shed light on health care challenges. @RepGusBilirakis   http://t.co/Gn1OVlwZou http://t.co/O1DSiRVDP6,2,0
598849000272310273,2015-05-14 13:55:02,1 in 10: http://t.co/gGRqqDjsxG #RareDisease #OPENAct #path2Cures #Cures2015,5,5
598846490195329024,2015-05-14 13:45:03,The OPEN Act would unlock a new world of potential treatments – it would put them “on-label.” http://t.co/gGRqqDjsxG,3,2
598843206609063936,2015-05-14 13:32:01,RT @ECcures: Cmte member @RepGusBilirakis explains the importance of #Cures2015 in @TheHill this morning: http://t.co/xufudUafdm  #RareDise…,3,0
598841707992621056,2015-05-14 13:26:03,My op-ed in @thehill - Rare diseases are not a rare problem and they cannot be overlooked: http://t.co/gGRqqD1RG8 #Cures2015 #path2Cures,2,2
598598675351379968,2015-05-13 21:20:20,RT @pascoschoolsGR: @RepGusBilirakis Thank you for recognizing @pascoschools' McKenna Fitzpatrick &amp; her skin cancer battle! http://t.co/quV…,3,0
598592912574779395,2015-05-13 20:57:26,RT @RareCandace: The #OPENACT is included in 21st Century Cures legislation. So excited! Thank you @ECcures @RepFredUpton @RepGusBilirakis …,1,0
598592874251444224,2015-05-13 20:57:17,"Thanks to @jonnyjlm for supporting my bill, the #OPENAct. This will help a lot of rare disease patients. #Cures2015 #Path2Cures",1,4
598579977135751168,2015-05-13 20:06:02,"RT @sgdickinson: .@HouseCommerce #IANAsteward, @RepGusBilirakis: concerned about ICANN’s vulnerability to manipulation by foreign governmen…",1,0
598579197271998465,2015-05-13 20:02:56,Appreciated gaining insight from patients &amp; providers about the obstacles related to treating neurological diseases: http://t.co/2DNsr6xgzS,2,3
598578100490895360,2015-05-13 19:58:34,"RT @jonnyjlm: Check it yo!!!
#Rare disease patients need treatments TODAY, OPEN ACT HR 971 #path2Cures http://t.co/T1TRAl2E8y",43,0
