id,created_at,text,retweets,favorites
600671380821168129,2015-05-19 14:36:31,RT @HouseCommerce: The cmte is set to advance the nonpartisan 21st Century Cures Act THIS WEEK. What does #Cures2015 mean to you? --&gt; http:…,14,0
599221183997935616,2015-05-15 14:33:57,.@joeimel Looking forward to having Zach here!,5,11
598836678019649537,2015-05-14 13:06:04,Tune in now! https://t.co/gq5Tiamtgn,0,0
598565837067386880,2015-05-13 19:09:51,RT @GLIAdvocacy: @RepGuthrie opens @GLIchamber's afternoon session with the Kentucky delegation. http://t.co/0Ll7cpjlRE,4,0
596682653895675904,2015-05-08 14:26:45,Thankful for the hard work these two @wku students did while interning in my District Office in… https://t.co/xbfvrk0haM,3,2
595686067304570880,2015-05-05 20:26:40,@HardinCoSchools Thanks for having me!,0,0
595679949094318080,2015-05-05 20:02:21,"This afternoon I visited Nelson County High School to congratulate Jacob Price, the overall winner… https://t.co/j3SML9vZDM",0,1
593806460884254720,2015-04-30 15:57:47,My #CuresIn4Words - https://t.co/QQr0CYS8YK #Path2Cures,3,1
593408857147310080,2015-04-29 13:37:51,RT @NPCA: Thx @RepGuthrie for championing Mill Springs Battlefield Spc Res Study! You’re a #ParkChamp! http://t.co/k6qMIQf7w0 http://t.co/W…,6,0
593109378191982592,2015-04-28 17:47:49,"Innovation today, Cures tomorrow #Curesin4Words",5,2
588784895947833344,2015-04-16 19:23:52,"Just sent my e-newsletter asking for input on Net Neutrality. If you have a min., please share your thoughts with me. http://t.co/k1shPIlJUi",0,1
588359824351571969,2015-04-15 15:14:47,My thoughts this #TaxDay - http://t.co/OP7IM1BOHT,0,1
586193951201353728,2015-04-09 15:48:23,"Hey @UKCoachCalipari, I heard you might have some openings next season – I still have 4 yrs of eligibility! #BBN http://t.co/cqjLnzp1Ye",3,2
586148308546150402,2015-04-09 12:47:01,RT @HouseGOP: Blooming blossoms make even the greyest days bright 🌸 call your Representative to schedule a Capitol tour! https://t.co/3vwCd…,4,0
