id,created_at,text,retweets,favorites
601405883759878145,2015-05-21 15:15:10,"You're torn on whether to believe @POTUS or Iran’s Ayatollah? Desperation is not a good color on you, @SenRonJohnson. http://t.co/6t3608bXSg",4,2
601096655044268032,2015-05-20 18:46:25,Women need to support each other as we face obstacles that just don't exist for men. https://t.co/LkjytWwzAP #StatusOfWomen2015 @IWPResearch,10,7
601094788989988866,2015-05-20 18:39:00,"I'm proud to be here w/ such amazing women to talk about this important issue. Thanks for inviting me, @IWPResearch! https://t.co/8rzgpsdBeK",7,10
601079788984475648,2015-05-20 17:39:23,"Join @IWPResearch for ""Achieving Gender Equality in our Lifetimes: A Bold Vision for Advancing the Status of Women."" http://t.co/ZnVY17vi02",4,3
601073888441802752,2015-05-20 17:15:57,Rare to see a party brag about their efforts to sap econ growth &amp; kill US jobs but I guess @GOP is special like that. http://t.co/R3Fz1Z3Pca,7,2
601061382742790145,2015-05-20 16:26:15,"As an advocate for victims of abuse, I look forward to @POTUS signing the #JusticeForVictimsOfTraffickingAct into law http://t.co/tdQAQc6a1x",5,2
601036697963470850,2015-05-20 14:48:10,No Welfare For Weed Act? Really? When will @GOP stop pushing these false narratives about low-income Americans? #SMH http://t.co/0mHEuUAUuh,5,1
600761783297691652,2015-05-19 20:35:45,"We need more #CommunityPolicing &amp; less tracked armored vehicles, bayonets, grenade launchers &amp; large caliber weapons. http://t.co/e9vzYLq4Oq",2,3
600712142560591872,2015-05-19 17:18:30,#NationalDayOfAction: I proudly stand w/ immigrant families working for a better life for their children. #Fight4DAPA http://t.co/f71CLQXgSl,6,3
600675715328147456,2015-05-19 14:53:45,Attaching special demands to government aid exclusively targets our country’s most vulnerable individuals &amp; families. http://t.co/QYssrzeSGF,6,2
600434433280323584,2015-05-18 22:54:59,"Welcome to Twitter, @POTUS! https://t.co/2yzrqWpgtw",3,6
600402526836498432,2015-05-18 20:48:11,Proud to have offered an amendment to the #NDAA honoring the life/service of MKE's own Sergeant Major Naomi Horwitz. https://t.co/LkjytWwzAP,2,0
600319116633894912,2015-05-18 15:16:45,ICYMI: @AaronRodgers12 won $50k on @Jeopardy last week to help end #ChildhoodCancer. He's a champion on/off the field http://t.co/uhojVlBksS,5,2
599279067725193219,2015-05-15 18:23:58,News always covers the #BlackMen whose lives were cut short by police but ignore #BlackWomen who shared similar fate. http://t.co/KGOgisEzGb,1,1
599223847532003328,2015-05-15 14:44:32,"He believed that ""as long as people have problems, the blues can never die."" Rest in peace, #BBKing. #AllHailTheKing http://t.co/w0JIfK98aC",6,3
598928464788463617,2015-05-14 19:10:48,I'm troubled by provisions in #NDAA. We can support our troops w/o potentially bankrupting social safety net programs http://t.co/Qi7wnDr1jU,4,3
598868885174132736,2015-05-14 15:14:03,The passage of these discriminatory bills represent an ongoing Republican battle against Wisconsin's most vulnerable. http://t.co/SGgqutJEL2,5,2
598612223641165825,2015-05-13 22:14:10,"Rather than address the dire need for legislation to grow our economy, @GOP voted to attack a women’s #RightToChoose. http://t.co/Zr7eZnAzVc",9,2
598595670187081728,2015-05-13 21:08:23,My office is proud to stand strong for women &amp; girls! Thanks @ONECampaign! Show us your #Strengthie. #PovertyIsSexist http://t.co/k2AlJcVTjz,11,9
598545446991241216,2015-05-13 17:48:49,"Sadly, identifying the problem of #ViolenceAgainstWomen often elicits forceful/aggressive resentment. Support #IVAWA! http://t.co/3pbg8VzYTD",1,4
