id,created_at,text,retweets,favorites
601120134619656192,2015-05-20 20:19:43,"After spending the day with Ke’Onda Johnson, I am more committed than ever to ensuring every child has a loving family. #FosterYouthVoices",12,11
601021304242864128,2015-05-20 13:47:00,RT @RepLoisFrankel: .@HouseGOP has punted Highway Trust Fund deadline 2 months deeper into the critical summer construction season. This is…,87,0
600361888778756097,2015-05-18 18:06:43,@HeadStartgov is one of the strongest investments we’ve made in our children #HeadStart50 #EngageDems,0,0
600298929666793472,2015-05-18 13:56:32,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,141,0
600048765605666817,2015-05-17 21:22:28,Today is International Day Against Homophobia &amp; Transphobia. Let's end prejudice against the LGBT community #idahot http://t.co/P2JCYFkzJI,2,2
598955772324802561,2015-05-14 20:59:18,We must #knowlupus to create a future with #nolupus. Play the game and raise your knowledge about lupus! http://t.co/dZXpK5lfZr,1,1
598851797806161920,2015-05-14 14:06:09,"RT @RepPerlmutter: Let's renew Highway Trust Fund ASAP. @HouseGOP's needless crisis casts uncertainty on 6,000 US construction projects. ht…",102,0
598118007949422592,2015-05-12 13:30:20,"RT @repblumenauer: There are just 7 legislative days until Highway Trust Fund expires. @HouseGOP, end the dysfunction &amp; bring us a bill. ht…",98,0
595952710798680065,2015-05-06 14:06:13,RT @NydiaVelazquez: This National Small Business Week we salute American entrepreneurs who create 3 out of 4 new jobs. Let's help them succ…,139,0
595694148944003073,2015-05-05 20:58:47,Rivlin meets delegation of congressmen http://t.co/XxHbp4Dh4g via @timesofisrael,3,0
595596592582893571,2015-05-05 14:31:07,At a meeting with Prime Minister #Netanyahu on my 16th trip to Israel. http://t.co/RiExAMModm,13,11
594198756515536896,2015-05-01 17:56:37,Disappointed that @HouseGOP passed a resolution that permits DC employers to discriminate against women for their healthcare choices.,4,1
594197489399496704,2015-05-01 17:51:35,Join me in paying homage to Jewish Americans who have helped shape our nation and world this #Jewish American Heritage Month. #JAHM,3,4
594139112812257280,2015-05-01 13:59:37,"RT @RepDennyHeck: With only 25 legislative days until Ex-Im Bank expires, @HouseDemocrats are moving to force a vote to save #ExIm4Jobs htt…",56,0
593883857583284224,2015-04-30 21:05:20,Proud to support the #RaiseTheWage Act introduced today that will boost the federal minimum wage to #12by2020,2,2
593415815707414529,2015-04-29 14:05:30,RT @RepCummings: We can't allow violence to distract from our purpose. We must continue with peaceful calls for justice to honor the memory…,373,0
