id,created_at,text,retweets,favorites
599282543595257856,2015-05-15 18:37:47,On this #PeaceOfficersMemorialDay may we stop &amp; honor those who paid the ultimate price to keep our communities safe. http://t.co/xoRrCS5LWa,7,7
598964209955647490,2015-05-14 21:32:50,Honored to lead the House in a moment of silence to remember the victims of this week's storms in East Texas: https://t.co/9Muog6CQ6b,0,2
597776729911009280,2015-05-11 14:54:13,My thoughts &amp; prayers are with the citizens of East Texas that were impacted by last night's severe weather... http://t.co/02jW5LhQAq,6,3
593811759061979136,2015-04-30 16:18:50,RT @FinancialCmte: .@RepHensarling preparing for joint hearing w/@GOPoversight - Examining #ExIm Bank Mandates http://t.co/Z5ebfLiNkn http:…,17,0
593791648288612352,2015-04-30 14:58:55,Honored to receive @club4growth's #DefenderofEconomicFreedom Award. Appreciate all they do for the cause of freedom. http://t.co/v9uQ42eFeO,6,3
588061975919353856,2015-04-14 19:31:15,RT @FinancialCmte: #HR650 eases unintended fed. restrictions that are limiting credit for families and retirees seeking an affordable housi…,6,0
588061914703474688,2015-04-14 19:31:00,"RT @FinancialCmte: Consumers are hurt by inflexible fed. rules that unfairly penalize retirees, veterans, rural residents &amp; others trying t…",4,0
588061864472485888,2015-04-14 19:30:48,RT @FinancialCmte: #HR650 maintains CFPB oversight of manufactured housing lending and continues protections against predatory lending prac…,5,0
588061809837531138,2015-04-14 19:30:35,RT @FinancialCmte: #HR650 continues consumer protections including the QM Ability to Repay requirement &amp; prohibits steering consumers to pr…,3,0
588061741998809090,2015-04-14 19:30:19,"RT @FinancialCmte: #HR650 bipartisan bill will help low and middle income families, esp. those in rural areas access credit for purchase of…",4,0
580865985445535745,2015-03-25 22:56:57,"The House GOP budget advances important priorities, economic opportunity for all Americans. http://t.co/OxWX22KjzX",8,5
572825355658141696,2015-03-03 18:26:22,"It was an honor to have Prime Minister Netanyahu speak before a joint meeting of Congress. 

https://t.co/sWjY7eeTxo",10,13
570699229427056640,2015-02-25 21:37:54,"Hard-working American families need help saving for college.  Expanding 529 savings plans makes that easier. 
http://t.co/HF4UEWzsoo",9,5
570687259927814144,2015-02-25 20:50:20,Do you think multinational conglomerates are “small businesses”? #ExIm does http://t.co/hAVjECEn0A,3,3
570687046479687680,2015-02-25 20:49:29,#ExIm caught exaggerating its help for small biz http://t.co/hAVjECEn0A,1,2
570684090455756800,2015-02-25 20:37:44,#ExIm caught hiding data from taxpayers http://t.co/qQqDytvfNz,1,1
565638252645056513,2015-02-11 22:27:23,"Even though he’s tried to avoid it for years, President Obama finally has a choice to make regarding Keystone. http://t.co/M6gH70otYt",11,4
563464950900072448,2015-02-05 22:31:27,@MartyLReid so glad you and Melia were able to make it. Have a safe trip back to Forney.,0,1
563360379557117953,2015-02-05 15:35:55,My view at the #NationalPrayerBreakfast. Always encouraging to see so many come together to pray for our nation. http://t.co/0MxIF0LQQq,1,3
562746077515091969,2015-02-03 22:54:54,My statement on tonight's vote to repeal #Obamacare - http://t.co/CrxaBMi5FK,6,2
560503505392508928,2015-01-28 18:23:43,I joined @RepJeffDuncan &amp; 42 other House conservatives in urging Senate to pass DHS bill that stops executive action: http://t.co/VWZ6WFGih0,43,20
557935310659944448,2015-01-21 16:18:38,Joining @Varneyco on @FoxBusiness just after 12p ET to give my review on #SOTU. Hope you'll tune in.,5,2
557739011637534721,2015-01-21 03:18:37,Read my thoughts on tonight's #SOTU here: http://t.co/HzSRvYteBq.,10,3
557718924385861634,2015-01-21 01:58:48,My view for #SOTU. Are planning to watch? #downinfront http://t.co/KVTjLoYiqO,3,4
557657638562177026,2015-01-20 21:55:16,The 'trickle down' taxes President Obama is expected to unveil in tonight's #SOTU will hurt consumers: http://t.co/OHFsOgNnm9,4,2
555413491767848960,2015-01-14 17:17:50,POTUS executive action on immigration is an unconstitutional power grab. House is using power o/t purse to stop him: http://t.co/yPc0Tm2hBI,30,13
555364564985217024,2015-01-14 14:03:25,Joining @MarkDavis at 8:35am CT to discuss House action today to stop POTUS unconstitutional power grab. Listen live: http://t.co/ka0nCwWCDS,7,3
553553586576429056,2015-01-09 14:07:14,Headed to the House floor to participate in the reading of the #Constitution. Tune in here: http://t.co/YKsC0pdamN,5,2
553301501226274819,2015-01-08 21:25:32,Proud to co-sponsor and vote for #HR30 to protext East Texas paychecks from the harmful effects of #Obamacare  http://t.co/7A9q79ZjZB,5,3
