id,created_at,text,retweets,favorites
601122525750403073,2015-05-20 20:29:13,Bill I introduced w/ Rep. Conaway to repeal mandatory COOL requirements for beef/pork/chicken passed out of Ag Cmte https://t.co/9tj6P3YKtP,0,1
599326518506950657,2015-05-15 21:32:31,Congrats to the graduates of the Building Trades &amp; Workforce Investment Board's Pre-Apprenticeship Program! Great job http://t.co/jsP0DqINga,0,3
599278613750542336,2015-05-15 18:22:10,Honored to be joined by@RepPaulCook in reintroducing the Hmong Veterans' Service Recognition Act.  https://t.co/rilX0vTUq5,0,2
598996564611375104,2015-05-14 23:41:24,Thank you to the men and women in blue who work to keep our neighborhoods safe. #NationalPoliceWeek,1,1
598917838489972736,2015-05-14 18:28:34,Only 5 legislative days left to fund our transportation system. Congress must come together to provide funding. https://t.co/Y90E4tYgVE,1,0
598224317801979904,2015-05-12 20:32:46,"It's Nat'l Women's Health Week! No matter your age, @womenshealth has tips to help you lead a healthier life: http://t.co/CqjKUQPV31 #NWHW",3,1
597609714575249408,2015-05-11 03:50:33,Happy Mother's Day to all of the amazing and strong moms. Your love and commitment makes this world a better place. Enjoy your special day!,6,9
596816539778682880,2015-05-08 23:18:46,"Today, in honor of #VEDay70 there was a flyover of historic WWII era aircraft over the Capitol &amp; National Mall. http://t.co/m5tLkRwrNV",5,4
596372228951924736,2015-05-07 17:53:14,So proud to represent a city where the police is focused on building community relationships! Thanks @FresnoPolice! http://t.co/G3bSEs8g4W,3,2
596020422426124288,2015-05-06 18:35:16,Happy National #NursesWeek!  A heartfelt thank you to the millions of nurses who have dedicated themselves to providing exceptional care.,2,3
595384887038836736,2015-05-05 00:29:53,Great spending time with @mercedcollege Student Government! Thank you for the truly enriching experience. http://t.co/dxOUv4o18z,2,1
595378460597555200,2015-05-05 00:04:21,More than half of Americans either own or work for a #smallbiz - Happy Nat'l Small Business Week: http://t.co/fzNhVkoAaC  #DreamSmallBiz,9,9
595349833805856768,2015-05-04 22:10:36,"To all the teachers who have dedicated themselves to inspiring and motivating their students, thank you!  Happy #TeacherAppreciationWeek!",3,3
593193369226113027,2015-04-28 23:21:34,It was a great experience to be part of Comcast Cares Day 2015. Thank you for giving back to our community. #CCDay http://t.co/0tyWNUAXFr,3,2
591369502354382851,2015-04-23 22:34:11,Congratulations to #LorettaLynch on being confirmed as the next Attorney General. Her outstanding qualifications will serve our country well,3,1
590944778285625345,2015-04-22 18:26:29,"Join me in celebrating #EarthDay. Today, we recommit ourselves to protecting our air, water and planet. https://t.co/dU2ByWchMR via @YouTube",5,4
590929908022513664,2015-04-22 17:27:23,RT @GVHC_health: Tony Weber: Costa stood up for community health care | The Merced Sun-Star The Merced Sun-Star http://t.co/00a66YLnlW,1,0
590256923393585154,2015-04-20 20:53:11,@FernandoCabada did an amazing job representing Fresno in the #BostonMarathon! We are so proud of you!,0,1
589150809704771586,2015-04-17 19:37:53,"Apply before Apr. 24th to intern on Capitol Hill! @CHCI’s Congressional Internship Program, ALL majors accepted http://t.co/WsYJKDnXIc",10,3
589132049174437888,2015-04-17 18:23:20,Celebrate National Park Week w/FREE entry to the parks this Sat &amp; Sun. #FindYourPark at http://t.co/80rm4pxzmj &amp; enjoy CA. @NatlParkService,1,1
589129191179821056,2015-04-17 18:11:59,Anything is possible when our youth come together to make our world a better place. Celebrate Global Youth Service Day! @YouthService #GYSD,3,3
588782844396331010,2015-04-16 19:15:43,"On #HolocaustRemembrance Day, we honor the millions of innocent people who lost their lives &amp; reaffirm our commitment to peace  #NeverForget",2,0
588428104693080064,2015-04-15 19:46:07,Spoke on the House Floor to bring attention to the drought devastating the San Joaquin Valley. https://t.co/Nyig2IMKxK,2,0
588427089201729536,2015-04-15 19:42:05,"Today, we remember and honor President #Lincoln, who died 150 years ago. http://t.co/ZO9ZrHZ4mZ",0,1
588100022316769280,2015-04-14 22:02:26,It was great to meet with the Fresno COG to discuss the priorities for Fresno County and the Central Valley. http://t.co/oWHAkvhxpT,1,0
588041807168200706,2015-04-14 18:11:06,The Equal Pay Act was passed 52 years ago but women are still fighting for equal pay.  #equalpaynow http://t.co/ygQ5jxxfPY,2,4
587750058407374848,2015-04-13 22:51:48,"Today, we celebrate the birthday of #ThomasJefferson, our third President &amp; the principal author of the #DeclarationofIndependence.",5,2
587727923525902336,2015-04-13 21:23:51,"Exchequer Mountain Bike Park is in the lead for being named winner of a $100,000 grant to build an extreme downhill mountain-bike trail.",1,2
587656046497370112,2015-04-13 16:38:14,"Thank you Pope Francis, for recognizing the #ArmenianGenocide and urging the rest of the world to do the same. @Pontifex",27,31
587012674782830592,2015-04-11 22:01:42,"Happy #BobcatDay to all @ucmerced students past, present and future! http://t.co/BFCin4RAut",13,22
586606715065524224,2015-04-10 19:08:34,Today is Nat'l Youth HIV/AIDS Awareness Day. Let's work towards an AIDS- free generation by educating our youth &amp; raising awareness. #NYHAAD,1,0
586366559016235013,2015-04-10 03:14:16,Let's cheer on the @FresnoGrizzlies as they take on the Las Vegas 51s during Opening Day at Chukchansi Park! http://t.co/ARvWf3fb65,2,2
586310071887462400,2015-04-09 23:29:48,Every $1 invested in public transportation generates approximately $4 in economic returns. We need to #StandUp4Transportation.  #SU4T,2,2
585896812420141059,2015-04-08 20:07:40,"April is Financial Literacy Month. To help you save more of what you earn, here are a few tips from the FTC: http://t.co/qvxHo3adJx",4,0
585888957096943616,2015-04-08 19:36:27,Congrats to Fresno Community Hospital &amp; Medical Center on receiving a grant from  U.S. Dept of Health for the Ryan White Outpatient Program,0,0
583751630316646400,2015-04-02 22:03:28,Thrilled to be on Central Valley Today with @stefaniebainum to discuss the drought &amp; issues important to our Valley. http://t.co/wWJjCJm3RY,4,5
583726877711425536,2015-04-02 20:25:07,"Today, on #WorldAutismAwarenessDay, we #LIUB to raise understanding and awareness of autism. Show your support!",3,0
583041061695688704,2015-03-31 22:59:56,Congrats to Exchequer Mountain Bike Park on being a finalist for a national grant to build a downhill double-black diamond trail.,3,0
583033653703405568,2015-03-31 22:30:29,My thoughts and prayers continue to be with Fresno Captain Pete Dern as he begins his road to recovery. @FresnoFire @Local753,3,6
581265787505127424,2015-03-27 01:25:37,Great State of Downtown! #downtownfresno is a wonderful place to live &amp; work and it's only getting better! http://t.co/50j22GCVz8,11,5
581196826738573312,2015-03-26 20:51:36,Congrats to Tom Murphy &amp; staff on the Grand Opening of the Walter Mortensen Insurance/INSURICA office in Livingston! http://t.co/wIUyfF1Gzf,0,0
580736806078955520,2015-03-25 14:23:38,My thoughts and prayers are with the families and friends of the passengers and crew aboard #Germanwings Flight 9525.,0,1
580444422715867136,2015-03-24 19:01:49,During March we join @RedCross in recognizing everyday heroes who give their time and service to others.  #BeAHero,3,0
579877762694959104,2015-03-23 05:30:06,Happy #WorldWaterDay!  #WaterIs key to the success and continued development of our Valley and our families.,6,2
579388774104178688,2015-03-21 21:07:02,Honored to be hosting @MaxineWaters at the #AAForumFresno w/@OliverBaines &amp; @fresnometrobcc http://t.co/6abGV5XHQp,10,5
579065295354068992,2015-03-20 23:41:39,"To all celebrating the Persian New Year, Happy #Norooz! May your year be filled with love, happiness &amp; health. #Norooz2015 #PersianNewYear",4,4
579063367924477952,2015-03-20 23:34:00,Thank you to Madera South High School for inviting me to participate in the first Stallion Civic Symposium. http://t.co/zdYa9JSANn,0,1
579061779059351553,2015-03-20 23:27:41,Under Secretary Concannon announced $12.3 million in funding for Fresno County Dept.of Social Services @USDANutrition http://t.co/t2DS8EX5yX,2,2
579059779290677249,2015-03-20 23:19:44,"Gov. Brown's emergency drought package a good step, but not enough. We need legislation that addreses our challenges
http://t.co/O6LDyvd4cl",3,1
578634049901613056,2015-03-19 19:08:02,Thank you to @FresnoEOC for putting on the very informative and moving 6th Annual Conference on Human Trafficking. http://t.co/4yb9I5inKZ,2,4
577930117915107328,2015-03-17 20:30:52,Thanks to @fresnounified School District Superintendent Michael Hanson for going to D.C. to fight for our students! http://t.co/XtY29PQuMe,2,2
577609787355062272,2015-03-16 23:17:59,"On March 16,1802 @WestPoint_USMA was founded. For 213 years this institution has educated &amp; trained our Army's leaders. #ArmyStrong",2,0
576499115778969600,2015-03-13 21:44:34,"Honored to host the Consul General of India, Ambassador Ashok @Fresno_State w/ @JosephICastro &amp; Dr. Sudarshan Kapoor http://t.co/LXD7fkU3Fl",7,4
576203937184755712,2015-03-13 02:11:38,"Fresno State just lost its mascot, Victory E. Bulldog II. Great part of Fresno State athletics that will be missed. @FSAthletics #Bulldogs",16,17
576142226780069888,2015-03-12 22:06:25,Participating in Castle Commerce Center Economic Summit with @AnthonyCannella @AdamGrayCA &amp; local elected officials. http://t.co/i3FVBpyfgd,3,1
576067506638614528,2015-03-12 17:09:31,"Considering a grad degree in public policy,urban planning,social work or business? Apply for the Wonderful Fellowship http://t.co/Beh6ovzHky",1,3
576062032413384704,2015-03-12 16:47:45,"Let’s wish @GirlScouts a Happy 103rd Birthday! Thanks for inspiring, challenging and empowering girls everywhere. #girlscoutsrock",4,4
575818072726093824,2015-03-12 00:38:21,Join me for an African American Community Forum featuring @MaxineWaters and @OliverBaines on March 21st at 1:30 PM http://t.co/4GTaUMb8yP,6,2
575377930622275584,2015-03-10 19:29:23,Honored to join my friend @rep_stevewomack as Co-Chair of the Congressional Chicken Caucus. http://t.co/vPfDzBiY2q,3,0
575362451862085632,2015-03-10 18:27:52,Congrats to the @CityofFresno on receiving funds from the @EPA to help develop a strategy to cleanup &amp; transform the Elm Avenue Corridor.,2,0
575074284659458050,2015-03-09 23:22:48,Congrats to the 27 Valley organizations receiving funding from @SHFCalifornia! Thx for improving our Valley's health http://t.co/FboeeJb64S,4,1
574996744481673216,2015-03-09 18:14:41,Truly enjoyed the opportunity to talk with some of Merced High School's seniors. They have a great Government Class! http://t.co/ZnOlGhPsp7,3,0
574986331396403201,2015-03-09 17:33:18,"Congrats to Addison Lowmexay &amp; Tj Pho, seniors @mclanehigh, who won Honorable Mention in @CSPAN's national 2015 StudentCam competition.",6,6
574980649725091841,2015-03-09 17:10:44,It was great to join so many strong women at the #InternationalWomensDay celebration at Parkwood Elementary in Madera http://t.co/reRGKJmJHe,0,0
574680356105818112,2015-03-08 21:17:28,"This weekend, as we commemorate the 50th anniversary of #BloodySunday we recommit ourselves to fighting for justice &amp; equality. #Selma50",7,3
573535516425129984,2015-03-05 17:28:17,RT @RepCheri: Let's create American jobs rebuilding roads &amp; bridges. Bigger paychecks &amp; better infrastructure! #MiddleClassFirst http://t.c…,147,0
572911777459138561,2015-03-04 00:09:46,On #WorldWildlifeDay we take a stand against illegal wildlife trafficking and poaching.  @WildlifeDay #SeriousAboutWildlifeCrime,5,2
572897986008756225,2015-03-03 23:14:58,Today Congress focused on the security of the US &amp; Israel.Israeli PM addressed Congress &amp; the House voted to fund DHS.http://t.co/Z6MCD3VyGO,0,2
572870116498530304,2015-03-03 21:24:13,Thank you to my Blue Dog Coalition colleagues for joining me on the House Floor to discuss the issues important to our nation.@BlueDogPress,1,1
571443636014964736,2015-02-27 22:55:54,"Today’s announcement by the U.S. Bureau of Reclamation is another devastating blow to the San Joaquin Valley. @usbr 
http://t.co/ykvNXRNfBv",6,3
571440552186650624,2015-02-27 22:43:39,The safety of our country is more important than political games. We need a clean bill that fully funds DHS. #DontShutDownOurSecurity,6,4
571026594870898688,2015-02-26 19:18:44,"We need a clean @DHSgov funding bill. No gimmicks. Country before party. #DontShutDownOurSecurity 
https://t.co/zxgyeHcKVH",6,2
570689835289190400,2015-02-25 21:00:34,3 days left until Homeland Security shuts down. Americans deserve better.  We must pass a clean DHS funding bill #DontShutDownOurSecurity,4,0
570329022074200064,2015-02-24 21:06:49,Great Career &amp; Internship Expo @Fresno_State. Thanks to Fresno State &amp; our local businesses for teaming up. Go Dogs! http://t.co/hYZDP1F1SX,4,6
569955887680507904,2015-02-23 20:24:07,"The agreement reached by the PMA &amp; ILWU is a success for our nation &amp; the San Joaquin Valley. 
http://t.co/bcNoVS9usX",6,1
569916283774476288,2015-02-23 17:46:45,It's unacceptable to play political games with our national security &amp; jeopardize the safety of the American people.#DontShutDownOurSecurity,11,6
568105778952978432,2015-02-18 17:52:27,"Great to join @FresnoEOC's  50th Anniversary ""Aligning Capital with Justice"" event. Their work makes a difference! http://t.co/C4HyjglaIr",5,2
567760104783478784,2015-02-17 18:58:52,It was great joining @UnivisionFresno and Lupita Lomeli at their annual @FAFSA event. Happy to see so many students! http://t.co/7TtXLMrq8d,2,1
567757402447945728,2015-02-17 18:48:07,The delays at our west coast ports are having devastating effects on our national and local economy. It must stop! http://t.co/FW35fRpsv4,4,2
566335599716864000,2015-02-13 20:38:23,Only 2 weeks until @DHSgov shutdown. It's time to pass clean bill &amp; stop holding national security hostage #DontShutDownOurSecurity,11,4
566040085221879808,2015-02-13 01:04:07,"Today, #ClayHuntSAVAct was signed into law by @BarackObama. This law gives our nation's heroes increased access to the support they deserve.",2,2
565672612563795970,2015-02-12 00:43:55,"Today, we lost Hall of Fame coach Jerry Tarkanian. The Valley &amp; @FSAthletics will miss you.  #GoDogs #TarktheShark  http://t.co/Cl0iOogBCg",2,1
565630512862330880,2015-02-11 21:56:37,"25 years ago today, @NelsonMandela was released from prison after having served 27 years. Let us remember the sacrifices he made.",3,3
563873014656544769,2015-02-07 01:32:57,"On @WearRedDay, &amp; throughout the year, my staff and I take a stand against heart disease!  @GoRedForWomen #WearRedDay http://t.co/Vb9rUHO4QP",4,3
563791370809511936,2015-02-06 20:08:32,Look forward to the @Pontifex addressing Congress.He's someone who can inspire Dems &amp; Reps to put aside politics &amp; work for the greater good,4,0
563455008424083458,2015-02-05 21:51:57,Feb 15th is the last day to get health coverage. Visit the @CoveredCA webpage at http://t.co/8l7YqWx3jV to get enrolled.,2,0
563116587855904768,2015-02-04 23:27:11,"Today, I joined @RepGoodlatte, @PeterWelch, and @rep_stevewomack in introducing H.R. 704, the #RFS Reform Act. http://t.co/c9sZGpUlVq",3,1
563101150539685888,2015-02-04 22:25:50,"Today, we honor the life and legacy of #RosaParks, the Mother of the Civil Rights Movement. Happy 102nd Birthday.",0,1
563024571037913088,2015-02-04 17:21:32,RT @RepGoodlatte: .@Reuters: 4 US lawmakers begin second effort at biofuels reform bill http://t.co/CqOn9aVjAr #RFS @PeterWelch @RepJimCost…,14,0
562347306163654657,2015-02-02 20:30:20,"During Black History Month, we recognize the contributions the African American community has made to our country. https://t.co/t04Udz1iTK",3,0
561257208076578816,2015-01-30 20:18:40,Great display of the cultures &amp; religions in Madera County! Congrats on your 19th Annual Interfaith/Intercultural Day http://t.co/UoucGZpw0m,4,1
561247148344614913,2015-01-30 19:38:42,There is still time to donate blood before #NationalBloodDonorMonth ends. Find a blood drive near you! http://t.co/uK3Hy7KfIu,1,0
560907489143955456,2015-01-29 21:09:01,"In California, women are paid 84 cents for every dollar paid to men, amounting to a yearly wage gap of $8,069. #Equalpay for equal work!",11,2
560884681412202497,2015-01-29 19:38:23,"On the 6th anniversary of the @Lilly_Ledbetter Fair Pay Act, we must continue to fight for #EqualPay for equal work. http://t.co/vGW9ybF0jJ",3,0
560195251936436225,2015-01-27 21:58:50,"Today,we honor holocaust survivors and remember those who lost their lives. #HolocaustRememberanceDay",4,0
557958812536430593,2015-01-21 17:52:01,A prosperous economy and a strong middle class depend on a Congress and Administration that will work together. #MiddleClassFirst #SOTU,5,2
557337202334519297,2015-01-20 00:41:58,In honor of #MLKDay let us recommit to carrying on Dr. King's legacy of equality and peace. http://t.co/y4lFbkLU8f,4,2
556180642078015488,2015-01-16 20:06:13,"UC Solar, an inter-campus consortium of experts at UC Merced, leads the nation in developing solar energy technology. #UCMerced #UCSolar",13,10
555145540942721025,2015-01-13 23:33:05,Proud to support the Clay Hunt Suicide Prevention for American Veterans Act. One veteran lost to suicide is too many http://t.co/4nQKFVR0hZ,3,1
555109617139978240,2015-01-13 21:10:20,Disappointed in the Supreme Court's decision to prioritize Delta smelt over the welfare of hard working Americans. http://t.co/9PWaQerNi8,0,0
555062321161441280,2015-01-13 18:02:24,Homeland security funding should NOT be subject to partisan politics. During these dangerous times our priority must be safety!,5,3
553635772449173504,2015-01-09 19:33:48,"December added to the longest uninterrupted period of private sector job growth in history. Good news, but there's more to do!",1,1
552621787096158208,2015-01-07 00:24:35,Great to participate in today's historic groundbreaking! #HSR will generate profound benefits for CA. @CaHSRA http://t.co/QKqqMNFczz,12,19
552615879301926914,2015-01-07 00:01:07,"To all of my Armenian friends who are celebrating Christmas today,may you have a wonderful time with your loved ones.",0,2
550819519766081536,2015-01-02 01:03:01,Happy New Year to one and all. Wishing everyone a healthy and prosperous 2015!,2,2
548281328903258112,2014-12-26 00:57:10,Happy Holidays to all. May you have a wonderful day with your friends and family.,7,7
545309925631877123,2014-12-17 20:09:52,New NASA data shows 11 trillion gallons of water are needed - 1.5x the max volume of the largest U.S. reservoir - to recover from #cadrought,0,2
544998766311669762,2014-12-16 23:33:26,Happy #Hanukkah to all who are gathering with loved ones to begin celebrating the Festival of Lights.,0,2
544631333277151233,2014-12-15 23:13:23,Today is the last day you can make sure you’ll have coverage January 1st. Take action &amp; #GetCoveredToday. http:/1.usa.gov/12jRSPZ%3c,0,1
542788558718001152,2014-12-10 21:10:51,Early learning helps give children a strong start. #InvestInUs http://t.co/6BU1dN3CYr,5,3
542454296248217600,2014-12-09 23:02:37,"Passage of the CA Emergency Drought Relief Act is a step towards providing relief to the drought-ravaged Valley.
http://t.co/dLUhDwDbP5",0,0
541025443970023424,2014-12-06 00:24:52,The immigration bill voted on yesterday does nothing to fix our broken immigration system. Read my statement at: http://t.co/T7nd59ilub,3,1
539491219014164480,2014-12-01 18:48:24,"Today, on #WorldAIDSDay, we remember those who have passed &amp; renew our commitment to achieving an AIDS-Free world. http://t.co/denyZto7q9",2,0
538084959240458240,2014-11-27 21:40:26,Wishing everyone a wonderful day filled with love and laughter.  Happy Thanksgiving!!,11,13
535833019378962432,2014-11-21 16:32:01,About to go on @GreatDayKMPH to discuss issues important to our Valley. Tune in! http://t.co/6aGoWy1TkN,0,0
535517074647695360,2014-11-20 19:36:34,"RT @USDA: On National #RuralHealth Day, it's now easier than ever for rural families to #getcovered → http://t.co/hpkZHQ50zR http://t.co/XO…",67,0
