id,created_at,text,retweets,favorites
600353726063386624,2015-05-18 17:34:16,"50 years later, Head Start still continues to provide quality early learning for our nation's most vulnerable children #HeadStart50",8,8
597845943048904704,2015-05-11 19:29:14,"May is #FosterCareMonth, a time to recognize our nation’s 400,000 #fosteryouth &amp; those who make a meaningful difference in their lives.",14,10
597450973305556992,2015-05-10 17:19:46,"Wishing everyone a very healthy, happy and relaxing Mother's Day.",4,4
593067024374493184,2015-04-28 14:59:31,Everyone should have the right to marry who they love. #SCOTUS should reaffirm that right bc #LoveCantWait,56,77
593039980835901441,2015-04-28 13:12:04,I am standing on the right side of history. I stand with @HRC for #marriageequality #LoveCantWait http://t.co/Hhf4uFycOi,36,59
590923619980697600,2015-04-22 17:02:24,It's #EarthDay! Celebrate by heading out to a park near you → http://t.co/E8PwXgFzNs,8,1
590239700629245952,2015-04-20 19:44:45,Congratulations for the @seattletimes for winning the #PulitzerPrize for breaking news coverage http://t.co/lj8IviB4LK,3,3
590232368704794624,2015-04-20 19:15:37,"""Repealing the estate tax isn't just a boon for the 5,500 wealthiest Americans, it is a bust to federal taxpayers"" http://t.co/6GvIzvFNEP",13,5
590232077842415617,2015-04-20 19:14:27,The GOP's handout for the wealthiest Americans: @repsandylevin and I on the GOP's estate tax repeal http://t.co/6GvIzvFNEP,16,6
588760518749454336,2015-04-16 17:47:00,"Instead of handing billions of dollars to the top 0.2%, @HouseGOP should cut taxes for hard-working families. http://t.co/iq7lkbrsE6",13,6
588695780992626688,2015-04-16 13:29:46,RT @aliciasjlee: Congressman Jim McDermott talks about malaria! #nothingbutnets #autalksmalaria http://t.co/h1g7T6N4Gy,2,0
588695534740893696,2015-04-16 13:28:47,RT @AUCollegeDems: .@RepJimMcDermott discusses his early experiences traveling to Africa #AUtalksmalaria http://t.co/kmkzmPjPg5,1,0
588695371133689856,2015-04-16 13:28:08,RT @bellafaye30: Thank you to @RepJimMcDermott for speaking at AU tonight! So proud to call you my congressmen! #AUtalksmalaria @nothingbut…,2,0
588388882003034112,2015-04-15 17:10:15,"RT @AUCollegeDems: TONIGHT, @RepJimMcDermott talks global health and malaria prevention. All are welcomed to attend!

See who's going: http…",2,0
588356278658957313,2015-04-15 15:00:42,"This morning I joined @PLEchevarria on @cspanwj to talk about #healthcare, #sgrfix and #Medicare. Watch here: http://t.co/rYwp1pQEK0",6,2
587987163175919616,2015-04-14 14:33:58,RT @LifelongWA: Excited to recognize @RepJimMcDermott for being a long-time champion for people living with #HIV #AIDSWatch http://t.co/Dna…,12,0
587986777505398784,2015-04-14 14:32:26,"RT @WaysMeansCmte: .@RepJimMcDermott: ""I encourage my Republican colleagues to move beyond cynical attacks and to join me in working to mak…",14,0
587986719263297536,2015-04-14 14:32:12,"RT @WaysMeansCmte: .@RepJimMcDermott: Thanks to the #ACA, ""middle class families now enjoy greater health security than ever before.""",4,0
