id,created_at,text,retweets,favorites
601383564417040384,2015-05-21 13:46:29,"The House passed a bill to keep America competitive, incite economic growth, &amp; keep hard-earned dollars here at home: http://t.co/oyE7zOt7Jj",1,1
601105731295813632,2015-05-20 19:22:29,My staff will host mobile office hours in Parma tomorrow from 11 am-1 pm. Details here: http://t.co/75FqTDVOtV http://t.co/XRTmQR7n8d,1,0
601095931166064640,2015-05-20 18:43:32,Today's @WaysandMeansGOP Oversight Subcommittee hearing examined the administration's unilateral action on the ACA: http://t.co/OFbGcXgMzS,1,1
600801156256931841,2015-05-19 23:12:12,The time for a long-term solution to repair our nation’s crumbling infrastructure is far past due: http://t.co/NyZ5KevXkT,2,4
600696364184502273,2015-05-19 16:15:48,ICYMI: Rep. Earl Blumenauer and I discuss why we need to save America from falling apart and behind on @CNN: http://t.co/Y0kzdSrlkH,2,1
600687768797327360,2015-05-19 15:41:38,We need to act now to save our roads and bridges. Read about my 10 year plan here: http://t.co/sMnDZc7i21 http://t.co/SafQwgOLZv,2,3
600438822489464833,2015-05-18 23:12:25,So glad to see so many Medina-area veterans receive the recognition they deserve for their service and sacrifice: http://t.co/cTtWn1PffK,1,3
599596028254429184,2015-05-16 15:23:27,"On #ArmedForcesDay, I hope you'll join me in honoring all of the brave men and women who keep us safe http://t.co/bBdxlhHAuq",5,2
599308344197799937,2015-05-15 20:20:18,"Michael Mier, police chief of Copley Police Department, was in Washington for #PoliceWeek http://t.co/zZ13Z35vx1",0,1
599285924216872961,2015-05-15 18:51:13,"Today, I voted to provide our troops with the resources they need to protect our country both at home and abroad http://t.co/xa6vbURmeQ",2,7
599232833740251136,2015-05-15 15:20:15,ICYMI: @sabrinaeaton in @ThePlainDealer: Rep. Jim Renacci seeks longterm highway funding plan - read it here: http://t.co/9Ic4Tv4DQ4,0,0
598984648904015872,2015-05-14 22:54:03,The House passed a measure that holds the administration accountable &amp; provides congressional oversight on Iran deal: http://t.co/DwqXmQSJRv,1,0
598881701759164417,2015-05-14 16:04:59,Thanks to the Eno Center for Transportation​ for hosting a panel on #InfrastructureWeek http://t.co/xQ5FqP8KfJ,0,1
598621986923896833,2015-05-13 22:52:58,Nice meeting with @OhioState ​ students while they were in Washington today http://t.co/5u437NFGgJ,1,0
598551171389923328,2015-05-13 18:11:34,"In this week's #RenacciReport, I discuss why Congress should review details of any final nuclear agreement with Iran: http://t.co/FhWaapUjMZ",0,0
598514950194225152,2015-05-13 15:47:38,"#PoliceWeek is an opportunity to show our support for the 900,000 police officers who protect our local communities http://t.co/02vrSuTgmS",2,3
598265166535532544,2015-05-12 23:15:05,Do you receive my email updates? Sign up here to get this week's #OH16 e-newsletter: http://t.co/h3l8SHxA6O,1,0
597834691933249536,2015-05-11 18:44:32,Held a quarterly meeting with NE #Ohio business members to take their questions &amp; discuss current events. #OH16 http://t.co/EcsKw8f5YN,3,1
597761555602743296,2015-05-11 13:53:55,Check out my op-ed in the @CantonRepdotcom that discusses why Congress must act now to save America's infrastructure: http://t.co/mwgzWWCYx7,3,0
597440448966356992,2015-05-10 16:37:57,"Happy Mother's Day to all moms, my wife, Tina, and especially my mom - I'm glad I'm able to spend it with her http://t.co/M1Da6zJt6D",4,3
596785432739840000,2015-05-08 21:15:09,Would you like a flag flown over the Capitol? Contact our office here: http://t.co/EOuf4b8Wsb,4,1
596053886470860801,2015-05-06 20:48:15,RT @PeterRoskam: BREAKING: #IRS refused to fire a majority of employees who violated federal tax law. Read my response → http://t.co/Gej2Wj…,22,0
596052085898117120,2015-05-06 20:41:06,"During #TeacherAppreciationWeek, please take a moment to #thankateacher who works hard to make a difference http://t.co/HedmqC8Y8s",3,3
595966041987149824,2015-05-06 14:59:11,Meeting w/Israeli President Rivlin. An important opportunity to speak about the relationship between our governments http://t.co/VEbvEk8keJ,4,1
595611409288945665,2015-05-05 15:30:00,"This week, I met with Israeli Prime Minister Benjamin Netanyahu. Proud to #StandWithIsrael http://t.co/TVPwaykHfS",11,14
595301757091258368,2015-05-04 18:59:33,About 1 million small businesses support 2 million #jobs in OH. That's why I'll continue to stand up for #smallbiz http://t.co/wgfTRaAiZC,7,1
593832053092782080,2015-04-30 17:39:28,RT @ClevelandsNews: U.S. Rep. Jim Renacci's bipartisan gas-tax plan to address highway-funding morass makes sense: editorial http://t.co/Oy…,4,0
593826520927461376,2015-04-30 17:17:30,Kicking off the start of #Bipartisan Local Leadership Conference in #DC with @RepDaveJoyce #OHIO @gcpadvocacy http://t.co/HOuq08b4T6,0,0
593771071649767424,2015-04-30 13:37:09,TUNE IN: I'm on now with @FrantzRadio talking my appointment to @WaysandMeansGOP​ Oversight Subcommittee: http://t.co/2mOhyHUk0D,0,2
593769120035909632,2015-04-30 13:29:24,Nice having Dale and Debbie Fortner in town. Dale was superintendent of Wadsworth City Schools while I was mayor http://t.co/1R70ClNYK0,1,1
593520587810557952,2015-04-29 21:01:49,RT @PeterRoskam: Pleased to welcome @RepJimRenacci to the @WaysandMeansGOP Oversight Subcommittee → http://t.co/FxojacdvP5,5,0
593518424560504833,2015-04-29 20:53:14,Pleased to join @WaysandMeansGOP ​Oversight Subcommittee and look forward to working with Chairman @PeterRoskam: http://t.co/55C6w5jyn1,1,1
593171099539644418,2015-04-28 21:53:05,Glad to have the opportunity to speak at the Quality Construction Alliance Issues Conference today http://t.co/FBpK7DUdr3,2,2
593158570461368320,2015-04-28 21:03:18,Don't miss the Women' s Veterans Resource Fair on May 16th from 9am-3pm at Summit County Veterans Service Commission: http://t.co/SXE8fNygeJ,0,1
591723913450823680,2015-04-24 22:02:29,It's time the #IRS is held accountable: http://t.co/WQkAVBumLI RT if you agree,8,4
591407529961324544,2015-04-24 01:05:17,Late night hearing @WaysandMeansGOP http://t.co/Q3c1FHYZ1p,4,1
591265963502338048,2015-04-23 15:42:45,VIDEO: I discussed my plan for a long-term solution for the #HighwayTrustFund on @FoxBusiness w/@TeamCavuto​: http://t.co/AAeX2PHH4r,0,0
590963082748375040,2015-04-22 19:39:13,Tune in - I'll be on @FoxBusiness w/@TeamCavuto at 8:15pm talking my long-term solution for the Highway Trust Fund http://t.co/3yjzM1rWFV,5,1
590906835609251840,2015-04-22 15:55:42,Don't forget: My staff will be in Orrville tomorrow to help constituents with federal agencies: http://t.co/0burzEuV3F,3,1
590879099410894849,2015-04-22 14:05:29,Nice to catch up with some folks who traveled to DC from Wadsworth before my @WaysandMeansGOP hearing this morning http://t.co/XIEHAfAvCs,2,2
590654406351310848,2015-04-21 23:12:38,Recently stopped by Brunswick City Hall &amp; met with Mayor Ron Falconi and Brunswick City Council members http://t.co/7072P4hxrN,2,0
590504716662091777,2015-04-21 13:17:50,Stopped by Wooster High School's Speech &amp; Debate Team's awards banquet last night - Congrats on 1st place at state! http://t.co/9OVjbntgGS,2,1
590246230875361280,2015-04-20 20:10:42,Stopped in to catch up with Berea Mayor Cyril Kleem this afternoon http://t.co/runka8q07s,2,2
590180227302711298,2015-04-20 15:48:25,"Great to celebrate @Timken's recent $200 million investment in our region. Caster will bring #jobs, growth to NEO http://t.co/BLwrrdqo6k",2,2
590176229225009154,2015-04-20 15:32:32,My staff will be in Orrville on Thursday to assist constituents w/federal agencies. Details: http://t.co/0burzEuV3F http://t.co/Jvqc2r0Rnh,1,0
590169279422537728,2015-04-20 15:04:55,Had the chance to catch up with Springfield Township Trustee Dean Young and Police Chief John A. Smith http://t.co/9WcKw95j98,1,0
590155838251208704,2015-04-20 14:11:31,Enjoyed visiting with Lakemore Village Mayor Rick Justice and his staff http://t.co/GKnhe0NS7n,0,1
589160185450598400,2015-04-17 20:15:08,In case you missed it - Rep. Jim Renacci Introduces Legislation to Fix Trust Fund: http://t.co/6DhawtlLOX,4,0
588781078757957633,2015-04-16 19:08:42,"RT @eugenemulero: @RepJimRenacci today put out Bridge to Sustainable Infrastructure, bill to provide long-term fix to ensure Highway Trust …",4,0
588732831448363009,2015-04-16 15:56:59,"BREAKING: @BillPascrell, @RepRibble, Rep. Lipinski &amp; I just introduced a bill to fix the #HighwayTrustFund. Details: http://t.co/sMnDZc7i21",8,3
588464196569829376,2015-04-15 22:09:32,RT @sabrinaeaton: House marks Tax Day by passing Rep. Jim Renacci's bill to fight IRS political targeting (video) http://t.co/5JiLNeIJhm,7,0
588433114122313729,2015-04-15 20:06:01,BREAKING: The House just approved my bill to address #IRSabuse and bring more accountability to the #IRS. More here: http://t.co/ECOzmDTXux,4,2
588414838579265536,2015-04-15 18:53:24,"Thanks to @repjohnlewis &amp; @CongHuelskamp for speaking in support of my bill, the Preventing Targeting at the #IRS Act, to address #IRSabuse",2,1
588321391998586880,2015-04-15 12:42:04,I'm on with Pedro talking #taxreform. We're taking questions. Tweet yours for me to @cspanwj http://t.co/8rPiEzFMzY,4,4
588307446189404160,2015-04-15 11:46:40,I'll be on @cspanwj at 8:30am talking about the #IRS &amp; #taxreform - tune in here: http://t.co/JpLYmJK2Aq #TaxDay,7,1
588006934718062592,2015-04-14 15:52:32,My bill to address the abuses at the #IRS will receive a vote in the House tomorrow: http://t.co/2zawCwqBRq http://t.co/GG9sIhsnsK,0,0
586637903029280768,2015-04-10 21:12:29,Congrats to Rachel Sykes of Northwestern High School for winning Best in Show in #Oh16 Congressional Art Competition http://t.co/F7rQn1d7wM,3,2
586570919977603072,2015-04-10 16:46:19,We'll be in Shreve and Dalton on April 15th to assist constituents with federal agencies: http://t.co/eGltowclOV http://t.co/NmM9cihnb1,2,0
586558840730189825,2015-04-10 15:58:20,Thanks to @FrantzRadio for having me on his show this am to discuss #Iran deal and my #IRS bill,0,1
586281696670195712,2015-04-09 21:37:03,"""With the Highway Trust Fund set to expire in less than 60 days, Congress must act now."" More here: http://t.co/jVAyZJ2zIP",0,1
585880344563417089,2015-04-08 19:02:13,REMINDER: Our staff will hold mobile office hours in North Olmsted tomorrow from 12:30 p.m. – 2:30 p.m: http://t.co/81fGkNq9ng,3,0
585822001098522626,2015-04-08 15:10:23,Congratulations to all of those in #OH16 appointed to U.S. Service Academies http://t.co/30yhq62X6H,4,16
585550201303257089,2015-04-07 21:10:21,"A Veterans Career Fair is coming to Cleveland on Thursday, April 9th from 11am-3pm. Details here: http://t.co/LSM94uq4ct",2,0
584760154668855300,2015-04-05 16:50:59,From my family to yours - Happy Easter! http://t.co/nAbWULdJ8m,5,5
584378745034780672,2015-04-04 15:35:24,ICYMI: Strongsville Post reports on our discussion about infrastructure spending &amp; the #HighwayTrustFund: http://t.co/MyfT1lpFSS,5,0
583724359342239745,2015-04-02 20:15:06,Our staff will hold mobile office hours in North Olmsted on April 9th from 12:30-2 - details: http://t.co/81fGkNq9ng http://t.co/p5rN3nTMcY,4,0
583379609963634688,2015-04-01 21:25:12,Great meeting these fine young men at the Middleburg Heights Career Fair today http://t.co/jqxPbyYtag,4,3
583298034601205761,2015-04-01 16:01:03,In case you missed it - @WEWS stopped by our transportation roundtable on Monday: http://t.co/RgLIrakeri,1,0
583043978238554113,2015-03-31 23:11:31,Don't miss Middleburg Heights' Career Fair at the Polaris Career Center tomorrow from 9-12. Details here: http://t.co/LYZE2OyAwm,3,1
583042559158673408,2015-03-31 23:05:53,Pleased to receive the @ShopFloorNAM​ Award for Manufacturing Legislative Excellence: http://t.co/G1VtJGB7ue,1,2
583007379232579584,2015-03-31 20:46:05,Great to meet with students at @uakron n today to discuss their ideas for fixes our roads and bridges http://t.co/BAKiZ85qdx,2,4
582941029239783424,2015-03-31 16:22:26,"ICYMI - @ThePlainDealer: Rep. Jim Renacci says chronic shortage in highway dollars is bad news for drivers:
http://t.co/9FFu6zhk9N",0,0
582643888499888128,2015-03-30 20:41:42,I hosted a transportation discussion with local elected officials and key stakeholders in Cleveland. What we learned: http://t.co/FWp8wRJVQG,4,2
