id,created_at,text,retweets,favorites
601457902927282176,2015-05-21 18:41:53,#TBT to speaking with @ABC about the lavish @ClintonFdn conference in #Morocco funded by Western Saharan phosphate $ http://t.co/bFZBkvHbyH,0,0
601407469336813568,2015-05-21 15:21:28,RT @michaelcburgess: #Cures2015 has UNANIMOUS APPROVAL from @HouseCommerce - One step closer to bringing life-saving technologies to patien…,3,0
601404747816554496,2015-05-21 15:10:40,RT @RepFredUpton: 51-0 #Cures2015 cc: @HouseCommerce,2,0
601367959588704256,2015-05-21 12:44:29,RT @ECcures: HAPPENING NOW: @HouseCommerce vote on The 21st Century Cures Act --&gt; http://t.co/vKcCQmBCml #Cures2015,5,0
601361168792420352,2015-05-21 12:17:30,"RT @Praying4_PA: Please pray today for: @RepJoePitts, @RepJeffPyle, Tom Quigley http://t.co/JS0knBn2Oj #Pray4Leaders",1,0
601361144184438785,2015-05-21 12:17:24,"RT @JeffWhitebread: Please pray today for: @RepJoePitts, @RepJeffPyle, Tom Quigley http://t.co/1JjxeetQRq #Pray4Leaders",1,0
601145752056942593,2015-05-20 22:01:30,"Today I met Max, who is 6 years old and suffers from Noonan's Syndrome. Patients like Max inspire #21stcenturycures. http://t.co/kAOtKgFyBh",1,2
601122232128151552,2015-05-20 20:28:03,#FosterYouthVoices Thank you to Valentina for shadowing me today! Inspired by your courage and desire to help others. http://t.co/u8352Nt05U,11,11
601093236564852736,2015-05-20 18:32:50,"RT @ScripDonnaDC: .@RepJoePitts : #Cures2015 is a resounding statement of US commitment to biomedical innovation
 #NIH #FDA #pharma",3,0
600770888926109696,2015-05-19 21:11:56,Thank you so much to @ACUConservative for your award. I am proud to work for #conservative principles and solutions. http://t.co/LDQgp5TteL,1,2
599312736313593856,2015-05-15 20:37:45,RT @aahcdc: .@aahcdc thanks @RepDianaDeGette @RepGeneGreen @RepJoePitts for their support for #path2cures! http://t.co/GZMVw3sbd1,2,0
599269231444828162,2015-05-15 17:44:53,"RT @EnergyCommerce: Biprtisn wrk advances #Cures2015 which helps patients, boosts @NIH $ @RepDianaDeGette @RepFredUpton @FrankPallone @RepG…",4,0
